id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
181,kerja sama ini juga mendukung program merdeka belajar kampus merdeka mbkm membuka peluang inovasi bagi masa depan pendidikan yang lebih cerah,program,Program,0.8022,mendukung,1.0,"[0.7692, 0.1923, 0.0385]",mendukung program merdeka,1
286,wkwk ptk naro logo kampus merdeka di ignya tapi mahasiswanya ga merdeka,ig,Magang,0.3712,merdeka,0.0,"[0.0, 1.0, 0.0]",di ig nya,0
34,bener bangettt malahan aku yang kuliah tuh takut ilang program kampus merdeka yg menguntungkan mahasiswa tapi sayang sekalai untuk sekolah sdsma itu kurang,mahasiswa,Program,0.7323,menguntungkan,1.0,"[0.7692, 0.1923, 0.0385]",menguntungkan mahasiswa tapi,1
270,tapi sejujurnya menurutku bagus kok kurikulumnya kalo di perkuliahan bagusnya di merdeka kampus belajar,kampus,Program,0.8105,merdeka,0.6,"[0.6, 0.35, 0.05]",merdeka kampus belajar,0
21,apaan bagus buat perguruan negri gr2 kebijakan baru bbrp kampus ngebebanin mhs s2 ke atas hrs ikut2an bikin bnyk jurnal publikasi buat menuhin quota kampus terus ada aja mhs yang manfaatin kurikulum merdeka buat ngeclaim sks yang padahal mereka gk ngerti apa2 pas di tes,perguruan,Program,0.6695,bagus,1.0,"[0.7692, 0.1923, 0.0385]",buat perguruan negri,1
239,sebenarnya program dia ada yang baik kok contohnya kampus merdeka kayak msib iisma pmm dll soalnya program ini memberikan banyak keuntungan dan pengalaman bermanfaat buat mahasiswa,contoh,Program,0.5565,baik,1.0,"[0.7692, 0.1923, 0.0385]",kok contoh nya,1
239,sebenarnya program dia ada yang baik kok contohnya kampus merdeka kayak msib iisma pmm dll soalnya program ini memberikan banyak keuntungan dan pengalaman bermanfaat buat mahasiswa,pengalaman,Nadiem,0.829,keuntungan,1.0,"[0.7692, 0.1923, 0.0385]",dan pengalaman bermanfaat,1
239,sebenarnya program dia ada yang baik kok contohnya kampus merdeka kayak msib iisma pmm dll soalnya program ini memberikan banyak keuntungan dan pengalaman bermanfaat buat mahasiswa,kampus,Program,0.7232,contoh,1.0,"[0.7692, 0.1923, 0.0385]",nya kampus merdeka,1
292,yg bagusnya cuma kampus merdeka utk mahasiswa,kampus,Program,0.763,bagus,1.0,"[0.7692, 0.1923, 0.0385]",cuma kampus merdeka,1
212,namanya juga proses njirr lagian proramnya beberapa bagus juga kaya kampus merdeka dsb,kampus,Program,0.7245,kaya,1.0,"[0.7692, 0.1923, 0.0385]",kaya kampus merdeka,1
30,program dia bagus yg kampus merdeka,kampus,Program,0.3685,bagus,1.0,"[0.7692, 0.1923, 0.0385]",yg kampus merdeka,1
264,tapi buat pendidikan tinggi kurikulum merdeka tu bagus bgt apalagi programprogramnya jadi ada kesempatan buat berkembang diluar kampus,kampus,Program,0.6918,berkembang,1.0,"[0.7692, 0.1923, 0.0385]",diluar kampus,1
177,kayanya kebijakan beliau bagusnya yg di kuliah deh kaya kampus merdeka dll dulu sblm ada itu susah bgt cari magang masukin proposal sana sini tp skrg udah terintegrasi sm sistem di kuliah,dll,Program,0.5973,merdeka,0.6,"[0.6, 0.35, 0.05]",merdeka dll dulu,0
162,kampus merdeka untung sama untung mahasiswanya ya oke2 dan seneng aja di tengah pandemi muncul tuh program jd mayanlah kedapetan enak,mahasiswa,Program,0.5976,sama,0.8999999999999999,"[0.7347, 0.2245, 0.0408]",untung mahasiswa nya,0
41,buat mahasiswa yang bela nadiem karena katanya oh itu program kampus merdeka bagus termasuk temen gw yang kaya asu makan ni anjinggg lu liat kacaunya bangsatttt bangsat,bangsatttt,Program,0.4741,kacau,-1.0,"[0.0385, 0.1923, 0.7692]",nya bangsatttt bangsat,1
216,oh ini mah yang kampus merdeka menurut gw sih ini cuma stop gap solution aja akar masalahnya emang pendidikan lanjut diploma dan sarjana di indonesia itu ngga cocok dengan kebutuhan industrinya dan ini yg ngga diurus,kebutuhan,Nadiem,0.8037,cocok,1.0,"[0.7692, 0.1923, 0.0385]",dengan kebutuhan industri,1
294,yg perlu dipertahankan kampus merdeka iisma bolehlah tapi kuota ditekan sempurnakan juga progran iisma dalam negeri sangat bermanfaat buat kawan kawan dari kampus secondthird tierdaerah nun jauh disana utk merasakan atmosfer kampus top 10 indo dan tentunya msib,kawan,Program,0.5598,bermanfaat,1.0,"[0.7692, 0.1923, 0.0385]",buat kawan kawan,1
