id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
181,kerja mendukung program program program mbkm membuka peluang inovasi pendidikan cerah,program,Program,0.6876,mendukung,1.0,"[0.7692, 0.1923, 0.0385]",mendukung program program,1
286,(tertawa) ptk naro logo program ignya tapi mahasiswanya tidak merdeka,mahasiswa,Program,0.6364,merdeka,-0.3,"[0.0645, 0.5484, 0.3871]",tapi mahasiswa nya,0
176,kayanya tiada bentakan dan blaming karyawan gue atau teman gue i assume they just dont know what they did is wrong cos maybe have normalized gue bertahan iyee magangnya magang program,tiada,Program,0.5649,kaya,1.0,"[0.7692, 0.1923, 0.0385]",nya tiada bentakan,1
34,benar banget malahan kuliah tuh takut hilang program program menguntungkan mahasiswa tapi sayang sekalai sekolah sdsma,mahasiswa,Program,0.7323,menguntungkan,1.0,"[0.7692, 0.1923, 0.0385]",menguntungkan mahasiswa tapi,1
270,tapi sejujurnya menurutku bagus kurikulumnya kalo perkuliahan bagusnya merdeka kampus belajar,kampus,Program,0.8105,merdeka,0.6,"[0.6, 0.35, 0.05]",merdeka kampus belajar,0
21,apaan bagus perguruan negeri gr kebijakan kampus ngebebanin mhs si harus ikutan bikin jurnal publikasi menuhin quota kampus mhs manfaatin program ngeclaim sks padahal tidak mengerti pas tes,pas,Program,0.5995,mengerti,-1.0,"[0.0385, 0.1923, 0.7692]",mengerti pas tes,1
239,program baik program kayak msib iisma pmm program keuntungan dan pengalaman bermanfaat mahasiswa,mahasiswa,Program,0.6343,bermanfaat,1.0,"[0.7692, 0.1923, 0.0385]",bermanfaat mahasiswa,1
239,program baik program kayak msib iisma pmm program keuntungan dan pengalaman bermanfaat mahasiswa,pengalaman,Nadiem,0.829,keuntungan,1.0,"[0.7692, 0.1923, 0.0385]",dan pengalaman bermanfaat,1
292,bagusnya program mahasiswa,program,Program,0.6753,bagus,1.0,"[0.7692, 0.1923, 0.0385]",nya program mahasiswa,1
212,namanya proses anjir lagian proramnya bagus kayak program,program,Program,0.6349,bagus,1.0,"[0.7692, 0.1923, 0.0385]",kayak program,1
264,tapi pendidikan program bagus banget apalagi programprogramnya kesempatan berkembang diluar kampus,kampus,Program,0.6918,berkembang,1.0,"[0.7692, 0.1923, 0.0385]",diluar kampus,1
177,kayanya kebijakan bagusnya kuliah deh kayak program susah banget cari magang memasukkan proposal tapi sudah terintegrasi sistem kuliah,kebijakan,Nadiem,0.6258,kaya,1.0,"[0.7692, 0.1923, 0.0385]",nya kebijakan bagus,1
162,program untung untung mahasiswanya oke dan senang pandemi muncul tuh program mayanlah kedapetan enak,mahasiswa,Program,0.5976,untung,1.0,"[0.7692, 0.1923, 0.0385]",untung mahasiswa nya,1
41,mahasiswa bela nadiem program program bagus termasuk teman gue kayak asu makan anjinggg lihat kacaunya bangsatttt bangsat,bangsatttt,Program,0.4741,kacau,-1.0,"[0.0385, 0.1923, 0.7692]",nya bangsatttt bangsat,1
216,mah program gue sih stop gap solution akar masalahnya memang pendidikan diploma dan sarjana indonesia tidak cocok kebutuhan industrinya dan tidak diurus,mah,Program,0.4058,cocok,-1.0,"[0.0385, 0.1923, 0.7692]",mah program,1
294,dipertahankan program iisma tapi kuota ditekan sempurnakan progran iisma dalam negeri sangat bermanfaat kawan kawan kampus secondthird tierdaerah nun disana merasakan atmosfer kampus top indonesia dan msib,kawan,Program,0.4946,bermanfaat,1.0,"[0.7692, 0.1923, 0.0385]",bermanfaat kawan kawan,1
107,jujur terobosannya program versi l kuliah tapi ajarnya kapitalis dan ketidakselarasan kementrian menyebabkan perusahaan bisa seenak udel pegawai upah murah beban kerja selangit alias anak magang,anak,Program,0.6834,beban,-1.0,"[0.0385, 0.1923, 0.7692]",alias anak magang,1
107,jujur terobosannya program versi l kuliah tapi ajarnya kapitalis dan ketidakselarasan kementrian menyebabkan perusahaan bisa seenak udel pegawai upah murah beban kerja selangit alias anak magang,program,Program,0.618,terobosan,1.0,"[0.7692, 0.1923, 0.0385]",nya program versi,1
184,kalo program dikti nya sok far oke oke sih gue sangat mengapresiasi program,sih,Program,0.428,sok,-1.0,"[0.0385, 0.1923, 0.7692]",oke sih gue,1
31,program program memang bagus anak msib tapi sayangnya program membuat perusahaan tidak rekrut karyawan dan ngandelin anak magang magang,program,Program,0.6233,membuat,1.0,"[0.7692, 0.1923, 0.0385]",program program,1
229,pfftt bagus kalo pelaku dan lembaga pendidikan deh program bikin pusing tenaga pendidik bobot konversi tidak ada batasan mhsswa seenaknya ambil matkul tidak porsinya ngaruh standar kompetensi zonasi teknisnya jelek banget,tenaga,Nadiem,0.6008,pusing,1.0,"[0.7692, 0.1923, 0.0385]",pusing tenaga pendidik,1
6,program program memang bagus banget,program,Program,0.6233,bagus,1.0,"[0.7692, 0.1923, 0.0385]",program program,1
291,bagus gue program program itupun kontra,program,Program,0.5992,bagus,1.0,"[0.7692, 0.1923, 0.0385]",gue program program,1
44,bukan dibayar murah kalo program perusahaan bahkan tidak harus keluar uang upah anak magang negara benaran dapat tenaga kerja,program,Program,0.6907,keluar,1.0,"[0.7692, 0.1923, 0.0385]",kalo program perusahaan,1
36,benar kalo kulihat memang program works well universitas universitas programnya memang bagus,program,Program,0.5593,bagus,1.0,"[0.7692, 0.1923, 0.0385]",memang program works,1
19,and program is hurting full time employees more and way college students think bukannya sibuk memikirkan akademis dan ilmunya lomba bisa internship cepat dan meninggalkan akademiknya,akademik,Program,0.6165,meninggalkan,-1.0,"[0.0385, 0.1923, 0.7692]",meninggalkan akademik nya,1
69,gonna support this argument percaya tpks zonasi dan program program bagus diteruskan pendidikan sudah berjalan arah equality amp quality education lho pendidikan tidak menang kalah tapi berkeadilan,pendidikan,Program,0.7308,menang,-1.0,"[0.0385, 0.1923, 0.7692]",diteruskan pendidikan sudah,1
17,tidak tau jurusan tapi awal kemunculannya program tuh sedikit polemik apalagi anak gerakan atau advo mahasiswa lari situ kekhawatirannya sih kesannya kayak its all about industry,sih,Nadiem,0.574,kekhawatiran,-1.0,"[0.0385, 0.1923, 0.7692]",nya sih kesan,1
136,program is shitty teman magang ketinggalan materi semester tapi tidak mau ngejar apesnya sekelompok smt berikutnya endingnya plonga plongo apply program deh tidak usah kuliah magang sonooooo manusia gila maganggggg,program,Magang,0.0924,ketinggalan,1.0,"[0.7692, 0.1923, 0.0385]",program is,1
260,tapi program program bermanfaat banget bisa paham roadmap skill dibutuhin diindustri dan bisa fokus mempelajari bidang kalo kampus doang asli kureng banget dan belajar nya terlalu general,program,Program,0.7508,bermanfaat,1.0,"[0.7692, 0.1923, 0.0385]",tapi program program,1
