id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
52,akun kloning seolah2 pendukung menyerang paslon opini dan argumen pmbenaranjangan terkecoh,paslon,Tokoh dan Partai,0.634,menyerang,-3.0,"[0.0161, 0.0161, 0.9677]",menyerang paslon opini,1
52,akun kloning seolah2 pendukung menyerang paslon opini dan argumen pmbenaranjangan terkecoh,akun,Kampanye,0.4425,menyerang,-3.0,"[0.0161, 0.0161, 0.9677]",akun kloning,1
52,akun kloning seolah2 pendukung menyerang paslon opini dan argumen pmbenaranjangan terkecoh,pmbenaranjangan,Politik Uang,0.4933,argumen,-4.0,"[0.0122, 0.0122, 0.9756]",argumen pmbenaranjangan terkecoh,1
127,kasihan kasihan peluru 1milyar rw tidak mempan menangin pilkada,peluru,Politik Uang,0.4232,kasihan,-4.0,"[0.0122, 0.0122, 0.9756]",kasihan peluru 1milyar,1
127,kasihan kasihan peluru 1milyar rw tidak mempan menangin pilkada,kasihan,SARA,0.3,kasihan,-4.0,"[0.0122, 0.0122, 0.9756]",kasihan kasihan,1
127,kasihan kasihan peluru 1milyar rw tidak mempan menangin pilkada,rw,Tokoh dan Partai,0.2756,peluru,3.0,"[0.9677, 0.0161, 0.0161]",1milyar rw tidak,1
149,awas ye kalo dukungan suara pendukung,pendukung,Pendukung/Pemilih,0.6727,suara,2.0,"[0.9524, 0.0238, 0.0238]",suara pendukung,1
149,awas ye kalo dukungan suara pendukung,suara,Pendukung/Pemilih,0.7175,dukungan,4.0,"[0.9756, 0.0122, 0.0122]",dukungan suara pendukung,1
149,awas ye kalo dukungan suara pendukung,dukungan,Pendukung/Pemilih,0.6611,awas,4.0,"[0.9756, 0.0122, 0.0122]",kalo dukungan suara,1
37,aneh deh lebay sangkut pautkan kandidat calgub lebay dukung,pautkan,Politik Uang,0.5683,sangkut,2.0,"[0.9524, 0.0238, 0.0238]",sangkut pautkan kandidat,1
135,allah swt ucapkan syukur dan terimakasih makna 17 suara,makna,Tokoh dan Partai,0.2042,terimakasih,5.0,"[0.9804, 0.0098, 0.0098]",terimakasih makna 17,1
135,allah swt ucapkan syukur dan terimakasih makna 17 suara,suara,Tokoh dan Partai,0.1761,makna,5.0,"[0.9804, 0.0098, 0.0098]",17 suara,1
238,terima kasih teruntuk pendukung kalianlah pembeda,kasih,Kampanye,0.4697,terima,2.0,"[0.9524, 0.0238, 0.0238]",terima kasih teruntuk,1
238,terima kasih teruntuk pendukung kalianlah pembeda,pembeda,Kampanye,0.5649,terima,2.0,"[0.9524, 0.0238, 0.0238]",lah pembeda,1
250,terima kasih keistiqomahan relawan tlh mengantarkan signifikan,keistiqomahan,Kampanye,0.4916,kasih,2.0,"[0.9524, 0.0238, 0.0238]",kasih keistiqomahan relawan,1
250,terima kasih keistiqomahan relawan tlh mengantarkan signifikan,kasih,Kampanye,0.4393,terima,2.0,"[0.9524, 0.0238, 0.0238]",terima kasih keistiqomahan,1
