id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
1,akun kloning seolah2 pendukung menyerang paslon opini dan argumen pmbenaranjangan terkecoh,akun,Anies-Sandi,0.4216,menyerang,-3.0,"[0.0161, 0.0161, 0.9677]",akun kloning,1
1,akun kloning seolah2 pendukung menyerang paslon opini dan argumen pmbenaranjangan terkecoh,pmbenaranjangan,Anies-Sandi,0.433,argumen,-4.0,"[0.0122, 0.0122, 0.9756]",argumen pmbenaranjangan terkecoh,1
1,akun kloning seolah2 pendukung menyerang paslon opini dan argumen pmbenaranjangan terkecoh,paslon,Anies-Sandi,0.6184,menyerang,-3.0,"[0.0161, 0.0161, 0.9677]",menyerang paslon opini,1
2,bicara kasihan yaalap air matanya wkwkwkwk,yaalap,Ahok-Djarot,0.4949,kasihan,4.0,"[0.9756, 0.0122, 0.0122]",kasihan yaalap air,1
2,bicara kasihan yaalap air matanya wkwkwkwk,mata,Agus-Sylvi,0.5591,air,-1.0,"[0.0385, 0.1923, 0.7692]",air mata nya,1
3,sih tidak menunggu hasil qc tapi menunggu motif cuitan kayak pasca nyungsep,hasil,Agus-Sylvi,0.2138,menunggu,3.0,"[0.9677, 0.0161, 0.0161]",menunggu hasil qc,1
3,sih tidak menunggu hasil qc tapi menunggu motif cuitan kayak pasca nyungsep,sih,Agus-Sylvi,0.4635,menunggu,3.0,"[0.9677, 0.0161, 0.0161]",sih tidak,1
3,sih tidak menunggu hasil qc tapi menunggu motif cuitan kayak pasca nyungsep,motif,Anies-Sandi,0.5474,menunggu,3.0,"[0.9677, 0.0161, 0.0161]",menunggu motif cuitan,1
3,sih tidak menunggu hasil qc tapi menunggu motif cuitan kayak pasca nyungsep,qc,Agus-Sylvi,0.3054,hasil,-3.0,"[0.0161, 0.0161, 0.9677]",hasil qc tapi,1
4,kasihan kasihan peluru 1milyar rw tidak mempan menangin pilkada,rw,Agus-Sylvi,0.1631,peluru,3.0,"[0.9677, 0.0161, 0.0161]",1milyar rw tidak,1
4,kasihan kasihan peluru 1milyar rw tidak mempan menangin pilkada,peluru,Agus-Sylvi,0.4246,kasihan,-4.0,"[0.0122, 0.0122, 0.9756]",kasihan peluru 1milyar,1
