id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
1,banyak akun kloning seolah2 pendukung mulai menyerang paslon dengan opini dan argumen pmbenaranjangan terkecoh,akun,Anies-Sandi,0.5337,mulai,1.0,"[0.7692, 0.1923, 0.0385]",banyak akun kloning,1
1,banyak akun kloning seolah2 pendukung mulai menyerang paslon dengan opini dan argumen pmbenaranjangan terkecoh,paslon,Anies-Sandi,0.7198,menyerang,-3.0,"[0.0161, 0.0161, 0.9677]",menyerang paslon dengan,1
1,banyak akun kloning seolah2 pendukung mulai menyerang paslon dengan opini dan argumen pmbenaranjangan terkecoh,opini,Agus-Sylvi,0.7032,menyerang,-3.0,"[0.0161, 0.0161, 0.9677]",dengan opini dan,1
1,banyak akun kloning seolah2 pendukung mulai menyerang paslon dengan opini dan argumen pmbenaranjangan terkecoh,pmbenaranjangan,Anies-Sandi,0.433,argumen,-4.0,"[0.0122, 0.0122, 0.9756]",argumen pmbenaranjangan terkecoh,1
2,bicara apa kasihan yaalap itu air matanya wkwkwkwk,air,Ahok-Djarot,0.5766,kasihan,4.0,"[0.9756, 0.0122, 0.0122]",itu air mata,1
2,bicara apa kasihan yaalap itu air matanya wkwkwkwk,yaalap,Ahok-Djarot,0.5809,kasihan,4.0,"[0.9756, 0.0122, 0.0122]",kasihan yaalap itu,1
2,bicara apa kasihan yaalap itu air matanya wkwkwkwk,mata,Agus-Sylvi,0.5591,air,-1.0,"[0.0385, 0.1923, 0.7692]",air mata nya,1
2,bicara apa kasihan yaalap itu air matanya wkwkwkwk,kasihan,Ahok-Djarot,0.5033,apa,-3.0,"[0.0161, 0.0161, 0.9677]",apa kasihan yaalap,1
3,kalau aku sih gak nunggu hasil akhir qc tp lagi nunggu motif cuitan pak kayak apa pasca nyungsep,pasca,Ahok-Djarot,0.5441,apa,-3.0,"[0.0161, 0.0161, 0.9677]",apa pasca nyungsep,1
3,kalau aku sih gak nunggu hasil akhir qc tp lagi nunggu motif cuitan pak kayak apa pasca nyungsep,qc,Agus-Sylvi,0.0801,hasil,3.0,"[0.9677, 0.0161, 0.0161]",akhir qc tp,1
3,kalau aku sih gak nunggu hasil akhir qc tp lagi nunggu motif cuitan pak kayak apa pasca nyungsep,hasil,Ahok-Djarot,0.5432,nunggu,1.0,"[0.7692, 0.1923, 0.0385]",nunggu hasil akhir,1
