id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
1,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,akun,Anies-Sandi,0.5337,mulai,1.0,"[0.7692, 0.1923, 0.0385]",banyak akun kloning,1
1,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,pmbenaran,Ahok-Djarot,0.0263,argumen,-4.0,"[0.0122, 0.0122, 0.9756]",argumen pmbenaran .,1
1,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,opini,Agus-Sylvi,0.7032,menyerang,-3.0,"[0.0161, 0.0161, 0.9677]",dengan opini dan,1
1,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,paslon,Anies-Sandi,0.1326,menyerang,-3.0,"[0.0161, 0.0161, 0.9677]",menyerang paslon #,1
2,#agussilvy bicara apa kasihan yaa...lap itu air matanya wkwkwkwk,air,Ahok-Djarot,0.5766,apa,-3.0,"[0.0161, 0.0161, 0.9677]",itu air mata,1
2,#agussilvy bicara apa kasihan yaa...lap itu air matanya wkwkwkwk,mata,Agus-Sylvi,0.5591,air,-1.0,"[0.0385, 0.1923, 0.7692]",air mata nya,1
2,#agussilvy bicara apa kasihan yaa...lap itu air matanya wkwkwkwk,kasihan,Ahok-Djarot,0.5033,apa,-3.0,"[0.0161, 0.0161, 0.9677]",apa kasihan yaa...lap,1
2,#agussilvy bicara apa kasihan yaa...lap itu air matanya wkwkwkwk,yaa...lap,Ahok-Djarot,0.5809,kasihan,4.0,"[0.9756, 0.0122, 0.0122]",kasihan yaa...lap itu,1
2,#agussilvy bicara apa kasihan yaa...lap itu air matanya wkwkwkwk,#agussilvy,Ahok-Djarot,0.2767,apa,-3.0,"[0.0161, 0.0161, 0.9677]",#agussilvy bicara,1
3,Kalau aku sih gak nunggu hasil akhir QC tp lagi nunggu motif cuitan pak @SBYudhoyono kayak apa.. pasca #AgusSilvy Nyungsep..,motif,Ahok-Djarot,0.5293,nunggu,1.0,"[0.7692, 0.1923, 0.0385]",nunggu motif cuitan,1
3,Kalau aku sih gak nunggu hasil akhir QC tp lagi nunggu motif cuitan pak @SBYudhoyono kayak apa.. pasca #AgusSilvy Nyungsep..,hasil,Ahok-Djarot,0.5432,nunggu,1.0,"[0.7692, 0.1923, 0.0385]",nunggu hasil akhir,1
3,Kalau aku sih gak nunggu hasil akhir QC tp lagi nunggu motif cuitan pak @SBYudhoyono kayak apa.. pasca #AgusSilvy Nyungsep..,pasca,Ahok-Djarot,0.0,nunggu,1.0,"[0.7692, 0.1923, 0.0385]",. pasca #,1
4,Kasian oh kasian dengan peluru 1milyar untuk tiap RW #agussilvy tidak mempan menangin pilkada #QuickCount #PilkadaSerentak2017,1milyar,Agus-Sylvi,0.549,peluru,-3.0,"[0.0161, 0.0161, 0.9677]",peluru 1milyar untuk,1
4,Kasian oh kasian dengan peluru 1milyar untuk tiap RW #agussilvy tidak mempan menangin pilkada #QuickCount #PilkadaSerentak2017,peluru,Agus-Sylvi,0.5209,kasian,-3.0,"[0.0161, 0.0161, 0.9677]",dengan peluru 1milyar,1
4,Kasian oh kasian dengan peluru 1milyar untuk tiap RW #agussilvy tidak mempan menangin pilkada #QuickCount #PilkadaSerentak2017,kasian,Ahok-Djarot,0.0986,kasian,-3.0,"[0.0161, 0.0161, 0.9677]",kasian oh,1
6,aneh deh lebay masa ini di sangkut pautkan sama kandidat Calgub anda lebay seperti yg anda dukung #agussilvy,agussilvy,Ahok-Djarot,0.0,dukung,4.0,"[0.9756, 0.0122, 0.0122]",# agussilvy,1
7,Kepada Allah SWT kami ucapkan rasa syukur dan kepada pak @SBYudhoyono @presidenSBY #AHY kami sampaikan terimakasih. Makna 17% suara anda.,suara,Agus-Sylvi,0.2643,makna,5.0,"[0.9804, 0.0098, 0.0098]",% suara anda,1
7,Kepada Allah SWT kami ucapkan rasa syukur dan kepada pak @SBYudhoyono @presidenSBY #AHY kami sampaikan terimakasih. Makna 17% suara anda.,syukur,Agus-Sylvi,0.5887,rasa,-2.0,"[0.0238, 0.0238, 0.9524]",rasa syukur dan,1
8,Terima Kasih teruntuk pendukung #AHY #SYLVI kalianlah pembeda kali ini,pembeda,Anies-Sandi,0.6068,terima,2.0,"[0.9524, 0.0238, 0.0238]",lah pembeda kali,1
10,Mengenang pidato kekalahan #ahy,pidato,Anies-Sandi,0.5103,mengenang,3.0,"[0.9677, 0.0161, 0.0161]",mengenang pidato kekalahan,1
12,Batal nyoblos baru tau ternyata ga ada no.1 di kertas suara. #AHY #kangen #mosing,no.1,Ahok-Djarot,0.3868,ada,4.0,"[0.9756, 0.0122, 0.0122]",ada no.1 di,1
12,Batal nyoblos baru tau ternyata ga ada no.1 di kertas suara. #AHY #kangen #mosing,kertas,Ahok-Djarot,0.322,ada,4.0,"[0.9756, 0.0122, 0.0122]",di kertas suara,1
14,aku juga kemarin #AHY 19april2017 suaraku utk paslon 3 #DKI,paslon,Ahok-Djarot,0.4641,aku,2.0,"[0.9524, 0.0238, 0.0238]",utk paslon 3,1
16,"om AA kemana ? lepas #AHY kalah kok dia tutup mulut tidak koar"" mau bongkar SBY",mulut,Agus-Sylvi,0.5274,tutup,2.0,"[0.9524, 0.0238, 0.0238]",tutup mulut tidak,1
16,"om AA kemana ? lepas #AHY kalah kok dia tutup mulut tidak koar"" mau bongkar SBY",om,Agus-Sylvi,0.0686,lepas,-2.0,"[0.0238, 0.0238, 0.9524]",om aa,1
17,kalau pencatutan nama #ahy dan mpo #silvi melanggar hukum ga ya.. wkwkwkwkkwkk,hukum,Agus-Sylvi,0.1969,melanggar,-5.0,"[0.0098, 0.0098, 0.9804]",melanggar hukum ga,1
17,kalau pencatutan nama #ahy dan mpo #silvi melanggar hukum ga ya.. wkwkwkwkkwkk,ga,Agus-Sylvi,0.0969,hukum,3.0,"[0.9677, 0.0161, 0.0161]",hukum ga ya,1
17,kalau pencatutan nama #ahy dan mpo #silvi melanggar hukum ga ya.. wkwkwkwkkwkk,pencatutan,Anies-Sandi,0.6496,melanggar,-5.0,"[0.0098, 0.0098, 0.9804]",kalau pencatutan nama,1
18,ya pastilah #FPI kan ga suka ama Ahok jd pas #AHY udah kalah otomatis dukungannya lari ke mas #Anisa AniesSandi,dukungan,Agus-Sylvi,0.6025,kalah,-4.0,"[0.0122, 0.0122, 0.9756]",otomatis dukungan nya,1
18,ya pastilah #FPI kan ga suka ama Ahok jd pas #AHY udah kalah otomatis dukungannya lari ke mas #Anisa AniesSandi,mas,Ahok-Djarot,0.0691,lari,-2.0,"[0.0238, 0.0238, 0.9524]",ke mas #,1
19,dia lah Banteng.. dia lah Garuda!! ksatria seperti bpk @prabowo gentle spt #AHY @AgusYudhoyono ..jadi cinta sama #HajiDjarot,ksatria,Ahok-Djarot,0.102,dia,-3.0,"[0.0161, 0.0161, 0.9677]",! ksatria seperti,1
20,Gara2 e-KTP dikorupsi fotoku yg semula mirip #AHY pelan tapi pasti skrang malah mirip - Stickmoticons”,semula,Agus-Sylvi,0.292,mirip,1.0,"[0.7692, 0.1923, 0.0385]",yg semula mirip,1
