id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
52,banyak akun kloning seolah2 pendukung mulai menyerang paslon dengan opini dan argumen pmbenaranjangan terkecoh,pmbenaranjangan,Politik Uang,0.4848,argumen,-4.0,"[0.0122, 0.0122, 0.9756]",argumen pmbenaranjangan terkecoh,1
52,banyak akun kloning seolah2 pendukung mulai menyerang paslon dengan opini dan argumen pmbenaranjangan terkecoh,akun,Kampanye,0.5832,mulai,1.0,"[0.7692, 0.1923, 0.0385]",banyak akun kloning,1
52,banyak akun kloning seolah2 pendukung mulai menyerang paslon dengan opini dan argumen pmbenaranjangan terkecoh,paslon,Pendukung/Pemilih,0.6972,menyerang,-3.0,"[0.0161, 0.0161, 0.9677]",menyerang paslon dengan,1
52,banyak akun kloning seolah2 pendukung mulai menyerang paslon dengan opini dan argumen pmbenaranjangan terkecoh,opini,Kampanye,0.7751,menyerang,-3.0,"[0.0161, 0.0161, 0.9677]",dengan opini dan,1
127,kasian oh kasian dengan peluru 1milyar untuk tiap rw tidak mempan menangin pilkada,rw,Tokoh dan Partai,0.338,peluru,3.0,"[0.9677, 0.0161, 0.0161]",tiap rw tidak,1
127,kasian oh kasian dengan peluru 1milyar untuk tiap rw tidak mempan menangin pilkada,peluru,Pendukung/Pemilih,0.544,kasian,-3.0,"[0.0161, 0.0161, 0.9677]",dengan peluru 1milyar,1
127,kasian oh kasian dengan peluru 1milyar untuk tiap rw tidak mempan menangin pilkada,1milyar,Kampanye,0.6043,peluru,3.0,"[0.9677, 0.0161, 0.0161]",peluru 1milyar untuk,1
127,kasian oh kasian dengan peluru 1milyar untuk tiap rw tidak mempan menangin pilkada,oh,Tokoh dan Partai,0.2723,kasian,-3.0,"[0.0161, 0.0161, 0.9677]",kasian oh kasian,1
149,awas ye kalo minta dukungan suara pendukung,suara,Pendukung/Pemilih,0.7175,dukungan,4.0,"[0.9756, 0.0122, 0.0122]",dukungan suara pendukung,1
149,awas ye kalo minta dukungan suara pendukung,dukungan,Pendukung/Pemilih,0.6342,minta,2.0,"[0.9524, 0.0238, 0.0238]",minta dukungan suara,1
149,awas ye kalo minta dukungan suara pendukung,pendukung,Pendukung/Pemilih,0.6727,suara,2.0,"[0.9524, 0.0238, 0.0238]",suara pendukung,1
135,kepada allah swt kami ucapkan rasa syukur dan kepada pak kami sampaikan terimakasih makna 17 suara anda,suara,Tokoh dan Partai,0.291,makna,5.0,"[0.9804, 0.0098, 0.0098]",17 suara anda,1
135,kepada allah swt kami ucapkan rasa syukur dan kepada pak kami sampaikan terimakasih makna 17 suara anda,makna,Tokoh dan Partai,0.2042,terimakasih,5.0,"[0.9804, 0.0098, 0.0098]",terimakasih makna 17,1
135,kepada allah swt kami ucapkan rasa syukur dan kepada pak kami sampaikan terimakasih makna 17 suara anda,syukur,Kampanye,0.6457,rasa,-2.0,"[0.0238, 0.0238, 0.9524]",rasa syukur dan,1
238,terima kasih teruntuk pendukung kalianlah pembeda kali ini,pembeda,Kampanye,0.6504,terima,2.0,"[0.9524, 0.0238, 0.0238]",lah pembeda kali,1
238,terima kasih teruntuk pendukung kalianlah pembeda kali ini,kasih,Kampanye,0.4697,terima,2.0,"[0.9524, 0.0238, 0.0238]",terima kasih teruntuk,1
250,trima kasih atas keistiqomahan relawan lah yg tlh mengantarkan dg cukup signifikan,kasih,Kampanye,0.4491,trima,1.0,"[0.7692, 0.1923, 0.0385]",trima kasih atas,1
250,trima kasih atas keistiqomahan relawan lah yg tlh mengantarkan dg cukup signifikan,keistiqomahan,Pendukung/Pemilih,0.6406,trima,1.0,"[0.7692, 0.1923, 0.0385]",atas keistiqomahan relawan,1
233,sudah boleh ngakak survey mu jauh panggang dari api,survey,Tokoh dan Partai,0.2758,ngakak,-2.0,"[0.0238, 0.0238, 0.9524]",ngakak survey mu,1
32,aku juga kemarin 19april2017 suaraku utk paslon 3,suara,Tokoh dan Partai,0.2725,aku,2.0,"[0.9524, 0.0238, 0.0238]",19april2017 suara ku,1
32,aku juga kemarin 19april2017 suaraku utk paslon 3,paslon,Tokoh dan Partai,0.4017,suara,2.0,"[0.9524, 0.0238, 0.0238]",utk paslon 3,1
172,om aa kemana lepas kalah kok dia tutup mulut tidak koar mau bongkar sby,mulut,Kampanye,0.5783,tutup,2.0,"[0.9524, 0.0238, 0.0238]",tutup mulut tidak,1
172,om aa kemana lepas kalah kok dia tutup mulut tidak koar mau bongkar sby,bongkar,Tokoh dan Partai,0.6556,mau,-5.0,"[0.0098, 0.0098, 0.9804]",mau bongkar sby,1
172,om aa kemana lepas kalah kok dia tutup mulut tidak koar mau bongkar sby,sby,Tokoh dan Partai,0.6328,bongkar,3.0,"[0.9677, 0.0161, 0.0161]",bongkar sby,1
122,kalau pencatutan nama dan mpo melanggar hukum ga ya wkwkwkwkkwkk,wkwkwkwkkwkk,Tokoh dan Partai,0.1714,ya,4.0,"[0.9756, 0.0122, 0.0122]",ya wkwkwkwkkwkk,1
122,kalau pencatutan nama dan mpo melanggar hukum ga ya wkwkwkwkkwkk,hukum,Tokoh dan Partai,0.3195,melanggar,-5.0,"[0.0098, 0.0098, 0.9804]",melanggar hukum ga,1
122,kalau pencatutan nama dan mpo melanggar hukum ga ya wkwkwkwkkwkk,ga,Tokoh dan Partai,0.2597,hukum,3.0,"[0.9677, 0.0161, 0.0161]",hukum ga ya,1
122,kalau pencatutan nama dan mpo melanggar hukum ga ya wkwkwkwkkwkk,pencatutan,Tokoh dan Partai,0.6873,melanggar,-5.0,"[0.0098, 0.0098, 0.9804]",kalau pencatutan nama,1
260,ya pastilah kan ga suka ama ahok jd pas udah kalah otomatis dukungannya lari ke mas aniessandi,dukungan,Kampanye,0.6424,lari,-2.0,"[0.0238, 0.0238, 0.9524]",otomatis dukungan nya,1
260,ya pastilah kan ga suka ama ahok jd pas udah kalah otomatis dukungannya lari ke mas aniessandi,mas,Tokoh dan Partai,0.2525,lari,-2.0,"[0.0238, 0.0238, 0.9524]",ke mas aniessandi,1
80,banteng garuda ksatria gentle cinta,ksatria,Tokoh dan Partai,0.4079,banteng,-3.0,"[0.0161, 0.0161, 0.9677]",garuda ksatria gentle,1
86,gara2 ektp dikorupsi fotoku yg semula mirip pelan tapi pasti skrang malah mirip stickmoticons,semula,Tokoh dan Partai,0.3901,mirip,1.0,"[0.7692, 0.1923, 0.0385]",yg semula mirip,1
86,gara2 ektp dikorupsi fotoku yg semula mirip pelan tapi pasti skrang malah mirip stickmoticons,skrang,Kampanye,0.6128,mirip,1.0,"[0.7692, 0.1923, 0.0385]",pasti skrang malah,1
86,gara2 ektp dikorupsi fotoku yg semula mirip pelan tapi pasti skrang malah mirip stickmoticons,stickmoticons,Kampanye,0.4893,mirip,1.0,"[0.7692, 0.1923, 0.0385]",mirip stickmoticons,1
104,ingat tidak bisa modal omongan saja tapi kerja nyata,kerja,Kampanye,0.711,modal,-2.0,"[0.0238, 0.0238, 0.9524]",tapi kerja nyata,1
104,ingat tidak bisa modal omongan saja tapi kerja nyata,modal,Kampanye,0.6715,ingat,-2.0,"[0.0238, 0.0238, 0.9524]",bisa modal omongan,1
104,ingat tidak bisa modal omongan saja tapi kerja nyata,omongan,Politik Uang,0.6191,modal,-2.0,"[0.0238, 0.0238, 0.9524]",modal omongan saja,1
177,paslon salah langkah seperti dilakukan sandi ini bukan tidak mungkin jadi bumerang gagal dapat suara,suara,Kampanye,0.6912,gagal,4.0,"[0.9756, 0.0122, 0.0122]",dapat suara,1
177,paslon salah langkah seperti dilakukan sandi ini bukan tidak mungkin jadi bumerang gagal dapat suara,paslon,Pendukung/Pemilih,0.6155,jadi,-1.0,"[0.0385, 0.1923, 0.7692]",paslon salah,1
177,paslon salah langkah seperti dilakukan sandi ini bukan tidak mungkin jadi bumerang gagal dapat suara,bumerang,Kampanye,0.6169,jadi,-1.0,"[0.0385, 0.1923, 0.7692]",jadi bumerang gagal,1
78,di manakah sang ksatria samurai prajurit pembangun semangat harapan pahlawan yg dinantinantikan rakyat itu,harapan,Kampanye,0.5439,semangat,4.0,"[0.9756, 0.0122, 0.0122]",semangat harapan pahlawan,1
139,kini ketika berada di luar arena tabir kegelapan tiada harapan kembali menyergap rakyat kemana lagi rakyat mencari ketulusan,arena,Kampanye,0.5459,berada,4.0,"[0.9756, 0.0122, 0.0122]",luar arena tabir,1
139,kini ketika berada di luar arena tabir kegelapan tiada harapan kembali menyergap rakyat kemana lagi rakyat mencari ketulusan,harapan,Kampanye,0.5893,tiada,1.0,"[0.7692, 0.1923, 0.0385]",tiada harapan kembali,1
139,kini ketika berada di luar arena tabir kegelapan tiada harapan kembali menyergap rakyat kemana lagi rakyat mencari ketulusan,ketulusan,Kampanye,0.5595,mencari,-3.0,"[0.0161, 0.0161, 0.9677]",mencari ketulusan,1
139,kini ketika berada di luar arena tabir kegelapan tiada harapan kembali menyergap rakyat kemana lagi rakyat mencari ketulusan,rakyat,Politik Uang,0.5439,mencari,-3.0,"[0.0161, 0.0161, 0.9677]",menyergap rakyat kemana,1
54,baru tau bu carik tidak coblos kemarin piss,bu,Tokoh dan Partai,0.3587,tau,4.0,"[0.9756, 0.0122, 0.0122]",tau bu carik,1
47,awas ye kalo minta dukungan suara pendukung,suara,Pendukung/Pemilih,0.7175,dukungan,4.0,"[0.9756, 0.0122, 0.0122]",dukungan suara pendukung,1
47,awas ye kalo minta dukungan suara pendukung,dukungan,Pendukung/Pemilih,0.6342,minta,2.0,"[0.9524, 0.0238, 0.0238]",minta dukungan suara,1
47,awas ye kalo minta dukungan suara pendukung,pendukung,Pendukung/Pemilih,0.6727,suara,2.0,"[0.9524, 0.0238, 0.0238]",suara pendukung,1
105,ini dia pelaku pengirim sms gelap antasari azhar,sms,Kampanye,0.4389,pengirim,1.0,"[0.7692, 0.1923, 0.0385]",pengirim sms gelap,1
251,tuduhan terhadap yg kerap dilontarkan anak ingusan dan cuma mayor sekarang tak terdengar lagi dudah berubah menjadi sanjungan,ingusan,Kampanye,0.6571,anak,-3.0,"[0.0161, 0.0161, 0.9677]",anak ingusan dan,1
