id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
52,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,pmbenaran,Tokoh dan Partai,0.0547,argumen,-4.0,"[0.0122, 0.0122, 0.9756]",argumen pmbenaran .,1
52,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,opini,Kampanye,0.7751,menyerang,-3.0,"[0.0161, 0.0161, 0.9677]",dengan opini dan,1
52,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,akun,Kampanye,0.5832,mulai,1.0,"[0.7692, 0.1923, 0.0385]",banyak akun kloning,1
52,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,paslon,Tokoh dan Partai,0.1869,menyerang,-3.0,"[0.0161, 0.0161, 0.9677]",menyerang paslon #,1
127,Kasian oh kasian dengan peluru 1milyar untuk tiap RW #agussilvy tidak mempan menangin pilkada #QuickCount #PilkadaSerentak2017,1milyar,Kampanye,0.6043,peluru,-3.0,"[0.0161, 0.0161, 0.9677]",peluru 1milyar untuk,1
127,Kasian oh kasian dengan peluru 1milyar untuk tiap RW #agussilvy tidak mempan menangin pilkada #QuickCount #PilkadaSerentak2017,peluru,Pendukung/Pemilih,0.544,kasian,-3.0,"[0.0161, 0.0161, 0.9677]",dengan peluru 1milyar,1
127,Kasian oh kasian dengan peluru 1milyar untuk tiap RW #agussilvy tidak mempan menangin pilkada #QuickCount #PilkadaSerentak2017,kasian,Tokoh dan Partai,0.2267,kasian,-3.0,"[0.0161, 0.0161, 0.9677]",kasian oh,1
149,Awas ye kalo minta dukungan suara pendukung #AHY,suara,Pendukung/Pemilih,0.7175,dukungan,4.0,"[0.9756, 0.0122, 0.0122]",dukungan suara pendukung,1
149,Awas ye kalo minta dukungan suara pendukung #AHY,pendukung,Tokoh dan Partai,0.17,dukungan,4.0,"[0.9756, 0.0122, 0.0122]",suara pendukung #,1
149,Awas ye kalo minta dukungan suara pendukung #AHY,dukungan,Pendukung/Pemilih,0.6342,minta,2.0,"[0.9524, 0.0238, 0.0238]",minta dukungan suara,1
