id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
1421115366063759361,Dengan rencana dan stok yang sudah diamankan Indonesia bisa memastikan pelaksanaan vaksinasi di Agustus aman dan bisa ditingkatkan untuk memenuhi target. #StokVaksinAman,vaksinasi,Produk Vaksin,0.1517,pelaksanaan,-4.0,"[0.0122, 0.0122, 0.9756]",pelaksanaan vaksinasi di,1
1421115366063759361,Dengan rencana dan stok yang sudah diamankan Indonesia bisa memastikan pelaksanaan vaksinasi di Agustus aman dan bisa ditingkatkan untuk memenuhi target. #StokVaksinAman,stok,Layanan,0.1512,rencana,2.0,"[0.9524, 0.0238, 0.0238]",dan stok yang,1
1421108348846440449,Kalo kena covid biaya sakit ditanggung negara sampe sembuh. Tapi kalo mati karena program vaksinasi covid negara malah lepas tangan ga mau tanggung jawab. Bagus lah suara arus bawah yg banyak pada ga mau divaksin. Emang suka kebangetan pemerintahannya @jokowi tu.,program,Implementasi,0.1167,lepas,-2.0,"[0.0238, 0.0238, 0.9524]",karena program vaksinasi,1
1421112031877337089,Persyaratan ikut vaksin itu tubuh dalam kondisi sehat untuk itu siapkan diri dengan baik dan tetap bahagia. Jangan lupa bawa KTP/Fotocopy KTP Nanti saat pendaftaran menuliskan nomor HP yang valid di lembaran KTP Nah kalau di tempat kalian prosesnya gimana? #StokVaksinAman,vaksin,Produk Vaksin,0.1459,ikut,-3.0,"[0.0161, 0.0161, 0.9677]",ikut vaksin itu,1
1431475123706490882,Selesai vaksin c0vid dosis 2 hari ini saya langsung dapat SMS pemberitahuan mendapat sertifikat vaksin yang bisa diunduh langsung dari link yang diSMS kan/ unduh lewat aplikasi pedulilindungi #sudahvaksintetap3M,vaksin,Produk Vaksin,0.1284,mendapat,3.0,"[0.9677, 0.0161, 0.0161]",selesai vaksin c0vid,1
1431474189756555265,Vaksin perlu bgt krn bs mengurangi risiko sakit parah saat terpapar Covid. Aplg biaya ke RS dan obat2an jg ga murah. Butuh byk biaya. Jd yuk kita vaksin. #sudahvaksintetap3M,biaya,Biaya,0.146,butuh,-5.0,"[0.0098, 0.0098, 0.9804]",aplg biaya ke,1
1432038325540425728,@jokowi Alhamdulillah saya sudah vaksin pak tinggal nyari kerjaan buat biaya kehidupan sehari hari,biaya,Biaya,0.163,kerjaan,2.0,"[0.9524, 0.0238, 0.0238]",buat biaya kehidupan,1
1431822775107289089,@jokowi Asalamalaikum..selamat siang pak presiden.kami sebagai masyarakat kecildi mohon kepada bapak agar kebijakan penerbangan di ringankan kami sudah vaksin ke duadan sekarang mau terbang ke jakarta dari labuan bajo harus pcrsementara biaya pcr sangat mahal situasi begini,bapak,Biaya,0.1365,mohon,2.0,"[0.9524, 0.0238, 0.0238]",kepada bapak agar,1
1432261141602856963,@RiskaNgilan Aplikasi ini bagus banget ya buat memantu proses vaksinasi di lapangan,vaksinasi,Implementasi,0.17,proses,1.0,"[0.7692, 0.1923, 0.0385]",proses vaksinasi di,1
1432196762937167874,Nah karena saat ini pemberian vaksin bangun antibodi gratis jadi kalau ada yang minta biaya vaksin sebagai masyarakat kita bisa bantu laporkan lho #VaksinKokPilahPilih,vaksin,Biaya,0.1036,pemberian,2.0,"[0.9524, 0.0238, 0.0238]",pemberian vaksin bangun,1
1432197564456062977,Oya untuk pengaduan dari masyarakat jika ada oknum yang minta biaya vaksin untuk bangun antibodi bisa dilaporkan ke email : pengaduan.itjen@kemkes.go.id atau ke nomer 1500567 #VaksinKokPilahPilih,biaya,Biaya,0.1036,minta,2.0,"[0.9524, 0.0238, 0.0238]",minta biaya vaksin,1
1432209923023130626,@nengtanti13 Yes kak bisa kita laporkan ya oknum yang minta biaya vaksin #VaksinKokPilahPilih,biaya,Biaya,0.1036,minta,2.0,"[0.9524, 0.0238, 0.0238]",minta biaya vaksin,1
1432195601416933382,Kalau kalian lihat ada pelanggaran terkait pemungutan biaya saat vaksin Covid-19 untuk bangun antibodi kalian bisa melaporkannya melalui telpon : 1500567 atau via email : pengaduan.itjen@kemenkes.go.id #VaksinKokPilahPilih,pelanggaran,Layanan,0.1069,ada,4.0,"[0.9756, 0.0122, 0.0122]",ada pelanggaran terkait,1
1432237902445137921,Masyarakat dan Pemerintah saling bekerjasama demi memutus mata rantai penularan Covid-19. Masy patuh prokes diam di rumah aja batasi aktivitas pemerintah mempercepat pelaksanaan vaksinasi #SemangatSalingBantu #PesanBaikUntukSemua @SATU_indonesia @Kompascom,penularan,Layanan,0.0789,rantai,-3.0,"[0.0161, 0.0161, 0.9677]",rantai penularan covid-19,1
1432202931017637891,Untuk pelaporan untuk pemungutan biaya vaksin ini bisa lewat 1500567 ya atau lewat email pengaduan.itjen@kemenkes.go.id. yuk sama-sama bantu pemerintah untuk menangani ini #VaksinKokPilahPilih,pemerintah,Biaya,0.1114,bantu,3.0,"[0.9677, 0.0161, 0.0161]",bantu pemerintah untuk,1
1432207567292301315,Yuk check langsung aplikasi pedulilindungi check sosmed pendaftaran vaksin. Supaya kita bisa segera mendapatkan vaksin #VaksinKokPilahPilih,vaksin,Produk Vaksin,0.2098,pendaftaran,3.0,"[0.9677, 0.0161, 0.0161]",pendaftaran vaksin .,1
