id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
1421115366063759361,rencana dan stok sudah diamankan indonesia bisa pelaksanaan vaksinasi agustus aman dan bisa ditingkatkan memenuhi target,stok,Layanan,0.1447,rencana,2.0,"[0.9524, 0.0238, 0.0238]",dan stok sudah,1
1421115366063759361,rencana dan stok sudah diamankan indonesia bisa pelaksanaan vaksinasi agustus aman dan bisa ditingkatkan memenuhi target,vaksinasi,Produk Vaksin,0.1353,pelaksanaan,-4.0,"[0.0122, 0.0122, 0.9756]",pelaksanaan vaksinasi agustus,1
1421108348846440449,kalo kena covid biaya sakit ditanggung negara sembuh tapi kalo mati program vaksinasi covid negara lepas tangan tidak tanggung jawab bagus suara arus tidak divaksin memang suka kebangetan pemerintahannya,tangan,Umum,0.1628,lepas,2.0,"[0.9524, 0.0238, 0.0238]",lepas tangan tidak,1
1421112031877337089,persyaratan vaksin tubuh dalam sehat siapkan baik dan bahagia jangan lupa bawa ktpfotocopy ktp pendaftaran menuliskan nomor hp valid lembaran ktp prosesnya,ktpfotocopy,Implementasi,0.0582,bawa,-1.0,"[0.0385, 0.1923, 0.7692]",bawa ktpfotocopy ktp,1
1431475123706490882,selesai vaksin c0vid dosis 2 dapat sms pemberitahuan mendapat sertifikat vaksin bisa diunduh link disms kan unduh aplikasi pedulilindungi,vaksin,Produk Vaksin,0.1284,selesai,2.0,"[0.9524, 0.0238, 0.0238]",selesai vaksin c0vid,1
1431474189756555265,vaksin banget bisa mengurangi risiko sakit parah terpapar covid aplg biaya rs dan obat2an tidak murah butuh biaya yuk vaksin,vaksin,Produk Vaksin,0.1282,yuk,-4.0,"[0.0122, 0.0122, 0.9756]",vaksin banget,1
1432038325540425728,alhamdulillah sudah vaksin pekerjaan biaya sehari,vaksin,Layanan,0.1599,alhamdulil,1.7999999999999998,"[0.9474, 0.0263, 0.0263]",sudah vaksin pekerjaan,0
1431822775107289089,asalamalaikumselamat siang presidenkami masyarakat kecildi mohon kebijakan penerbangan ringankan sudah vaksin duadan terbang jakarta labuan bajo harus pcrsementara biaya pcr sangat mahal situasi,kebijakan,Layanan,0.07,mohon,2.0,"[0.9524, 0.0238, 0.0238]",mohon kebijakan penerbangan,1
1432261141602856963,aplikasi bagus banget memantu proses vaksinasi lapangan,vaksinasi,Implementasi,0.2096,proses,1.0,"[0.7692, 0.1923, 0.0385]",proses vaksinasi lapangan,1
1432196762937167874,pemberian vaksin bangun antibodi gratis biaya vaksin masyarakat bisa bantu laporkan lho,vaksin,Biaya,0.1036,pemberian,2.0,"[0.9524, 0.0238, 0.0238]",pemberian vaksin bangun,1
1432209923023130626,yes kak bisa laporkan oknum biaya vaksin,oknum,Layanan,0.1391,laporkan,2.0,"[0.9524, 0.0238, 0.0238]",laporkan oknum biaya,1
1432195601416933382,lihat pelanggaran terkait pemungutan biaya vaksin covid19 bangun antibodi bisa melaporkannya telpon 1500567 atau via email pengaduanitjengoid,pelanggaran,Layanan,0.0884,lihat,3.0,"[0.9677, 0.0161, 0.0161]",lihat pelanggaran terkait,1
