id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
120,@mfs_ub kalo udah kuliah mah kampus merdeka kali ya. kalo kata adekku mah b aja haha,kali,Program,0.3233,merdeka,1.5,"[0.8955, 0.0746, 0.0299]",merdeka kali ya,0
286,@freaktey Wkwk PTK naro logo Kampus Merdeka di IG-nya tapi mahasiswanya ga merdeka,mahasiswa,Program,0.0745,merdeka,0.0,"[0.0, 1.0, 0.0]",tapi mahasiswa nya,0
176,@hrdbacot Kayanya dlu tiada hari tanpa bentakan dan blaming dr karyawan lama entah ke gw atau temen gw. I assume they just dont know what they did is wrong cos maybe the have normalized it. Kenapa gw bertahan?? Ya iyee karena dlu magangnya magang kampus merdeka ️,gw,Anggaran,0.2093,entah,-3.0,"[0.0161, 0.0161, 0.9677]",ke gw atau,1
176,@hrdbacot Kayanya dlu tiada hari tanpa bentakan dan blaming dr karyawan lama entah ke gw atau temen gw. I assume they just dont know what they did is wrong cos maybe the have normalized it. Kenapa gw bertahan?? Ya iyee karena dlu magangnya magang kampus merdeka ️,blaming,Anggaran,0.0773,bentakan,-5.0,"[0.0098, 0.0098, 0.9804]",dan blaming dr,1
34,@unsentdrcft @SoundOfYogi Bener bangettt malahan aku yang kuliah tuh takut ilang program kampus merdeka yg menguntungkan mahasiswa tapi sayang sekalai untuk sekolah SD-SMA itu kurang,program,Program,0.483,ilang,-5.0,"[0.0098, 0.0098, 0.9804]",ilang program kampus,1
110,kadang jadi mikir kalo skrg di kuliah banyak organisasi yg ga seaktif dulu itu ga cuma ulah nadiem doang karena adanya kampus merdeka tapi emg dipengaruhi sm kebutuhan tenaga kerja juga yg pandangannya daripada organisasi mending magang,magang,Magang,0.1921,mending,2.0,"[0.9524, 0.0238, 0.0238]",mending magang,1
270,@uhuynihh @iam_jellal @b3b3t_ @SoundOfYogi Tapi sejujurnya menurutku bagus kok kurikulumnya. Kalo di perkuliahan bagusnya di merdeka kampus belajar,kampus,Program,0.3889,merdeka,2.1,"[0.9545, 0.0227, 0.0227]",merdeka kampus belajar,0
21,@nzlannarea @SoundOfYogi apaan bagus buat perguruan negri... gr2 kebijakan baru bbrp kampus ngebebanin mhs S2 ke atas hrs ikut2an bikin bnyk jurnal publikasi buat menuhin quota kampus terus ada aja mhs yang manfaatin kurikulum merdeka buat ngeclaim SKS yang padahal mereka gk ngerti apa2 pas di tes..,perguruan,Magang,0.032,bagus,2.0,"[0.9524, 0.0238, 0.0238]",buat perguruan negri,1
239,Sebenarnya program dia ada yang baik kok contohnya: kampus merdeka kayak MSIB IISMA PMM dll. Soalnya program ini memberikan banyak keuntungan dan pengalaman bermanfaat buat mahasiswa,program,Program,0.3197,ada,4.0,"[0.9756, 0.0122, 0.0122]",sebenarnya program dia,1
14,Ak suka pas ada kampus merdeka itu cuma ya sistemnya agak ancur yh melihat kemarin msib dll ada pengunduran schedule terus ada beberapa Miss juga,kampus,Program,0.3845,ada,4.0,"[0.9756, 0.0122, 0.0122]",ada kampus merdeka,1
212,@SoundOfYogi Namanya juga proses njirr lagian proramnya beberapa bagus juga kaya kampus merdeka DSB,kampus,Program,0.3035,proses,1.0,"[0.7692, 0.1923, 0.0385]",kaya kampus merdeka,1
