id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
120,kalo sudah kuliah mah program kalo adekku mah b haha,mah,Program,0.4152,kuliah,1.0,"[0.7692, 0.1923, 0.0385]",kuliah mah program,1
181,kerja mendukung program program program mbkm membuka peluang inovasi pendidikan cerah,pendidikan,Anggaran,0.0,inovasi,4.0,"[0.9756, 0.0122, 0.0122]",inovasi pendidikan cerah,1
286,(tertawa) ptk naro logo program ignya tapi mahasiswanya tidak merdeka,mahasiswa,Program,0.0745,merdeka,0.0,"[0.0, 1.0, 0.0]",tapi mahasiswa nya,0
176,kayanya tiada bentakan dan blaming karyawan gue atau teman gue i assume they just dont know what they did is wrong cos maybe have normalized gue bertahan iyee magangnya magang program,blaming,Anggaran,0.201,tiada,1.0,"[0.7692, 0.1923, 0.0385]",dan blaming karyawan,1
176,kayanya tiada bentakan dan blaming karyawan gue atau teman gue i assume they just dont know what they did is wrong cos maybe have normalized gue bertahan iyee magangnya magang program,teman,Anggaran,0.1089,tiada,1.0,"[0.7692, 0.1923, 0.0385]",atau teman gue,1
176,kayanya tiada bentakan dan blaming karyawan gue atau teman gue i assume they just dont know what they did is wrong cos maybe have normalized gue bertahan iyee magangnya magang program,gue,Anggaran,0.2628,karyawan,3.0,"[0.9677, 0.0161, 0.0161]",karyawan gue atau,1
34,benar banget malahan kuliah tuh takut hilang program program menguntungkan mahasiswa tapi sayang sekalai sekolah sdsma,program,Program,0.4044,hilang,3.0,"[0.9677, 0.0161, 0.0161]",hilang program program,1
110,kadang mikir kalo kuliah organisasi tidak seaktif tidak ulah nadiem doang program tapi memang dipengaruhi kebutuhan tenaga kerja pandangannya organisasi mending magang,magang,Magang,0.1921,mending,2.0,"[0.9524, 0.0238, 0.0238]",mending magang,1
270,tapi sejujurnya menurutku bagus kurikulumnya kalo perkuliahan bagusnya merdeka kampus belajar,kampus,Program,0.3889,merdeka,2.1,"[0.9545, 0.0227, 0.0227]",merdeka kampus belajar,0
21,apaan bagus perguruan negeri gr kebijakan kampus ngebebanin mhs si harus ikutan bikin jurnal publikasi menuhin quota kampus mhs manfaatin program ngeclaim sks padahal tidak mengerti pas tes,kampus,Program,0.1641,kebijakan,3.0,"[0.9677, 0.0161, 0.0161]",kebijakan kampus ngebebanin,1
239,program baik program kayak msib iisma pmm program keuntungan dan pengalaman bermanfaat mahasiswa,pengalaman,Anggaran,0.1214,keuntungan,4.0,"[0.9756, 0.0122, 0.0122]",dan pengalaman bermanfaat,1
239,program baik program kayak msib iisma pmm program keuntungan dan pengalaman bermanfaat mahasiswa,mahasiswa,Program,0.1157,bermanfaat,5.0,"[0.9804, 0.0098, 0.0098]",bermanfaat mahasiswa,1
14,suka pas program sistemnya agak hancur melihat msib pengunduran schedule miss,program,Program,0.2806,pas,3.0,"[0.9677, 0.0161, 0.0161]",pas program sistem,1
292,bagusnya program mahasiswa,program,Program,0.4021,bagus,2.0,"[0.9524, 0.0238, 0.0238]",nya program mahasiswa,1
212,namanya proses anjir lagian proramnya bagus kayak program,program,Program,0.2515,bagus,2.0,"[0.9524, 0.0238, 0.0238]",kayak program,1
264,tapi pendidikan program bagus banget apalagi programprogramnya kesempatan berkembang diluar kampus,pendidikan,Program,0.3575,banget,1.0,"[0.7692, 0.1923, 0.0385]",tapi pendidikan program,1
177,kayanya kebijakan bagusnya kuliah deh kayak program susah banget cari magang memasukkan proposal tapi sudah terintegrasi sistem kuliah,program,Program,0.2409,kuliah,1.0,"[0.7692, 0.1923, 0.0385]",kayak program susah,1
174,sih bagian program termasuk oke belum merasai covid dan sudah dalam perjalanan sidang (tertawa),program,Program,0.3708,bagian,4.0,"[0.9756, 0.0122, 0.0122]",bagian program termasuk,1
223,penasaran sudah bukan mahasiswa tidak kebagian icip si program,mahasiswa,Program,0.0516,penasaran,3.0,"[0.9677, 0.0161, 0.0161]",bukan mahasiswa tidak,1
218,one of gue gasuka program program program program kayak,program,Program,0.3491,gasuka,-4.0,"[0.0122, 0.0122, 0.9756]",gasuka program program,1
162,program untung untung mahasiswanya oke dan senang pandemi muncul tuh program mayanlah kedapetan enak,program,Program,0.3568,muncul,1.0,"[0.7692, 0.1923, 0.0385]",program untung,1
41,mahasiswa bela nadiem program program bagus termasuk teman gue kayak asu makan anjinggg lihat kacaunya bangsatttt bangsat,mahasiswa,Magang,0.0927,termasuk,-3.0,"[0.0161, 0.0161, 0.9677]",mahasiswa bela,1
216,mah program gue sih stop gap solution akar masalahnya memang pendidikan diploma dan sarjana indonesia tidak cocok kebutuhan industrinya dan tidak diurus,pendidikan,Nadiem,0.2909,akar,2.0,"[0.9524, 0.0238, 0.0238]",memang pendidikan diploma,1
195,lumayan nyisir anggaran basically stafsusnya nadiem tim tech enabler oke bikin platform program tapi rombak struktur internal dan speechless output platform,speechless,Program,0.0252,struktur,3.0,"[0.9677, 0.0161, 0.0161]",dan speechless output,1
195,lumayan nyisir anggaran basically stafsusnya nadiem tim tech enabler oke bikin platform program tapi rombak struktur internal dan speechless output platform,struktur,Nadiem,0.0,rombak,-2.0,"[0.0238, 0.0238, 0.9524]",rombak struktur internal,1
86,ibu gua suka cerita program seringkali ajang pemutihan nilai mahasiswa,program,Program,0.3228,cerita,2.0,"[0.9524, 0.0238, 0.0238]",cerita program seringkali,1
294,dipertahankan program iisma tapi kuota ditekan sempurnakan progran iisma dalam negeri sangat bermanfaat kawan kawan kampus secondthird tierdaerah nun disana merasakan atmosfer kampus top indonesia dan msib,kawan,Anggaran,0.1174,bermanfaat,5.0,"[0.9804, 0.0098, 0.0098]",bermanfaat kawan kawan,1
107,jujur terobosannya program versi l kuliah tapi ajarnya kapitalis dan ketidakselarasan kementrian menyebabkan perusahaan bisa seenak udel pegawai upah murah beban kerja selangit alias anak magang,anak,Magang,0.1131,beban,-5.0,"[0.0098, 0.0098, 0.9804]",alias anak magang,1
107,jujur terobosannya program versi l kuliah tapi ajarnya kapitalis dan ketidakselarasan kementrian menyebabkan perusahaan bisa seenak udel pegawai upah murah beban kerja selangit alias anak magang,ketidakselarasan,Anggaran,0.1918,ajar,1.0,"[0.7692, 0.1923, 0.0385]",dan ketidakselarasan kementrian,1
107,jujur terobosannya program versi l kuliah tapi ajarnya kapitalis dan ketidakselarasan kementrian menyebabkan perusahaan bisa seenak udel pegawai upah murah beban kerja selangit alias anak magang,magang,Magang,0.1225,anak,-3.0,"[0.0161, 0.0161, 0.9677]",anak magang,1
8,program program bagus banget mahasiswa kampus ruko bisa pmm merasai kuliah kampus benaran program program ngasah skill tidak diajari dalem kelas,program,Program,0.3805,merasai,1.0,"[0.7692, 0.1923, 0.0385]",program program,1
220,nadiem tidak melihat udahudah pendidikan indonesia acak adul kuliah bagus memakai sistem merdeka nge bantu magang pertukaran mahasiswa dibantu kampus,mahasiswa,Anggaran,0.0858,pertukaran,1.0,"[0.7692, 0.1923, 0.0385]",pertukaran mahasiswa dibantu,1
131,program tidak adek diphp program magang tidak dan hampir tidak bisa ambil semester sok tidak banget kayanya,program,Program,0.3369,ambil,5.0,"[0.9804, 0.0098, 0.0098]",program tidak,1
31,program program memang bagus anak msib tapi sayangnya program membuat perusahaan tidak rekrut karyawan dan ngandelin anak magang magang,program,Program,0.3805,membuat,-1.0,"[0.0385, 0.1923, 0.7692]",program program,1
31,program program memang bagus anak msib tapi sayangnya program membuat perusahaan tidak rekrut karyawan dan ngandelin anak magang magang,ngandelin,Anggaran,0.1125,karyawan,-3.0,"[0.0161, 0.0161, 0.9677]",dan ngandelin anak,1
46,cerita dikit kampus tuh tidak bisa program naungan kemenperin tt dengar cerita teman magang disana dan mikir somehow internship pt is way better tahan those companies,mikir,Anggaran,0.0938,cerita,-2.0,"[0.0238, 0.0238, 0.9524]",dan mikir somehow,1
46,cerita dikit kampus tuh tidak bisa program naungan kemenperin tt dengar cerita teman magang disana dan mikir somehow internship pt is way better tahan those companies,kampus,Program,0.1735,dikit,4.0,"[0.9756, 0.0122, 0.0122]",dikit kampus tuh,1
215,not gonna lie ive been lucky enough tapi experience good things from program tapi benaran gemas perusahaan buka loker keterangannya urgently needed for internship membebankan pekerjaan anak magang jyakhh,magang,Magang,0.1007,anak,-3.0,"[0.0161, 0.0161, 0.9677]",anak magang jyakhh,1
229,pfftt bagus kalo pelaku dan lembaga pendidikan deh program bikin pusing tenaga pendidik bobot konversi tidak ada batasan mhsswa seenaknya ambil matkul tidak porsinya ngaruh standar kompetensi zonasi teknisnya jelek banget,program,Program,0.2893,lembaga,-3.0,"[0.0161, 0.0161, 0.9677]",deh program bikin,1
6,program program memang bagus banget,program,Program,0.3805,bagus,2.0,"[0.9524, 0.0238, 0.0238]",program program,1
