id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
52,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,paslon,Pendukung/Pemilih,0.0677,menyerang,-3.0,"[0.0161, 0.0161, 0.9677]",menyerang paslon #,1
127,Kasian oh kasian dengan peluru 1milyar untuk tiap RW #agussilvy tidak mempan menangin pilkada #QuickCount #PilkadaSerentak2017,kasian,Politik Uang,0.1012,kasian,-3.0,"[0.0161, 0.0161, 0.9677]",kasian oh,1
149,Awas ye kalo minta dukungan suara pendukung #AHY	,pendukung,Pendukung/Pemilih,0.0415,dukungan,4.0,"[0.9756, 0.0122, 0.0122]",suara pendukung #,1
37,"aneh deh lebay masa ini di sangkut pautkan sama kandidat Calgub, anda lebay seperti yg anda dukung #agussilvy",agussilvy,SARA,0.0725,dukung,4.0,"[0.9756, 0.0122, 0.0122]",# agussilvy,1
135,Kepada Allah SWT kami ucapkan rasa syukur dan kepada pak @SBYudhoyono @presidenSBY #AHY kami sampaikan terimakasih. Makna 17% suara anda.,syukur,SARA,0.2421,rasa,-2.0,"[0.0238, 0.0238, 0.9524]",rasa syukur dan,1
135,Kepada Allah SWT kami ucapkan rasa syukur dan kepada pak @SBYudhoyono @presidenSBY #AHY kami sampaikan terimakasih. Makna 17% suara anda.,suara,Tokoh dan Partai,0.018,makna,5.0,"[0.9804, 0.0098, 0.0098]",% suara anda,1
238,Terima Kasih teruntuk pendukung #AHY #SYLVI kalianlah pembeda kali ini,pembeda,SARA,0.0702,terima,2.0,"[0.9524, 0.0238, 0.0238]",lah pembeda kali,1
32,aku juga kemarin #AHY 19april2017 suaraku utk paslon 3 #DKI,paslon,Pendukung/Pemilih,0.0049,aku,2.0,"[0.9524, 0.0238, 0.0238]",utk paslon 3,1
172,"om AA kemana ? lepas #AHY kalah kok dia tutup mulut tidak koar"" mau bongkar SBY",mulut,Politik Uang,0.0036,tutup,2.0,"[0.9524, 0.0238, 0.0238]",tutup mulut tidak,1
122,kalau pencatutan nama #ahy dan mpo #silvi melanggar hukum ga ya.. wkwkwkwkkwkk,hukum,Politik Uang,0.0894,melanggar,-5.0,"[0.0098, 0.0098, 0.9804]",melanggar hukum ga,1
260,ya pastilah #FPI kan ga suka ama Ahok jd pas #AHY udah kalah otomatis dukungannya lari ke mas #Anisa AniesSandi,mas,SARA,0.0592,lari,-2.0,"[0.0238, 0.0238, 0.9524]",ke mas #,1
80,banteng garuda ksatria gentle cinta,ksatria,SARA,0.088,banteng,-3.0,"[0.0161, 0.0161, 0.9677]",garuda ksatria gentle,1
86,"Gara2 e-KTP dikorupsi, fotoku yg semula mirip #AHY, pelan tapi pasti skrang malah mirip - Stickmoticons”",semula,Politik Uang,0.0512,mirip,1.0,"[0.7692, 0.1923, 0.0385]",yg semula mirip,1
177,"Paslon salah langkah seperti dilakukan Sandi ini, bukan tidak mungkin jadi bumerang gagal dapat suara #AHY. @ZaraZettiraZZ @monethamrin",suara,SARA,0.034,dapat,-2.0,"[0.0238, 0.0238, 0.9524]",dapat suara #,1
78,"Di manakah #AHY... Sang Ksatria, Samurai, Prajurit, Pembangun semangat & harapan, Pahlawan yg dinanti-nantikan rakyat itu...",harapan,Politik Uang,0.1063,semangat,4.0,"[0.9756, 0.0122, 0.0122]","& harapan ,",1
139,"Kini, ketika #AHY berada di luar arena, tabir kegelapan & tiada harapan kembali menyergap rakyat. Kemana lagi rakyat mencari ketulusan?",rakyat,Politik Uang,0.1363,mencari,-3.0,"[0.0161, 0.0161, 0.9677]",menyergap rakyat .,1
107,"@AdjieRimbawan isu lama diangkat lagi, video lama dishare lagi, padahal video sudah disebar buzzer #AHY eh jelang #putaranke2 disebar lagi",putaranke2,Pendukung/Pemilih,0.0324,jelang,3.0,"[0.9677, 0.0161, 0.0161]",# putaranke2 disebar,1
47,Awas ye kalo minta dukungan suara pendukung #AHY	,pendukung,Pendukung/Pemilih,0.0415,dukungan,4.0,"[0.9756, 0.0122, 0.0122]",suara pendukung #,1
251,"Tuduhan terhadap #AHY yg kerap dilontarkan: anak ingusan dan cuma mayor, sekarang tak terdengar lagi. Dudah berubah menjadi sanjungan!?",mayor,Politik Uang,0.0608,anak,-3.0,"[0.0161, 0.0161, 0.9677]","cuma mayor ,",1
111,Jangan curiga dulu saldonya bisa di kenti seperti BLT orang mau berbuat baik belum apa2 sudah curiga mekanismenya seperti apa #AHY,dulu,Tokoh dan Partai,0.0139,curiga,-1.0,"[0.0385, 0.1923, 0.7692]",curiga dulu saldo,1
208,Sayang mayor #AHY termasuk yang dikader untuk pemimpin masa depan Dari SMA taruna beliau selalu yang teratas Lagi2 itu pilihan #pensiundini,mayor,Politik Uang,0.1376,termasuk,-3.0,"[0.0161, 0.0161, 0.9677]",sayang mayor #,1
224,setuju bangett.. banyak yang tidak bersyukur kemrin tidak banjir sekarang malah sibuk mencari pembelaan #jangan_sombong #AHY #banjirjkt,kemrin,SARA,0.03,bersyukur,-5.0,"[0.0098, 0.0098, 0.9804]",bersyukur kemrin tidak,1
99,Hellloooo.... Suara rakyat.. Ngerti suara rakyat? Bukan suaranya #AHY or dek @AgusYudhoyono.. Ngopi dulu gih.. #PenikmatKopi,suara,Tokoh dan Partai,0.0455,ngerti,1.0,"[0.7692, 0.1923, 0.0385]",. suara rakyat,1
65,Cari teman kok cara gitu ya.. pdhal #AHY sdh jelas. Gubernur Baru...@MasTBP,teman,Politik Uang,0.0553,cari,-3.0,"[0.0161, 0.0161, 0.9677]",cari teman kok,1
5,"Agus tersingkir, Ahok & Anies rebutan suara AHY untuk kepentingan kelompok   lewat @YouTube #ahok #anies #ahy #pilgub",kepentingan,Pendukung/Pemilih,0.0899,tersingkir,-5.0,"[0.0098, 0.0098, 0.9804]",untuk kepentingan kelompok,1
165,Meskipun #AHY kehilangan kesempatan untuk menduduki Gubernur DKI 2017-2022,kesempatan,Pendukung/Pemilih,0.0624,kehilangan,-4.0,"[0.0122, 0.0122, 0.9756]",kehilangan kesempatan untuk,1
53,Banyak konstituen #AHY risih sama mulutnya Ahok tapi kalau diminta pilih Anies dengan gerombolan khilafah dibelakangnya lebih memilih Ahok,mulut,SARA,0.0873,sama,3.0,"[0.9677, 0.0161, 0.0161]",sama mulut nya,1
60,blunder itu ya dulu hina2 #AHY tapi sekarang butuh 17% suara dan harus ngemis minta sama orang yang dulu di hina2. JLEB!,suara,Pendukung/Pemilih,0.044,butuh,-5.0,"[0.0098, 0.0098, 0.9804]",% suara dan,1
157,Masih mau mencaci maki #AHY dan Pepo Memo nya?! Kalian hrs mengemis minta suara 17% kpd orang2 yang selama ini kalian hina!!!!!!,suara,Pendukung/Pemilih,0.0,minta,2.0,"[0.9524, 0.0238, 0.0238]",minta suara 17,1
88,Golput lebih tinggi daripada pemilih #AHY ya nampaknya. #pilkadadki2017,pemilih,Pendukung/Pemilih,0.1059,tinggi,3.0,"[0.9677, 0.0161, 0.0161]",daripada pemilih #,1
121,Kalau merhatiin relawan #AHY saat ini minta rehat itu karena ada hal yang ganjal mungkin harus ada Islah dengan relawan #AniesSandi dulu.,saat,SARA,0.0,minta,2.0,"[0.9524, 0.0238, 0.0238]",ahy saat ini,1
175,"#AHY, pakar mantan, sby, Ini Surat Anas Urbaningrum Dari Jeruji Besi, Sindiran Buat Mantan?",mantan,Pendukung/Pemilih,0.0609,pakar,-1.0,"[0.0385, 0.1923, 0.7692]","pakar mantan ,",1
7,ahhhh bukannya karena bang aji ada disitu yang bikin kalah #AHY?,bang,SARA,0.1307,ada,-4.0,"[0.0122, 0.0122, 0.9756]",karena bang aji,1
168,"Mungkin saya, dengan rendah hati, bisa meminta pendukung paslon 1 yang masih berat hati, untuk melihat foto ini sejenak #AHY",pendukung,Pendukung/Pemilih,0.1415,meminta,1.0,"[0.7692, 0.1923, 0.0385]",meminta pendukung paslon,1
