id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
1421115366063759361,dengan rencana dan stok yang sudah diamankan indonesia bisa memastikan pelaksanaan vaksinasi di agustus aman dan bisa ditingkatkan untuk memenuhi target,pelaksanaan,Produk Vaksin,0.1751,memastikan,1.0,"[0.7692, 0.1923, 0.0385]",memastikan pelaksanaan vaksinasi,1
1421108348846440449,kalo kena covid biaya sakit ditanggung negara sampe sembuh tapi kalo mati karena program vaksinasi covid negara malah lepas tangan ga mau tanggung jawab bagus lah suara arus bawah yg banyak pada ga mau divaksin emang suka kebangetan pemerintahannya tu,program,Implementasi,0.1167,lepas,-1.0,"[0.0385, 0.1923, 0.7692]",karena program vaksinasi,1
1421112031877337089,persyaratan ikut vaksin itu tubuh dalam kondisi sehat untuk itu siapkan diri dengan baik dan tetap bahagia jangan lupa bawa ktpfotocopy ktp nanti saat pendaftaran menuliskan nomor hp yang valid di lembaran ktp nah kalau di tempat kalian prosesnya gimana,lembaran,Layanan,0.1309,valid,0.8999999999999999,"[0.7347, 0.2245, 0.0408]",di lembaran ktp,0
1431474189756555265,vaksin perlu bgt krn bs mengurangi risiko sakit parah saat terpapar covid aplg biaya ke rs dan obat2an jg ga murah butuh byk biaya jd yuk kita vaksin,vaksin,Produk Vaksin,0.1701,mengurangi,-1.0,"[0.0385, 0.1923, 0.7692]",vaksin perlu,1
1432261141602856963,aplikasi ini bagus banget ya buat memantu proses vaksinasi di lapangan,aplikasi,Implementasi,0.0848,bagus,1.0,"[0.7692, 0.1923, 0.0385]",aplikasi ini,1
1432197564456062977,oya untuk pengaduan dari masyarakat jika ada oknum yang minta biaya vaksin untuk bangun antibodi bisa dilaporkan ke email pengaduanitjengoid atau ke nomer 1500567,masyarakat,Layanan,0.1329,pengaduan,-1.0,"[0.0385, 0.1923, 0.7692]",dari masyarakat jika,1
1432237902445137921,masyarakat dan pemerintah saling bekerjasama demi memutus mata rantai penularan covid19 masy patuh prokes diam di rumah aja batasi aktivitas pemerintah mempercepat pelaksanaan vaksinasi,prokes,Peserta,0.0923,patuh,1.0,"[0.7692, 0.1923, 0.0385]",patuh prokes diam,1
1432207567292301315,yuk check langsung aplikasi pedulilindungi check sosmed pendaftaran vaksin supaya kita bisa segera mendapatkan vaksin,vaksin,Produk Vaksin,0.1561,mendapatkan,1.0,"[0.7692, 0.1923, 0.0385]",pendaftaran vaksin supaya,1
1443066362780270593,masyarakat di sekitar tempat pelaksanaan pon kexx pun juga sudah harus divaksin pelaksanaan vaksinasi di papua masih terus digencarkan agar warga bisa aman dan gak waswas mengikuti pon kexx,warga,Biaya,0.0762,aman,1.0,"[0.7692, 0.1923, 0.0385]",agar warga bisa,1
1450303520406597639,bahkan di beberapa daerah hoaks jadi menghambat pelaksanaan vaksinasi lho karena buat masyarakat jadi takut sama vaksinasi,vaksinasi,Produk Vaksin,0.118,takut,-1.0,"[0.0385, 0.1923, 0.7692]",pelaksanaan vaksinasi lho,1
1450368414879342592,mohon kiranya bapak presiden mempertimbangkan lagi syarat penerbangan yg mewajibkan pcr bagi setiap penumpang pesawat buat apa ada status level 1234 dan vaksin 2kali mengingat biaya pcr yg masih mahal dan berlaku hanya 2x24jam terimakasih atas perhatian bapak,bapak,Biaya,0.0872,perhatian,1.0,"[0.7692, 0.1923, 0.0385]",nya bapak presiden,1
1353517428052029440,silahkan pemerintah vaksin rakyat yg mau di vaksin sinovac dll tp stop jangan paksa apalg ancam kami yg tidak mau di vaksin sinovac dll dg uu karantina penjara denda 100 juta,denda,Implementasi,0.0501,penjara,-1.0,"[0.0385, 0.1923, 0.7692]",penjara denda 100,1
1354092265447145472,eeee oemerintah ngotot pake ngancam rakyat yg tolak vaksin kena uu karantina penjara denda 100 juta ki pemerintah piyeee rakyat ra dihargai sy mau pakai yg pasti pasti aja herbal ini yg sdh sy buktikan kok malah dipaksa dan diancam harus vaksin,denda,Implementasi,0.0501,penjara,-1.0,"[0.0385, 0.1923, 0.7692]",penjara denda 100,1
1354711285858881537,kami tolak vaksin sinovac krn tdk bisa lindungi 100 dr covid19 amp hanya mau pakai produk indonesia yg terbukti sembuhkan pasien covid19 sy sendiri sdh sembuh dr batuk sangat parah dg produk fry81 dr gratissssss,covid19,Produk Vaksin,0.0664,pasien,1.0,"[0.7692, 0.1923, 0.0385]",dr covid19 amp,1
1355331466545090564,pemerintah jangan semenamena paksa amp ancam rakyat yg tolak vaksin krn sdh pakai yg terbukti 1 sari buah merah madu kina dari drsi made budi msi 2 fry81 dari,sari,Peserta,0.0122,terbukti,1.0,"[0.7692, 0.1923, 0.0385]",1 sari buah,1
1354101357255356416,pak kami tanya kenapa pemerintah kok ngotot paksain vaksin dan lucunya ancam rakyat dg uu karantina yg tolak divaksin kami rakyat mau yg pasti mampu lindungi vaksin tidak jamin aman 100 dari covid19 makanya kami tolak pertanyaannya ada apa ini pak,covid19,Produk Vaksin,0.0885,aman,-1.0,"[0.0385, 0.1923, 0.7692]",dari covid19 maka,1
1354247237014941696,sy sdh sembuh cuma bbrapa hari dr batuk sangat parah banyak pasien covid19 yg minum fry81 sembuhnegatif lalu knapa amp ada apa pemerintah ngotot paksa rakyat harus di vaksin ancam rakyat lo ya yg tolak di vaksin sinovac dg penjara denda 100 juta,covid19,Produk Vaksin,0.0659,pasien,1.0,"[0.7692, 0.1923, 0.0385]",pasien covid19 yg,1
1354710933335990279,wamenkumham jelas katakan yg tolak di vaksin akan dikenakan uu karantina penjara denda 100 juta ini bukan ancaman ini jelas ancaman amp intimidasi ini membuat rakyat tertekan bgmna kok pemwrintah sekejam ini tega ancam rakyat makanya sori ya kami tdk mau dukung pdi p lg,denda,Implementasi,0.0501,penjara,1.0,"[0.7692, 0.1923, 0.0385]",penjara denda 100,1
1354714873519689735,politik beda saat mau dipilih manis stlah terpilih kami abaikn sprti ini tolak divaksin krn ada produk yg terbukti jauh lebih baik manjur dibanding vaksin sinovac kok malah diancam siapa bilang ucapan wamenkumham begini bukan ancaman sangat mengecewakan sekali,stlah,Layanan,0.0539,manis,1.0,"[0.7692, 0.1923, 0.0385]",manis stlah terpilih,1
1355388716521451522,hahahaa tu kata kata wamenkumham apa artinya yg tolak di vaksin akan dikenakan uu karantina covid19 penjara denda 100 juta apa kurang jelas kata kata begitu,denda,Implementasi,0.0501,penjara,-1.0,"[0.0385, 0.1923, 0.7692]",penjara denda 100,1
1354281434970681350,hahahaa saya suoer sangat tau vaksin bukan obat makanya saya katakan percuma knapa tidak pakai produk anak bangsa yg sudah terbukti sembuhkan pasien covid di wisma atlet rsud cengkareng rsud bekasi stt bethel petamburan,covid,Implementasi,0.1067,pasien,1.0,"[0.7692, 0.1923, 0.0385]",pasien covid di,1
1354247758970904576,knapa ada formula ampuh fry81sudah terbukti sembuhkan pasien covid19 kok tidak diberikan seharusnya pemerintah bijaksana dukung produk anak bangsa yg bisa selesaikan masalah ini bukannya paksain vaksin yg ga bisa sembuhkan pasien tidak bisa lindungi 100 dr covid19,covid19,Produk Vaksin,0.0785,pasien,-1.0,"[0.0385, 0.1923, 0.7692]",pasien covid19 kok,1
