id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
120,kalo sudah kuliah mah kampus merdeka kalo adekku mah b haha,adekku,Program,0.1092,merdeka,0.0,"[0.0, 1.0, 0.0]",kalo adekku mah,0
181,kerja mendukung program merdeka belajar kampus merdeka mbkm membuka peluang inovasi pendidikan cerah,program,Program,0.5305,mendukung,1.0,"[0.7692, 0.1923, 0.0385]",mendukung program merdeka,1
286,(tertawa) ptk naro logo kampus merdeka ignya tapi mahasiswanya tidak merdeka,mahasiswa,Program,0.0745,merdeka,-0.3,"[0.0645, 0.5484, 0.3871]",tapi mahasiswa nya,0
176,kayanya tiada bentakan dan blaming karyawan gue atau teman gue i assume they just dont know what they did is wrong cos maybe have normalized gue bertahan iyee magangnya magang kampus merdeka,tiada,Anggaran,0.1117,kaya,1.0,"[0.7692, 0.1923, 0.0385]",nya tiada bentakan,1
34,benar banget malahan kuliah tuh takut hilang program kampus merdeka menguntungkan mahasiswa tapi sayang sekalai sekolah sdsma,sayang,Program,0.0808,menguntungkan,1.0,"[0.7692, 0.1923, 0.0385]",tapi sayang sekalai,1
34,benar banget malahan kuliah tuh takut hilang program kampus merdeka menguntungkan mahasiswa tapi sayang sekalai sekolah sdsma,mahasiswa,Program,0.0801,menguntungkan,1.0,"[0.7692, 0.1923, 0.0385]",menguntungkan mahasiswa tapi,1
270,tapi sejujurnya menurutku bagus kurikulumnya kalo perkuliahan bagusnya merdeka kampus belajar,kampus,Program,0.3889,merdeka,0.6,"[0.6, 0.35, 0.05]",merdeka kampus belajar,0
239,program baik kampus merdeka kayak msib iisma pmm program keuntungan dan pengalaman bermanfaat mahasiswa,pengalaman,Anggaran,0.1214,keuntungan,1.0,"[0.7692, 0.1923, 0.0385]",dan pengalaman bermanfaat,1
239,program baik kampus merdeka kayak msib iisma pmm program keuntungan dan pengalaman bermanfaat mahasiswa,mahasiswa,Program,0.1157,bermanfaat,1.0,"[0.7692, 0.1923, 0.0385]",bermanfaat mahasiswa,1
14,suka pas kampus merdeka sistemnya agak hancur melihat msib pengunduran schedule miss,sistem,Program,0.2186,hancur,-1.0,"[0.0385, 0.1923, 0.7692]",merdeka sistem nya,1
