id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
52,akun kloning seolah2 pendukung menyerang paslon opini dan argumen pmbenaranjangan terkecoh,paslon,Pendukung/Pemilih,0.0613,menyerang,-1.0,"[0.0385, 0.1923, 0.7692]",menyerang paslon opini,1
127,kasihan kasihan peluru 1milyar rw tidak mempan menangin pilkada,kasihan,Politik Uang,0.11,kasihan,1.0,"[0.7692, 0.1923, 0.0385]",kasihan kasihan,1
149,awas ye kalo dukungan suara pendukung,suara,Pendukung/Pemilih,0.0589,dukungan,1.0,"[0.7692, 0.1923, 0.0385]",dukungan suara pendukung,1
238,terima kasih teruntuk pendukung kalianlah pembeda,kasih,Tokoh dan Partai,0.0828,terima,1.0,"[0.7692, 0.1923, 0.0385]",terima kasih teruntuk,1
250,terima kasih keistiqomahan relawan tlh mengantarkan signifikan,kasih,SARA,0.183,terima,1.0,"[0.7692, 0.1923, 0.0385]",terima kasih keistiqomahan,1
172,om aa lepas kalah tutup mulut tidak koar bongkar surabaya,tutup,Tokoh dan Partai,0.0432,kalah,1.0,"[0.7692, 0.1923, 0.0385]",kalah tutup mulut,1
122,pencatutan nama dan mpo melanggar hukum tidak wkwkwkwkkwkk,hukum,Politik Uang,0.0583,melanggar,1.0,"[0.7692, 0.1923, 0.0385]",melanggar hukum tidak,1
260,pastilah kan tidak suka ahok pas sudah kalah otomatis dukungannya lari mas aniessandi,dukungan,Politik Uang,0.0517,kalah,1.0,"[0.7692, 0.1923, 0.0385]",otomatis dukungan nya,1
83,double lol menuduh miskin ide copy,ide,Politik Uang,0.0124,menuduh,-1.0,"[0.0385, 0.1923, 0.7692]",miskin ide copy,1
176,pakdhe karwo pilgub jatim deh karwo isyaratkan agus tidak maju pilgub jatim,pilgub,Pendukung/Pemilih,0.0969,maju,-1.0,"[0.0385, 0.1923, 0.7692]",karwo pilgub jatim,1
177,paslon salah langkah sandi bukan tidak mungkin bumerang gagal dapat suara,suara,Tokoh dan Partai,0.0215,gagal,1.0,"[0.7692, 0.1923, 0.0385]",dapat suara,1
78,manakah sang ksatria samurai prajurit pembangun semangat harapan pahlawan dinantinantikan rakyat,harapan,SARA,0.2389,semangat,1.0,"[0.7692, 0.1923, 0.0385]",semangat harapan pahlawan,1
47,awas ye kalo dukungan suara pendukung,suara,Pendukung/Pemilih,0.0589,dukungan,1.0,"[0.7692, 0.1923, 0.0385]",dukungan suara pendukung,1
251,tuduhan kerap dilontarkan anak ingusan dan mayor tak terdengar dudah berubah sanjungan,mayor,Politik Uang,0.0465,ingusan,1.0,"[0.7692, 0.1923, 0.0385]",dan mayor tak,1
111,jangan curiga saldonya bisa kenti blt berbuat baik belum apa-apa sudah curiga mekanismenya,saldo,SARA,0.0166,curiga,1.0,"[0.7692, 0.1923, 0.0385]",curiga saldo nya,1
224,setuju banget tidak bersyukur kemrin tidak banjir sibuk pembelaan,kemrin,SARA,0.03,bersyukur,-1.0,"[0.0385, 0.1923, 0.7692]",bersyukur kemrin tidak,1
99,hellloooo suara rakyat mengerti suara rakyat bukan suaranya dek ngopi gih,suara,Tokoh dan Partai,0.019,mengerti,-1.0,"[0.0385, 0.1923, 0.7692]",hellloooo suara rakyat,1
5,agus tersingkir ahok anies rebutan suara ahy kepentingan kelompok,anies,Tokoh dan Partai,0.0767,ahok,0.3,"[0.3871, 0.5484, 0.0645]",ahok anies rebutan,0
165,meskipun kehilangan kesempatan menduduki gubernur dki 20172022,kesempatan,Pendukung/Pemilih,0.0752,kehilangan,-1.0,"[0.0385, 0.1923, 0.7692]",kehilangan kesempatan menduduki,1
