id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
1,banyak akun kloning seolah2 pendukung mulai menyerang paslon dengan opini dan argumen pmbenaranjangan terkecoh,akun,Anies-Sandi,0.211,mulai,1.0,"[0.7692, 0.1923, 0.0385]",banyak akun kloning,1
1,banyak akun kloning seolah2 pendukung mulai menyerang paslon dengan opini dan argumen pmbenaranjangan terkecoh,opini,Anies-Sandi,0.1356,menyerang,-3.0,"[0.0161, 0.0161, 0.9677]",dengan opini dan,1
1,banyak akun kloning seolah2 pendukung mulai menyerang paslon dengan opini dan argumen pmbenaranjangan terkecoh,pmbenaranjangan,Agus-Sylvi,0.1274,argumen,-4.0,"[0.0122, 0.0122, 0.9756]",argumen pmbenaranjangan terkecoh,1
1,banyak akun kloning seolah2 pendukung mulai menyerang paslon dengan opini dan argumen pmbenaranjangan terkecoh,paslon,Anies-Sandi,0.3464,menyerang,-3.0,"[0.0161, 0.0161, 0.9677]",menyerang paslon dengan,1
2,bicara apa kasihan yaalap itu air matanya wkwkwkwk,yaalap,Ahok-Djarot,0.0,kasihan,4.0,"[0.9756, 0.0122, 0.0122]",kasihan yaalap itu,1
2,bicara apa kasihan yaalap itu air matanya wkwkwkwk,mata,Agus-Sylvi,0.0,air,-1.0,"[0.0385, 0.1923, 0.7692]",air mata nya,1
2,bicara apa kasihan yaalap itu air matanya wkwkwkwk,kasihan,Agus-Sylvi,0.0,apa,-3.0,"[0.0161, 0.0161, 0.9677]",apa kasihan yaalap,1
2,bicara apa kasihan yaalap itu air matanya wkwkwkwk,air,Agus-Sylvi,0.0,kasihan,4.0,"[0.9756, 0.0122, 0.0122]",itu air mata,1
3,kalau aku sih gak nunggu hasil akhir qc tp lagi nunggu motif cuitan pak kayak apa pasca nyungsep,pasca,Anies-Sandi,0.0,apa,-3.0,"[0.0161, 0.0161, 0.9677]",apa pasca nyungsep,1
3,kalau aku sih gak nunggu hasil akhir qc tp lagi nunggu motif cuitan pak kayak apa pasca nyungsep,qc,Agus-Sylvi,0.1006,hasil,3.0,"[0.9677, 0.0161, 0.0161]",akhir qc tp,1
3,kalau aku sih gak nunggu hasil akhir qc tp lagi nunggu motif cuitan pak kayak apa pasca nyungsep,motif,Ahok-Djarot,0.0087,nunggu,1.0,"[0.7692, 0.1923, 0.0385]",nunggu motif cuitan,1
3,kalau aku sih gak nunggu hasil akhir qc tp lagi nunggu motif cuitan pak kayak apa pasca nyungsep,hasil,Anies-Sandi,0.1833,nunggu,1.0,"[0.7692, 0.1923, 0.0385]",nunggu hasil akhir,1
4,kasian oh kasian dengan peluru 1milyar untuk tiap rw tidak mempan menangin pilkada,oh,Agus-Sylvi,0.0,kasian,-3.0,"[0.0161, 0.0161, 0.9677]",kasian oh kasian,1
4,kasian oh kasian dengan peluru 1milyar untuk tiap rw tidak mempan menangin pilkada,rw,Anies-Sandi,0.1708,peluru,3.0,"[0.9677, 0.0161, 0.0161]",tiap rw tidak,1
4,kasian oh kasian dengan peluru 1milyar untuk tiap rw tidak mempan menangin pilkada,peluru,Agus-Sylvi,0.0,kasian,-3.0,"[0.0161, 0.0161, 0.9677]",dengan peluru 1milyar,1
4,kasian oh kasian dengan peluru 1milyar untuk tiap rw tidak mempan menangin pilkada,1milyar,Agus-Sylvi,0.0,peluru,3.0,"[0.9677, 0.0161, 0.0161]",peluru 1milyar untuk,1
5,maaf ya pendukung hayo dukung diputaran 2,maaf,Agus-Sylvi,0.0,dukung,4.0,"[0.9756, 0.0122, 0.0122]",maaf ya,1
5,maaf ya pendukung hayo dukung diputaran 2,pendukung,Ahok-Djarot,0.2721,dukung,4.0,"[0.9756, 0.0122, 0.0122]",ya pendukung hayo,1
7,kepada allah swt kami ucapkan rasa syukur dan kepada pak kami sampaikan terimakasih makna 17 suara anda,syukur,Agus-Sylvi,0.0505,rasa,-2.0,"[0.0238, 0.0238, 0.9524]",rasa syukur dan,1
7,kepada allah swt kami ucapkan rasa syukur dan kepada pak kami sampaikan terimakasih makna 17 suara anda,suara,Ahok-Djarot,0.2537,makna,5.0,"[0.9804, 0.0098, 0.0098]",17 suara anda,1
7,kepada allah swt kami ucapkan rasa syukur dan kepada pak kami sampaikan terimakasih makna 17 suara anda,makna,Ahok-Djarot,0.0582,terimakasih,5.0,"[0.9804, 0.0098, 0.0098]",terimakasih makna 17,1
8,terima kasih teruntuk pendukung kalianlah pembeda kali ini,kasih,Agus-Sylvi,0.0,terima,2.0,"[0.9524, 0.0238, 0.0238]",terima kasih teruntuk,1
8,terima kasih teruntuk pendukung kalianlah pembeda kali ini,pembeda,Anies-Sandi,0.1001,terima,2.0,"[0.9524, 0.0238, 0.0238]",lah pembeda kali,1
9,trima kasih atas keistiqomahan relawan lah yg tlh mengantarkan dg cukup signifikan,keistiqomahan,Agus-Sylvi,0.1498,trima,1.0,"[0.7692, 0.1923, 0.0385]",atas keistiqomahan relawan,1
9,trima kasih atas keistiqomahan relawan lah yg tlh mengantarkan dg cukup signifikan,kasih,Agus-Sylvi,0.0,trima,1.0,"[0.7692, 0.1923, 0.0385]",trima kasih atas,1
10,mengenang pidato kekalahan,pidato,Anies-Sandi,0.1086,mengenang,3.0,"[0.9677, 0.0161, 0.0161]",mengenang pidato kekalahan,1
12,batal nyoblos baru tau ternyata ga ada no1 di kertas suara,no1,Ahok-Djarot,0.0733,ada,4.0,"[0.9756, 0.0122, 0.0122]",ada no1 di,1
