id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
1,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,opini,Anies-Sandi,0.1356,menyerang,-3.0,"[0.0161, 0.0161, 0.9677]",dengan opini dan,1
1,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,paslon,Anies-Sandi,0.3413,menyerang,-3.0,"[0.0161, 0.0161, 0.9677]",menyerang paslon #,1
1,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,pmbenaran,Agus-Sylvi,0.2114,argumen,-4.0,"[0.0122, 0.0122, 0.9756]",argumen pmbenaran .,1
1,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,akun,Anies-Sandi,0.211,mulai,1.0,"[0.7692, 0.1923, 0.0385]",banyak akun kloning,1
2,#agussilvy bicara apa kasihan yaa...lap itu air matanya wkwkwkwk,yaa...lap,Ahok-Djarot,0.0,kasihan,4.0,"[0.9756, 0.0122, 0.0122]",kasihan yaa...lap itu,1
2,#agussilvy bicara apa kasihan yaa...lap itu air matanya wkwkwkwk,air,Agus-Sylvi,0.0,apa,-3.0,"[0.0161, 0.0161, 0.9677]",itu air mata,1
2,#agussilvy bicara apa kasihan yaa...lap itu air matanya wkwkwkwk,kasihan,Ahok-Djarot,0.0,apa,-3.0,"[0.0161, 0.0161, 0.9677]",apa kasihan yaa...lap,1
2,#agussilvy bicara apa kasihan yaa...lap itu air matanya wkwkwkwk,#agussilvy,Agus-Sylvi,0.3566,apa,-3.0,"[0.0161, 0.0161, 0.9677]",#agussilvy bicara,1
2,#agussilvy bicara apa kasihan yaa...lap itu air matanya wkwkwkwk,mata,Agus-Sylvi,0.0,air,-1.0,"[0.0385, 0.1923, 0.7692]",air mata nya,1
3,Kalau aku sih gak nunggu hasil akhir QC tp lagi nunggu motif cuitan pak @SBYudhoyono kayak apa.. pasca #AgusSilvy Nyungsep..,pasca,Anies-Sandi,0.0,nunggu,1.0,"[0.7692, 0.1923, 0.0385]",. pasca #,1
3,Kalau aku sih gak nunggu hasil akhir QC tp lagi nunggu motif cuitan pak @SBYudhoyono kayak apa.. pasca #AgusSilvy Nyungsep..,motif,Ahok-Djarot,0.0087,nunggu,1.0,"[0.7692, 0.1923, 0.0385]",nunggu motif cuitan,1
3,Kalau aku sih gak nunggu hasil akhir QC tp lagi nunggu motif cuitan pak @SBYudhoyono kayak apa.. pasca #AgusSilvy Nyungsep..,hasil,Anies-Sandi,0.1833,nunggu,1.0,"[0.7692, 0.1923, 0.0385]",nunggu hasil akhir,1
4,Kasian oh kasian dengan peluru 1milyar untuk tiap RW #agussilvy tidak mempan menangin pilkada #QuickCount #PilkadaSerentak2017,1milyar,Agus-Sylvi,0.0,peluru,-3.0,"[0.0161, 0.0161, 0.9677]",peluru 1milyar untuk,1
4,Kasian oh kasian dengan peluru 1milyar untuk tiap RW #agussilvy tidak mempan menangin pilkada #QuickCount #PilkadaSerentak2017,kasian,Agus-Sylvi,0.0,kasian,-3.0,"[0.0161, 0.0161, 0.9677]",kasian oh,1
4,Kasian oh kasian dengan peluru 1milyar untuk tiap RW #agussilvy tidak mempan menangin pilkada #QuickCount #PilkadaSerentak2017,peluru,Agus-Sylvi,0.0,kasian,-3.0,"[0.0161, 0.0161, 0.9677]",dengan peluru 1milyar,1
6,aneh deh lebay masa ini di sangkut pautkan sama kandidat Calgub anda lebay seperti yg anda dukung #agussilvy,agussilvy,Agus-Sylvi,0.3542,dukung,4.0,"[0.9756, 0.0122, 0.0122]",# agussilvy,1
7,Kepada Allah SWT kami ucapkan rasa syukur dan kepada pak @SBYudhoyono @presidenSBY #AHY kami sampaikan terimakasih. Makna 17% suara anda.,syukur,Agus-Sylvi,0.0505,rasa,-2.0,"[0.0238, 0.0238, 0.9524]",rasa syukur dan,1
7,Kepada Allah SWT kami ucapkan rasa syukur dan kepada pak @SBYudhoyono @presidenSBY #AHY kami sampaikan terimakasih. Makna 17% suara anda.,suara,Ahok-Djarot,0.2255,makna,5.0,"[0.9804, 0.0098, 0.0098]",% suara anda,1
8,Terima Kasih teruntuk pendukung #AHY #SYLVI kalianlah pembeda kali ini,pembeda,Anies-Sandi,0.1001,terima,2.0,"[0.9524, 0.0238, 0.0238]",lah pembeda kali,1
10,Mengenang pidato kekalahan #ahy,pidato,Anies-Sandi,0.1086,mengenang,3.0,"[0.9677, 0.0161, 0.0161]",mengenang pidato kekalahan,1
12,Batal nyoblos baru tau ternyata ga ada no.1 di kertas suara. #AHY #kangen #mosing,no.1,Ahok-Djarot,0.0929,ada,4.0,"[0.9756, 0.0122, 0.0122]",ada no.1 di,1
12,Batal nyoblos baru tau ternyata ga ada no.1 di kertas suara. #AHY #kangen #mosing,kertas,Anies-Sandi,0.0772,ada,4.0,"[0.9756, 0.0122, 0.0122]",di kertas suara,1
14,aku juga kemarin #AHY 19april2017 suaraku utk paslon 3 #DKI,paslon,Anies-Sandi,0.4106,aku,2.0,"[0.9524, 0.0238, 0.0238]",utk paslon 3,1
16,"om AA kemana ? lepas #AHY kalah kok dia tutup mulut tidak koar"" mau bongkar SBY",om,Anies-Sandi,0.0332,lepas,-2.0,"[0.0238, 0.0238, 0.9524]",om aa,1
16,"om AA kemana ? lepas #AHY kalah kok dia tutup mulut tidak koar"" mau bongkar SBY",mulut,Agus-Sylvi,0.0,tutup,2.0,"[0.9524, 0.0238, 0.0238]",tutup mulut tidak,1
17,kalau pencatutan nama #ahy dan mpo #silvi melanggar hukum ga ya.. wkwkwkwkkwkk,pencatutan,Agus-Sylvi,0.1599,melanggar,-5.0,"[0.0098, 0.0098, 0.9804]",kalau pencatutan nama,1
