id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
1,akun kloning seolah2 pendukung menyerang paslon opini dan argumen pmbenaranjangan terkecoh,akun,Agus-Sylvi,0.2076,menyerang,-3.0,"[0.0161, 0.0161, 0.9677]",akun kloning,1
1,akun kloning seolah2 pendukung menyerang paslon opini dan argumen pmbenaranjangan terkecoh,pmbenaranjangan,Agus-Sylvi,0.1274,argumen,-4.0,"[0.0122, 0.0122, 0.9756]",argumen pmbenaranjangan terkecoh,1
1,akun kloning seolah2 pendukung menyerang paslon opini dan argumen pmbenaranjangan terkecoh,paslon,Anies-Sandi,0.3256,menyerang,-3.0,"[0.0161, 0.0161, 0.9677]",menyerang paslon opini,1
2,bicara kasihan yaalap air matanya wkwkwkwk,yaalap,Ahok-Djarot,0.0,kasihan,4.0,"[0.9756, 0.0122, 0.0122]",kasihan yaalap air,1
2,bicara kasihan yaalap air matanya wkwkwkwk,mata,Agus-Sylvi,0.0,air,-1.0,"[0.0385, 0.1923, 0.7692]",air mata nya,1
3,sih tidak menunggu hasil qc tapi menunggu motif cuitan kayak pasca nyungsep,qc,Ahok-Djarot,0.0807,hasil,-3.0,"[0.0161, 0.0161, 0.9677]",hasil qc tapi,1
3,sih tidak menunggu hasil qc tapi menunggu motif cuitan kayak pasca nyungsep,sih,Ahok-Djarot,0.0,menunggu,3.0,"[0.9677, 0.0161, 0.0161]",sih tidak,1
3,sih tidak menunggu hasil qc tapi menunggu motif cuitan kayak pasca nyungsep,motif,Anies-Sandi,0.0352,menunggu,3.0,"[0.9677, 0.0161, 0.0161]",menunggu motif cuitan,1
3,sih tidak menunggu hasil qc tapi menunggu motif cuitan kayak pasca nyungsep,hasil,Ahok-Djarot,0.1584,menunggu,3.0,"[0.9677, 0.0161, 0.0161]",menunggu hasil qc,1
4,kasihan kasihan peluru 1milyar rw tidak mempan menangin pilkada,kasihan,Agus-Sylvi,0.0103,kasihan,-4.0,"[0.0122, 0.0122, 0.9756]",kasihan kasihan,1
4,kasihan kasihan peluru 1milyar rw tidak mempan menangin pilkada,rw,Agus-Sylvi,0.0387,peluru,3.0,"[0.9677, 0.0161, 0.0161]",1milyar rw tidak,1
4,kasihan kasihan peluru 1milyar rw tidak mempan menangin pilkada,peluru,Agus-Sylvi,0.0,kasihan,-4.0,"[0.0122, 0.0122, 0.9756]",kasihan peluru 1milyar,1
5,maaf pendukung hayo dukung diputaran 2,maaf,Agus-Sylvi,0.026,dukung,4.0,"[0.9756, 0.0122, 0.0122]",maaf pendukung,1
5,maaf pendukung hayo dukung diputaran 2,pendukung,Agus-Sylvi,0.2043,maaf,2.0,"[0.9524, 0.0238, 0.0238]",maaf pendukung hayo,1
6,aneh deh lebay sangkut pautkan kandidat calgub lebay dukung,pautkan,Agus-Sylvi,0.3746,sangkut,2.0,"[0.9524, 0.0238, 0.0238]",sangkut pautkan kandidat,1
7,allah swt ucapkan syukur dan terimakasih makna 17 suara,makna,Ahok-Djarot,0.0582,terimakasih,5.0,"[0.9804, 0.0098, 0.0098]",terimakasih makna 17,1
7,allah swt ucapkan syukur dan terimakasih makna 17 suara,suara,Ahok-Djarot,0.2838,makna,5.0,"[0.9804, 0.0098, 0.0098]",17 suara,1
8,terima kasih teruntuk pendukung kalianlah pembeda,pembeda,Anies-Sandi,0.017,terima,2.0,"[0.9524, 0.0238, 0.0238]",lah pembeda,1
8,terima kasih teruntuk pendukung kalianlah pembeda,kasih,Agus-Sylvi,0.0,terima,2.0,"[0.9524, 0.0238, 0.0238]",terima kasih teruntuk,1
9,terima kasih keistiqomahan relawan tlh mengantarkan signifikan,keistiqomahan,Agus-Sylvi,0.1289,kasih,2.0,"[0.9524, 0.0238, 0.0238]",kasih keistiqomahan relawan,1
9,terima kasih keistiqomahan relawan tlh mengantarkan signifikan,kasih,Agus-Sylvi,0.023,terima,2.0,"[0.9524, 0.0238, 0.0238]",terima kasih keistiqomahan,1
