id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
120,@mfs_ub kalo udah kuliah mah kampus merdeka kali ya. kalo kata adekku mah b aja haha,adekku,Kebijakan Menteri,0.1339,kata,-1.0,"[0.0385, 0.1923, 0.7692]",kata adekku mah,1
120,@mfs_ub kalo udah kuliah mah kampus merdeka kali ya. kalo kata adekku mah b aja haha,kali,Umum,0.141,merdeka,1.5,"[0.8955, 0.0746, 0.0299]",merdeka kali ya,0
120,@mfs_ub kalo udah kuliah mah kampus merdeka kali ya. kalo kata adekku mah b aja haha,mah,Umum,0.4446,kuliah,1.0,"[0.7692, 0.1923, 0.0385]",kuliah mah kampus,1
286,@freaktey Wkwk PTK naro logo Kampus Merdeka di IG-nya tapi mahasiswanya ga merdeka,mahasiswa,Umum,0.3941,merdeka,0.0,"[0.0, 1.0, 0.0]",tapi mahasiswa nya,0
176,@hrdbacot Kayanya dlu tiada hari tanpa bentakan dan blaming dr karyawan lama entah ke gw atau temen gw. I assume they just dont know what they did is wrong cos maybe the have normalized it. Kenapa gw bertahan?? Ya iyee karena dlu magangnya magang kampus merdeka ️,blaming,Umum,0.0861,bentakan,-5.0,"[0.0098, 0.0098, 0.9804]",dan blaming dr,1
176,@hrdbacot Kayanya dlu tiada hari tanpa bentakan dan blaming dr karyawan lama entah ke gw atau temen gw. I assume they just dont know what they did is wrong cos maybe the have normalized it. Kenapa gw bertahan?? Ya iyee karena dlu magangnya magang kampus merdeka ️,gw,Umum,0.142,entah,-3.0,"[0.0161, 0.0161, 0.9677]",ke gw atau,1
34,@unsentdrcft @SoundOfYogi Bener bangettt malahan aku yang kuliah tuh takut ilang program kampus merdeka yg menguntungkan mahasiswa tapi sayang sekalai untuk sekolah SD-SMA itu kurang,program,Umum,0.6209,ilang,-5.0,"[0.0098, 0.0098, 0.9804]",ilang program kampus,1
34,@unsentdrcft @SoundOfYogi Bener bangettt malahan aku yang kuliah tuh takut ilang program kampus merdeka yg menguntungkan mahasiswa tapi sayang sekalai untuk sekolah SD-SMA itu kurang,sekolah,Umum,0.2909,sayang,3.0,"[0.9677, 0.0161, 0.0161]",untuk sekolah sd-sma,1
34,@unsentdrcft @SoundOfYogi Bener bangettt malahan aku yang kuliah tuh takut ilang program kampus merdeka yg menguntungkan mahasiswa tapi sayang sekalai untuk sekolah SD-SMA itu kurang,mahasiswa,Umum,0.4696,menguntungkan,4.0,"[0.9756, 0.0122, 0.0122]",menguntungkan mahasiswa tapi,1
110,kadang jadi mikir kalo skrg di kuliah banyak organisasi yg ga seaktif dulu itu ga cuma ulah nadiem doang karena adanya kampus merdeka tapi emg dipengaruhi sm kebutuhan tenaga kerja juga yg pandangannya daripada organisasi mending magang,kuliah,Umum,0.4039,jadi,1.0,"[0.7692, 0.1923, 0.0385]",di kuliah banyak,1
110,kadang jadi mikir kalo skrg di kuliah banyak organisasi yg ga seaktif dulu itu ga cuma ulah nadiem doang karena adanya kampus merdeka tapi emg dipengaruhi sm kebutuhan tenaga kerja juga yg pandangannya daripada organisasi mending magang,kerja,Anggaran,0.1566,tenaga,3.0,"[0.9677, 0.0161, 0.0161]",tenaga kerja juga,1
110,kadang jadi mikir kalo skrg di kuliah banyak organisasi yg ga seaktif dulu itu ga cuma ulah nadiem doang karena adanya kampus merdeka tapi emg dipengaruhi sm kebutuhan tenaga kerja juga yg pandangannya daripada organisasi mending magang,tenaga,Anggaran,0.1796,kebutuhan,4.0,"[0.9756, 0.0122, 0.0122]",kebutuhan tenaga kerja,1
110,kadang jadi mikir kalo skrg di kuliah banyak organisasi yg ga seaktif dulu itu ga cuma ulah nadiem doang karena adanya kampus merdeka tapi emg dipengaruhi sm kebutuhan tenaga kerja juga yg pandangannya daripada organisasi mending magang,nadiem,Kebijakan Menteri,0.2764,ulah,-3.0,"[0.0161, 0.0161, 0.9677]",ulah nadiem doang,1
110,kadang jadi mikir kalo skrg di kuliah banyak organisasi yg ga seaktif dulu itu ga cuma ulah nadiem doang karena adanya kampus merdeka tapi emg dipengaruhi sm kebutuhan tenaga kerja juga yg pandangannya daripada organisasi mending magang,magang,Umum,0.2829,mending,2.0,"[0.9524, 0.0238, 0.0238]",mending magang,1
110,kadang jadi mikir kalo skrg di kuliah banyak organisasi yg ga seaktif dulu itu ga cuma ulah nadiem doang karena adanya kampus merdeka tapi emg dipengaruhi sm kebutuhan tenaga kerja juga yg pandangannya daripada organisasi mending magang,dulu,Umum,0.0201,seaktif,4.8,"[0.9796, 0.0102, 0.0102]",seaktif dulu itu,0
110,kadang jadi mikir kalo skrg di kuliah banyak organisasi yg ga seaktif dulu itu ga cuma ulah nadiem doang karena adanya kampus merdeka tapi emg dipengaruhi sm kebutuhan tenaga kerja juga yg pandangannya daripada organisasi mending magang,sm,Anggaran,0.3578,kebutuhan,4.0,"[0.9756, 0.0122, 0.0122]",dipengaruhi sm kebutuhan,1
110,kadang jadi mikir kalo skrg di kuliah banyak organisasi yg ga seaktif dulu itu ga cuma ulah nadiem doang karena adanya kampus merdeka tapi emg dipengaruhi sm kebutuhan tenaga kerja juga yg pandangannya daripada organisasi mending magang,mending,Umum,0.3826,organisasi,3.0,"[0.9677, 0.0161, 0.0161]",organisasi mending magang,1
110,kadang jadi mikir kalo skrg di kuliah banyak organisasi yg ga seaktif dulu itu ga cuma ulah nadiem doang karena adanya kampus merdeka tapi emg dipengaruhi sm kebutuhan tenaga kerja juga yg pandangannya daripada organisasi mending magang,organisasi,Umum,0.3127,jadi,1.0,"[0.7692, 0.1923, 0.0385]",banyak organisasi yg,1
270,@uhuynihh @iam_jellal @b3b3t_ @SoundOfYogi Tapi sejujurnya menurutku bagus kok kurikulumnya. Kalo di perkuliahan bagusnya di merdeka kampus belajar,kampus,Umum,0.4954,merdeka,2.1,"[0.9545, 0.0227, 0.0227]",merdeka kampus belajar,0
270,@uhuynihh @iam_jellal @b3b3t_ @SoundOfYogi Tapi sejujurnya menurutku bagus kok kurikulumnya. Kalo di perkuliahan bagusnya di merdeka kampus belajar,kurikulum,Umum,0.3183,bagus,2.0,"[0.9524, 0.0238, 0.0238]",kok kurikulum nya,1
270,@uhuynihh @iam_jellal @b3b3t_ @SoundOfYogi Tapi sejujurnya menurutku bagus kok kurikulumnya. Kalo di perkuliahan bagusnya di merdeka kampus belajar,perkuliahan,Umum,0.37,belajar,3.0,"[0.9677, 0.0161, 0.0161]",di perkuliahan bagus,1
21,@nzlannarea @SoundOfYogi apaan bagus buat perguruan negri... gr2 kebijakan baru bbrp kampus ngebebanin mhs S2 ke atas hrs ikut2an bikin bnyk jurnal publikasi buat menuhin quota kampus terus ada aja mhs yang manfaatin kurikulum merdeka buat ngeclaim SKS yang padahal mereka gk ngerti apa2 pas di tes..,tes,Kebijakan Menteri,0.0,pas,3.0,"[0.9677, 0.0161, 0.0161]",di tes .,1
21,@nzlannarea @SoundOfYogi apaan bagus buat perguruan negri... gr2 kebijakan baru bbrp kampus ngebebanin mhs S2 ke atas hrs ikut2an bikin bnyk jurnal publikasi buat menuhin quota kampus terus ada aja mhs yang manfaatin kurikulum merdeka buat ngeclaim SKS yang padahal mereka gk ngerti apa2 pas di tes..,perguruan,Umum,0.4655,bagus,2.0,"[0.9524, 0.0238, 0.0238]",buat perguruan negri,1
21,@nzlannarea @SoundOfYogi apaan bagus buat perguruan negri... gr2 kebijakan baru bbrp kampus ngebebanin mhs S2 ke atas hrs ikut2an bikin bnyk jurnal publikasi buat menuhin quota kampus terus ada aja mhs yang manfaatin kurikulum merdeka buat ngeclaim SKS yang padahal mereka gk ngerti apa2 pas di tes..,mhs,Umum,0.2591,aja,1.0,"[0.7692, 0.1923, 0.0385]",ngebebanin mhs s2,1
21,@nzlannarea @SoundOfYogi apaan bagus buat perguruan negri... gr2 kebijakan baru bbrp kampus ngebebanin mhs S2 ke atas hrs ikut2an bikin bnyk jurnal publikasi buat menuhin quota kampus terus ada aja mhs yang manfaatin kurikulum merdeka buat ngeclaim SKS yang padahal mereka gk ngerti apa2 pas di tes..,bbrp,Umum,0.4765,kebijakan,3.0,"[0.9677, 0.0161, 0.0161]",baru bbrp kampus,1
21,@nzlannarea @SoundOfYogi apaan bagus buat perguruan negri... gr2 kebijakan baru bbrp kampus ngebebanin mhs S2 ke atas hrs ikut2an bikin bnyk jurnal publikasi buat menuhin quota kampus terus ada aja mhs yang manfaatin kurikulum merdeka buat ngeclaim SKS yang padahal mereka gk ngerti apa2 pas di tes..,hrs,Anggaran,0.0781,atas,-4.0,"[0.0122, 0.0122, 0.9756]",atas hrs ikut2an,1
21,@nzlannarea @SoundOfYogi apaan bagus buat perguruan negri... gr2 kebijakan baru bbrp kampus ngebebanin mhs S2 ke atas hrs ikut2an bikin bnyk jurnal publikasi buat menuhin quota kampus terus ada aja mhs yang manfaatin kurikulum merdeka buat ngeclaim SKS yang padahal mereka gk ngerti apa2 pas di tes..,apaan,Umum,0.1461,bagus,2.0,"[0.9524, 0.0238, 0.0238]",soundofyogi apaan bagus,1
239,Sebenarnya program dia ada yang baik kok contohnya: kampus merdeka kayak MSIB IISMA PMM dll. Soalnya program ini memberikan banyak keuntungan dan pengalaman bermanfaat buat mahasiswa,contoh,Umum,0.193,baik,3.0,"[0.9677, 0.0161, 0.0161]",kok contoh nya,1
239,Sebenarnya program dia ada yang baik kok contohnya: kampus merdeka kayak MSIB IISMA PMM dll. Soalnya program ini memberikan banyak keuntungan dan pengalaman bermanfaat buat mahasiswa,program,Umum,0.3157,ada,4.0,"[0.9756, 0.0122, 0.0122]",sebenarnya program dia,1
239,Sebenarnya program dia ada yang baik kok contohnya: kampus merdeka kayak MSIB IISMA PMM dll. Soalnya program ini memberikan banyak keuntungan dan pengalaman bermanfaat buat mahasiswa,pengalaman,Anggaran,0.1684,keuntungan,4.0,"[0.9756, 0.0122, 0.0122]",dan pengalaman bermanfaat,1
239,Sebenarnya program dia ada yang baik kok contohnya: kampus merdeka kayak MSIB IISMA PMM dll. Soalnya program ini memberikan banyak keuntungan dan pengalaman bermanfaat buat mahasiswa,mahasiswa,Umum,0.4006,bermanfaat,5.0,"[0.9804, 0.0098, 0.0098]",buat mahasiswa,1
14,Ak suka pas ada kampus merdeka itu cuma ya sistemnya agak ancur yh melihat kemarin msib dll ada pengunduran schedule terus ada beberapa Miss juga,kampus,Umum,0.6003,ada,4.0,"[0.9756, 0.0122, 0.0122]",ada kampus merdeka,1
14,Ak suka pas ada kampus merdeka itu cuma ya sistemnya agak ancur yh melihat kemarin msib dll ada pengunduran schedule terus ada beberapa Miss juga,msib,Umum,0.2034,melihat,3.0,"[0.9677, 0.0161, 0.0161]",kemarin msib dll,1
14,Ak suka pas ada kampus merdeka itu cuma ya sistemnya agak ancur yh melihat kemarin msib dll ada pengunduran schedule terus ada beberapa Miss juga,pengunduran,Anggaran,0.1903,ada,4.0,"[0.9756, 0.0122, 0.0122]",ada pengunduran schedule,1
14,Ak suka pas ada kampus merdeka itu cuma ya sistemnya agak ancur yh melihat kemarin msib dll ada pengunduran schedule terus ada beberapa Miss juga,dll,Umum,0.1466,ada,4.0,"[0.9756, 0.0122, 0.0122]",msib dll ada,1
212,@SoundOfYogi Namanya juga proses njirr lagian proramnya beberapa bagus juga kaya kampus merdeka DSB,kampus,Umum,0.5802,proses,1.0,"[0.7692, 0.1923, 0.0385]",kaya kampus merdeka,1
212,@SoundOfYogi Namanya juga proses njirr lagian proramnya beberapa bagus juga kaya kampus merdeka DSB,njirr,Anggaran,0.0596,proses,1.0,"[0.7692, 0.1923, 0.0385]",proses njirr lagian,1
212,@SoundOfYogi Namanya juga proses njirr lagian proramnya beberapa bagus juga kaya kampus merdeka DSB,proramnya,Umum,0.1218,lagian,-3.0,"[0.0161, 0.0161, 0.9677]",lagian proramnya beberapa,1
30,program dia bagus yg kampus merdeka,kampus,Umum,0.5101,bagus,2.0,"[0.9524, 0.0238, 0.0238]",yg kampus merdeka,1
264,@SoundOfYogi tapi buat pendidikan tinggi kurikulum merdeka tu bagus bgt apalagi program-programnya jadi ada kesempatan buat berkembang diluar kampus,kesempatan,Umum,0.0376,ada,4.0,"[0.9756, 0.0122, 0.0122]",ada kesempatan buat,1
177,@SoundOfYogi Kayanya kebijakan beliau bagusnya yg di kuliah deh. Kaya kampus merdeka dll. Dulu sblm ada itu susah bgt cari magang masukin proposal sana sini tp skrg udah terintegrasi sm sistem di kuliah.,dulu,Kebijakan Menteri,0.0386,ada,4.0,"[0.9756, 0.0122, 0.0122]",dulu sblm,1
177,@SoundOfYogi Kayanya kebijakan beliau bagusnya yg di kuliah deh. Kaya kampus merdeka dll. Dulu sblm ada itu susah bgt cari magang masukin proposal sana sini tp skrg udah terintegrasi sm sistem di kuliah.,magang,Umum,0.2883,cari,-3.0,"[0.0161, 0.0161, 0.9677]",cari magang masukin,1
174,Katanya sih bagian kampus merdeka termasuk ok (gue blm ngerasain 2021 covid dan udh otw sidang wkwk),kampus,Umum,0.5951,bagian,-4.0,"[0.0122, 0.0122, 0.9756]",bagian kampus merdeka,1
174,Katanya sih bagian kampus merdeka termasuk ok (gue blm ngerasain 2021 covid dan udh otw sidang wkwk),wkwk,Umum,0.152,sidang,1.0,"[0.7692, 0.1923, 0.0385]",sidang wkwk ),1
174,Katanya sih bagian kampus merdeka termasuk ok (gue blm ngerasain 2021 covid dan udh otw sidang wkwk),gue,Umum,0.0487,ok,4.0,"[0.9756, 0.0122, 0.0122]",( gue blm,1
174,Katanya sih bagian kampus merdeka termasuk ok (gue blm ngerasain 2021 covid dan udh otw sidang wkwk),sih,Anggaran,0.0419,kata,-1.0,"[0.0385, 0.1923, 0.7692]",nya sih bagian,1
174,Katanya sih bagian kampus merdeka termasuk ok (gue blm ngerasain 2021 covid dan udh otw sidang wkwk),bagian,Umum,0.4655,kata,-1.0,"[0.0385, 0.1923, 0.7692]",sih bagian kampus,1
174,Katanya sih bagian kampus merdeka termasuk ok (gue blm ngerasain 2021 covid dan udh otw sidang wkwk),covid,Umum,0.1209,ngerasain,1.0,"[0.7692, 0.1923, 0.0385]",2021 covid dan,1
174,Katanya sih bagian kampus merdeka termasuk ok (gue blm ngerasain 2021 covid dan udh otw sidang wkwk),kata,Kebijakan Menteri,0.0,termasuk,-3.0,"[0.0161, 0.0161, 0.9677]",kata nya,1
223,Penasaran walau udah bukan mahasiswa. Soalnya gak kebagian icip si kampus merdeka ini,mahasiswa,Umum,0.4153,penasaran,3.0,"[0.9677, 0.0161, 0.0161]",bukan mahasiswa .,1
162,@BaymaxYourbae @BetaEpsilonPhi Kampus merdeka untung sama untung. Mahasiswanya ya oke2 dan seneng aja. Di tengah pandemi muncul tuh program jd mayanlah kedapetan enak,tengah,Kebijakan Menteri,0.0395,muncul,1.0,"[0.7692, 0.1923, 0.0385]",di tengah pandemi,1
162,@BaymaxYourbae @BetaEpsilonPhi Kampus merdeka untung sama untung. Mahasiswanya ya oke2 dan seneng aja. Di tengah pandemi muncul tuh program jd mayanlah kedapetan enak,program,Umum,0.2898,muncul,1.0,"[0.7692, 0.1923, 0.0385]",tuh program jd,1
162,@BaymaxYourbae @BetaEpsilonPhi Kampus merdeka untung sama untung. Mahasiswanya ya oke2 dan seneng aja. Di tengah pandemi muncul tuh program jd mayanlah kedapetan enak,pandemi,Umum,0.0768,tengah,2.0,"[0.9524, 0.0238, 0.0238]",tengah pandemi muncul,1
41,Buat mahasiswa yang bela nadiem karena katanya oh itu program kampus merdeka bagus (termasuk temen gw yang kaya asu) MAKAN NI ANJINGGG LU LIAT KACAUNYA BANGSATTTT BANGSAT,asu,Umum,0.0204,kaya,2.0,"[0.9524, 0.0238, 0.0238]",kaya asu ),1
41,Buat mahasiswa yang bela nadiem karena katanya oh itu program kampus merdeka bagus (termasuk temen gw yang kaya asu) MAKAN NI ANJINGGG LU LIAT KACAUNYA BANGSATTTT BANGSAT,temen,Umum,0.1289,termasuk,-3.0,"[0.0161, 0.0161, 0.9677]",termasuk temen gw,1
41,Buat mahasiswa yang bela nadiem karena katanya oh itu program kampus merdeka bagus (termasuk temen gw yang kaya asu) MAKAN NI ANJINGGG LU LIAT KACAUNYA BANGSATTTT BANGSAT,oh,Anggaran,0.0,kata,-1.0,"[0.0385, 0.1923, 0.7692]",nya oh itu,1
216,@vee_sinaga Oh ini mah yang kampus merdeka. Menurut gw sih ini cuma stop gap solution aja. Akar masalahnya emang pendidikan lanjut (diploma dan sarjana) di Indonesia itu ngga cocok dengan kebutuhan industri-nya. Dan ini yg ngga diurus.,akar,Umum,0.1245,cocok,4.0,"[0.9756, 0.0122, 0.0122]",akar masalah,1
216,@vee_sinaga Oh ini mah yang kampus merdeka. Menurut gw sih ini cuma stop gap solution aja. Akar masalahnya emang pendidikan lanjut (diploma dan sarjana) di Indonesia itu ngga cocok dengan kebutuhan industri-nya. Dan ini yg ngga diurus.,gap,Anggaran,0.1284,stop,3.0,"[0.9677, 0.0161, 0.0161]",stop gap solution,1
216,@vee_sinaga Oh ini mah yang kampus merdeka. Menurut gw sih ini cuma stop gap solution aja. Akar masalahnya emang pendidikan lanjut (diploma dan sarjana) di Indonesia itu ngga cocok dengan kebutuhan industri-nya. Dan ini yg ngga diurus.,kebutuhan,Kebijakan Menteri,0.16,cocok,4.0,"[0.9756, 0.0122, 0.0122]",dengan kebutuhan industri-,1
216,@vee_sinaga Oh ini mah yang kampus merdeka. Menurut gw sih ini cuma stop gap solution aja. Akar masalahnya emang pendidikan lanjut (diploma dan sarjana) di Indonesia itu ngga cocok dengan kebutuhan industri-nya. Dan ini yg ngga diurus.,masalah,Umum,0.0468,akar,2.0,"[0.9524, 0.0238, 0.0238]",akar masalah nya,1
216,@vee_sinaga Oh ini mah yang kampus merdeka. Menurut gw sih ini cuma stop gap solution aja. Akar masalahnya emang pendidikan lanjut (diploma dan sarjana) di Indonesia itu ngga cocok dengan kebutuhan industri-nya. Dan ini yg ngga diurus.,pendidikan,Umum,0.1911,akar,2.0,"[0.9524, 0.0238, 0.0238]",emang pendidikan lanjut,1
216,@vee_sinaga Oh ini mah yang kampus merdeka. Menurut gw sih ini cuma stop gap solution aja. Akar masalahnya emang pendidikan lanjut (diploma dan sarjana) di Indonesia itu ngga cocok dengan kebutuhan industri-nya. Dan ini yg ngga diurus.,gw,Anggaran,0.0687,stop,3.0,"[0.9677, 0.0161, 0.0161]",menurut gw sih,1
