id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
52,banyak akun kloning seolah2 pendukung mulai menyerang paslon dengan opini dan argumen pmbenaranjangan terkecoh,paslon,Pendukung/Pemilih,0.4951,menyerang,-3.0,"[0.0161, 0.0161, 0.9677]",menyerang paslon dengan,1
52,banyak akun kloning seolah2 pendukung mulai menyerang paslon dengan opini dan argumen pmbenaranjangan terkecoh,akun,Pendukung/Pemilih,0.3334,mulai,1.0,"[0.7692, 0.1923, 0.0385]",banyak akun kloning,1
52,banyak akun kloning seolah2 pendukung mulai menyerang paslon dengan opini dan argumen pmbenaranjangan terkecoh,pmbenaranjangan,Politik Uang,0.314,argumen,-4.0,"[0.0122, 0.0122, 0.9756]",argumen pmbenaranjangan terkecoh,1
52,banyak akun kloning seolah2 pendukung mulai menyerang paslon dengan opini dan argumen pmbenaranjangan terkecoh,opini,Pendukung/Pemilih,0.4239,menyerang,-3.0,"[0.0161, 0.0161, 0.9677]",dengan opini dan,1
127,kasian oh kasian dengan peluru 1milyar untuk tiap rw tidak mempan menangin pilkada,1milyar,Pendukung/Pemilih,0.0806,peluru,3.0,"[0.9677, 0.0161, 0.0161]",peluru 1milyar untuk,1
127,kasian oh kasian dengan peluru 1milyar untuk tiap rw tidak mempan menangin pilkada,peluru,Pendukung/Pemilih,0.0215,kasian,-3.0,"[0.0161, 0.0161, 0.9677]",dengan peluru 1milyar,1
127,kasian oh kasian dengan peluru 1milyar untuk tiap rw tidak mempan menangin pilkada,rw,Pendukung/Pemilih,0.2636,peluru,3.0,"[0.9677, 0.0161, 0.0161]",tiap rw tidak,1
127,kasian oh kasian dengan peluru 1milyar untuk tiap rw tidak mempan menangin pilkada,oh,Politik Uang,0.1161,kasian,-3.0,"[0.0161, 0.0161, 0.9677]",kasian oh kasian,1
149,awas ye kalo minta dukungan suara pendukung,pendukung,Pendukung/Pemilih,0.6176,suara,2.0,"[0.9524, 0.0238, 0.0238]",suara pendukung,1
149,awas ye kalo minta dukungan suara pendukung,suara,Pendukung/Pemilih,0.7219,dukungan,4.0,"[0.9756, 0.0122, 0.0122]",dukungan suara pendukung,1
149,awas ye kalo minta dukungan suara pendukung,dukungan,Pendukung/Pemilih,0.5224,minta,2.0,"[0.9524, 0.0238, 0.0238]",minta dukungan suara,1
135,kepada allah swt kami ucapkan rasa syukur dan kepada pak kami sampaikan terimakasih makna 17 suara anda,suara,Pendukung/Pemilih,0.2994,makna,5.0,"[0.9804, 0.0098, 0.0098]",17 suara anda,1
135,kepada allah swt kami ucapkan rasa syukur dan kepada pak kami sampaikan terimakasih makna 17 suara anda,syukur,Pendukung/Pemilih,0.1118,rasa,-2.0,"[0.0238, 0.0238, 0.9524]",rasa syukur dan,1
135,kepada allah swt kami ucapkan rasa syukur dan kepada pak kami sampaikan terimakasih makna 17 suara anda,makna,Tokoh dan Partai,0.0721,terimakasih,5.0,"[0.9804, 0.0098, 0.0098]",terimakasih makna 17,1
238,terima kasih teruntuk pendukung kalianlah pembeda kali ini,kasih,Pendukung/Pemilih,0.0641,terima,2.0,"[0.9524, 0.0238, 0.0238]",terima kasih teruntuk,1
238,terima kasih teruntuk pendukung kalianlah pembeda kali ini,pembeda,Tokoh dan Partai,0.1811,terima,2.0,"[0.9524, 0.0238, 0.0238]",lah pembeda kali,1
250,trima kasih atas keistiqomahan relawan lah yg tlh mengantarkan dg cukup signifikan,keistiqomahan,Pendukung/Pemilih,0.223,trima,1.0,"[0.7692, 0.1923, 0.0385]",atas keistiqomahan relawan,1
250,trima kasih atas keistiqomahan relawan lah yg tlh mengantarkan dg cukup signifikan,kasih,Pendukung/Pemilih,0.0634,trima,1.0,"[0.7692, 0.1923, 0.0385]",trima kasih atas,1
233,sudah boleh ngakak survey mu jauh panggang dari api,survey,Pendukung/Pemilih,0.1713,ngakak,-2.0,"[0.0238, 0.0238, 0.9524]",ngakak survey mu,1
32,aku juga kemarin 19april2017 suaraku utk paslon 3,suara,Pendukung/Pemilih,0.1575,aku,2.0,"[0.9524, 0.0238, 0.0238]",19april2017 suara ku,1
32,aku juga kemarin 19april2017 suaraku utk paslon 3,paslon,Pendukung/Pemilih,0.4723,suara,2.0,"[0.9524, 0.0238, 0.0238]",utk paslon 3,1
172,om aa kemana lepas kalah kok dia tutup mulut tidak koar mau bongkar sby,sby,Tokoh dan Partai,0.3083,bongkar,3.0,"[0.9677, 0.0161, 0.0161]",bongkar sby,1
172,om aa kemana lepas kalah kok dia tutup mulut tidak koar mau bongkar sby,bongkar,Tokoh dan Partai,0.274,mau,-5.0,"[0.0098, 0.0098, 0.9804]",mau bongkar sby,1
172,om aa kemana lepas kalah kok dia tutup mulut tidak koar mau bongkar sby,mulut,Tokoh dan Partai,0.0682,tutup,2.0,"[0.9524, 0.0238, 0.0238]",tutup mulut tidak,1
122,kalau pencatutan nama dan mpo melanggar hukum ga ya wkwkwkwkkwkk,wkwkwkwkkwkk,Tokoh dan Partai,0.0757,ya,4.0,"[0.9756, 0.0122, 0.0122]",ya wkwkwkwkkwkk,1
122,kalau pencatutan nama dan mpo melanggar hukum ga ya wkwkwkwkkwkk,ga,Politik Uang,0.0601,hukum,3.0,"[0.9677, 0.0161, 0.0161]",hukum ga ya,1
