id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
52,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,akun,Pendukung/Pemilih,0.3334,mulai,1.0,"[0.7692, 0.1923, 0.0385]",banyak akun kloning,1
52,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,pmbenaran,Politik Uang,0.2938,argumen,-4.0,"[0.0122, 0.0122, 0.9756]",argumen pmbenaran .,1
52,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,paslon,Pendukung/Pemilih,0.507,menyerang,-3.0,"[0.0161, 0.0161, 0.9677]",menyerang paslon #,1
52,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,opini,Pendukung/Pemilih,0.4239,menyerang,-3.0,"[0.0161, 0.0161, 0.9677]",dengan opini dan,1
127,Kasian oh kasian dengan peluru 1milyar untuk tiap RW #agussilvy tidak mempan menangin pilkada #QuickCount #PilkadaSerentak2017,kasian,Politik Uang,0.0991,kasian,-3.0,"[0.0161, 0.0161, 0.9677]",kasian oh,1
127,Kasian oh kasian dengan peluru 1milyar untuk tiap RW #agussilvy tidak mempan menangin pilkada #QuickCount #PilkadaSerentak2017,peluru,Pendukung/Pemilih,0.0215,kasian,-3.0,"[0.0161, 0.0161, 0.9677]",dengan peluru 1milyar,1
127,Kasian oh kasian dengan peluru 1milyar untuk tiap RW #agussilvy tidak mempan menangin pilkada #QuickCount #PilkadaSerentak2017,1milyar,Pendukung/Pemilih,0.0806,peluru,-3.0,"[0.0161, 0.0161, 0.9677]",peluru 1milyar untuk,1
149,Awas ye kalo minta dukungan suara pendukung #AHY,dukungan,Pendukung/Pemilih,0.5224,minta,2.0,"[0.9524, 0.0238, 0.0238]",minta dukungan suara,1
149,Awas ye kalo minta dukungan suara pendukung #AHY,suara,Pendukung/Pemilih,0.7219,dukungan,4.0,"[0.9756, 0.0122, 0.0122]",dukungan suara pendukung,1
149,Awas ye kalo minta dukungan suara pendukung #AHY,pendukung,Pendukung/Pemilih,0.6186,dukungan,4.0,"[0.9756, 0.0122, 0.0122]",suara pendukung #,1
37,aneh deh lebay masa ini di sangkut pautkan sama kandidat Calgub anda lebay seperti yg anda dukung #agussilvy,agussilvy,Tokoh dan Partai,0.1588,dukung,4.0,"[0.9756, 0.0122, 0.0122]",# agussilvy,1
135,Kepada Allah SWT kami ucapkan rasa syukur dan kepada pak @SBYudhoyono @presidenSBY #AHY kami sampaikan terimakasih. Makna 17% suara anda.,suara,Pendukung/Pemilih,0.323,makna,5.0,"[0.9804, 0.0098, 0.0098]",% suara anda,1
135,Kepada Allah SWT kami ucapkan rasa syukur dan kepada pak @SBYudhoyono @presidenSBY #AHY kami sampaikan terimakasih. Makna 17% suara anda.,syukur,Pendukung/Pemilih,0.1118,rasa,-2.0,"[0.0238, 0.0238, 0.9524]",rasa syukur dan,1
238,Terima Kasih teruntuk pendukung #AHY #SYLVI kalianlah pembeda kali ini,pembeda,Tokoh dan Partai,0.1811,terima,2.0,"[0.9524, 0.0238, 0.0238]",lah pembeda kali,1
32,aku juga kemarin #AHY 19april2017 suaraku utk paslon 3 #DKI,paslon,Pendukung/Pemilih,0.4723,aku,2.0,"[0.9524, 0.0238, 0.0238]",utk paslon 3,1
172,"om AA kemana ? lepas #AHY kalah kok dia tutup mulut tidak koar"" mau bongkar SBY",om,Tokoh dan Partai,0.1276,lepas,-2.0,"[0.0238, 0.0238, 0.9524]",om aa,1
172,"om AA kemana ? lepas #AHY kalah kok dia tutup mulut tidak koar"" mau bongkar SBY",mulut,Tokoh dan Partai,0.0682,tutup,2.0,"[0.9524, 0.0238, 0.0238]",tutup mulut tidak,1
122,kalau pencatutan nama #ahy dan mpo #silvi melanggar hukum ga ya.. wkwkwkwkkwkk,ga,Politik Uang,0.0601,hukum,3.0,"[0.9677, 0.0161, 0.0161]",hukum ga ya,1
122,kalau pencatutan nama #ahy dan mpo #silvi melanggar hukum ga ya.. wkwkwkwkkwkk,pencatutan,Tokoh dan Partai,0.3874,melanggar,-5.0,"[0.0098, 0.0098, 0.9804]",kalau pencatutan nama,1
122,kalau pencatutan nama #ahy dan mpo #silvi melanggar hukum ga ya.. wkwkwkwkkwkk,hukum,Politik Uang,0.1466,melanggar,-5.0,"[0.0098, 0.0098, 0.9804]",melanggar hukum ga,1
260,ya pastilah #FPI kan ga suka ama Ahok jd pas #AHY udah kalah otomatis dukungannya lari ke mas #Anisa AniesSandi,mas,Tokoh dan Partai,0.124,lari,-2.0,"[0.0238, 0.0238, 0.9524]",ke mas #,1
260,ya pastilah #FPI kan ga suka ama Ahok jd pas #AHY udah kalah otomatis dukungannya lari ke mas #Anisa AniesSandi,dukungan,Pendukung/Pemilih,0.2575,kalah,-4.0,"[0.0122, 0.0122, 0.9756]",otomatis dukungan nya,1
80,banteng garuda ksatria gentle cinta,ksatria,Pendukung/Pemilih,0.0984,banteng,-3.0,"[0.0161, 0.0161, 0.9677]",garuda ksatria gentle,1
