id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
1421115366063759361,Dengan rencana dan stok yang sudah diamankan Indonesia bisa memastikan pelaksanaan vaksinasi di Agustus aman dan bisa ditingkatkan untuk memenuhi target. #StokVaksinAman,pelaksanaan,Implementasi,0.3947,memastikan,1.0,"[0.7692, 0.1923, 0.0385]",memastikan pelaksanaan vaksinasi,1
1421108348846440449,Kalo kena covid biaya sakit ditanggung negara sampe sembuh. Tapi kalo mati karena program vaksinasi covid negara malah lepas tangan ga mau tanggung jawab. Bagus lah suara arus bawah yg banyak pada ga mau divaksin. Emang suka kebangetan pemerintahannya @jokowi tu.,program,Aplikasi,0.0,lepas,-1.0,"[0.0385, 0.1923, 0.7692]",karena program vaksinasi,1
1421112031877337089,Persyaratan ikut vaksin itu tubuh dalam kondisi sehat untuk itu siapkan diri dengan baik dan tetap bahagia. Jangan lupa bawa KTP/Fotocopy KTP Nanti saat pendaftaran menuliskan nomor HP yang valid di lembaran KTP Nah kalau di tempat kalian prosesnya gimana? #StokVaksinAman,lembaran,Implementasi,0.3277,valid,0.8999999999999999,"[0.7347, 0.2245, 0.0408]",di lembaran ktp,0
1421112031877337089,Persyaratan ikut vaksin itu tubuh dalam kondisi sehat untuk itu siapkan diri dengan baik dan tetap bahagia. Jangan lupa bawa KTP/Fotocopy KTP Nanti saat pendaftaran menuliskan nomor HP yang valid di lembaran KTP Nah kalau di tempat kalian prosesnya gimana? #StokVaksinAman,tubuh,Aplikasi,0.0,vaksin,0.8999999999999999,"[0.7347, 0.2245, 0.0408]",itu tubuh dalam,0
1431475123706490882,Selesai vaksin c0vid dosis 2 hari ini saya langsung dapat SMS pemberitahuan mendapat sertifikat vaksin yang bisa diunduh langsung dari link yang diSMS kan/ unduh lewat aplikasi pedulilindungi #sudahvaksintetap3M,hari,Aplikasi,0.0,vaksin,0.0,"[0.0, 1.0, 0.0]",2 hari ini,0
1431474189756555265,Vaksin perlu bgt krn bs mengurangi risiko sakit parah saat terpapar Covid. Aplg biaya ke RS dan obat2an jg ga murah. Butuh byk biaya. Jd yuk kita vaksin. #sudahvaksintetap3M,risiko,Aplikasi,0.0,mengurangi,-1.0,"[0.0385, 0.1923, 0.7692]",mengurangi risiko sakit,1
1432038325540425728,@jokowi Alhamdulillah saya sudah vaksin pak tinggal nyari kerjaan buat biaya kehidupan sehari hari,pak,Produk Vaksin,0.649,vaksin,0.0,"[0.0, 1.0, 0.0]",vaksin pak tinggal,0
1431822775107289089,@jokowi Asalamalaikum..selamat siang pak presiden.kami sebagai masyarakat kecildi mohon kepada bapak agar kebijakan penerbangan di ringankan kami sudah vaksin ke duadan sekarang mau terbang ke jakarta dari labuan bajo harus pcrsementara biaya pcr sangat mahal situasi begini,duadan,Aplikasi,0.0,vaksin,0.6,"[0.6, 0.35, 0.05]",ke duadan sekarang,0
1432197564456062977,Oya untuk pengaduan dari masyarakat jika ada oknum yang minta biaya vaksin untuk bangun antibodi bisa dilaporkan ke email : pengaduan.itjen@kemkes.go.id atau ke nomer 1500567 #VaksinKokPilahPilih,masyarakat,Aplikasi,0.0,pengaduan,-1.0,"[0.0385, 0.1923, 0.7692]",dari masyarakat jika,1
1432237902445137921,Masyarakat dan Pemerintah saling bekerjasama demi memutus mata rantai penularan Covid-19. Masy patuh prokes diam di rumah aja batasi aktivitas pemerintah mempercepat pelaksanaan vaksinasi #SemangatSalingBantu #PesanBaikUntukSemua @SATU_indonesia @Kompascom,prokes,Aplikasi,0.0,patuh,1.0,"[0.7692, 0.1923, 0.0385]",patuh prokes diam,1
1432207567292301315,Yuk check langsung aplikasi pedulilindungi check sosmed pendaftaran vaksin. Supaya kita bisa segera mendapatkan vaksin #VaksinKokPilahPilih,vaksin,Produk Vaksin,0.4589,mendapatkan,1.0,"[0.7692, 0.1923, 0.0385]",pendaftaran vaksin .,1
1443066362780270593,Masyarakat di sekitar tempat pelaksanaan PON ke-XX pun juga sudah harus divaksin. Pelaksanaan vaksinasi di Papua masih terus digencarkan agar warga bisa aman dan gak was-was mengikuti PON ke-XX. #PONPapuaReady,warga,Aplikasi,0.0,aman,1.0,"[0.7692, 0.1923, 0.0385]",agar warga bisa,1
