id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
1421115366063759361,rencana dan stok sudah diamankan indonesia bisa pelaksanaan vaksinasi agustus aman dan bisa ditingkatkan memenuhi target,target,Peserta,0.3449,memenuhi,1.0,"[0.7692, 0.1923, 0.0385]",memenuhi target,1
1421108348846440449,kalo kena covid biaya sakit ditanggung negara sembuh tapi kalo mati program vaksinasi covid negara lepas tangan tidak tanggung jawab bagus suara arus tidak divaksin memang suka kebangetan pemerintahannya,suara,Aplikasi,0.0,bagus,-1.0,"[0.0385, 0.1923, 0.7692]",bagus suara arus,1
1431474189756555265,vaksin banget bisa mengurangi risiko sakit parah terpapar covid aplg biaya rs dan obat2an tidak murah butuh biaya yuk vaksin,vaksin,Produk Vaksin,0.649,mengurangi,-1.0,"[0.0385, 0.1923, 0.7692]",vaksin banget,1
1432038325540425728,alhamdulillah sudah vaksin pekerjaan biaya sehari,vaksin,Produk Vaksin,0.649,alhamdulil,0.0,"[0.0, 1.0, 0.0]",sudah vaksin pekerjaan,0
1432197564456062977,oya pengaduan masyarakat oknum biaya vaksin bangun antibodi bisa dilaporkan email pengaduanitjengoid atau nomer 1500567,masyarakat,Aplikasi,0.0,pengaduan,-1.0,"[0.0385, 0.1923, 0.7692]",pengaduan masyarakat oknum,1
1432237902445137921,masyarakat dan pemerintah bekerjasama memutus mata rantai penularan covid19 masy patuh prokes diam rumah batasi aktivitas pemerintah mempercepat pelaksanaan vaksinasi,prokes,Aplikasi,0.0,patuh,1.0,"[0.7692, 0.1923, 0.0385]",patuh prokes diam,1
1432207567292301315,yuk check aplikasi pedulilindungi check sosmed pendaftaran vaksin bisa mendapatkan vaksin,vaksin,Produk Vaksin,0.4589,mendapatkan,1.0,"[0.7692, 0.1923, 0.0385]",pendaftaran vaksin bisa,1
1450303520406597639,bahkan daerah hoaks menghambat pelaksanaan vaksinasi lho masyarakat takut vaksinasi,vaksinasi,Implementasi,0.3947,takut,-1.0,"[0.0385, 0.1923, 0.7692]",pelaksanaan vaksinasi lho,1
1451098880620171264,simple mah penyedia jasa pemeriksaan alias laboratorium dapat penghasilan biaya test pcrakhir2 kan pemeriksaan pcr menurundlu vaksinasi tidak pakai pcr swab kebaca arahnya entar bagi-bagi ketiban repot kita2 rakyat,kita2,Aplikasi,0.0,repot,-0.3,"[0.0645, 0.5484, 0.3871]",repot kita2 rakyat,0
1353296280705884160,pemerintah jangan paksa vaksin rakyat tidak butuh vaksin bayar pajak dapat pasti2 bisa sembuhkan amp cegah covid19 herbal sari buah merah madu kina fry81 rakyat tolak vaksin paham vaksin tidak diancam uu karantina mengecewakan,vaksin,Produk Vaksin,0.649,paham,-0.8999999999999999,"[0.0408, 0.2245, 0.7347]",paksa vaksin rakyat,0
