id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
120,kalo sudah kuliah mah kampus merdeka kalo adekku mah b haha,adekku,Anggaran,0.0,merdeka,0.0,"[0.0, 1.0, 0.0]",kalo adekku mah,0
181,kerja mendukung program merdeka belajar kampus merdeka mbkm membuka peluang inovasi pendidikan cerah,program,Program,0.5752,mendukung,1.0,"[0.7692, 0.1923, 0.0385]",mendukung program merdeka,1
286,(tertawa) ptk naro logo kampus merdeka ignya tapi mahasiswanya tidak merdeka,mahasiswa,Magang,0.2817,merdeka,-0.3,"[0.0645, 0.5484, 0.3871]",tapi mahasiswa nya,0
176,kayanya tiada bentakan dan blaming karyawan gue atau teman gue i assume they just dont know what they did is wrong cos maybe have normalized gue bertahan iyee magangnya magang kampus merdeka,tiada,Anggaran,0.0,kaya,1.0,"[0.7692, 0.1923, 0.0385]",nya tiada bentakan,1
34,benar banget malahan kuliah tuh takut hilang program kampus merdeka menguntungkan mahasiswa tapi sayang sekalai sekolah sdsma,sayang,Anggaran,0.0,menguntungkan,1.0,"[0.7692, 0.1923, 0.0385]",tapi sayang sekalai,1
34,benar banget malahan kuliah tuh takut hilang program kampus merdeka menguntungkan mahasiswa tapi sayang sekalai sekolah sdsma,mahasiswa,Magang,0.2817,menguntungkan,1.0,"[0.7692, 0.1923, 0.0385]",menguntungkan mahasiswa tapi,1
270,tapi sejujurnya menurutku bagus kurikulumnya kalo perkuliahan bagusnya merdeka kampus belajar,kampus,Program,0.6103,merdeka,0.6,"[0.6, 0.35, 0.05]",merdeka kampus belajar,0
239,program baik kampus merdeka kayak msib iisma pmm program keuntungan dan pengalaman bermanfaat mahasiswa,pengalaman,Anggaran,0.2503,keuntungan,1.0,"[0.7692, 0.1923, 0.0385]",dan pengalaman bermanfaat,1
239,program baik kampus merdeka kayak msib iisma pmm program keuntungan dan pengalaman bermanfaat mahasiswa,mahasiswa,Magang,0.2817,bermanfaat,1.0,"[0.7692, 0.1923, 0.0385]",bermanfaat mahasiswa,1
14,suka pas kampus merdeka sistemnya agak hancur melihat msib pengunduran schedule miss,sistem,Program,0.5179,hancur,-1.0,"[0.0385, 0.1923, 0.7692]",merdeka sistem nya,1
292,bagusnya kampus merdeka mahasiswa,kampus,Program,0.6103,bagus,1.0,"[0.7692, 0.1923, 0.0385]",nya kampus merdeka,1
212,namanya proses anjir lagian proramnya bagus kayak kampus merdeka,kampus,Program,0.6103,bagus,1.0,"[0.7692, 0.1923, 0.0385]",kayak kampus merdeka,1
264,tapi pendidikan kurikulum merdeka bagus banget apalagi programprogramnya kesempatan berkembang diluar kampus,kampus,Program,0.3452,berkembang,1.0,"[0.7692, 0.1923, 0.0385]",diluar kampus,1
177,kayanya kebijakan bagusnya kuliah deh kayak kampus merdeka susah banget cari magang memasukkan proposal tapi sudah terintegrasi sistem kuliah,kebijakan,Nadiem,0.2782,kaya,1.0,"[0.7692, 0.1923, 0.0385]",nya kebijakan bagus,1
218,one of gue gasuka program kampus merdeka program wirausaha merdeka kayak,program,Program,0.4396,merdeka,0.0,"[0.0, 1.0, 0.0]",gasuka program kampus,0
162,kampus merdeka untung untung mahasiswanya oke2 dan senang pandemi muncul tuh program mayanlah kedapetan enak,mahasiswa,Magang,0.2817,merdeka,1.2,"[0.8276, 0.1379, 0.0345]",untung mahasiswa nya,0
41,mahasiswa bela nadiem program kampus merdeka bagus termasuk teman gue kayak asu makan anjinggg lihat kacaunya bangsatttt bangsat,bangsatttt,Anggaran,0.0,kacau,-1.0,"[0.0385, 0.1923, 0.7692]",nya bangsatttt bangsat,1
216,mah kampus merdeka gue sih stop gap solution akar masalahnya memang pendidikan diploma dan sarjana indonesia tidak cocok kebutuhan industrinya dan tidak diurus,gue,Program,0.5179,merdeka,-0.6,"[0.05, 0.35, 0.6]",merdeka gue sih,0
86,ibu gua suka cerita kampus merdeka seringkali ajang pemutihan nilai mahasiswa,ibu,Anggaran,0.0,merdeka,-0.3,"[0.0645, 0.5484, 0.3871]",ibu gua,0
294,dipertahankan kampus merdeka iisma tapi kuota ditekan sempurnakan progran iisma dalam negeri sangat bermanfaat kawan kawan kampus secondthird tierdaerah nun disana merasakan atmosfer kampus top 10 indonesia dan msib,kawan,Anggaran,0.0,bermanfaat,1.0,"[0.7692, 0.1923, 0.0385]",bermanfaat kawan kawan,1
107,jujur terobosannya kampus merdeka versi l kuliah tapi ajarnya kapitalis dan ketidakselarasan kementrian menyebabkan perusahaan bisa seenak udel pegawai upah murah beban kerja selangit alias anak magang,kampus,Program,0.6103,terobosan,1.0,"[0.7692, 0.1923, 0.0385]",nya kampus merdeka,1
8,program kampus merdeka bagus banget mahasiswa 1 kampus ruko bisa pmm merasai kuliah kampus benaran 2 program magang merdeka ngasah skill tidak diajari dalem kelas,ngasah,Program,0.5179,merdeka,0.0,"[0.0, 1.0, 0.0]",merdeka ngasah skill,0
184,kalo program dikti nya sok far oke oke sih gue sangat mengapresiasi kampus merdeka,sih,Anggaran,0.0,sok,-1.0,"[0.0385, 0.1923, 0.7692]",oke sih gue,1
209,wkwkwk kampus merdeka tahi anjing,tahi,Program,0.5179,merdeka,-0.6,"[0.05, 0.35, 0.6]",merdeka tahi anjing,0
31,program kampus merdeka memang bagus anak msib tapi sayangnya program membuat perusahaan tidak rekrut karyawan dan ngandelin anak magang magang,program,Program,0.4396,"membuat,merdeka",1.0,"[0.7692, 0.1923, 0.0385]",program kampus,1
51,era nadiem bagus kampus merdeka merdeka belajarr,belajarr,Program,0.5179,merdeka,0.3,"[0.3871, 0.5484, 0.0645]",merdeka belajarr,0
232,ppdb zonasi is not a breakthrough dan kampus merdeka tidak sebagus coyy,ppdb,Anggaran,0.0,merdeka,-0.3,"[0.0645, 0.5484, 0.3871]",ppdb zonasi,0
215,not gonna lie ive been lucky enough tapi experience good things from kampus merdeka tapi benaran gemas perusahaan buka loker keterangannya urgently needed for internship tau-tau membebankan pekerjaan anak magang jyakhh,benaran,Anggaran,0.0,merdeka,0.0,"[0.0, 1.0, 0.0]",tapi benaran gemas,0
229,pfftt bagus kalo pelaku dan lembaga pendidikan deh kampus merdeka bikin pusing tenaga pendidik bobot konversi tidak ada batasan mhsswa seenaknya ambil matkul tidak porsinya ngaruh standar kompetensi zonasi teknisnya jelek banget,tenaga,Anggaran,0.0,pusing,1.0,"[0.7692, 0.1923, 0.0385]",pusing tenaga pendidik,1
245,sedikit kebantu kampus merdeka kuliah kebijakan publik lulus kuliah product manager tech hehe,kuliah,Program,0.3662,merdeka,-0.3,"[0.0645, 0.5484, 0.3871]",merdeka kuliah kebijakan,0
44,bukan dibayar murah kalo kampus merdeka perusahaan bahkan tidak harus keluar uang upah anak magang negara benaran dapat tenaga kerja cuma2,kampus,Program,0.6103,keluar,1.0,"[0.7692, 0.1923, 0.0385]",kalo kampus merdeka,1
19,and kampus merdeka is hurting full time employees more and way college students think bukannya sibuk memikirkan akademis dan ilmunya lomba2 bisa internship cepat dan meninggalkan akademiknya,akademik,Anggaran,0.0,meninggalkan,-1.0,"[0.0385, 0.1923, 0.7692]",meninggalkan akademik nya,1
69,gonna support this argument percaya tpks zonasi dan kampus merdeka program bagus diteruskan pendidikan sudah berjalan arah equality amp quality education lho pendidikan tidak menang kalah tapi berkeadilan,pendidikan,Nadiem,0.2782,menang,-1.0,"[0.0385, 0.1923, 0.7692]",diteruskan pendidikan sudah,1
17,tidak tau jurusan tapi awal kemunculannya kampus merdeka tuh sedikit polemik apalagi anak gerakan atau advo mahasiswa lari situ kekhawatirannya sih kesannya kayak its all about industry,sih,Anggaran,0.0,kekhawatiran,-1.0,"[0.0385, 0.1923, 0.7692]",nya sih kesan,1
136,kampus merdeka is shitty teman magang ketinggalan materi semester tapi tidak mau ngejar apesnya sekelompok smt berikutnya endingnya plonga plongo apply magang merdeka deh tidak usah kuliah magang sonooooo manusia gila maganggggg,kuliah,Magang,0.4441,ketinggalan,1.0,"[0.7692, 0.1923, 0.0385]",usah kuliah magang,1
260,tapi program kampus merdeka bermanfaat banget bisa paham roadmap skill dibutuhin diindustri dan bisa fokus mempelajari bidang kalo kampus doang asli kureng banget dan belajar nya terlalu general,program,Program,0.4396,bermanfaat,1.0,"[0.7692, 0.1923, 0.0385]",tapi program kampus,1
101,iya tapi menurutku kemdikbudristekdikti regulasi dan tegas setauku pemerintah bayar uang perusahaan dijadikan magang kampus merdeka perusahaan pasti maumau,pemerintah,Anggaran,0.0,tegas,1.0,"[0.7692, 0.1923, 0.0385]",setauku pemerintah bayar,1
233,prespektif alumi kampus merdeka batch 2 amp 3 menurutku bagus bisa bootcamp mehong cari magang gampang tbh gue enjoy mbkm kelas kampus materi nya outdated terkhusus kampus merdeka masih sisi fucked up nya,batch,Program,0.5179,merdeka,0.3,"[0.3871, 0.5484, 0.0645]",merdeka batch 2,0
161,kampus merdeka tuh benaran program oke banget sih memang despite whole convo behind banyakan bagusnya bobroknya,benaran,Program,0.2722,merdeka,0.3,"[0.3871, 0.5484, 0.0645]",tuh benaran program,0
152,kampus merdeka oke oke regulasinya lancar timeline mundur mundur mulu temenku tidak on time dapat duitnya lol ppdb zonasi angkatan nih bosss 2018 fcked up hehe belum tapi sudah dijalankan menimbulkan kekecewaan,duit,Anggaran,0.0,lancar,1.0,"[0.7692, 0.1923, 0.0385]",dapat duit nya,1
118,kalo kampus merdeka kayak msibmbkm menurutku banget mungkin susah magang kalopun dapat banyakan unpaid dan schedule magang tidak jelas i mean tidak ada pekerjaan tapi kalo lihat temenku kebanyakan mbkm sudah kerja,magang,Magang,0.4441,susah,-1.0,"[0.0385, 0.1923, 0.7692]",susah magang kalopun,1
72,setuju kampus merdeka si program bisa cepat lulus pilihan rekognisi kkn dan matkul internship,rekognisi,Anggaran,0.0,pilihan,1.0,"[0.7692, 0.1923, 0.0385]",pilihan rekognisi kkn,1
109,jujurly kampus merdeka memang bagus sih mengasih kesempatan mahasiswa,sih,Anggaran,0.0,bagus,1.0,"[0.7692, 0.1923, 0.0385]",bagus sih mengasih,1
235,satgas tpks dan kampus merdeka walaupun masih minus mitra dan teknis okelah,mitra,Anggaran,0.2503,minus,0.0,"[0.0, 1.0, 0.0]",minus mitra dan,0
45,but whatever thanks for kampus merdeka walaupun masih lumayan koreksi program,koreksi,Program,0.2722,merdeka,0.3,"[0.3871, 0.5484, 0.0645]",lumayan koreksi program,0
94,benar banget kampus merdeka program cocok banget mahasiswa,kampus,Program,0.6103,benar,1.0,"[0.7692, 0.1923, 0.0385]",banget kampus merdeka,1
94,benar banget kampus merdeka program cocok banget mahasiswa,mahasiswa,Magang,0.2817,cocok,1.0,"[0.7692, 0.1923, 0.0385]",banget mahasiswa,1
146,kampus merdeka mahasiswa fokus bangun karir instead of menempuh pendidikan dan membangun soft skill organisasi kampus,mahasiswa,Program,0.3662,merdeka,0.0,"[0.0, 1.0, 0.0]",merdeka mahasiswa fokus,0
253,setuju kampus merdeka oke banget,kampus,Program,0.6103,setuju,1.0,"[0.7692, 0.1923, 0.0385]",setuju kampus merdeka,1
185,kalo program kampus merdeka oke gajinya telat cair magang lol,magang,Magang,0.4441,telat,0.0,"[0.0, 1.0, 0.0]",cair magang lol,0
124,kampus merdeka anak iisma isinya orkay magang kayak budak,anak,Program,0.4882,merdeka,-0.3,"[0.0645, 0.5484, 0.3871]",merdeka anak iisma,0
228,perspektif industri mengasih posisi magang program kampus merdeka sih output nya bagus anaknya belum dapat feedback negatif gap skill lulusan s1 tech dan industri lumayan program magang industri,sih,Program,0.5179,merdeka,0.3,"[0.3871, 0.5484, 0.0645]",merdeka sih output,0
122,kampus merdeka ah sudah pemberitaan keluhan dan polemik mbkm ngerusaknya,polemik,Anggaran,0.2503,keluhan,-1.0,"[0.0385, 0.1923, 0.7692]",dan polemik mbkm,1
113,perkuliahan dampaknya positif sih program kampus merdeka mengasih mahasiswa opsi mendalami jurusannya dalam dan industrinya,sih,Program,0.2722,positif,1.0,"[0.7692, 0.1923, 0.0385]",positif sih program,1
105,tidak monoton belajarnya kuliah kurikulumnya memang bagus apalagi program kampus merdeka pilihan eksplor minat,eksplor,Anggaran,0.0,pilihan,1.0,"[0.7692, 0.1923, 0.0385]",pilihan eksplor minat,1
226,banget mesti dibenahi situ sok does kampus merdeka,does,Program,0.3452,sok,-1.0,"[0.0385, 0.1923, 0.7692]",sok does kampus,1
282,anak kuliah was okay tbh kampus merdeka lumayan orang-orang magang atau exchange,orang-orang,Magang,0.4441,merdeka,0.3,"[0.3871, 0.5484, 0.0645]",lumayan orang-orang magang,0
