id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
181,kerja mendukung program program program mbkm membuka peluang inovasi pendidikan cerah,program,Program,0.2722,mendukung,1.0,"[0.7692, 0.1923, 0.0385]",mendukung program program,1
286,(tertawa) ptk naro logo program ignya tapi mahasiswanya tidak merdeka,mahasiswa,Magang,0.2817,merdeka,-0.3,"[0.0645, 0.5484, 0.3871]",tapi mahasiswa nya,0
176,kayanya tiada bentakan dan blaming karyawan gue atau teman gue i assume they just dont know what they did is wrong cos maybe have normalized gue bertahan iyee magangnya magang program,tiada,Anggaran,0.0,kaya,1.0,"[0.7692, 0.1923, 0.0385]",nya tiada bentakan,1
34,benar banget malahan kuliah tuh takut hilang program program menguntungkan mahasiswa tapi sayang sekalai sekolah sdsma,mahasiswa,Magang,0.2817,menguntungkan,1.0,"[0.7692, 0.1923, 0.0385]",menguntungkan mahasiswa tapi,1
270,tapi sejujurnya menurutku bagus kurikulumnya kalo perkuliahan bagusnya merdeka kampus belajar,kampus,Program,0.6103,merdeka,0.6,"[0.6, 0.35, 0.05]",merdeka kampus belajar,0
21,apaan bagus perguruan negeri gr kebijakan kampus ngebebanin mhs si harus ikutan bikin jurnal publikasi menuhin quota kampus mhs manfaatin program ngeclaim sks padahal tidak mengerti pas tes,pas,Anggaran,0.0,mengerti,-1.0,"[0.0385, 0.1923, 0.7692]",mengerti pas tes,1
239,program baik program kayak msib iisma pmm program keuntungan dan pengalaman bermanfaat mahasiswa,pengalaman,Anggaran,0.2503,keuntungan,1.0,"[0.7692, 0.1923, 0.0385]",dan pengalaman bermanfaat,1
239,program baik program kayak msib iisma pmm program keuntungan dan pengalaman bermanfaat mahasiswa,mahasiswa,Magang,0.2817,bermanfaat,1.0,"[0.7692, 0.1923, 0.0385]",bermanfaat mahasiswa,1
292,bagusnya program mahasiswa,program,Magang,0.3587,bagus,1.0,"[0.7692, 0.1923, 0.0385]",nya program mahasiswa,1
212,namanya proses anjir lagian proramnya bagus kayak program,program,Program,0.2722,bagus,1.0,"[0.7692, 0.1923, 0.0385]",kayak program,1
