id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
52,akun kloning seolah2 pendukung menyerang paslon opini dan argumen pmbenaranjangan terkecoh,paslon,Politik Uang,0.0,menyerang,-1.0,"[0.0385, 0.1923, 0.7692]",menyerang paslon opini,1
127,kasihan kasihan peluru 1milyar rw tidak mempan menangin pilkada,kasihan,Politik Uang,0.0,kasihan,1.0,"[0.7692, 0.1923, 0.0385]",kasihan kasihan,1
149,awas ye kalo dukungan suara pendukung,suara,Pendukung/Pemilih,0.6068,dukungan,1.0,"[0.7692, 0.1923, 0.0385]",dukungan suara pendukung,1
238,terima kasih teruntuk pendukung kalianlah pembeda,kasih,Politik Uang,0.0,terima,1.0,"[0.7692, 0.1923, 0.0385]",terima kasih teruntuk,1
250,terima kasih keistiqomahan relawan tlh mengantarkan signifikan,kasih,Politik Uang,0.0,terima,1.0,"[0.7692, 0.1923, 0.0385]",terima kasih keistiqomahan,1
172,om aa lepas kalah tutup mulut tidak koar bongkar surabaya,om,Politik Uang,0.0,kalah,1.0,"[0.7692, 0.1923, 0.0385]",om aa,1
122,pencatutan nama dan mpo melanggar hukum tidak wkwkwkwkkwkk,hukum,Politik Uang,0.0,melanggar,1.0,"[0.7692, 0.1923, 0.0385]",melanggar hukum tidak,1
260,pastilah kan tidak suka ahok pas sudah kalah otomatis dukungannya lari mas aniessandi,dukungan,Politik Uang,0.0,kalah,1.0,"[0.7692, 0.1923, 0.0385]",otomatis dukungan nya,1
83,double lol menuduh miskin ide copy,ide,Politik Uang,0.0,menuduh,-1.0,"[0.0385, 0.1923, 0.7692]",miskin ide copy,1
176,pakdhe karwo pilgub jatim deh karwo isyaratkan agus tidak maju pilgub jatim,pilgub,Politik Uang,0.0,maju,-1.0,"[0.0385, 0.1923, 0.7692]",karwo pilgub jatim,1
177,paslon salah langkah sandi bukan tidak mungkin bumerang gagal dapat suara,suara,Politik Uang,0.0,gagal,1.0,"[0.7692, 0.1923, 0.0385]",dapat suara,1
78,manakah sang ksatria samurai prajurit pembangun semangat harapan pahlawan dinantinantikan rakyat,harapan,Politik Uang,0.0,semangat,1.0,"[0.7692, 0.1923, 0.0385]",semangat harapan pahlawan,1
47,awas ye kalo dukungan suara pendukung,suara,Pendukung/Pemilih,0.6068,dukungan,1.0,"[0.7692, 0.1923, 0.0385]",dukungan suara pendukung,1
251,tuduhan kerap dilontarkan anak ingusan dan mayor tak terdengar dudah berubah sanjungan,mayor,SARA,0.2167,ingusan,1.0,"[0.7692, 0.1923, 0.0385]",dan mayor tak,1
111,jangan curiga saldonya bisa kenti blt berbuat baik belum apa-apa sudah curiga mekanismenya,mekanisme,Politik Uang,0.0,curiga,1.0,"[0.7692, 0.1923, 0.0385]",curiga mekanisme nya,1
224,setuju banget tidak bersyukur kemrin tidak banjir sibuk pembelaan,kemrin,Politik Uang,0.0,bersyukur,-1.0,"[0.0385, 0.1923, 0.7692]",bersyukur kemrin tidak,1
99,hellloooo suara rakyat mengerti suara rakyat bukan suaranya dek ngopi gih,suara,Politik Uang,0.0,mengerti,-1.0,"[0.0385, 0.1923, 0.7692]",hellloooo suara rakyat,1
5,agus tersingkir ahok anies rebutan suara ahy kepentingan kelompok,anies,Tokoh dan Partai,0.2628,ahok,0.3,"[0.3871, 0.5484, 0.0645]",ahok anies rebutan,0
165,meskipun kehilangan kesempatan menduduki gubernur dki 20172022,gubernur,Politik Uang,0.0,menduduki,-1.0,"[0.0385, 0.1923, 0.7692]",menduduki gubernur dki,1
53,konstituen risih mulutnya ahok tapi pilih anies gerombolan khilafah dibelakangnya memilih ahok,khilafah,Politik Uang,0.0,gerombolan,-1.0,"[0.0385, 0.1923, 0.7692]",gerombolan khilafah dibelakang,1
157,masih mencaci maki dan pepo memo nya harus mengemis suara 17 orang-orang hina,suara,Politik Uang,0.0,mengemis,-1.0,"[0.0385, 0.1923, 0.7692]",mengemis suara 17,1
116,jangan sekeluarga pemilih program dp 0 nyata sekeluarga memilih,program,Pendukung/Pemilih,0.6068,pemilih,1.0,"[0.7692, 0.1923, 0.0385]",pemilih program dp,1
234,sylvi aniessandiaga basukidjarot debat pilkada dki 2017 jangan jual mimpi gubernur,pilkada,Politik Uang,0.0,debat,0.0,"[0.0, 1.0, 0.0]",debat pilkada dki,0
168,mungkin rendah hati bisa pendukung paslon 1 masih hati melihat foto,paslon,Pendukung/Pemilih,0.6068,pendukung,1.0,"[0.7692, 0.1923, 0.0385]",pendukung paslon 1,1
67,coba beretika dukungan konstituen setia jangan menipu membuat meme dan berita palsu rachland nashidik,konstituen,Politik Uang,0.0,dukungan,-1.0,"[0.0385, 0.1923, 0.7692]",dukungan konstituen setia,1
129,kasihan tidak menyadari musuh dalam sarung selfienya motivasi terselubung hmmm,hmmm,Politik Uang,0.0,terselubung,-1.0,"[0.0385, 0.1923, 0.7692]",terselubung hmmm,1
35,amieeennnnn dan tidak lupa janji2 manis kampanye sang mayor sejati,janji2,Politik Uang,0.0,lupa,1.0,"[0.7692, 0.1923, 0.0385]",lupa janji2 manis,1
173,pilkada dki ahy dan surabaya target hoax dan fitnah akunakun pendukung ahok,pendukung,Pendukung/Pemilih,0.4291,fitnah,-1.0,"[0.0385, 0.1923, 0.7692]",akunakun pendukung ahok,1
84,enam kampanye pilkada kubu ahy pendukung ahok sibuk serang program ahy tidak kampanye program ahok,ahok,Pendukung/Pemilih,0.4291,pendukung,1.0,"[0.7692, 0.1923, 0.0385]",pendukung ahok sibuk,1
137,ahy kalah berpidato timnya terdiam menangis melepaskan pilkada dki,pilkada,Politik Uang,0.0,melepaskan,-1.0,"[0.0385, 0.1923, 0.7692]",melepaskan pilkada dki,1
215,sejujurnya penilaian subyektif terlalu cepat ahy 2019 kalah pilkada bukan modal tapi catatan negatif,ahy,Tokoh dan Partai,0.1859,kalah,1.0,"[0.7692, 0.1923, 0.0385]",cepat ahy 2019,1
249,tolak bajingan tengik ahy tukang sogok pemilih bangsat ahy sungguh berbahaya,ahy,Tokoh dan Partai,0.1859,bajingan,-1.0,"[0.0385, 0.1923, 0.7692]",tengik ahy tukang,1
45,astaga pendukung ahy tidak terima hasil surveyharusnya tolak acuan semangat,ahy,Pendukung/Pemilih,0.4291,pendukung,-1.0,"[0.0385, 0.1923, 0.7692]",pendukung ahy tidak,1
195,sahsah tolak ukur kedewasaan dki kalo ahy menang pola pikir masih primitif,sahsah,Politik Uang,0.0,menang,1.0,"[0.7692, 0.1923, 0.0385]",sahsah tolak,1
232,suara dihargai sembako tolak ahy sudah melakukan penyuapan,suara,Politik Uang,0.0,dihargai,1.0,"[0.7692, 0.1923, 0.0385]",suara dihargai,1
247,seleksi tendemnya pilkada dki ahy kalah tendemnya salah pilih mengurangi kualitas ahy,seleksi,Politik Uang,0.0,kalah,-1.0,"[0.0385, 0.1923, 0.7692]",seleksi tendem,1
242,segelintir pendukung ahy ditikung tweet akun resmi parpol pendukung aniessandi,ahy,Pendukung/Pemilih,0.4291,pendukung,1.0,"[0.7692, 0.1923, 0.0385]",pendukung ahy ditikung,1
210,reaksi pendukung ahy tak bersikap bawa perasaan tak pecundang ajang pilkada,ahy,Pendukung/Pemilih,0.4291,pendukung,-1.0,"[0.0385, 0.1923, 0.7692]",pendukung ahy tak,1
77,suara bergetar ahy maaf sudah kecewakan pendukungnya,ahy,Tokoh dan Partai,0.1859,bergetar,-1.0,"[0.0385, 0.1923, 0.7692]",bergetar ahy maaf,1
146,lini pertahanan ahy rapuh debat efek aksi 112 efek dan antasari efek,efek,Politik Uang,0.0,debat,-0.3,"[0.0645, 0.5484, 0.3871]",debat efek aksi,0
85,gagal pilkada dki jakarta ahy diisukan maju pilgub jatim,pilkada,Politik Uang,0.0,gagal,-1.0,"[0.0385, 0.1923, 0.7692]",gagal pilkada dki,1
161,meninggalkan zona aman dan nyaman kemajuan jakarta hasil tak harapan ahy,hasil,Politik Uang,0.0,kemajuan,-1.0,"[0.0385, 0.1923, 0.7692]",jakarta hasil tak,1
128,kasihan ahy kalah walaupun sudah umroh dibantu doa 7 juta umatternyata allah netral tidak berpolitik,kasihan,Tokoh dan Partai,0.1859,kalah,-1.0,"[0.0385, 0.1923, 0.7692]",kasihan ahy,1
118,jual baju bekas ahy 3 pm for info,ahy,Tokoh dan Partai,0.1859,bekas,-1.0,"[0.0385, 0.1923, 0.7692]",bekas ahy 3,1
126,kasihan benar nasib ahy karir tni harus tamat nafsu pepo cepat parpol tidak dagang,ahy,Tokoh dan Partai,0.1859,nasib,1.0,"[0.7692, 0.1923, 0.0385]",nasib ahy karir,1
115,jangan surabaya ahy kalah garagara antasari survey kan sudah menunjukan ahy merosot elektabilitasnya,garagara,Politik Uang,0.0,kalah,1.0,"[0.7692, 0.1923, 0.0385]",kalah garagara antasari,1
217,ahy memang kalah pilkada tetapi menang hati rakyat,ahy,Tokoh dan Partai,0.1859,kalah,-1.0,"[0.0385, 0.1923, 0.7692]",ahy memang,1
98,heeebohhhhagus sylvi kalah tps 6 tmpat menggunakan hak pilihnya,tps,Politik Uang,0.0,kalah,-1.0,"[0.0385, 0.1923, 0.7692]",kalah tps 6,1
75,demokrat ahok gerindra tantangan bermain politik kotor,gerindra,Tokoh dan Partai,0.2628,ahok,-0.6,"[0.05, 0.35, 0.6]",ahok gerindra tantangan,0
62,pendukung mari rapatkan barisan paslon buang issu miring paslon masih dipimpin terdakwa simulut ember,paslon,Politik Uang,0.0,miring,-1.0,"[0.0385, 0.1923, 0.7692]",barisan paslon buang,1
93,rakyat menangis melihat kalah bukan aspek pribadi tapi kepentingan rakyat,rakyat,Politik Uang,0.0,kepentingan,-1.0,"[0.0385, 0.1923, 0.7692]",rakyat menangis,1
