id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
52,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,paslon,Politik Uang,0.0,menyerang,-1,"[0.0385, 0.1923, 0.7692]",menyerang paslon #,1
149,Awas ye kalo minta dukungan suara pendukung #AHY	,pendukung,Pendukung/Pemilih,0.6068,dukungan,1,"[0.7692, 0.1923, 0.0385]",suara pendukung #,1
238,Terima Kasih teruntuk pendukung #AHY #SYLVI kalianlah pembeda kali ini,pembeda,Politik Uang,0.0,terima,1,"[0.7692, 0.1923, 0.0385]",lah pembeda kali,1
172,"om AA kemana ? lepas #AHY kalah kok dia tutup mulut tidak koar"" mau bongkar SBY",om,Politik Uang,0.0,lepas,-1,"[0.0385, 0.1923, 0.7692]",om aa,1
122,kalau pencatutan nama #ahy dan mpo #silvi melanggar hukum ga ya.. wkwkwkwkkwkk,pencatutan,Tokoh dan Partai,0.3717,melanggar,-1,"[0.0385, 0.1923, 0.7692]",kalau pencatutan nama,1
260,ya pastilah #FPI kan ga suka ama Ahok jd pas #AHY udah kalah otomatis dukungannya lari ke mas #Anisa AniesSandi,dukungan,Politik Uang,0.0,kalah,-1,"[0.0385, 0.1923, 0.7692]",otomatis dukungan nya,1
83,double lol menuduh miskin ide copy,ide,Politik Uang,0.0,menuduh,-1,"[0.0385, 0.1923, 0.7692]",miskin ide copy,1
78,"Di manakah #AHY... Sang Ksatria, Samurai, Prajurit, Pembangun semangat & harapan, Pahlawan yg dinanti-nantikan rakyat itu...",harapan,Politik Uang,0.0,semangat,1,"[0.7692, 0.1923, 0.0385]","& harapan ,",1
139,"Kini, ketika #AHY berada di luar arena, tabir kegelapan & tiada harapan kembali menyergap rakyat. Kemana lagi rakyat mencari ketulusan?",tiada,Politik Uang,0.0,kegelapan,-1,"[0.0385, 0.1923, 0.7692]",& tiada harapan,1
47,Awas ye kalo minta dukungan suara pendukung #AHY	,pendukung,Pendukung/Pemilih,0.6068,dukungan,1,"[0.7692, 0.1923, 0.0385]",suara pendukung #,1
111,Jangan curiga dulu saldonya bisa di kenti seperti BLT orang mau berbuat baik belum apa2 sudah curiga mekanismenya seperti apa #AHY,mekanisme,Politik Uang,0.0,curiga,1,"[0.7692, 0.1923, 0.0385]",curiga mekanisme nya,1
208,Sayang mayor #AHY termasuk yang dikader untuk pemimpin masa depan Dari SMA taruna beliau selalu yang teratas Lagi2 itu pilihan #pensiundini,pensiundini,Politik Uang,0.0,pilihan,1,"[0.7692, 0.1923, 0.0385]",# pensiundini,1
224,setuju bangett.. banyak yang tidak bersyukur kemrin tidak banjir sekarang malah sibuk mencari pembelaan #jangan_sombong #AHY #banjirjkt,kemrin,Politik Uang,0.0,bersyukur,-1,"[0.0385, 0.1923, 0.7692]",bersyukur kemrin tidak,1
65,Cari teman kok cara gitu ya.. pdhal #AHY sdh jelas. Gubernur Baru...@MasTBP,gitu,Politik Uang,0.0,cara,-1,"[0.0385, 0.1923, 0.7692]",cara gitu ya,1
5,"Agus tersingkir, Ahok & Anies rebutan suara AHY untuk kepentingan kelompok   lewat @YouTube #ahok #anies #ahy #pilgub",kelompok,Pendukung/Pemilih,0.2023,kepentingan,1,"[0.7692, 0.1923, 0.0385]",kepentingan kelompok lewat,1
