id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
1,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,akun,Agus-Sylvi,0.0,mulai,1.0,"[0.7692, 0.1923, 0.0385]",banyak akun kloning,1
1,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,paslon,Agus-Sylvi,0.0,menyerang,-3.0,"[0.0161, 0.0161, 0.9677]",menyerang paslon #,1
1,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,opini,Anies-Sandi,0.317,menyerang,-3.0,"[0.0161, 0.0161, 0.9677]",dengan opini dan,1
1,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,pmbenaran,Agus-Sylvi,0.0,argumen,-4.0,"[0.0122, 0.0122, 0.9756]",argumen pmbenaran .,1
2,#agussilvy bicara apa kasihan yaa...lap itu air matanya wkwkwkwk,mata,Agus-Sylvi,0.0,air,-1.0,"[0.0385, 0.1923, 0.7692]",air mata nya,1
2,#agussilvy bicara apa kasihan yaa...lap itu air matanya wkwkwkwk,#agussilvy,Agus-Sylvi,0.0,apa,-3.0,"[0.0161, 0.0161, 0.9677]",#agussilvy bicara,1
2,#agussilvy bicara apa kasihan yaa...lap itu air matanya wkwkwkwk,kasihan,Agus-Sylvi,0.0,apa,-3.0,"[0.0161, 0.0161, 0.9677]",apa kasihan yaa...lap,1
2,#agussilvy bicara apa kasihan yaa...lap itu air matanya wkwkwkwk,air,Agus-Sylvi,0.0,apa,-3.0,"[0.0161, 0.0161, 0.9677]",itu air mata,1
2,#agussilvy bicara apa kasihan yaa...lap itu air matanya wkwkwkwk,yaa...lap,Agus-Sylvi,0.0,kasihan,4.0,"[0.9756, 0.0122, 0.0122]",kasihan yaa...lap itu,1
3,Kalau aku sih gak nunggu hasil akhir QC tp lagi nunggu motif cuitan pak @SBYudhoyono kayak apa.. pasca #AgusSilvy Nyungsep..,pasca,Agus-Sylvi,0.0,nunggu,1.0,"[0.7692, 0.1923, 0.0385]",. pasca #,1
3,Kalau aku sih gak nunggu hasil akhir QC tp lagi nunggu motif cuitan pak @SBYudhoyono kayak apa.. pasca #AgusSilvy Nyungsep..,motif,Agus-Sylvi,0.0,nunggu,1.0,"[0.7692, 0.1923, 0.0385]",nunggu motif cuitan,1
3,Kalau aku sih gak nunggu hasil akhir QC tp lagi nunggu motif cuitan pak @SBYudhoyono kayak apa.. pasca #AgusSilvy Nyungsep..,hasil,Agus-Sylvi,0.0,nunggu,1.0,"[0.7692, 0.1923, 0.0385]",nunggu hasil akhir,1
4,Kasian oh kasian dengan peluru 1milyar untuk tiap RW #agussilvy tidak mempan menangin pilkada #QuickCount #PilkadaSerentak2017,1milyar,Agus-Sylvi,0.0,peluru,-3.0,"[0.0161, 0.0161, 0.9677]",peluru 1milyar untuk,1
4,Kasian oh kasian dengan peluru 1milyar untuk tiap RW #agussilvy tidak mempan menangin pilkada #QuickCount #PilkadaSerentak2017,kasian,Agus-Sylvi,0.0,kasian,-3.0,"[0.0161, 0.0161, 0.9677]",kasian oh,1
4,Kasian oh kasian dengan peluru 1milyar untuk tiap RW #agussilvy tidak mempan menangin pilkada #QuickCount #PilkadaSerentak2017,peluru,Agus-Sylvi,0.0,kasian,-3.0,"[0.0161, 0.0161, 0.9677]",dengan peluru 1milyar,1
6,aneh deh lebay masa ini di sangkut pautkan sama kandidat Calgub anda lebay seperti yg anda dukung #agussilvy,agussilvy,Agus-Sylvi,0.0,dukung,4.0,"[0.9756, 0.0122, 0.0122]",# agussilvy,1
7,Kepada Allah SWT kami ucapkan rasa syukur dan kepada pak @SBYudhoyono @presidenSBY #AHY kami sampaikan terimakasih. Makna 17% suara anda.,suara,Agus-Sylvi,0.0,makna,5.0,"[0.9804, 0.0098, 0.0098]",% suara anda,1
7,Kepada Allah SWT kami ucapkan rasa syukur dan kepada pak @SBYudhoyono @presidenSBY #AHY kami sampaikan terimakasih. Makna 17% suara anda.,syukur,Anies-Sandi,0.317,rasa,-2.0,"[0.0238, 0.0238, 0.9524]",rasa syukur dan,1
8,Terima Kasih teruntuk pendukung #AHY #SYLVI kalianlah pembeda kali ini,pembeda,Agus-Sylvi,0.0,terima,2.0,"[0.9524, 0.0238, 0.0238]",lah pembeda kali,1
10,Mengenang pidato kekalahan #ahy,pidato,Agus-Sylvi,0.0,mengenang,3.0,"[0.9677, 0.0161, 0.0161]",mengenang pidato kekalahan,1
12,Batal nyoblos baru tau ternyata ga ada no.1 di kertas suara. #AHY #kangen #mosing,kertas,Agus-Sylvi,0.0,ada,4.0,"[0.9756, 0.0122, 0.0122]",di kertas suara,1
12,Batal nyoblos baru tau ternyata ga ada no.1 di kertas suara. #AHY #kangen #mosing,no.1,Agus-Sylvi,0.0,ada,4.0,"[0.9756, 0.0122, 0.0122]",ada no.1 di,1
14,aku juga kemarin #AHY 19april2017 suaraku utk paslon 3 #DKI,paslon,Agus-Sylvi,0.0,aku,2.0,"[0.9524, 0.0238, 0.0238]",utk paslon 3,1
16,"om AA kemana ? lepas #AHY kalah kok dia tutup mulut tidak koar"" mau bongkar SBY",mulut,Agus-Sylvi,0.0,tutup,2.0,"[0.9524, 0.0238, 0.0238]",tutup mulut tidak,1
16,"om AA kemana ? lepas #AHY kalah kok dia tutup mulut tidak koar"" mau bongkar SBY",om,Agus-Sylvi,0.0,lepas,-2.0,"[0.0238, 0.0238, 0.9524]",om aa,1
17,kalau pencatutan nama #ahy dan mpo #silvi melanggar hukum ga ya.. wkwkwkwkkwkk,pencatutan,Agus-Sylvi,0.0,melanggar,-5.0,"[0.0098, 0.0098, 0.9804]",kalau pencatutan nama,1
17,kalau pencatutan nama #ahy dan mpo #silvi melanggar hukum ga ya.. wkwkwkwkkwkk,ga,Agus-Sylvi,0.0,hukum,3.0,"[0.9677, 0.0161, 0.0161]",hukum ga ya,1
17,kalau pencatutan nama #ahy dan mpo #silvi melanggar hukum ga ya.. wkwkwkwkkwkk,hukum,Agus-Sylvi,0.0,melanggar,-5.0,"[0.0098, 0.0098, 0.9804]",melanggar hukum ga,1
18,ya pastilah #FPI kan ga suka ama Ahok jd pas #AHY udah kalah otomatis dukungannya lari ke mas #Anisa AniesSandi,dukungan,Agus-Sylvi,0.0,kalah,-4.0,"[0.0122, 0.0122, 0.9756]",otomatis dukungan nya,1
18,ya pastilah #FPI kan ga suka ama Ahok jd pas #AHY udah kalah otomatis dukungannya lari ke mas #Anisa AniesSandi,mas,Agus-Sylvi,0.0,lari,-2.0,"[0.0238, 0.0238, 0.9524]",ke mas #,1
19,dia lah Banteng.. dia lah Garuda!! ksatria seperti bpk @prabowo gentle spt #AHY @AgusYudhoyono ..jadi cinta sama #HajiDjarot,ksatria,Agus-Sylvi,0.0,dia,-3.0,"[0.0161, 0.0161, 0.9677]",! ksatria seperti,1
20,Gara2 e-KTP dikorupsi fotoku yg semula mirip #AHY pelan tapi pasti skrang malah mirip - Stickmoticons”,semula,Agus-Sylvi,0.0,mirip,1.0,"[0.7692, 0.1923, 0.0385]",yg semula mirip,1
21,Double LOL. @aniesbaswedan nuduh @AgusYudhoyono miskin ide sekarang dia copy #AHY. @SBYudhoyono http://m.republika.co.id,ide,Agus-Sylvi,0.0,miskin,-5.0,"[0.0098, 0.0098, 0.9804]",miskin ide sekarang,1
25,Paslon salah langkah seperti dilakukan Sandi ini bukan tidak mungkin jadi bumerang gagal dapat suara #AHY. @ZaraZettiraZZ @monethamrin,suara,Agus-Sylvi,0.0,dapat,-2.0,"[0.0238, 0.0238, 0.9524]",dapat suara #,1
25,Paslon salah langkah seperti dilakukan Sandi ini bukan tidak mungkin jadi bumerang gagal dapat suara #AHY. @ZaraZettiraZZ @monethamrin,bumerang,Agus-Sylvi,0.0,jadi,-1.0,"[0.0385, 0.1923, 0.7692]",jadi bumerang gagal,1
27,Di manakah #AHY... Sang Ksatria Samurai Prajurit Pembangun semangat & harapan Pahlawan yg dinanti-nantikan rakyat itu...,harapan,Agus-Sylvi,0.0,semangat,4.0,"[0.9756, 0.0122, 0.0122]",& harapan pahlawan,1
28,Kini ketika #AHY berada di luar arena tabir kegelapan & tiada harapan kembali menyergap rakyat. Kemana lagi rakyat mencari ketulusan?,arena,Agus-Sylvi,0.0,berada,4.0,"[0.9756, 0.0122, 0.0122]",luar arena tabir,1
28,Kini ketika #AHY berada di luar arena tabir kegelapan & tiada harapan kembali menyergap rakyat. Kemana lagi rakyat mencari ketulusan?,kini,Agus-Sylvi,0.0,berada,4.0,"[0.9756, 0.0122, 0.0122]",kini ketika,1
28,Kini ketika #AHY berada di luar arena tabir kegelapan & tiada harapan kembali menyergap rakyat. Kemana lagi rakyat mencari ketulusan?,ketulusan,Agus-Sylvi,0.0,mencari,-3.0,"[0.0161, 0.0161, 0.9677]",mencari ketulusan ?,1
28,Kini ketika #AHY berada di luar arena tabir kegelapan & tiada harapan kembali menyergap rakyat. Kemana lagi rakyat mencari ketulusan?,harapan,Agus-Sylvi,0.0,tiada,1.0,"[0.7692, 0.1923, 0.0385]",tiada harapan kembali,1
28,Kini ketika #AHY berada di luar arena tabir kegelapan & tiada harapan kembali menyergap rakyat. Kemana lagi rakyat mencari ketulusan?,rakyat,Agus-Sylvi,0.0,mencari,-3.0,"[0.0161, 0.0161, 0.9677]",menyergap rakyat .,1
29,@AdjieRimbawan isu lama diangkat lagi video lama dishare lagi padahal video sudah disebar buzzer #AHY eh jelang #putaranke2 disebar lagi,putaranke2,Agus-Sylvi,0.0,jelang,3.0,"[0.9677, 0.0161, 0.0161]",# putaranke2 disebar,1
31,Awas ye kalo minta dukungan suara pendukung #AHY,suara,Agus-Sylvi,0.0,dukungan,4.0,"[0.9756, 0.0122, 0.0122]",dukungan suara pendukung,1
31,Awas ye kalo minta dukungan suara pendukung #AHY,dukungan,Agus-Sylvi,0.0,minta,2.0,"[0.9524, 0.0238, 0.0238]",minta dukungan suara,1
31,Awas ye kalo minta dukungan suara pendukung #AHY,pendukung,Agus-Sylvi,0.0,dukungan,4.0,"[0.9756, 0.0122, 0.0122]",suara pendukung #,1
34,Tuduhan terhadap #AHY yg kerap dilontarkan: anak ingusan dan cuma mayor sekarang tak terdengar lagi. Dudah berubah menjadi sanjungan!?,ingusan,Anies-Sandi,0.317,anak,-3.0,"[0.0161, 0.0161, 0.9677]",anak ingusan dan,1
36,Jangan curiga dulu saldonya bisa di kenti seperti BLT orang mau berbuat baik belum apa2 sudah curiga mekanismenya seperti apa #AHY,dulu,Agus-Sylvi,0.0,curiga,-1.0,"[0.0385, 0.1923, 0.7692]",curiga dulu saldo,1
