id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
52,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,pmbenaran,Politik Uang,0.0,argumen,-4.0,"[0.0122, 0.0122, 0.9756]",argumen pmbenaran .,1
52,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,paslon,Politik Uang,0.0,menyerang,-3.0,"[0.0161, 0.0161, 0.9677]",menyerang paslon #,1
52,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,akun,Politik Uang,0.0,mulai,1.0,"[0.7692, 0.1923, 0.0385]",banyak akun kloning,1
52,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,opini,Pendukung/Pemilih,0.1681,menyerang,-3.0,"[0.0161, 0.0161, 0.9677]",dengan opini dan,1
127,Kasian oh kasian dengan peluru 1milyar untuk tiap RW #agussilvy tidak mempan menangin pilkada #QuickCount #PilkadaSerentak2017,1milyar,Politik Uang,0.0,peluru,-3.0,"[0.0161, 0.0161, 0.9677]",peluru 1milyar untuk,1
127,Kasian oh kasian dengan peluru 1milyar untuk tiap RW #agussilvy tidak mempan menangin pilkada #QuickCount #PilkadaSerentak2017,peluru,Pendukung/Pemilih,0.2023,kasian,-3.0,"[0.0161, 0.0161, 0.9677]",dengan peluru 1milyar,1
127,Kasian oh kasian dengan peluru 1milyar untuk tiap RW #agussilvy tidak mempan menangin pilkada #QuickCount #PilkadaSerentak2017,kasian,Politik Uang,0.0,kasian,-3.0,"[0.0161, 0.0161, 0.9677]",kasian oh,1
149,Awas ye kalo minta dukungan suara pendukung #AHY,pendukung,Pendukung/Pemilih,0.6068,dukungan,4.0,"[0.9756, 0.0122, 0.0122]",suara pendukung #,1
149,Awas ye kalo minta dukungan suara pendukung #AHY,suara,Pendukung/Pemilih,0.6068,dukungan,4.0,"[0.9756, 0.0122, 0.0122]",dukungan suara pendukung,1
149,Awas ye kalo minta dukungan suara pendukung #AHY,dukungan,Politik Uang,0.0,minta,2.0,"[0.9524, 0.0238, 0.0238]",minta dukungan suara,1
37,aneh deh lebay masa ini di sangkut pautkan sama kandidat Calgub anda lebay seperti yg anda dukung #agussilvy,agussilvy,Politik Uang,0.0,dukung,4.0,"[0.9756, 0.0122, 0.0122]",# agussilvy,1
135,Kepada Allah SWT kami ucapkan rasa syukur dan kepada pak @SBYudhoyono @presidenSBY #AHY kami sampaikan terimakasih. Makna 17% suara anda.,syukur,SARA,0.2167,rasa,-2.0,"[0.0238, 0.0238, 0.9524]",rasa syukur dan,1
135,Kepada Allah SWT kami ucapkan rasa syukur dan kepada pak @SBYudhoyono @presidenSBY #AHY kami sampaikan terimakasih. Makna 17% suara anda.,suara,Politik Uang,0.0,makna,5.0,"[0.9804, 0.0098, 0.0098]",% suara anda,1
238,Terima Kasih teruntuk pendukung #AHY #SYLVI kalianlah pembeda kali ini,pembeda,Politik Uang,0.0,terima,2.0,"[0.9524, 0.0238, 0.0238]",lah pembeda kali,1
32,aku juga kemarin #AHY 19april2017 suaraku utk paslon 3 #DKI,paslon,Politik Uang,0.0,aku,2.0,"[0.9524, 0.0238, 0.0238]",utk paslon 3,1
