id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
1421115366063759361,Dengan rencana dan stok yang sudah diamankan Indonesia bisa memastikan pelaksanaan vaksinasi di Agustus aman dan bisa ditingkatkan untuk memenuhi target. #StokVaksinAman,target,Implementasi,0.3662,memenuhi,-3.0,"[0.0161, 0.0161, 0.9677]",memenuhi target .,1
1421115366063759361,Dengan rencana dan stok yang sudah diamankan Indonesia bisa memastikan pelaksanaan vaksinasi di Agustus aman dan bisa ditingkatkan untuk memenuhi target. #StokVaksinAman,stok,Peserta,0.7353,rencana,2.0,"[0.9524, 0.0238, 0.0238]",dan stok yang,1
1421115366063759361,Dengan rencana dan stok yang sudah diamankan Indonesia bisa memastikan pelaksanaan vaksinasi di Agustus aman dan bisa ditingkatkan untuk memenuhi target. #StokVaksinAman,vaksinasi,Implementasi,0.774,pelaksanaan,-4.0,"[0.0122, 0.0122, 0.9756]",pelaksanaan vaksinasi di,1
1421115366063759361,Dengan rencana dan stok yang sudah diamankan Indonesia bisa memastikan pelaksanaan vaksinasi di Agustus aman dan bisa ditingkatkan untuk memenuhi target. #StokVaksinAman,agustus,Implementasi,0.7198,pelaksanaan,-4.0,"[0.0122, 0.0122, 0.9756]",di agustus aman,1
1421108348846440449,Kalo kena covid biaya sakit ditanggung negara sampe sembuh. Tapi kalo mati karena program vaksinasi covid negara malah lepas tangan ga mau tanggung jawab. Bagus lah suara arus bawah yg banyak pada ga mau divaksin. Emang suka kebangetan pemerintahannya @jokowi tu.,arus,Aplikasi,0.5744,suara,2.0,"[0.9524, 0.0238, 0.0238]",suara arus bawah,1
1421108348846440449,Kalo kena covid biaya sakit ditanggung negara sampe sembuh. Tapi kalo mati karena program vaksinasi covid negara malah lepas tangan ga mau tanggung jawab. Bagus lah suara arus bawah yg banyak pada ga mau divaksin. Emang suka kebangetan pemerintahannya @jokowi tu.,kebangetan,Umum,0.567,suka,3.0,"[0.9677, 0.0161, 0.0161]",suka kebangetan pemerintahan,1
1421108348846440449,Kalo kena covid biaya sakit ditanggung negara sampe sembuh. Tapi kalo mati karena program vaksinasi covid negara malah lepas tangan ga mau tanggung jawab. Bagus lah suara arus bawah yg banyak pada ga mau divaksin. Emang suka kebangetan pemerintahannya @jokowi tu.,emang,Umum,0.596,suka,3.0,"[0.9677, 0.0161, 0.0161]",emang suka,1
1421108348846440449,Kalo kena covid biaya sakit ditanggung negara sampe sembuh. Tapi kalo mati karena program vaksinasi covid negara malah lepas tangan ga mau tanggung jawab. Bagus lah suara arus bawah yg banyak pada ga mau divaksin. Emang suka kebangetan pemerintahannya @jokowi tu.,tanggung,Peserta,0.5699,mau,5.0,"[0.9804, 0.0098, 0.0098]",mau tanggung jawab,1
1421108348846440449,Kalo kena covid biaya sakit ditanggung negara sampe sembuh. Tapi kalo mati karena program vaksinasi covid negara malah lepas tangan ga mau tanggung jawab. Bagus lah suara arus bawah yg banyak pada ga mau divaksin. Emang suka kebangetan pemerintahannya @jokowi tu.,suara,Umum,0.6191,bagus,2.0,"[0.9524, 0.0238, 0.0238]",lah suara arus,1
1421108348846440449,Kalo kena covid biaya sakit ditanggung negara sampe sembuh. Tapi kalo mati karena program vaksinasi covid negara malah lepas tangan ga mau tanggung jawab. Bagus lah suara arus bawah yg banyak pada ga mau divaksin. Emang suka kebangetan pemerintahannya @jokowi tu.,kalo,Peserta,0.5054,mati,4.0,"[0.9756, 0.0122, 0.0122]",kalo kena,1
