id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
1421115366063759361,rencana dan stok sudah diamankan indonesia bisa pelaksanaan vaksinasi agustus aman dan bisa ditingkatkan memenuhi target,vaksinasi,Produk Vaksin,0.4902,pelaksanaan,-4.0,"[0.0122, 0.0122, 0.9756]",pelaksanaan vaksinasi agustus,1
1421115366063759361,rencana dan stok sudah diamankan indonesia bisa pelaksanaan vaksinasi agustus aman dan bisa ditingkatkan memenuhi target,target,Peserta,0.6678,memenuhi,-3.0,"[0.0161, 0.0161, 0.9677]",memenuhi target,1
1421115366063759361,rencana dan stok sudah diamankan indonesia bisa pelaksanaan vaksinasi agustus aman dan bisa ditingkatkan memenuhi target,stok,Peserta,0.6876,rencana,2.0,"[0.9524, 0.0238, 0.0238]",dan stok sudah,1
1421108348846440449,kalo kena covid biaya sakit ditanggung negara sembuh tapi kalo mati program vaksinasi covid negara lepas tangan tidak tanggung jawab bagus suara arus tidak divaksin memang suka kebangetan pemerintahannya,tangan,Umum,0.6648,bagus,-2.0,"[0.0238, 0.0238, 0.9524]",lepas tangan tidak,1
1421108348846440449,kalo kena covid biaya sakit ditanggung negara sembuh tapi kalo mati program vaksinasi covid negara lepas tangan tidak tanggung jawab bagus suara arus tidak divaksin memang suka kebangetan pemerintahannya,divaksin,Umum,0.6695,suka,-3.0,"[0.0161, 0.0161, 0.9677]",tidak divaksin memang,1
1421108348846440449,kalo kena covid biaya sakit ditanggung negara sembuh tapi kalo mati program vaksinasi covid negara lepas tangan tidak tanggung jawab bagus suara arus tidak divaksin memang suka kebangetan pemerintahannya,jawab,Umum,0.6259,tanggung,2.0,"[0.9524, 0.0238, 0.0238]",tanggung jawab bagus,1
1421108348846440449,kalo kena covid biaya sakit ditanggung negara sembuh tapi kalo mati program vaksinasi covid negara lepas tangan tidak tanggung jawab bagus suara arus tidak divaksin memang suka kebangetan pemerintahannya,bagus,Umum,0.6479,tanggung,2.0,"[0.9524, 0.0238, 0.0238]",jawab bagus suara,1
1421108348846440449,kalo kena covid biaya sakit ditanggung negara sembuh tapi kalo mati program vaksinasi covid negara lepas tangan tidak tanggung jawab bagus suara arus tidak divaksin memang suka kebangetan pemerintahannya,arus,Umum,0.6342,bagus,-2.0,"[0.0238, 0.0238, 0.9524]",suara arus tidak,1
1421108348846440449,kalo kena covid biaya sakit ditanggung negara sembuh tapi kalo mati program vaksinasi covid negara lepas tangan tidak tanggung jawab bagus suara arus tidak divaksin memang suka kebangetan pemerintahannya,kalo,Peserta,0.5054,mati,4.0,"[0.9756, 0.0122, 0.0122]",kalo kena,1
1421108348846440449,kalo kena covid biaya sakit ditanggung negara sembuh tapi kalo mati program vaksinasi covid negara lepas tangan tidak tanggung jawab bagus suara arus tidak divaksin memang suka kebangetan pemerintahannya,kebangetan,Umum,0.567,suka,-3.0,"[0.0161, 0.0161, 0.9677]",suka kebangetan pemerintahan,1
1421108348846440449,kalo kena covid biaya sakit ditanggung negara sembuh tapi kalo mati program vaksinasi covid negara lepas tangan tidak tanggung jawab bagus suara arus tidak divaksin memang suka kebangetan pemerintahannya,tanggung,Peserta,0.6385,suka,-3.0,"[0.0161, 0.0161, 0.9677]",tidak tanggung jawab,1
1421108348846440449,kalo kena covid biaya sakit ditanggung negara sembuh tapi kalo mati program vaksinasi covid negara lepas tangan tidak tanggung jawab bagus suara arus tidak divaksin memang suka kebangetan pemerintahannya,suara,Umum,0.6182,bagus,-2.0,"[0.0238, 0.0238, 0.9524]",bagus suara arus,1
1421108348846440449,kalo kena covid biaya sakit ditanggung negara sembuh tapi kalo mati program vaksinasi covid negara lepas tangan tidak tanggung jawab bagus suara arus tidak divaksin memang suka kebangetan pemerintahannya,program,Produk Vaksin,0.6162,mati,4.0,"[0.9756, 0.0122, 0.0122]",mati program vaksinasi,1
1421112031877337089,persyaratan vaksin tubuh dalam sehat siapkan baik dan bahagia jangan lupa bawa ktpfotocopy ktp pendaftaran menuliskan nomor hp valid lembaran ktp prosesnya,siapkan,Umum,0.6703,sehat,-4.0,"[0.0122, 0.0122, 0.9756]",sehat siapkan baik,1
1431475123706490882,selesai vaksin c0vid dosis 2 dapat sms pemberitahuan mendapat sertifikat vaksin bisa diunduh link disms kan unduh aplikasi pedulilindungi,vaksin,Produk Vaksin,0.7122,selesai,2.0,"[0.9524, 0.0238, 0.0238]",selesai vaksin c0vid,1
1431475123706490882,selesai vaksin c0vid dosis 2 dapat sms pemberitahuan mendapat sertifikat vaksin bisa diunduh link disms kan unduh aplikasi pedulilindungi,sertifikat,Produk Vaksin,0.7541,mendapat,3.0,"[0.9677, 0.0161, 0.0161]",mendapat sertifikat vaksin,1
1431475123706490882,selesai vaksin c0vid dosis 2 dapat sms pemberitahuan mendapat sertifikat vaksin bisa diunduh link disms kan unduh aplikasi pedulilindungi,pedulilindungi,Aplikasi,0.6949,aplikasi,-4.0,"[0.0122, 0.0122, 0.9756]",aplikasi pedulilindungi,1
1431474189756555265,vaksin banget bisa mengurangi risiko sakit parah terpapar covid aplg biaya rs dan obat2an tidak murah butuh biaya yuk vaksin,sakit,Umum,0.5607,risiko,-3.0,"[0.0161, 0.0161, 0.9677]",risiko sakit parah,1
1431474189756555265,vaksin banget bisa mengurangi risiko sakit parah terpapar covid aplg biaya rs dan obat2an tidak murah butuh biaya yuk vaksin,biaya,Layanan,0.2965,butuh,5.0,"[0.9804, 0.0098, 0.0098]",aplg biaya rs,1
1432038325540425728,alhamdulillah sudah vaksin pekerjaan biaya sehari,biaya,Biaya,0.7955,pekerjaan,3.0,"[0.9677, 0.0161, 0.0161]",pekerjaan biaya sehari,1
1431822775107289089,asalamalaikumselamat siang presidenkami masyarakat kecildi mohon kebijakan penerbangan ringankan sudah vaksin duadan terbang jakarta labuan bajo harus pcrsementara biaya pcr sangat mahal situasi,penerbangan,Biaya,0.7129,kebijakan,3.0,"[0.9677, 0.0161, 0.0161]",kebijakan penerbangan ringankan,1
1431822775107289089,asalamalaikumselamat siang presidenkami masyarakat kecildi mohon kebijakan penerbangan ringankan sudah vaksin duadan terbang jakarta labuan bajo harus pcrsementara biaya pcr sangat mahal situasi,biaya,Biaya,0.6704,mahal,1.0,"[0.7692, 0.1923, 0.0385]",pcrsementara biaya pcr,1
1431822775107289089,asalamalaikumselamat siang presidenkami masyarakat kecildi mohon kebijakan penerbangan ringankan sudah vaksin duadan terbang jakarta labuan bajo harus pcrsementara biaya pcr sangat mahal situasi,situasi,Umum,0.6718,mahal,1.0,"[0.7692, 0.1923, 0.0385]",mahal situasi,1
1432261141602856963,aplikasi bagus banget memantu proses vaksinasi lapangan,vaksinasi,Produk Vaksin,0.6567,proses,1.0,"[0.7692, 0.1923, 0.0385]",proses vaksinasi lapangan,1
1432261141602856963,aplikasi bagus banget memantu proses vaksinasi lapangan,lapangan,Produk Vaksin,0.5776,proses,1.0,"[0.7692, 0.1923, 0.0385]",vaksinasi lapangan,1
1432196762937167874,pemberian vaksin bangun antibodi gratis biaya vaksin masyarakat bisa bantu laporkan lho,biaya,Produk Vaksin,0.743,bantu,3.0,"[0.9677, 0.0161, 0.0161]",gratis biaya vaksin,1
1432196762937167874,pemberian vaksin bangun antibodi gratis biaya vaksin masyarakat bisa bantu laporkan lho,vaksin,Produk Vaksin,0.7572,pemberian,2.0,"[0.9524, 0.0238, 0.0238]",pemberian vaksin bangun,1
1432196762937167874,pemberian vaksin bangun antibodi gratis biaya vaksin masyarakat bisa bantu laporkan lho,lho,Umum,0.4299,laporkan,2.0,"[0.9524, 0.0238, 0.0238]",laporkan lho,1
1432196762937167874,pemberian vaksin bangun antibodi gratis biaya vaksin masyarakat bisa bantu laporkan lho,pemberian,Produk Vaksin,0.745,bantu,3.0,"[0.9677, 0.0161, 0.0161]",pemberian vaksin,1
1432197564456062977,oya pengaduan masyarakat oknum biaya vaksin bangun antibodi bisa dilaporkan email pengaduanitjengoid atau nomer 1500567,pengaduanitjengoid,Aplikasi,0.7444,email,0.0,"[0.0, 1.0, 0.0]",email pengaduanitjengoid atau,0
1432209923023130626,yes kak bisa laporkan oknum biaya vaksin,kak,Aplikasi,0.3596,yes,3.0,"[0.9677, 0.0161, 0.0161]",yes kak bisa,1
1432209923023130626,yes kak bisa laporkan oknum biaya vaksin,yes,Aplikasi,0.2217,laporkan,2.0,"[0.9524, 0.0238, 0.0238]",yes kak,1
1432209923023130626,yes kak bisa laporkan oknum biaya vaksin,oknum,Biaya,0.6841,laporkan,2.0,"[0.9524, 0.0238, 0.0238]",laporkan oknum biaya,1
1432195601416933382,lihat pelanggaran terkait pemungutan biaya vaksin covid19 bangun antibodi bisa melaporkannya telpon 1500567 atau via email pengaduanitjengoid,pelanggaran,Umum,0.6776,lihat,3.0,"[0.9677, 0.0161, 0.0161]",lihat pelanggaran terkait,1
1432195601416933382,lihat pelanggaran terkait pemungutan biaya vaksin covid19 bangun antibodi bisa melaporkannya telpon 1500567 atau via email pengaduanitjengoid,pemungutan,Biaya,0.8589,terkait,-3.0,"[0.0161, 0.0161, 0.9677]",terkait pemungutan biaya,1
1432195601416933382,lihat pelanggaran terkait pemungutan biaya vaksin covid19 bangun antibodi bisa melaporkannya telpon 1500567 atau via email pengaduanitjengoid,pengaduanitjengoid,Aplikasi,0.4641,email,0.0,"[0.0, 1.0, 0.0]",email pengaduanitjengoid,0
1432223084254097414,jangan upload foto kartu kendali pelayanan vaksinasi covid19 berisikan data rentan disalahgunakan,kartu,Aplikasi,0.6229,foto,-3.0,"[0.0161, 0.0161, 0.9677]",foto kartu kendali,1
1432223084254097414,jangan upload foto kartu kendali pelayanan vaksinasi covid19 berisikan data rentan disalahgunakan,kendali,Aplikasi,0.6077,foto,-3.0,"[0.0161, 0.0161, 0.9677]",kartu kendali pelayanan,1
1432223084254097414,jangan upload foto kartu kendali pelayanan vaksinasi covid19 berisikan data rentan disalahgunakan,pelayanan,Produk Vaksin,0.6513,foto,-3.0,"[0.0161, 0.0161, 0.9677]",kendali pelayanan vaksinasi,1
1432223084254097414,jangan upload foto kartu kendali pelayanan vaksinasi covid19 berisikan data rentan disalahgunakan,vaksinasi,Produk Vaksin,0.6269,pelayanan,-3.0,"[0.0161, 0.0161, 0.9677]",pelayanan vaksinasi covid19,1
1432237902445137921,masyarakat dan pemerintah bekerjasama memutus mata rantai penularan covid19 masy patuh prokes diam rumah batasi aktivitas pemerintah mempercepat pelaksanaan vaksinasi,rumah,Peserta,0.572,diam,1.0,"[0.7692, 0.1923, 0.0385]",diam rumah batasi,1
1432237902445137921,masyarakat dan pemerintah bekerjasama memutus mata rantai penularan covid19 masy patuh prokes diam rumah batasi aktivitas pemerintah mempercepat pelaksanaan vaksinasi,aktivitas,Aplikasi,0.6298,diam,1.0,"[0.7692, 0.1923, 0.0385]",batasi aktivitas pemerintah,1
1432237902445137921,masyarakat dan pemerintah bekerjasama memutus mata rantai penularan covid19 masy patuh prokes diam rumah batasi aktivitas pemerintah mempercepat pelaksanaan vaksinasi,batasi,Peserta,0.6413,diam,1.0,"[0.7692, 0.1923, 0.0385]",rumah batasi aktivitas,1
1432237902445137921,masyarakat dan pemerintah bekerjasama memutus mata rantai penularan covid19 masy patuh prokes diam rumah batasi aktivitas pemerintah mempercepat pelaksanaan vaksinasi,rantai,Produk Vaksin,0.5485,mata,-2.0,"[0.0238, 0.0238, 0.9524]",mata rantai penularan,1
1432237902445137921,masyarakat dan pemerintah bekerjasama memutus mata rantai penularan covid19 masy patuh prokes diam rumah batasi aktivitas pemerintah mempercepat pelaksanaan vaksinasi,masy,Peserta,0.3912,rantai,-3.0,"[0.0161, 0.0161, 0.9677]",covid19 masy patuh,1
1432237902445137921,masyarakat dan pemerintah bekerjasama memutus mata rantai penularan covid19 masy patuh prokes diam rumah batasi aktivitas pemerintah mempercepat pelaksanaan vaksinasi,prokes,Umum,0.4456,patuh,4.0,"[0.9756, 0.0122, 0.0122]",patuh prokes diam,1
1432237902445137921,masyarakat dan pemerintah bekerjasama memutus mata rantai penularan covid19 masy patuh prokes diam rumah batasi aktivitas pemerintah mempercepat pelaksanaan vaksinasi,vaksinasi,Produk Vaksin,0.5941,pelaksanaan,-4.0,"[0.0122, 0.0122, 0.9756]",pelaksanaan vaksinasi,1
1432237902445137921,masyarakat dan pemerintah bekerjasama memutus mata rantai penularan covid19 masy patuh prokes diam rumah batasi aktivitas pemerintah mempercepat pelaksanaan vaksinasi,penularan,Produk Vaksin,0.514,rantai,-3.0,"[0.0161, 0.0161, 0.9677]",rantai penularan covid19,1
1432202931017637891,pelaporan pemungutan biaya vaksin bisa 1500567 atau email pengaduanitjengoid yuk samasama bantu pemerintah menangani,pengaduanitjengoid,Aplikasi,0.377,email,2.1,"[0.9545, 0.0227, 0.0227]",email pengaduanitjengoid yuk,0
1432207567292301315,yuk check aplikasi pedulilindungi check sosmed pendaftaran vaksin bisa mendapatkan vaksin,aplikasi,Aplikasi,0.5293,yuk,4.0,"[0.9756, 0.0122, 0.0122]",check aplikasi pedulilindungi,1
1432207567292301315,yuk check aplikasi pedulilindungi check sosmed pendaftaran vaksin bisa mendapatkan vaksin,vaksin,Produk Vaksin,0.7752,pendaftaran,3.0,"[0.9677, 0.0161, 0.0161]",pendaftaran vaksin bisa,1
1443066362780270593,masyarakat pelaksanaan pon kexx sudah harus divaksin pelaksanaan vaksinasi papua masih digencarkan bisa aman dan tidak waswas mengikuti pon kexx,papua,Produk Vaksin,0.542,pelaksanaan,-4.0,"[0.0122, 0.0122, 0.9756]",vaksinasi papua masih,1
1443066362780270593,masyarakat pelaksanaan pon kexx sudah harus divaksin pelaksanaan vaksinasi papua masih digencarkan bisa aman dan tidak waswas mengikuti pon kexx,vaksinasi,Produk Vaksin,0.512,pelaksanaan,-4.0,"[0.0122, 0.0122, 0.9756]",pelaksanaan vaksinasi papua,1
1443066362780270593,masyarakat pelaksanaan pon kexx sudah harus divaksin pelaksanaan vaksinasi papua masih digencarkan bisa aman dan tidak waswas mengikuti pon kexx,pon,Peserta,0.3596,"mengikuti,pelaksanaan",-7.0,"[0.007, 0.007, 0.9859]",pelaksanaan pon kexx,2
1450418699567972358,selamat malam mohon izin peraturan mendagri 53 2021 aturan perjalanan udara mewajibkan pcr meskipun sudah 2x vaksinini sangat memberatkanbiaya pcr masih mahal dan hasilnya tidak bisa cepatmohon aturan bisa ditinjau ulang,peraturan,Aplikasi,0.5488,izin,-4.0,"[0.0122, 0.0122, 0.9756]",izin peraturan mendagri,1
1450418699567972358,selamat malam mohon izin peraturan mendagri 53 2021 aturan perjalanan udara mewajibkan pcr meskipun sudah 2x vaksinini sangat memberatkanbiaya pcr masih mahal dan hasilnya tidak bisa cepatmohon aturan bisa ditinjau ulang,malam,Umum,0.5055,selamat,5.0,"[0.9804, 0.0098, 0.0098]",selamat malam mohon,1
1450418699567972358,selamat malam mohon izin peraturan mendagri 53 2021 aturan perjalanan udara mewajibkan pcr meskipun sudah 2x vaksinini sangat memberatkanbiaya pcr masih mahal dan hasilnya tidak bisa cepatmohon aturan bisa ditinjau ulang,mohon,Aplikasi,0.555,selamat,5.0,"[0.9804, 0.0098, 0.0098]",malam mohon izin,1
1450418699567972358,selamat malam mohon izin peraturan mendagri 53 2021 aturan perjalanan udara mewajibkan pcr meskipun sudah 2x vaksinini sangat memberatkanbiaya pcr masih mahal dan hasilnya tidak bisa cepatmohon aturan bisa ditinjau ulang,izin,Aplikasi,0.5526,selamat,5.0,"[0.9804, 0.0098, 0.0098]",mohon izin peraturan,1
1450418699567972358,selamat malam mohon izin peraturan mendagri 53 2021 aturan perjalanan udara mewajibkan pcr meskipun sudah 2x vaksinini sangat memberatkanbiaya pcr masih mahal dan hasilnya tidak bisa cepatmohon aturan bisa ditinjau ulang,pcr,Umum,0.4824,mewajibkan,-2.0,"[0.0238, 0.0238, 0.9524]",mewajibkan pcr meski,1
1450303520406597639,bahkan daerah hoaks menghambat pelaksanaan vaksinasi lho masyarakat takut vaksinasi,daerah,Peserta,0.6049,menghambat,-3.0,"[0.0161, 0.0161, 0.9677]",bahkan daerah hoaks,1
1450303520406597639,bahkan daerah hoaks menghambat pelaksanaan vaksinasi lho masyarakat takut vaksinasi,vaksinasi,Produk Vaksin,0.5133,"pelaksanaan,takut",-3.0,"[0.0161, 0.0161, 0.9677]",pelaksanaan vaksinasi lho,2
1450303520406597639,bahkan daerah hoaks menghambat pelaksanaan vaksinasi lho masyarakat takut vaksinasi,pelaksanaan,Produk Vaksin,0.643,takut,1.0,"[0.7692, 0.1923, 0.0385]",menghambat pelaksanaan vaksinasi,1
1450368414879342592,mohon presiden mempertimbangkan syarat penerbangan mewajibkan pcr penumpang pesawat status level 1234 dan vaksin 2kali mengingat biaya pcr masih mahal dan berlaku 2x24jam terimakasih perhatian,syarat,Aplikasi,0.6662,mewajibkan,-2.0,"[0.0238, 0.0238, 0.9524]",mempertimbangkan syarat penerbangan,1
1450368414879342592,mohon presiden mempertimbangkan syarat penerbangan mewajibkan pcr penumpang pesawat status level 1234 dan vaksin 2kali mengingat biaya pcr masih mahal dan berlaku 2x24jam terimakasih perhatian,presiden,Umum,0.5268,mohon,2.0,"[0.9524, 0.0238, 0.0238]",mohon presiden mempertimbangkan,1
1450368414879342592,mohon presiden mempertimbangkan syarat penerbangan mewajibkan pcr penumpang pesawat status level 1234 dan vaksin 2kali mengingat biaya pcr masih mahal dan berlaku 2x24jam terimakasih perhatian,biaya,Biaya,0.7423,mahal,1.0,"[0.7692, 0.1923, 0.0385]",mengingat biaya pcr,1
1450368414879342592,mohon presiden mempertimbangkan syarat penerbangan mewajibkan pcr penumpang pesawat status level 1234 dan vaksin 2kali mengingat biaya pcr masih mahal dan berlaku 2x24jam terimakasih perhatian,mohon,Umum,0.4572,mempertimbangkan,-3.0,"[0.0161, 0.0161, 0.9677]",mohon presiden,1
1450368414879342592,mohon presiden mempertimbangkan syarat penerbangan mewajibkan pcr penumpang pesawat status level 1234 dan vaksin 2kali mengingat biaya pcr masih mahal dan berlaku 2x24jam terimakasih perhatian,pcr,Layanan,0.3571,mewajibkan,-2.0,"[0.0238, 0.0238, 0.9524]",mewajibkan pcr penumpang,1
