id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
120,kalo sudah kuliah mah kampus merdeka kalo adekku mah b haha,kampus,Program,0.5386,kuliah,1.0,"[0.7692, 0.1923, 0.0385]",mah kampus merdeka,1
181,kerja mendukung program merdeka belajar kampus merdeka mbkm membuka peluang inovasi pendidikan cerah,pendidikan,Nadiem,0.6203,inovasi,4.0,"[0.9756, 0.0122, 0.0122]",inovasi pendidikan cerah,1
181,kerja mendukung program merdeka belajar kampus merdeka mbkm membuka peluang inovasi pendidikan cerah,kampus,Program,0.8105,belajar,3.0,"[0.9677, 0.0161, 0.0161]",belajar kampus merdeka,1
286,(tertawa) ptk naro logo kampus merdeka ignya tapi mahasiswanya tidak merdeka,ptk,Magang,0.2581,merdeka,0.0,"[0.0, 1.0, 0.0]",) ptk naro,0
286,(tertawa) ptk naro logo kampus merdeka ignya tapi mahasiswanya tidak merdeka,mahasiswanya,Program,0.7131,merdeka,0.0,"[0.0, 1.0, 0.0]",tapi mahasiswanya tidak,0
76,halah kampus merdeka apanya,halah,Program,0.5144,merdeka,-2.4,"[0.02, 0.02, 0.96]",halah kampus,0
76,halah kampus merdeka apanya,kampus,Program,0.6565,halah,-5.0,"[0.0098, 0.0098, 0.9804]",halah kampus merdeka,1
176,kayanya tiada bentakan dan blaming karyawan gue atau teman gue i assume they just dont know what they did is wrong cos maybe have normalized gue bertahan iyee magangnya magang kampus merdeka,karyawan,Program,0.4805,bentakan,-5.0,"[0.0098, 0.0098, 0.9804]",blaming karyawan gue,1
176,kayanya tiada bentakan dan blaming karyawan gue atau teman gue i assume they just dont know what they did is wrong cos maybe have normalized gue bertahan iyee magangnya magang kampus merdeka,bentakan,Nadiem,0.7361,kaya,2.0,"[0.9524, 0.0238, 0.0238]",tiada bentakan dan,1
176,kayanya tiada bentakan dan blaming karyawan gue atau teman gue i assume they just dont know what they did is wrong cos maybe have normalized gue bertahan iyee magangnya magang kampus merdeka,gue,Program,0.6362,karyawan,3.0,"[0.9677, 0.0161, 0.0161]",karyawan gue atau,1
176,kayanya tiada bentakan dan blaming karyawan gue atau teman gue i assume they just dont know what they did is wrong cos maybe have normalized gue bertahan iyee magangnya magang kampus merdeka,kampus,Program,0.7663,magang,1.5,"[0.8955, 0.0746, 0.0299]",magang kampus merdeka,0
176,kayanya tiada bentakan dan blaming karyawan gue atau teman gue i assume they just dont know what they did is wrong cos maybe have normalized gue bertahan iyee magangnya magang kampus merdeka,magang,Magang,0.6174,magang,1.5,"[0.8955, 0.0746, 0.0299]",iyee magang nya,0
34,benar banget malahan kuliah tuh takut hilang program kampus merdeka menguntungkan mahasiswa tapi sayang sekalai sekolah sdsma,sdsma,Program,0.6168,sekolah,3.0,"[0.9677, 0.0161, 0.0161]",sekolah sdsma,1
34,benar banget malahan kuliah tuh takut hilang program kampus merdeka menguntungkan mahasiswa tapi sayang sekalai sekolah sdsma,mahasiswa,Program,0.7323,menguntungkan,4.0,"[0.9756, 0.0122, 0.0122]",menguntungkan mahasiswa tapi,1
34,benar banget malahan kuliah tuh takut hilang program kampus merdeka menguntungkan mahasiswa tapi sayang sekalai sekolah sdsma,sayang,Nadiem,0.5972,menguntungkan,4.0,"[0.9756, 0.0122, 0.0122]",tapi sayang sekalai,1
34,benar banget malahan kuliah tuh takut hilang program kampus merdeka menguntungkan mahasiswa tapi sayang sekalai sekolah sdsma,kuliah,Program,0.622,takut,1.0,"[0.7692, 0.1923, 0.0385]",malahan kuliah tuh,1
34,benar banget malahan kuliah tuh takut hilang program kampus merdeka menguntungkan mahasiswa tapi sayang sekalai sekolah sdsma,program,Program,0.8031,menguntungkan,4.0,"[0.9756, 0.0122, 0.0122]",hilang program kampus,1
34,benar banget malahan kuliah tuh takut hilang program kampus merdeka menguntungkan mahasiswa tapi sayang sekalai sekolah sdsma,sekalai,Program,0.6357,sayang,3.0,"[0.9677, 0.0161, 0.0161]",sayang sekalai sekolah,1
110,kadang mikir kalo kuliah organisasi tidak seaktif tidak ulah nadiem doang kampus merdeka tapi memang dipengaruhi kebutuhan tenaga kerja pandangannya organisasi mending magang,nadiem,Nadiem,0.3802,ulah,3.0,"[0.9677, 0.0161, 0.0161]",ulah nadiem doang,1
110,kadang mikir kalo kuliah organisasi tidak seaktif tidak ulah nadiem doang kampus merdeka tapi memang dipengaruhi kebutuhan tenaga kerja pandangannya organisasi mending magang,pandangan,Nadiem,0.6645,kebutuhan,4.0,"[0.9756, 0.0122, 0.0122]",kerja pandangan nya,1
110,kadang mikir kalo kuliah organisasi tidak seaktif tidak ulah nadiem doang kampus merdeka tapi memang dipengaruhi kebutuhan tenaga kerja pandangannya organisasi mending magang,kampus,Program,0.6643,doang,-1.0,"[0.0385, 0.1923, 0.7692]",doang kampus merdeka,1
110,kadang mikir kalo kuliah organisasi tidak seaktif tidak ulah nadiem doang kampus merdeka tapi memang dipengaruhi kebutuhan tenaga kerja pandangannya organisasi mending magang,doang,Program,0.5306,nadiem,4.5,"[0.9783, 0.0109, 0.0109]",nadiem doang kampus,0
110,kadang mikir kalo kuliah organisasi tidak seaktif tidak ulah nadiem doang kampus merdeka tapi memang dipengaruhi kebutuhan tenaga kerja pandangannya organisasi mending magang,magang,Magang,0.6622,mending,2.0,"[0.9524, 0.0238, 0.0238]",mending magang,1
110,kadang mikir kalo kuliah organisasi tidak seaktif tidak ulah nadiem doang kampus merdeka tapi memang dipengaruhi kebutuhan tenaga kerja pandangannya organisasi mending magang,kalo,Program,0.5971,mikir,-2.0,"[0.0238, 0.0238, 0.9524]",mikir kalo kuliah,1
110,kadang mikir kalo kuliah organisasi tidak seaktif tidak ulah nadiem doang kampus merdeka tapi memang dipengaruhi kebutuhan tenaga kerja pandangannya organisasi mending magang,tenaga,Anggaran,0.6737,kebutuhan,4.0,"[0.9756, 0.0122, 0.0122]",kebutuhan tenaga kerja,1
110,kadang mikir kalo kuliah organisasi tidak seaktif tidak ulah nadiem doang kampus merdeka tapi memang dipengaruhi kebutuhan tenaga kerja pandangannya organisasi mending magang,kerja,Nadiem,0.6885,tenaga,3.0,"[0.9677, 0.0161, 0.0161]",tenaga kerja pandangan,1
270,tapi sejujurnya menurutku bagus kurikulumnya kalo perkuliahan bagusnya merdeka kampus belajar,sejujur,Nadiem,0.5769,merdeka,1.5,"[0.8955, 0.0746, 0.0299]",tapi sejujur nya,0
270,tapi sejujurnya menurutku bagus kurikulumnya kalo perkuliahan bagusnya merdeka kampus belajar,perkuliahan,Program,0.5758,merdeka,1.5,"[0.8955, 0.0746, 0.0299]",kalo perkuliahan bagusnya,0
270,tapi sejujurnya menurutku bagus kurikulumnya kalo perkuliahan bagusnya merdeka kampus belajar,kampus,Program,0.8105,merdeka,1.5,"[0.8955, 0.0746, 0.0299]",merdeka kampus belajar,0
270,tapi sejujurnya menurutku bagus kurikulumnya kalo perkuliahan bagusnya merdeka kampus belajar,kalo,Program,0.6163,merdeka,1.5,"[0.8955, 0.0746, 0.0299]",kurikulumnya kalo perkuliahan,0
270,tapi sejujurnya menurutku bagus kurikulumnya kalo perkuliahan bagusnya merdeka kampus belajar,kurikulumnya,Program,0.584,bagus,2.0,"[0.9524, 0.0238, 0.0238]",bagus kurikulumnya kalo,1
21,apaan bagus perguruan negeri gara-gara kebijakan kampus ngebebanin mhs s2 harus ikut-ikutan bikin jurnal publikasi menuhin quota kampus mhs manfaatin kurikulum merdeka ngeclaim sks padahal tidak mengerti apa-apa pas tes,tes,Program,0.5547,mengerti,-2.0,"[0.0238, 0.0238, 0.9524]",pas tes,1
21,apaan bagus perguruan negeri gara-gara kebijakan kampus ngebebanin mhs s2 harus ikut-ikutan bikin jurnal publikasi menuhin quota kampus mhs manfaatin kurikulum merdeka ngeclaim sks padahal tidak mengerti apa-apa pas tes,apaan,Program,0.4421,ikut-ikutan,-3.0,"[0.0161, 0.0161, 0.9677]",apaan bagus,1
