id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
120,kalo sudah kuliah mah program kalo adekku mah b haha,program,Program,0.4698,kuliah,1.0,"[0.7692, 0.1923, 0.0385]",mah program kalo,1
120,kalo sudah kuliah mah program kalo adekku mah b haha,kalo,Program,0.5789,kuliah,1.0,"[0.7692, 0.1923, 0.0385]",kalo sudah,1
181,kerja mendukung program program program mbkm membuka peluang inovasi pendidikan cerah,pendidikan,Nadiem,0.6203,inovasi,4.0,"[0.9756, 0.0122, 0.0122]",inovasi pendidikan cerah,1
286,(tertawa) ptk naro logo program ignya tapi mahasiswanya tidak merdeka,ptk,Magang,0.2581,merdeka,0.0,"[0.0, 1.0, 0.0]",) ptk naro,0
286,(tertawa) ptk naro logo program ignya tapi mahasiswanya tidak merdeka,mahasiswanya,Program,0.7131,merdeka,0.0,"[0.0, 1.0, 0.0]",tapi mahasiswanya tidak,0
286,(tertawa) ptk naro logo program ignya tapi mahasiswanya tidak merdeka,program,Magang,0.3254,merdeka,0.0,"[0.0, 1.0, 0.0]",logo program ig,0
76,halah program apanya,program,Program,0.5009,halah,-5.0,"[0.0098, 0.0098, 0.9804]",halah program apanya,1
176,kayanya tiada bentakan dan blaming karyawan gue atau teman gue i assume they just dont know what they did is wrong cos maybe have normalized gue bertahan iyee magangnya magang program,magang,Magang,0.6174,magang,1.5,"[0.8955, 0.0746, 0.0299]",iyee magang nya,0
176,kayanya tiada bentakan dan blaming karyawan gue atau teman gue i assume they just dont know what they did is wrong cos maybe have normalized gue bertahan iyee magangnya magang program,bentakan,Nadiem,0.7361,kaya,2.0,"[0.9524, 0.0238, 0.0238]",tiada bentakan dan,1
176,kayanya tiada bentakan dan blaming karyawan gue atau teman gue i assume they just dont know what they did is wrong cos maybe have normalized gue bertahan iyee magangnya magang program,program,Magang,0.7349,magang,1.5,"[0.8955, 0.0746, 0.0299]",magang program,0
176,kayanya tiada bentakan dan blaming karyawan gue atau teman gue i assume they just dont know what they did is wrong cos maybe have normalized gue bertahan iyee magangnya magang program,karyawan,Program,0.4805,bentakan,-5.0,"[0.0098, 0.0098, 0.9804]",blaming karyawan gue,1
176,kayanya tiada bentakan dan blaming karyawan gue atau teman gue i assume they just dont know what they did is wrong cos maybe have normalized gue bertahan iyee magangnya magang program,gue,Program,0.6362,karyawan,3.0,"[0.9677, 0.0161, 0.0161]",karyawan gue atau,1
34,benar banget malahan kuliah tuh takut hilang program program menguntungkan mahasiswa tapi sayang sekalai sekolah sdsma,kuliah,Program,0.622,takut,1.0,"[0.7692, 0.1923, 0.0385]",malahan kuliah tuh,1
34,benar banget malahan kuliah tuh takut hilang program program menguntungkan mahasiswa tapi sayang sekalai sekolah sdsma,mahasiswa,Program,0.7323,menguntungkan,4.0,"[0.9756, 0.0122, 0.0122]",menguntungkan mahasiswa tapi,1
34,benar banget malahan kuliah tuh takut hilang program program menguntungkan mahasiswa tapi sayang sekalai sekolah sdsma,program,Program,0.7217,hilang,3.0,"[0.9677, 0.0161, 0.0161]",hilang program program,1
34,benar banget malahan kuliah tuh takut hilang program program menguntungkan mahasiswa tapi sayang sekalai sekolah sdsma,sdsma,Program,0.6168,sekolah,3.0,"[0.9677, 0.0161, 0.0161]",sekolah sdsma,1
34,benar banget malahan kuliah tuh takut hilang program program menguntungkan mahasiswa tapi sayang sekalai sekolah sdsma,sekolah,Program,0.6775,sayang,3.0,"[0.9677, 0.0161, 0.0161]",sekalai sekolah sdsma,1
34,benar banget malahan kuliah tuh takut hilang program program menguntungkan mahasiswa tapi sayang sekalai sekolah sdsma,sayang,Nadiem,0.5972,takut,1.0,"[0.7692, 0.1923, 0.0385]",tapi sayang sekalai,1
34,benar banget malahan kuliah tuh takut hilang program program menguntungkan mahasiswa tapi sayang sekalai sekolah sdsma,sekalai,Program,0.6357,sekolah,3.0,"[0.9677, 0.0161, 0.0161]",sayang sekalai sekolah,1
110,kadang mikir kalo kuliah organisasi tidak seaktif tidak ulah nadiem doang program tapi memang dipengaruhi kebutuhan tenaga kerja pandangannya organisasi mending magang,kalo,Program,0.5971,mikir,-2.0,"[0.0238, 0.0238, 0.9524]",mikir kalo kuliah,1
110,kadang mikir kalo kuliah organisasi tidak seaktif tidak ulah nadiem doang program tapi memang dipengaruhi kebutuhan tenaga kerja pandangannya organisasi mending magang,kerja,Nadiem,0.6885,tenaga,3.0,"[0.9677, 0.0161, 0.0161]",tenaga kerja pandangan,1
110,kadang mikir kalo kuliah organisasi tidak seaktif tidak ulah nadiem doang program tapi memang dipengaruhi kebutuhan tenaga kerja pandangannya organisasi mending magang,tenaga,Anggaran,0.6737,kebutuhan,4.0,"[0.9756, 0.0122, 0.0122]",kebutuhan tenaga kerja,1
110,kadang mikir kalo kuliah organisasi tidak seaktif tidak ulah nadiem doang program tapi memang dipengaruhi kebutuhan tenaga kerja pandangannya organisasi mending magang,magang,Magang,0.6622,mending,2.0,"[0.9524, 0.0238, 0.0238]",mending magang,1
110,kadang mikir kalo kuliah organisasi tidak seaktif tidak ulah nadiem doang program tapi memang dipengaruhi kebutuhan tenaga kerja pandangannya organisasi mending magang,program,Program,0.6169,doang,-1.0,"[0.0385, 0.1923, 0.7692]",doang program tapi,1
110,kadang mikir kalo kuliah organisasi tidak seaktif tidak ulah nadiem doang program tapi memang dipengaruhi kebutuhan tenaga kerja pandangannya organisasi mending magang,organisasi,Program,0.8177,kuliah,-1.0,"[0.0385, 0.1923, 0.7692]",kuliah organisasi tidak,1
110,kadang mikir kalo kuliah organisasi tidak seaktif tidak ulah nadiem doang program tapi memang dipengaruhi kebutuhan tenaga kerja pandangannya organisasi mending magang,doang,Program,0.5221,nadiem,4.5,"[0.9783, 0.0109, 0.0109]",nadiem doang program,0
110,kadang mikir kalo kuliah organisasi tidak seaktif tidak ulah nadiem doang program tapi memang dipengaruhi kebutuhan tenaga kerja pandangannya organisasi mending magang,pandangan,Nadiem,0.6645,kebutuhan,4.0,"[0.9756, 0.0122, 0.0122]",kerja pandangan nya,1
270,tapi sejujurnya menurutku bagus kurikulumnya kalo perkuliahan bagusnya merdeka kampus belajar,sejujur,Nadiem,0.5769,merdeka,1.5,"[0.8955, 0.0746, 0.0299]",tapi sejujur nya,0
270,tapi sejujurnya menurutku bagus kurikulumnya kalo perkuliahan bagusnya merdeka kampus belajar,kalo,Program,0.6163,merdeka,1.5,"[0.8955, 0.0746, 0.0299]",kurikulumnya kalo perkuliahan,0
270,tapi sejujurnya menurutku bagus kurikulumnya kalo perkuliahan bagusnya merdeka kampus belajar,kampus,Program,0.8105,merdeka,1.5,"[0.8955, 0.0746, 0.0299]",merdeka kampus belajar,0
270,tapi sejujurnya menurutku bagus kurikulumnya kalo perkuliahan bagusnya merdeka kampus belajar,kurikulumnya,Program,0.584,bagus,2.0,"[0.9524, 0.0238, 0.0238]",bagus kurikulumnya kalo,1
270,tapi sejujurnya menurutku bagus kurikulumnya kalo perkuliahan bagusnya merdeka kampus belajar,perkuliahan,Program,0.5758,merdeka,1.5,"[0.8955, 0.0746, 0.0299]",kalo perkuliahan bagusnya,0
21,apaan bagus perguruan negeri gr kebijakan kampus ngebebanin mhs si harus ikutan bikin jurnal publikasi menuhin quota kampus mhs manfaatin program ngeclaim sks padahal tidak mengerti pas tes,tes,Program,0.5547,mengerti,-2.0,"[0.0238, 0.0238, 0.9524]",pas tes,1
21,apaan bagus perguruan negeri gr kebijakan kampus ngebebanin mhs si harus ikutan bikin jurnal publikasi menuhin quota kampus mhs manfaatin program ngeclaim sks padahal tidak mengerti pas tes,bagus,Program,0.5706,apaan,-4.0,"[0.0122, 0.0122, 0.9756]",apaan bagus perguruan,1
21,apaan bagus perguruan negeri gr kebijakan kampus ngebebanin mhs si harus ikutan bikin jurnal publikasi menuhin quota kampus mhs manfaatin program ngeclaim sks padahal tidak mengerti pas tes,jurnal,Program,0.6039,ikutan,4.0,"[0.9756, 0.0122, 0.0122]",bikin jurnal publikasi,1
21,apaan bagus perguruan negeri gr kebijakan kampus ngebebanin mhs si harus ikutan bikin jurnal publikasi menuhin quota kampus mhs manfaatin program ngeclaim sks padahal tidak mengerti pas tes,perguruan,Program,0.7096,bagus,2.0,"[0.9524, 0.0238, 0.0238]",bagus perguruan negeri,1
21,apaan bagus perguruan negeri gr kebijakan kampus ngebebanin mhs si harus ikutan bikin jurnal publikasi menuhin quota kampus mhs manfaatin program ngeclaim sks padahal tidak mengerti pas tes,kampus,Program,0.7297,kebijakan,3.0,"[0.9677, 0.0161, 0.0161]",kebijakan kampus ngebebanin,1
21,apaan bagus perguruan negeri gr kebijakan kampus ngebebanin mhs si harus ikutan bikin jurnal publikasi menuhin quota kampus mhs manfaatin program ngeclaim sks padahal tidak mengerti pas tes,ngebebanin,Program,0.4368,kebijakan,3.0,"[0.9677, 0.0161, 0.0161]",kampus ngebebanin mhs,1
