id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
52,banyak akun kloning seolah2 pendukung mulai menyerang paslon dengan opini dan argumen pmbenaranjangan terkecoh,paslon,Pendukung/Pemilih,0.6972,menyerang,-3.0,"[0.0161, 0.0161, 0.9677]",menyerang paslon dengan,1
52,banyak akun kloning seolah2 pendukung mulai menyerang paslon dengan opini dan argumen pmbenaranjangan terkecoh,pmbenaranjangan,Politik Uang,0.4933,argumen,-4.0,"[0.0122, 0.0122, 0.9756]",argumen pmbenaranjangan terkecoh,1
52,banyak akun kloning seolah2 pendukung mulai menyerang paslon dengan opini dan argumen pmbenaranjangan terkecoh,opini,Strategi Kampanye,0.7674,menyerang,-3.0,"[0.0161, 0.0161, 0.9677]",dengan opini dan,1
52,banyak akun kloning seolah2 pendukung mulai menyerang paslon dengan opini dan argumen pmbenaranjangan terkecoh,akun,Strategi Kampanye,0.58,mulai,1.0,"[0.7692, 0.1923, 0.0385]",banyak akun kloning,1
127,kasian oh kasian dengan peluru 1milyar untuk tiap rw tidak mempan menangin pilkada,kasian,Tokoh dan Partai,0.2267,kasian,-3.0,"[0.0161, 0.0161, 0.9677]",kasian oh,1
127,kasian oh kasian dengan peluru 1milyar untuk tiap rw tidak mempan menangin pilkada,peluru,Pendukung/Pemilih,0.544,kasian,-3.0,"[0.0161, 0.0161, 0.9677]",dengan peluru 1milyar,1
149,awas ye kalo minta dukungan suara pendukung,pendukung,Pendukung/Pemilih,0.6727,dukungan,4.0,"[0.9756, 0.0122, 0.0122]",suara pendukung,1
149,awas ye kalo minta dukungan suara pendukung,kalo,Tokoh dan Partai,0.2854,minta,2.0,"[0.9524, 0.0238, 0.0238]",ye kalo minta,1
149,awas ye kalo minta dukungan suara pendukung,dukungan,Pendukung/Pemilih,0.6342,minta,2.0,"[0.9524, 0.0238, 0.0238]",minta dukungan suara,1
149,awas ye kalo minta dukungan suara pendukung,suara,Pendukung/Pemilih,0.7175,dukungan,4.0,"[0.9756, 0.0122, 0.0122]",dukungan suara pendukung,1
37,aneh deh lebay masa ini di sangkut pautkan sama kandidat calgub anda lebay seperti yg anda dukung,lebay,Strategi Kampanye,0.4605,aneh,4.0,"[0.9756, 0.0122, 0.0122]",deh lebay masa,1
135,kepada allah swt kami ucapkan rasa syukur dan kepada pak kami sampaikan terimakasih makna 17 suara anda,syukur,Strategi Kampanye,0.6323,rasa,-2.0,"[0.0238, 0.0238, 0.9524]",rasa syukur dan,1
135,kepada allah swt kami ucapkan rasa syukur dan kepada pak kami sampaikan terimakasih makna 17 suara anda,swt,Strategi Kampanye,0.3789,allah,5.0,"[0.9804, 0.0098, 0.0098]",allah swt kami,1
135,kepada allah swt kami ucapkan rasa syukur dan kepada pak kami sampaikan terimakasih makna 17 suara anda,suara,Tokoh dan Partai,0.291,makna,5.0,"[0.9804, 0.0098, 0.0098]",17 suara anda,1
238,terima kasih teruntuk pendukung kalianlah pembeda kali ini,kasih,Strategi Kampanye,0.4534,terima,2.0,"[0.9524, 0.0238, 0.0238]",terima kasih teruntuk,1
250,trima kasih atas keistiqomahan relawan lah yg tlh mengantarkan dg cukup signifikan,kasih,Strategi Kampanye,0.4378,trima,1.0,"[0.7692, 0.1923, 0.0385]",trima kasih atas,1
250,trima kasih atas keistiqomahan relawan lah yg tlh mengantarkan dg cukup signifikan,keistiqomahan,Pendukung/Pemilih,0.6406,trima,1.0,"[0.7692, 0.1923, 0.0385]",atas keistiqomahan relawan,1
233,sudah boleh ngakak survey mu jauh panggang dari api,panggang,Strategi Kampanye,0.6066,ngakak,-2.0,"[0.0238, 0.0238, 0.9524]",jauh panggang dari,1
233,sudah boleh ngakak survey mu jauh panggang dari api,survey,Tokoh dan Partai,0.2758,ngakak,-2.0,"[0.0238, 0.0238, 0.9524]",ngakak survey mu,1
