id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
52,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,akun,Strategi Kampanye,0.58,mulai,1.0,"[0.7692, 0.1923, 0.0385]",banyak akun kloning,1
52,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,paslon,Tokoh dan Partai,0.5668,menyerang,-3.0,"[0.0161, 0.0161, 0.9677]",menyerang paslon #aniessandi,1
52,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,pmbenaran..jangan,Politik Uang,0.4933,argumen,-4.0,"[0.0122, 0.0122, 0.9756]",argumen pmbenaran..jangan terkecoh,1
52,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,#agussilvy,Strategi Kampanye,0.6981,pendukung,4.0,"[0.9756, 0.0122, 0.0122]",pendukung #agussilvy mulai,1
52,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,pendukung,Pendukung/Pemilih,0.57,mulai,1.0,"[0.7692, 0.1923, 0.0385]",seolah2 pendukung #agussilvy,1
127,Kasian oh kasian dengan peluru 1milyar untuk tiap RW #agussilvy tidak mempan menangin pilkada #QuickCount #PilkadaSerentak2017,kasian,Tokoh dan Partai,0.2267,kasian,-3.0,"[0.0161, 0.0161, 0.9677]",kasian oh,1
127,Kasian oh kasian dengan peluru 1milyar untuk tiap RW #agussilvy tidak mempan menangin pilkada #QuickCount #PilkadaSerentak2017,peluru,Pendukung/Pemilih,0.544,kasian,-3.0,"[0.0161, 0.0161, 0.9677]",dengan peluru 1milyar,1
127,Kasian oh kasian dengan peluru 1milyar untuk tiap RW #agussilvy tidak mempan menangin pilkada #QuickCount #PilkadaSerentak2017,rw,Tokoh dan Partai,0.2706,peluru,-3.0,"[0.0161, 0.0161, 0.9677]",tiap rw #agussilvy,1
149,Awas ye kalo minta dukungan suara pendukung #AHY	,dukungan,Pendukung/Pemilih,0.6342,minta,2.0,"[0.9524, 0.0238, 0.0238]",minta dukungan suara,1
149,Awas ye kalo minta dukungan suara pendukung #AHY	,kalo,Tokoh dan Partai,0.2854,minta,2.0,"[0.9524, 0.0238, 0.0238]",ye kalo minta,1
