id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
1,banyak akun kloning seolah2 pendukung mulai menyerang paslon dengan opini dan argumen pmbenaranjangan terkecoh,pmbenaranjangan,Anies-Sandi,0.433,argumen,-4.0,"[0.0122, 0.0122, 0.9756]",argumen pmbenaranjangan terkecoh,1
1,banyak akun kloning seolah2 pendukung mulai menyerang paslon dengan opini dan argumen pmbenaranjangan terkecoh,opini,Agus-Sylvi,0.7032,menyerang,-3.0,"[0.0161, 0.0161, 0.9677]",dengan opini dan,1
1,banyak akun kloning seolah2 pendukung mulai menyerang paslon dengan opini dan argumen pmbenaranjangan terkecoh,akun,Anies-Sandi,0.5337,mulai,1.0,"[0.7692, 0.1923, 0.0385]",banyak akun kloning,1
1,banyak akun kloning seolah2 pendukung mulai menyerang paslon dengan opini dan argumen pmbenaranjangan terkecoh,paslon,Anies-Sandi,0.7198,menyerang,-3.0,"[0.0161, 0.0161, 0.9677]",menyerang paslon dengan,1
2,bicara apa kasihan yaalap itu air matanya wkwkwkwk,wkwkwkwk,Agus-Sylvi,0.429,air,-1.0,"[0.0385, 0.1923, 0.7692]",nya wkwkwkwk,1
3,kalau aku sih gak nunggu hasil akhir qc tp lagi nunggu motif cuitan pak kayak apa pasca nyungsep,motif,Ahok-Djarot,0.5293,nunggu,1.0,"[0.7692, 0.1923, 0.0385]",nunggu motif cuitan,1
3,kalau aku sih gak nunggu hasil akhir qc tp lagi nunggu motif cuitan pak kayak apa pasca nyungsep,kayak,Ahok-Djarot,0.5492,pak,-0.8999999999999999,"[0.0408, 0.2245, 0.7347]",pak kayak apa,0
3,kalau aku sih gak nunggu hasil akhir qc tp lagi nunggu motif cuitan pak kayak apa pasca nyungsep,qc,Agus-Sylvi,0.0801,hasil,3.0,"[0.9677, 0.0161, 0.0161]",akhir qc tp,1
4,kasian oh kasian dengan peluru 1milyar untuk tiap rw tidak mempan menangin pilkada,peluru,Agus-Sylvi,0.5209,kasian,-3.0,"[0.0161, 0.0161, 0.9677]",dengan peluru 1milyar,1
4,kasian oh kasian dengan peluru 1milyar untuk tiap rw tidak mempan menangin pilkada,kasian,Ahok-Djarot,0.0986,kasian,-3.0,"[0.0161, 0.0161, 0.9677]",kasian oh,1
