id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
1421115366063759361,dengan rencana dan stok yang sudah diamankan indonesia bisa memastikan pelaksanaan vaksinasi di agustus aman dan bisa ditingkatkan untuk memenuhi target,target,Peserta,0.3522,memenuhi,-3.0,"[0.0161, 0.0161, 0.9677]",memenuhi target,1
1421115366063759361,dengan rencana dan stok yang sudah diamankan indonesia bisa memastikan pelaksanaan vaksinasi di agustus aman dan bisa ditingkatkan untuk memenuhi target,stok,Layanan,0.1512,rencana,2.0,"[0.9524, 0.0238, 0.0238]",dan stok yang,1
1421115366063759361,dengan rencana dan stok yang sudah diamankan indonesia bisa memastikan pelaksanaan vaksinasi di agustus aman dan bisa ditingkatkan untuk memenuhi target,agustus,Layanan,0.1581,pelaksanaan,-4.0,"[0.0122, 0.0122, 0.9756]",di agustus aman,1
1421115366063759361,dengan rencana dan stok yang sudah diamankan indonesia bisa memastikan pelaksanaan vaksinasi di agustus aman dan bisa ditingkatkan untuk memenuhi target,vaksinasi,Produk Vaksin,0.1517,pelaksanaan,-4.0,"[0.0122, 0.0122, 0.9756]",pelaksanaan vaksinasi di,1
1421108348846440449,kalo kena covid biaya sakit ditanggung negara sampe sembuh tapi kalo mati karena program vaksinasi covid negara malah lepas tangan ga mau tanggung jawab bagus lah suara arus bawah yg banyak pada ga mau divaksin emang suka kebangetan pemerintahannya tu,jawab,Biaya,0.1002,tanggung,-2.0,"[0.0238, 0.0238, 0.9524]",tanggung jawab bagus,1
1421108348846440449,kalo kena covid biaya sakit ditanggung negara sampe sembuh tapi kalo mati karena program vaksinasi covid negara malah lepas tangan ga mau tanggung jawab bagus lah suara arus bawah yg banyak pada ga mau divaksin emang suka kebangetan pemerintahannya tu,suara,Layanan,0.0139,tanggung,-2.0,"[0.0238, 0.0238, 0.9524]",lah suara arus,1
1421108348846440449,kalo kena covid biaya sakit ditanggung negara sampe sembuh tapi kalo mati karena program vaksinasi covid negara malah lepas tangan ga mau tanggung jawab bagus lah suara arus bawah yg banyak pada ga mau divaksin emang suka kebangetan pemerintahannya tu,kebangetan,Layanan,0.1005,suka,3.0,"[0.9677, 0.0161, 0.0161]",suka kebangetan pemerintahan,1
1421108348846440449,kalo kena covid biaya sakit ditanggung negara sampe sembuh tapi kalo mati karena program vaksinasi covid negara malah lepas tangan ga mau tanggung jawab bagus lah suara arus bawah yg banyak pada ga mau divaksin emang suka kebangetan pemerintahannya tu,tanggung,Layanan,0.0895,lepas,-2.0,"[0.0238, 0.0238, 0.9524]",mau tanggung jawab,1
1421108348846440449,kalo kena covid biaya sakit ditanggung negara sampe sembuh tapi kalo mati karena program vaksinasi covid negara malah lepas tangan ga mau tanggung jawab bagus lah suara arus bawah yg banyak pada ga mau divaksin emang suka kebangetan pemerintahannya tu,arus,Implementasi,0.0362,suara,2.0,"[0.9524, 0.0238, 0.0238]",suara arus bawah,1
1421108348846440449,kalo kena covid biaya sakit ditanggung negara sampe sembuh tapi kalo mati karena program vaksinasi covid negara malah lepas tangan ga mau tanggung jawab bagus lah suara arus bawah yg banyak pada ga mau divaksin emang suka kebangetan pemerintahannya tu,program,Implementasi,0.1167,lepas,-2.0,"[0.0238, 0.0238, 0.9524]",karena program vaksinasi,1
1421108348846440449,kalo kena covid biaya sakit ditanggung negara sampe sembuh tapi kalo mati karena program vaksinasi covid negara malah lepas tangan ga mau tanggung jawab bagus lah suara arus bawah yg banyak pada ga mau divaksin emang suka kebangetan pemerintahannya tu,tangan,Layanan,0.1015,lepas,-2.0,"[0.0238, 0.0238, 0.9524]",lepas tangan ga,1
