id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
120,kalo sudah kuliah mah program kalo adekku mah b haha,program,Program,0.4167,kuliah,1.0,"[0.7692, 0.1923, 0.0385]",mah program kalo,1
120,kalo sudah kuliah mah program kalo adekku mah b haha,kalo,Anggaran,0.0968,kuliah,1.0,"[0.7692, 0.1923, 0.0385]",kalo sudah,1
181,kerja mendukung program program program mbkm membuka peluang inovasi pendidikan cerah,pendidikan,Anggaran,0.0,inovasi,4.0,"[0.9756, 0.0122, 0.0122]",inovasi pendidikan cerah,1
286,(tertawa) ptk naro logo program ignya tapi mahasiswanya tidak merdeka,program,Program,0.2552,merdeka,0.0,"[0.0, 1.0, 0.0]",logo program ig,0
286,(tertawa) ptk naro logo program ignya tapi mahasiswanya tidak merdeka,mahasiswanya,Program,0.0552,merdeka,0.0,"[0.0, 1.0, 0.0]",tapi mahasiswanya tidak,0
286,(tertawa) ptk naro logo program ignya tapi mahasiswanya tidak merdeka,ptk,Nadiem,0.0292,merdeka,0.0,"[0.0, 1.0, 0.0]",) ptk naro,0
76,halah program apanya,program,Magang,0.3649,halah,-5.0,"[0.0098, 0.0098, 0.9804]",halah program apanya,1
176,kayanya tiada bentakan dan blaming karyawan gue atau teman gue i assume they just dont know what they did is wrong cos maybe have normalized gue bertahan iyee magangnya magang program,gue,Anggaran,0.2628,karyawan,3.0,"[0.9677, 0.0161, 0.0161]",karyawan gue atau,1
176,kayanya tiada bentakan dan blaming karyawan gue atau teman gue i assume they just dont know what they did is wrong cos maybe have normalized gue bertahan iyee magangnya magang program,bentakan,Anggaran,0.2125,kaya,2.0,"[0.9524, 0.0238, 0.0238]",tiada bentakan dan,1
176,kayanya tiada bentakan dan blaming karyawan gue atau teman gue i assume they just dont know what they did is wrong cos maybe have normalized gue bertahan iyee magangnya magang program,magang,Magang,0.1035,magang,1.5,"[0.8955, 0.0746, 0.0299]",iyee magang nya,0
176,kayanya tiada bentakan dan blaming karyawan gue atau teman gue i assume they just dont know what they did is wrong cos maybe have normalized gue bertahan iyee magangnya magang program,program,Program,0.4425,magang,1.5,"[0.8955, 0.0746, 0.0299]",magang program,0
176,kayanya tiada bentakan dan blaming karyawan gue atau teman gue i assume they just dont know what they did is wrong cos maybe have normalized gue bertahan iyee magangnya magang program,karyawan,Anggaran,0.1076,bentakan,-5.0,"[0.0098, 0.0098, 0.9804]",blaming karyawan gue,1
34,benar banget malahan kuliah tuh takut hilang program program menguntungkan mahasiswa tapi sayang sekalai sekolah sdsma,sayang,Program,0.0808,takut,1.0,"[0.7692, 0.1923, 0.0385]",tapi sayang sekalai,1
34,benar banget malahan kuliah tuh takut hilang program program menguntungkan mahasiswa tapi sayang sekalai sekolah sdsma,sekolah,Program,0.0951,sayang,3.0,"[0.9677, 0.0161, 0.0161]",sekalai sekolah sdsma,1
34,benar banget malahan kuliah tuh takut hilang program program menguntungkan mahasiswa tapi sayang sekalai sekolah sdsma,kuliah,Anggaran,0.1288,takut,1.0,"[0.7692, 0.1923, 0.0385]",malahan kuliah tuh,1
34,benar banget malahan kuliah tuh takut hilang program program menguntungkan mahasiswa tapi sayang sekalai sekolah sdsma,mahasiswa,Program,0.0801,menguntungkan,4.0,"[0.9756, 0.0122, 0.0122]",menguntungkan mahasiswa tapi,1
34,benar banget malahan kuliah tuh takut hilang program program menguntungkan mahasiswa tapi sayang sekalai sekolah sdsma,sekalai,Anggaran,0.0788,sekolah,3.0,"[0.9677, 0.0161, 0.0161]",sayang sekalai sekolah,1
34,benar banget malahan kuliah tuh takut hilang program program menguntungkan mahasiswa tapi sayang sekalai sekolah sdsma,program,Program,0.4044,hilang,3.0,"[0.9677, 0.0161, 0.0161]",hilang program program,1
34,benar banget malahan kuliah tuh takut hilang program program menguntungkan mahasiswa tapi sayang sekalai sekolah sdsma,sdsma,Program,0.0543,sekolah,3.0,"[0.9677, 0.0161, 0.0161]",sekolah sdsma,1
110,kadang mikir kalo kuliah organisasi tidak seaktif tidak ulah nadiem doang program tapi memang dipengaruhi kebutuhan tenaga kerja pandangannya organisasi mending magang,pandangan,Magang,0.214,kebutuhan,4.0,"[0.9756, 0.0122, 0.0122]",kerja pandangan nya,1
110,kadang mikir kalo kuliah organisasi tidak seaktif tidak ulah nadiem doang program tapi memang dipengaruhi kebutuhan tenaga kerja pandangannya organisasi mending magang,organisasi,Program,0.0518,kuliah,-1.0,"[0.0385, 0.1923, 0.7692]",kuliah organisasi tidak,1
110,kadang mikir kalo kuliah organisasi tidak seaktif tidak ulah nadiem doang program tapi memang dipengaruhi kebutuhan tenaga kerja pandangannya organisasi mending magang,kalo,Program,0.0989,mikir,-2.0,"[0.0238, 0.0238, 0.9524]",mikir kalo kuliah,1
110,kadang mikir kalo kuliah organisasi tidak seaktif tidak ulah nadiem doang program tapi memang dipengaruhi kebutuhan tenaga kerja pandangannya organisasi mending magang,kerja,Magang,0.2172,tenaga,3.0,"[0.9677, 0.0161, 0.0161]",tenaga kerja pandangan,1
110,kadang mikir kalo kuliah organisasi tidak seaktif tidak ulah nadiem doang program tapi memang dipengaruhi kebutuhan tenaga kerja pandangannya organisasi mending magang,doang,Program,0.3141,nadiem,4.5,"[0.9783, 0.0109, 0.0109]",nadiem doang program,0
