id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
52,banyak akun kloning seolah2 pendukung mulai menyerang paslon dengan opini dan argumen pmbenaranjangan terkecoh,pmbenaranjangan,Pendukung/Pemilih,0.0749,argumen,-4.0,"[0.0122, 0.0122, 0.9756]",argumen pmbenaranjangan terkecoh,1
52,banyak akun kloning seolah2 pendukung mulai menyerang paslon dengan opini dan argumen pmbenaranjangan terkecoh,akun,Politik Uang,0.095,mulai,1.0,"[0.7692, 0.1923, 0.0385]",banyak akun kloning,1
52,banyak akun kloning seolah2 pendukung mulai menyerang paslon dengan opini dan argumen pmbenaranjangan terkecoh,paslon,Pendukung/Pemilih,0.0785,menyerang,-3.0,"[0.0161, 0.0161, 0.9677]",menyerang paslon dengan,1
52,banyak akun kloning seolah2 pendukung mulai menyerang paslon dengan opini dan argumen pmbenaranjangan terkecoh,opini,Pendukung/Pemilih,0.0554,menyerang,-3.0,"[0.0161, 0.0161, 0.9677]",dengan opini dan,1
127,kasian oh kasian dengan peluru 1milyar untuk tiap rw tidak mempan menangin pilkada,kasian,Politik Uang,0.1012,kasian,-3.0,"[0.0161, 0.0161, 0.9677]",kasian oh,1
127,kasian oh kasian dengan peluru 1milyar untuk tiap rw tidak mempan menangin pilkada,peluru,Pendukung/Pemilih,0.0503,kasian,-3.0,"[0.0161, 0.0161, 0.9677]",dengan peluru 1milyar,1
149,awas ye kalo minta dukungan suara pendukung,kalo,Politik Uang,0.0956,minta,2.0,"[0.9524, 0.0238, 0.0238]",ye kalo minta,1
149,awas ye kalo minta dukungan suara pendukung,suara,Pendukung/Pemilih,0.0589,dukungan,4.0,"[0.9756, 0.0122, 0.0122]",dukungan suara pendukung,1
149,awas ye kalo minta dukungan suara pendukung,pendukung,Pendukung/Pemilih,0.053,dukungan,4.0,"[0.9756, 0.0122, 0.0122]",suara pendukung,1
149,awas ye kalo minta dukungan suara pendukung,dukungan,SARA,0.0442,minta,2.0,"[0.9524, 0.0238, 0.0238]",minta dukungan suara,1
37,aneh deh lebay masa ini di sangkut pautkan sama kandidat calgub anda lebay seperti yg anda dukung,lebay,SARA,0.0457,aneh,4.0,"[0.9756, 0.0122, 0.0122]",deh lebay masa,1
135,kepada allah swt kami ucapkan rasa syukur dan kepada pak kami sampaikan terimakasih makna 17 suara anda,suara,Pendukung/Pemilih,0.0,makna,5.0,"[0.9804, 0.0098, 0.0098]",17 suara anda,1
135,kepada allah swt kami ucapkan rasa syukur dan kepada pak kami sampaikan terimakasih makna 17 suara anda,syukur,SARA,0.2421,rasa,-2.0,"[0.0238, 0.0238, 0.9524]",rasa syukur dan,1
135,kepada allah swt kami ucapkan rasa syukur dan kepada pak kami sampaikan terimakasih makna 17 suara anda,swt,SARA,0.0431,allah,5.0,"[0.9804, 0.0098, 0.0098]",allah swt kami,1
238,terima kasih teruntuk pendukung kalianlah pembeda kali ini,kasih,Tokoh dan Partai,0.0828,terima,2.0,"[0.9524, 0.0238, 0.0238]",terima kasih teruntuk,1
250,trima kasih atas keistiqomahan relawan lah yg tlh mengantarkan dg cukup signifikan,kasih,SARA,0.1597,trima,1.0,"[0.7692, 0.1923, 0.0385]",trima kasih atas,1
250,trima kasih atas keistiqomahan relawan lah yg tlh mengantarkan dg cukup signifikan,keistiqomahan,SARA,0.2245,trima,1.0,"[0.7692, 0.1923, 0.0385]",atas keistiqomahan relawan,1
233,sudah boleh ngakak survey mu jauh panggang dari api,survey,SARA,0.0425,ngakak,-2.0,"[0.0238, 0.0238, 0.9524]",ngakak survey mu,1
233,sudah boleh ngakak survey mu jauh panggang dari api,panggang,Pendukung/Pemilih,0.0604,ngakak,-2.0,"[0.0238, 0.0238, 0.9524]",jauh panggang dari,1
172,om aa kemana lepas kalah kok dia tutup mulut tidak koar mau bongkar sby,sby,SARA,0.0067,bongkar,3.0,"[0.9677, 0.0161, 0.0161]",bongkar sby,1
172,om aa kemana lepas kalah kok dia tutup mulut tidak koar mau bongkar sby,om,SARA,0.0117,lepas,-2.0,"[0.0238, 0.0238, 0.9524]",om aa,1
172,om aa kemana lepas kalah kok dia tutup mulut tidak koar mau bongkar sby,mulut,Politik Uang,0.0036,tutup,2.0,"[0.9524, 0.0238, 0.0238]",tutup mulut tidak,1
172,om aa kemana lepas kalah kok dia tutup mulut tidak koar mau bongkar sby,koar,Politik Uang,0.0714,mau,-5.0,"[0.0098, 0.0098, 0.9804]",tidak koar mau,1
122,kalau pencatutan nama dan mpo melanggar hukum ga ya wkwkwkwkkwkk,ga,Politik Uang,0.0421,hukum,3.0,"[0.9677, 0.0161, 0.0161]",hukum ga ya,1
122,kalau pencatutan nama dan mpo melanggar hukum ga ya wkwkwkwkkwkk,hukum,Politik Uang,0.0894,melanggar,-5.0,"[0.0098, 0.0098, 0.9804]",melanggar hukum ga,1
122,kalau pencatutan nama dan mpo melanggar hukum ga ya wkwkwkwkkwkk,pencatutan,Tokoh dan Partai,0.2319,melanggar,-5.0,"[0.0098, 0.0098, 0.9804]",kalau pencatutan nama,1
260,ya pastilah kan ga suka ama ahok jd pas udah kalah otomatis dukungannya lari ke mas aniessandi,dukungan,Politik Uang,0.0517,lari,-2.0,"[0.0238, 0.0238, 0.9524]",otomatis dukungan nya,1
260,ya pastilah kan ga suka ama ahok jd pas udah kalah otomatis dukungannya lari ke mas aniessandi,udah,Tokoh dan Partai,0.0963,lari,-2.0,"[0.0238, 0.0238, 0.9524]",pas udah kalah,1
260,ya pastilah kan ga suka ama ahok jd pas udah kalah otomatis dukungannya lari ke mas aniessandi,ama,SARA,0.2066,suka,3.0,"[0.9677, 0.0161, 0.0161]",suka ama ahok,1
260,ya pastilah kan ga suka ama ahok jd pas udah kalah otomatis dukungannya lari ke mas aniessandi,pastilah,SARA,0.0576,suka,3.0,"[0.9677, 0.0161, 0.0161]",ya pastilah kan,1
260,ya pastilah kan ga suka ama ahok jd pas udah kalah otomatis dukungannya lari ke mas aniessandi,ahok,Tokoh dan Partai,0.0586,suka,3.0,"[0.9677, 0.0161, 0.0161]",ama ahok jd,1
260,ya pastilah kan ga suka ama ahok jd pas udah kalah otomatis dukungannya lari ke mas aniessandi,mas,SARA,0.1476,lari,-2.0,"[0.0238, 0.0238, 0.9524]",ke mas aniessandi,1
260,ya pastilah kan ga suka ama ahok jd pas udah kalah otomatis dukungannya lari ke mas aniessandi,aniessandi,SARA,0.1437,mas,3.3,"[0.9706, 0.0147, 0.0147]",mas aniessandi,0
80,banteng garuda ksatria gentle cinta,ksatria,SARA,0.088,banteng,-3.0,"[0.0161, 0.0161, 0.9677]",garuda ksatria gentle,1
80,banteng garuda ksatria gentle cinta,garuda,SARA,0.0983,banteng,-3.0,"[0.0161, 0.0161, 0.9677]",banteng garuda ksatria,1
86,gara2 ektp dikorupsi fotoku yg semula mirip pelan tapi pasti skrang malah mirip stickmoticons,pelan,Pendukung/Pemilih,0.0833,mirip,1.0,"[0.7692, 0.1923, 0.0385]",mirip pelan tapi,1
86,gara2 ektp dikorupsi fotoku yg semula mirip pelan tapi pasti skrang malah mirip stickmoticons,skrang,SARA,0.0618,mirip,1.0,"[0.7692, 0.1923, 0.0385]",pasti skrang malah,1
86,gara2 ektp dikorupsi fotoku yg semula mirip pelan tapi pasti skrang malah mirip stickmoticons,semula,Politik Uang,0.0512,mirip,1.0,"[0.7692, 0.1923, 0.0385]",yg semula mirip,1
131,kemana nih antasari kalah di melempem dia benerbener akting yang,nih,SARA,0.2007,kalah,-4.0,"[0.0122, 0.0122, 0.9756]",kemana nih antasari,1
104,ingat tidak bisa modal omongan saja tapi kerja nyata,omongan,Tokoh dan Partai,0.0231,modal,-2.0,"[0.0238, 0.0238, 0.9524]",modal omongan saja,1
104,ingat tidak bisa modal omongan saja tapi kerja nyata,kerja,SARA,0.0873,modal,-2.0,"[0.0238, 0.0238, 0.9524]",tapi kerja nyata,1
104,ingat tidak bisa modal omongan saja tapi kerja nyata,modal,Tokoh dan Partai,0.0329,ingat,-2.0,"[0.0238, 0.0238, 0.9524]",bisa modal omongan,1
177,paslon salah langkah seperti dilakukan sandi ini bukan tidak mungkin jadi bumerang gagal dapat suara,suara,Tokoh dan Partai,0.0215,gagal,4.0,"[0.9756, 0.0122, 0.0122]",dapat suara,1
177,paslon salah langkah seperti dilakukan sandi ini bukan tidak mungkin jadi bumerang gagal dapat suara,bumerang,Tokoh dan Partai,0.0467,gagal,4.0,"[0.9756, 0.0122, 0.0122]",jadi bumerang gagal,1
78,di manakah sang ksatria samurai prajurit pembangun semangat harapan pahlawan yg dinantinantikan rakyat itu,harapan,SARA,0.2389,semangat,4.0,"[0.9756, 0.0122, 0.0122]",semangat harapan pahlawan,1
139,kini ketika berada di luar arena tabir kegelapan tiada harapan kembali menyergap rakyat kemana lagi rakyat mencari ketulusan,arena,Strategi Kampanye,0.0675,berada,4.0,"[0.9756, 0.0122, 0.0122]",luar arena tabir,1
139,kini ketika berada di luar arena tabir kegelapan tiada harapan kembali menyergap rakyat kemana lagi rakyat mencari ketulusan,rakyat,Politik Uang,0.1048,mencari,-3.0,"[0.0161, 0.0161, 0.9677]",menyergap rakyat kemana,1
139,kini ketika berada di luar arena tabir kegelapan tiada harapan kembali menyergap rakyat kemana lagi rakyat mencari ketulusan,ketulusan,Politik Uang,0.0825,mencari,-3.0,"[0.0161, 0.0161, 0.9677]",mencari ketulusan,1
47,awas ye kalo minta dukungan suara pendukung,kalo,Politik Uang,0.0956,minta,2.0,"[0.9524, 0.0238, 0.0238]",ye kalo minta,1
47,awas ye kalo minta dukungan suara pendukung,suara,Pendukung/Pemilih,0.0589,dukungan,4.0,"[0.9756, 0.0122, 0.0122]",dukungan suara pendukung,1
47,awas ye kalo minta dukungan suara pendukung,pendukung,Pendukung/Pemilih,0.053,dukungan,4.0,"[0.9756, 0.0122, 0.0122]",suara pendukung,1
47,awas ye kalo minta dukungan suara pendukung,dukungan,SARA,0.0442,minta,2.0,"[0.9524, 0.0238, 0.0238]",minta dukungan suara,1
105,ini dia pelaku pengirim sms gelap antasari azhar,antasari,SARA,0.1627,pengirim,1.0,"[0.7692, 0.1923, 0.0385]",gelap antasari azhar,1
105,ini dia pelaku pengirim sms gelap antasari azhar,sms,Pendukung/Pemilih,0.096,pengirim,1.0,"[0.7692, 0.1923, 0.0385]",pengirim sms gelap,1
251,tuduhan terhadap yg kerap dilontarkan anak ingusan dan cuma mayor sekarang tak terdengar lagi dudah berubah menjadi sanjungan,ingusan,SARA,0.1129,anak,-3.0,"[0.0161, 0.0161, 0.9677]",anak ingusan dan,1
111,jangan curiga dulu saldonya bisa di kenti seperti blt orang mau berbuat baik belum apa2 sudah curiga mekanismenya seperti apa,mekanisme,Politik Uang,0.0998,curiga,-1.0,"[0.0385, 0.1923, 0.7692]",curiga mekanisme nya,1
11,ahoker masih bully,ahoker,Tokoh dan Partai,0.1182,bully,-5.0,"[0.0098, 0.0098, 0.9804]",ahoker masih,1
208,sayang mayor termasuk yang dikader untuk pemimpin masa depan dari sma taruna beliau selalu yang teratas lagi2 itu pilihan,mayor,Politik Uang,0.1493,sayang,3.0,"[0.9677, 0.0161, 0.0161]",sayang mayor termasuk,1
208,sayang mayor termasuk yang dikader untuk pemimpin masa depan dari sma taruna beliau selalu yang teratas lagi2 itu pilihan,pilihan,SARA,0.0653,teratas,3.0,"[0.9677, 0.0161, 0.0161]",itu pilihan,1
208,sayang mayor termasuk yang dikader untuk pemimpin masa depan dari sma taruna beliau selalu yang teratas lagi2 itu pilihan,sayang,Politik Uang,0.1421,termasuk,-3.0,"[0.0161, 0.0161, 0.9677]",sayang mayor,1
224,setuju bangett banyak yang tidak bersyukur kemrin tidak banjir sekarang malah sibuk mencari pembelaan,pembelaan,Pendukung/Pemilih,0.1275,mencari,3.0,"[0.9677, 0.0161, 0.0161]",mencari pembelaan,1
224,setuju bangett banyak yang tidak bersyukur kemrin tidak banjir sekarang malah sibuk mencari pembelaan,sekarang,Tokoh dan Partai,0.0439,banjir,-4.0,"[0.0122, 0.0122, 0.9756]",banjir sekarang malah,1
224,setuju bangett banyak yang tidak bersyukur kemrin tidak banjir sekarang malah sibuk mencari pembelaan,banjir,Politik Uang,0.0,bersyukur,-5.0,"[0.0098, 0.0098, 0.9804]",tidak banjir sekarang,1
99,hellloooo suara rakyat ngerti suara rakyat bukan suaranya or dek ngopi dulu gih,suara,Tokoh dan Partai,0.019,ngerti,-1.0,"[0.0385, 0.1923, 0.7692]",hellloooo suara rakyat,1
99,hellloooo suara rakyat ngerti suara rakyat bukan suaranya or dek ngopi dulu gih,rakyat,Tokoh dan Partai,0.0296,suara,-2.0,"[0.0238, 0.0238, 0.9524]",suara rakyat ngerti,1
