id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
52,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,pendukung,SARA,0.1186,mulai,1.0,"[0.7692, 0.1923, 0.0385]",seolah2 pendukung #agussilvy,1
52,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,paslon,SARA,0.09,menyerang,-3.0,"[0.0161, 0.0161, 0.9677]",menyerang paslon #aniessandi,1
52,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,pmbenaran..jangan,Politik Uang,0.1324,argumen,-4.0,"[0.0122, 0.0122, 0.9756]",argumen pmbenaran..jangan terkecoh,1
52,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,#agussilvy,Pendukung/Pemilih,0.1424,pendukung,4.0,"[0.9756, 0.0122, 0.0122]",pendukung #agussilvy mulai,1
52,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,akun,Politik Uang,0.095,mulai,1.0,"[0.7692, 0.1923, 0.0385]",banyak akun kloning,1
127,Kasian oh kasian dengan peluru 1milyar untuk tiap RW #agussilvy tidak mempan menangin pilkada #QuickCount #PilkadaSerentak2017,peluru,Pendukung/Pemilih,0.0503,kasian,-3.0,"[0.0161, 0.0161, 0.9677]",dengan peluru 1milyar,1
127,Kasian oh kasian dengan peluru 1milyar untuk tiap RW #agussilvy tidak mempan menangin pilkada #QuickCount #PilkadaSerentak2017,rw,SARA,0.0955,peluru,-3.0,"[0.0161, 0.0161, 0.9677]",tiap rw #agussilvy,1
127,Kasian oh kasian dengan peluru 1milyar untuk tiap RW #agussilvy tidak mempan menangin pilkada #QuickCount #PilkadaSerentak2017,kasian,Politik Uang,0.1012,kasian,-3.0,"[0.0161, 0.0161, 0.9677]",kasian oh,1
149,Awas ye kalo minta dukungan suara pendukung #AHY	,pendukung,Pendukung/Pemilih,0.0277,dukungan,4.0,"[0.9756, 0.0122, 0.0122]",suara pendukung #ahy,1
149,Awas ye kalo minta dukungan suara pendukung #AHY	,kalo,Politik Uang,0.0956,minta,2.0,"[0.9524, 0.0238, 0.0238]",ye kalo minta,1
149,Awas ye kalo minta dukungan suara pendukung #AHY	,suara,Pendukung/Pemilih,0.0589,dukungan,4.0,"[0.9756, 0.0122, 0.0122]",dukungan suara pendukung,1
149,Awas ye kalo minta dukungan suara pendukung #AHY	,dukungan,SARA,0.0442,minta,2.0,"[0.9524, 0.0238, 0.0238]",minta dukungan suara,1
149,Awas ye kalo minta dukungan suara pendukung #AHY	,#ahy,Pendukung/Pemilih,0.1255,pendukung,4.0,"[0.9756, 0.0122, 0.0122]",pendukung #ahy,1
37,"aneh deh lebay masa ini di sangkut pautkan sama kandidat Calgub, anda lebay seperti yg anda dukung #agussilvy",#agussilvy,Politik Uang,0.0598,dukung,4.0,"[0.9756, 0.0122, 0.0122]",dukung #agussilvy,1
135,Kepada Allah SWT kami ucapkan rasa syukur dan kepada pak @SBYudhoyono @presidenSBY #AHY kami sampaikan terimakasih. Makna 17% suara anda.,swt,SARA,0.0431,allah,5.0,"[0.9804, 0.0098, 0.0098]",allah swt kami,1
135,Kepada Allah SWT kami ucapkan rasa syukur dan kepada pak @SBYudhoyono @presidenSBY #AHY kami sampaikan terimakasih. Makna 17% suara anda.,syukur,SARA,0.2421,rasa,-2.0,"[0.0238, 0.0238, 0.9524]",rasa syukur dan,1
135,Kepada Allah SWT kami ucapkan rasa syukur dan kepada pak @SBYudhoyono @presidenSBY #AHY kami sampaikan terimakasih. Makna 17% suara anda.,suara,Tokoh dan Partai,0.018,makna,5.0,"[0.9804, 0.0098, 0.0098]",% suara anda,1
238,Terima Kasih teruntuk pendukung #AHY #SYLVI kalianlah pembeda kali ini,#ahy,Pendukung/Pemilih,0.084,pendukung,4.0,"[0.9756, 0.0122, 0.0122]",pendukung #ahy #sylvi,1
238,Terima Kasih teruntuk pendukung #AHY #SYLVI kalianlah pembeda kali ini,kasih,Tokoh dan Partai,0.0828,terima,2.0,"[0.9524, 0.0238, 0.0238]",terima kasih teruntuk,1
250,Trima Kasih atas KeIstiqomahan Relawan #AHY @AgusYudhoyono lah yg tlh mengantarkan #AniesSandiDKI1 #JakartaGubernurBaru dg cukup signifikan,keistiqomahan,SARA,0.2245,trima,1.0,"[0.7692, 0.1923, 0.0385]",atas keistiqomahan relawan,1
