id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
1421115366063759361,rencana dan stok sudah diamankan indonesia bisa pelaksanaan vaksinasi agustus aman dan bisa ditingkatkan memenuhi target,stok,Implementasi,0.6619,rencana,2.0,"[0.9524, 0.0238, 0.0238]",dan stok sudah,1
1421115366063759361,rencana dan stok sudah diamankan indonesia bisa pelaksanaan vaksinasi agustus aman dan bisa ditingkatkan memenuhi target,vaksinasi,Implementasi,0.8048,pelaksanaan,-4.0,"[0.0122, 0.0122, 0.9756]",pelaksanaan vaksinasi agustus,1
1421115366063759361,rencana dan stok sudah diamankan indonesia bisa pelaksanaan vaksinasi agustus aman dan bisa ditingkatkan memenuhi target,target,Implementasi,0.8115,memenuhi,-3.0,"[0.0161, 0.0161, 0.9677]",memenuhi target,1
1421108348846440449,kalo kena covid biaya sakit ditanggung negara sembuh tapi kalo mati program vaksinasi covid negara lepas tangan tidak tanggung jawab bagus suara arus tidak divaksin memang suka kebangetan pemerintahannya,tangan,Umum,0.5062,bagus,-2.0,"[0.0238, 0.0238, 0.9524]",lepas tangan tidak,1
1421108348846440449,kalo kena covid biaya sakit ditanggung negara sembuh tapi kalo mati program vaksinasi covid negara lepas tangan tidak tanggung jawab bagus suara arus tidak divaksin memang suka kebangetan pemerintahannya,kebangetan,Layanan,0.0,suka,-3.0,"[0.0161, 0.0161, 0.9677]",suka kebangetan pemerintahan,1
1421108348846440449,kalo kena covid biaya sakit ditanggung negara sembuh tapi kalo mati program vaksinasi covid negara lepas tangan tidak tanggung jawab bagus suara arus tidak divaksin memang suka kebangetan pemerintahannya,kalo,Implementasi,0.8293,mati,4.0,"[0.9756, 0.0122, 0.0122]",kalo kena,1
1421108348846440449,kalo kena covid biaya sakit ditanggung negara sembuh tapi kalo mati program vaksinasi covid negara lepas tangan tidak tanggung jawab bagus suara arus tidak divaksin memang suka kebangetan pemerintahannya,divaksin,Umum,0.4932,suka,-3.0,"[0.0161, 0.0161, 0.9677]",tidak divaksin memang,1
1421108348846440449,kalo kena covid biaya sakit ditanggung negara sembuh tapi kalo mati program vaksinasi covid negara lepas tangan tidak tanggung jawab bagus suara arus tidak divaksin memang suka kebangetan pemerintahannya,suara,Layanan,0.0906,bagus,-2.0,"[0.0238, 0.0238, 0.9524]",bagus suara arus,1
1421108348846440449,kalo kena covid biaya sakit ditanggung negara sembuh tapi kalo mati program vaksinasi covid negara lepas tangan tidak tanggung jawab bagus suara arus tidak divaksin memang suka kebangetan pemerintahannya,program,Produk Vaksin,0.6019,mati,4.0,"[0.9756, 0.0122, 0.0122]",mati program vaksinasi,1
1421108348846440449,kalo kena covid biaya sakit ditanggung negara sembuh tapi kalo mati program vaksinasi covid negara lepas tangan tidak tanggung jawab bagus suara arus tidak divaksin memang suka kebangetan pemerintahannya,bagus,Layanan,0.0849,tanggung,2.0,"[0.9524, 0.0238, 0.0238]",jawab bagus suara,1
1421108348846440449,kalo kena covid biaya sakit ditanggung negara sembuh tapi kalo mati program vaksinasi covid negara lepas tangan tidak tanggung jawab bagus suara arus tidak divaksin memang suka kebangetan pemerintahannya,jawab,Layanan,0.1891,tanggung,2.0,"[0.9524, 0.0238, 0.0238]",tanggung jawab bagus,1
1421108348846440449,kalo kena covid biaya sakit ditanggung negara sembuh tapi kalo mati program vaksinasi covid negara lepas tangan tidak tanggung jawab bagus suara arus tidak divaksin memang suka kebangetan pemerintahannya,arus,Umum,0.6168,bagus,-2.0,"[0.0238, 0.0238, 0.9524]",suara arus tidak,1
1421108348846440449,kalo kena covid biaya sakit ditanggung negara sembuh tapi kalo mati program vaksinasi covid negara lepas tangan tidak tanggung jawab bagus suara arus tidak divaksin memang suka kebangetan pemerintahannya,tanggung,Umum,0.1612,suka,-3.0,"[0.0161, 0.0161, 0.9677]",tidak tanggung jawab,1
