id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
120,kalo sudah kuliah mah kampus merdeka kalo adekku mah b haha,kampus,Program,0.558,kuliah,1.0,"[0.7692, 0.1923, 0.0385]",mah kampus merdeka,1
181,kerja mendukung program merdeka belajar kampus merdeka mbkm membuka peluang inovasi pendidikan cerah,pendidikan,Program,0.3261,inovasi,4.0,"[0.9756, 0.0122, 0.0122]",inovasi pendidikan cerah,1
181,kerja mendukung program merdeka belajar kampus merdeka mbkm membuka peluang inovasi pendidikan cerah,kampus,Program,0.5565,belajar,3.0,"[0.9677, 0.0161, 0.0161]",belajar kampus merdeka,1
286,(tertawa) ptk naro logo kampus merdeka ignya tapi mahasiswanya tidak merdeka,ptk,Nadiem,0.7333,merdeka,0.0,"[0.0, 1.0, 0.0]",) ptk naro,0
286,(tertawa) ptk naro logo kampus merdeka ignya tapi mahasiswanya tidak merdeka,mahasiswanya,Magang,0.5598,merdeka,0.0,"[0.0, 1.0, 0.0]",tapi mahasiswanya tidak,0
76,halah kampus merdeka apanya,kampus,Program,0.4832,halah,-5.0,"[0.0098, 0.0098, 0.9804]",halah kampus merdeka,1
76,halah kampus merdeka apanya,halah,Magang,0.5624,merdeka,-2.4,"[0.02, 0.02, 0.96]",halah kampus,0
176,kayanya tiada bentakan dan blaming karyawan gue atau teman gue i assume they just dont know what they did is wrong cos maybe have normalized gue bertahan iyee magangnya magang kampus merdeka,kampus,Magang,0.7427,magang,1.5,"[0.8955, 0.0746, 0.0299]",magang kampus merdeka,0
176,kayanya tiada bentakan dan blaming karyawan gue atau teman gue i assume they just dont know what they did is wrong cos maybe have normalized gue bertahan iyee magangnya magang kampus merdeka,bentakan,Magang,0.6861,kaya,2.0,"[0.9524, 0.0238, 0.0238]",tiada bentakan dan,1
176,kayanya tiada bentakan dan blaming karyawan gue atau teman gue i assume they just dont know what they did is wrong cos maybe have normalized gue bertahan iyee magangnya magang kampus merdeka,karyawan,Magang,0.7155,bentakan,-5.0,"[0.0098, 0.0098, 0.9804]",blaming karyawan gue,1
176,kayanya tiada bentakan dan blaming karyawan gue atau teman gue i assume they just dont know what they did is wrong cos maybe have normalized gue bertahan iyee magangnya magang kampus merdeka,gue,Magang,0.7854,karyawan,3.0,"[0.9677, 0.0161, 0.0161]",karyawan gue atau,1
176,kayanya tiada bentakan dan blaming karyawan gue atau teman gue i assume they just dont know what they did is wrong cos maybe have normalized gue bertahan iyee magangnya magang kampus merdeka,magang,Magang,0.8075,magang,1.5,"[0.8955, 0.0746, 0.0299]",iyee magang nya,0
34,benar banget malahan kuliah tuh takut hilang program kampus merdeka menguntungkan mahasiswa tapi sayang sekalai sekolah sdsma,sayang,Anggaran,0.5133,menguntungkan,4.0,"[0.9756, 0.0122, 0.0122]",tapi sayang sekalai,1
34,benar banget malahan kuliah tuh takut hilang program kampus merdeka menguntungkan mahasiswa tapi sayang sekalai sekolah sdsma,kuliah,Magang,0.7673,takut,1.0,"[0.7692, 0.1923, 0.0385]",malahan kuliah tuh,1
34,benar banget malahan kuliah tuh takut hilang program kampus merdeka menguntungkan mahasiswa tapi sayang sekalai sekolah sdsma,sekalai,Program,0.1182,sayang,3.0,"[0.9677, 0.0161, 0.0161]",sayang sekalai sekolah,1
34,benar banget malahan kuliah tuh takut hilang program kampus merdeka menguntungkan mahasiswa tapi sayang sekalai sekolah sdsma,sdsma,Magang,0.6565,sekolah,3.0,"[0.9677, 0.0161, 0.0161]",sekolah sdsma,1
34,benar banget malahan kuliah tuh takut hilang program kampus merdeka menguntungkan mahasiswa tapi sayang sekalai sekolah sdsma,mahasiswa,Program,0.0,menguntungkan,4.0,"[0.9756, 0.0122, 0.0122]",menguntungkan mahasiswa tapi,1
34,benar banget malahan kuliah tuh takut hilang program kampus merdeka menguntungkan mahasiswa tapi sayang sekalai sekolah sdsma,program,Magang,0.6395,menguntungkan,4.0,"[0.9756, 0.0122, 0.0122]",hilang program kampus,1
110,kadang mikir kalo kuliah organisasi tidak seaktif tidak ulah nadiem doang kampus merdeka tapi memang dipengaruhi kebutuhan tenaga kerja pandangannya organisasi mending magang,kerja,Anggaran,0.7858,tenaga,3.0,"[0.9677, 0.0161, 0.0161]",tenaga kerja pandangan,1
110,kadang mikir kalo kuliah organisasi tidak seaktif tidak ulah nadiem doang kampus merdeka tapi memang dipengaruhi kebutuhan tenaga kerja pandangannya organisasi mending magang,kampus,Magang,0.5912,doang,-1.0,"[0.0385, 0.1923, 0.7692]",doang kampus merdeka,1
110,kadang mikir kalo kuliah organisasi tidak seaktif tidak ulah nadiem doang kampus merdeka tapi memang dipengaruhi kebutuhan tenaga kerja pandangannya organisasi mending magang,pandangan,Magang,0.7084,kebutuhan,4.0,"[0.9756, 0.0122, 0.0122]",kerja pandangan nya,1
110,kadang mikir kalo kuliah organisasi tidak seaktif tidak ulah nadiem doang kampus merdeka tapi memang dipengaruhi kebutuhan tenaga kerja pandangannya organisasi mending magang,nadiem,Anggaran,0.7935,ulah,3.0,"[0.9677, 0.0161, 0.0161]",ulah nadiem doang,1
110,kadang mikir kalo kuliah organisasi tidak seaktif tidak ulah nadiem doang kampus merdeka tapi memang dipengaruhi kebutuhan tenaga kerja pandangannya organisasi mending magang,tenaga,Anggaran,0.821,kebutuhan,4.0,"[0.9756, 0.0122, 0.0122]",kebutuhan tenaga kerja,1
110,kadang mikir kalo kuliah organisasi tidak seaktif tidak ulah nadiem doang kampus merdeka tapi memang dipengaruhi kebutuhan tenaga kerja pandangannya organisasi mending magang,magang,Magang,0.7537,mending,2.0,"[0.9524, 0.0238, 0.0238]",mending magang,1
110,kadang mikir kalo kuliah organisasi tidak seaktif tidak ulah nadiem doang kampus merdeka tapi memang dipengaruhi kebutuhan tenaga kerja pandangannya organisasi mending magang,doang,Magang,0.772,nadiem,4.5,"[0.9783, 0.0109, 0.0109]",nadiem doang kampus,0
110,kadang mikir kalo kuliah organisasi tidak seaktif tidak ulah nadiem doang kampus merdeka tapi memang dipengaruhi kebutuhan tenaga kerja pandangannya organisasi mending magang,kalo,Magang,0.8073,mikir,-2.0,"[0.0238, 0.0238, 0.9524]",mikir kalo kuliah,1
270,tapi sejujurnya menurutku bagus kurikulumnya kalo perkuliahan bagusnya merdeka kampus belajar,kampus,Program,0.5245,merdeka,1.5,"[0.8955, 0.0746, 0.0299]",merdeka kampus belajar,0
270,tapi sejujurnya menurutku bagus kurikulumnya kalo perkuliahan bagusnya merdeka kampus belajar,perkuliahan,Magang,0.7681,merdeka,1.5,"[0.8955, 0.0746, 0.0299]",kalo perkuliahan bagusnya,0
270,tapi sejujurnya menurutku bagus kurikulumnya kalo perkuliahan bagusnya merdeka kampus belajar,kurikulumnya,Anggaran,0.6663,bagus,2.0,"[0.9524, 0.0238, 0.0238]",bagus kurikulumnya kalo,1
270,tapi sejujurnya menurutku bagus kurikulumnya kalo perkuliahan bagusnya merdeka kampus belajar,sejujur,Anggaran,0.6767,merdeka,1.5,"[0.8955, 0.0746, 0.0299]",tapi sejujur nya,0
270,tapi sejujurnya menurutku bagus kurikulumnya kalo perkuliahan bagusnya merdeka kampus belajar,kalo,Anggaran,0.8251,merdeka,1.5,"[0.8955, 0.0746, 0.0299]",kurikulumnya kalo perkuliahan,0
21,apaan bagus perguruan negeri gara-gara kebijakan kampus ngebebanin mhs s2 harus ikut-ikutan bikin jurnal publikasi menuhin quota kampus mhs manfaatin kurikulum merdeka ngeclaim sks padahal tidak mengerti apa-apa pas tes,apaan,Anggaran,0.7314,ikut-ikutan,-3.0,"[0.0161, 0.0161, 0.9677]",apaan bagus,1
21,apaan bagus perguruan negeri gara-gara kebijakan kampus ngebebanin mhs s2 harus ikut-ikutan bikin jurnal publikasi menuhin quota kampus mhs manfaatin kurikulum merdeka ngeclaim sks padahal tidak mengerti apa-apa pas tes,bagus,Anggaran,0.7278,apaan,-4.0,"[0.0122, 0.0122, 0.9756]",apaan bagus perguruan,1
21,apaan bagus perguruan negeri gara-gara kebijakan kampus ngebebanin mhs s2 harus ikut-ikutan bikin jurnal publikasi menuhin quota kampus mhs manfaatin kurikulum merdeka ngeclaim sks padahal tidak mengerti apa-apa pas tes,kampus,Magang,0.4113,kebijakan,3.0,"[0.9677, 0.0161, 0.0161]",kebijakan kampus ngebebanin,1
21,apaan bagus perguruan negeri gara-gara kebijakan kampus ngebebanin mhs s2 harus ikut-ikutan bikin jurnal publikasi menuhin quota kampus mhs manfaatin kurikulum merdeka ngeclaim sks padahal tidak mengerti apa-apa pas tes,ngebebanin,Program,0.2836,kebijakan,3.0,"[0.9677, 0.0161, 0.0161]",kampus ngebebanin mhs,1
21,apaan bagus perguruan negeri gara-gara kebijakan kampus ngebebanin mhs s2 harus ikut-ikutan bikin jurnal publikasi menuhin quota kampus mhs manfaatin kurikulum merdeka ngeclaim sks padahal tidak mengerti apa-apa pas tes,jurnal,Anggaran,0.7994,ikut-ikutan,-3.0,"[0.0161, 0.0161, 0.9677]",bikin jurnal publikasi,1
21,apaan bagus perguruan negeri gara-gara kebijakan kampus ngebebanin mhs s2 harus ikut-ikutan bikin jurnal publikasi menuhin quota kampus mhs manfaatin kurikulum merdeka ngeclaim sks padahal tidak mengerti apa-apa pas tes,tes,Anggaran,0.7399,mengerti,-2.0,"[0.0238, 0.0238, 0.9524]",pas tes,1
21,apaan bagus perguruan negeri gara-gara kebijakan kampus ngebebanin mhs s2 harus ikut-ikutan bikin jurnal publikasi menuhin quota kampus mhs manfaatin kurikulum merdeka ngeclaim sks padahal tidak mengerti apa-apa pas tes,kebijakan,Magang,0.6574,bagus,2.0,"[0.9524, 0.0238, 0.0238]",gara-gara kebijakan kampus,1
21,apaan bagus perguruan negeri gara-gara kebijakan kampus ngebebanin mhs s2 harus ikut-ikutan bikin jurnal publikasi menuhin quota kampus mhs manfaatin kurikulum merdeka ngeclaim sks padahal tidak mengerti apa-apa pas tes,perguruan,Magang,0.505,bagus,2.0,"[0.9524, 0.0238, 0.0238]",bagus perguruan negeri,1
21,apaan bagus perguruan negeri gara-gara kebijakan kampus ngebebanin mhs s2 harus ikut-ikutan bikin jurnal publikasi menuhin quota kampus mhs manfaatin kurikulum merdeka ngeclaim sks padahal tidak mengerti apa-apa pas tes,mhs,Program,0.1985,kebijakan,3.0,"[0.9677, 0.0161, 0.0161]",ngebebanin mhs s2,1
21,apaan bagus perguruan negeri gara-gara kebijakan kampus ngebebanin mhs s2 harus ikut-ikutan bikin jurnal publikasi menuhin quota kampus mhs manfaatin kurikulum merdeka ngeclaim sks padahal tidak mengerti apa-apa pas tes,sks,Anggaran,0.698,mengerti,-2.0,"[0.0238, 0.0238, 0.9524]",ngeclaim sks padahal,1
239,program baik kampus merdeka kayak msib iisma pmm program keuntungan dan pengalaman bermanfaat mahasiswa,mahasiswa,Magang,0.4241,bermanfaat,5.0,"[0.9804, 0.0098, 0.0098]",bermanfaat mahasiswa,1
14,suka pas kampus merdeka sistemnya agak hancur melihat msib pengunduran schedule miss,msib,Anggaran,0.4072,melihat,3.0,"[0.9677, 0.0161, 0.0161]",melihat msib pengunduran,1
14,suka pas kampus merdeka sistemnya agak hancur melihat msib pengunduran schedule miss,kampus,Magang,0.6665,suka,3.0,"[0.9677, 0.0161, 0.0161]",pas kampus merdeka,1
14,suka pas kampus merdeka sistemnya agak hancur melihat msib pengunduran schedule miss,pengunduran,Anggaran,0.7287,melihat,3.0,"[0.9677, 0.0161, 0.0161]",msib pengunduran schedule,1
14,suka pas kampus merdeka sistemnya agak hancur melihat msib pengunduran schedule miss,pas,Magang,0.374,suka,3.0,"[0.9677, 0.0161, 0.0161]",suka pas kampus,1
212,namanya proses anjir lagian proramnya bagus kayak kampus merdeka,lagian,Anggaran,0.7276,proses,1.0,"[0.7692, 0.1923, 0.0385]",anjir lagian proram,1
212,namanya proses anjir lagian proramnya bagus kayak kampus merdeka,anjir,Anggaran,0.7236,proses,1.0,"[0.7692, 0.1923, 0.0385]",proses anjir lagian,1
212,namanya proses anjir lagian proramnya bagus kayak kampus merdeka,kampus,Magang,0.758,bagus,2.0,"[0.9524, 0.0238, 0.0238]",kayak kampus merdeka,1
212,namanya proses anjir lagian proramnya bagus kayak kampus merdeka,kayak,Program,0.3068,bagus,2.0,"[0.9524, 0.0238, 0.0238]",bagus kayak kampus,1
264,tapi pendidikan kurikulum merdeka bagus banget apalagi programprogramnya kesempatan berkembang diluar kampus,pendidikan,Anggaran,0.7269,bagus,2.0,"[0.9524, 0.0238, 0.0238]",tapi pendidikan kurikulum,1
177,kayanya kebijakan bagusnya kuliah deh kayak kampus merdeka susah banget cari magang memasukkan proposal tapi sudah terintegrasi sistem kuliah,deh,Magang,0.8166,kuliah,1.0,"[0.7692, 0.1923, 0.0385]",kuliah deh kayak,1
177,kayanya kebijakan bagusnya kuliah deh kayak kampus merdeka susah banget cari magang memasukkan proposal tapi sudah terintegrasi sistem kuliah,kampus,Magang,0.758,kuliah,1.0,"[0.7692, 0.1923, 0.0385]",kayak kampus merdeka,1
177,kayanya kebijakan bagusnya kuliah deh kayak kampus merdeka susah banget cari magang memasukkan proposal tapi sudah terintegrasi sistem kuliah,kayak,Magang,0.8016,deh,-0.6,"[0.05, 0.35, 0.6]",deh kayak kampus,0
177,kayanya kebijakan bagusnya kuliah deh kayak kampus merdeka susah banget cari magang memasukkan proposal tapi sudah terintegrasi sistem kuliah,kebijakan,Nadiem,0.4255,kaya,2.0,"[0.9524, 0.0238, 0.0238]",nya kebijakan bagusnya,1
177,kayanya kebijakan bagusnya kuliah deh kayak kampus merdeka susah banget cari magang memasukkan proposal tapi sudah terintegrasi sistem kuliah,kuliah,Magang,0.6149,"sistem,kebijakan",-1.0,"[0.0385, 0.1923, 0.7692]",bagusnya kuliah deh,2
174,sih bagian kampus merdeka termasuk oke belum merasai 2021 covid dan sudah dalam perjalanan sidang (tertawa),kampus,Magang,0.6514,bagian,4.0,"[0.9756, 0.0122, 0.0122]",bagian kampus merdeka,1
174,sih bagian kampus merdeka termasuk oke belum merasai 2021 covid dan sudah dalam perjalanan sidang (tertawa),sih,Anggaran,0.7626,termasuk,3.0,"[0.9677, 0.0161, 0.0161]",sih bagian,1
174,sih bagian kampus merdeka termasuk oke belum merasai 2021 covid dan sudah dalam perjalanan sidang (tertawa),perjalanan,Anggaran,0.7634,merasai,-1.0,"[0.0385, 0.1923, 0.7692]",dalam perjalanan sidang,1
174,sih bagian kampus merdeka termasuk oke belum merasai 2021 covid dan sudah dalam perjalanan sidang (tertawa),bagian,Magang,0.7152,sih,2.4,"[0.96, 0.02, 0.02]",sih bagian kampus,0
174,sih bagian kampus merdeka termasuk oke belum merasai 2021 covid dan sudah dalam perjalanan sidang (tertawa),oke,Anggaran,0.4802,merasai,-1.0,"[0.0385, 0.1923, 0.7692]",termasuk oke belum,1
223,penasaran sudah bukan mahasiswa tidak kebagian icip si kampus merdeka,mahasiswa,Program,0.3239,penasaran,3.0,"[0.9677, 0.0161, 0.0161]",bukan mahasiswa tidak,1
218,one of gue gasuka program kampus merdeka program wirausaha merdeka kayak,kayak,Anggaran,0.604,merdeka,-2.1,"[0.0227, 0.0227, 0.9545]",merdeka kayak,0
162,kampus merdeka untung untung mahasiswanya oke2 dan senang pandemi muncul tuh program mayanlah kedapetan enak,mahasiswanya,Program,0.0,untung,3.0,"[0.9677, 0.0161, 0.0161]",untung mahasiswanya oke2,1
162,kampus merdeka untung untung mahasiswanya oke2 dan senang pandemi muncul tuh program mayanlah kedapetan enak,kampus,Magang,0.6554,muncul,1.0,"[0.7692, 0.1923, 0.0385]",kampus merdeka,1
162,kampus merdeka untung untung mahasiswanya oke2 dan senang pandemi muncul tuh program mayanlah kedapetan enak,pandemi,Program,0.1774,senang,5.0,"[0.9804, 0.0098, 0.0098]",senang pandemi muncul,1
162,kampus merdeka untung untung mahasiswanya oke2 dan senang pandemi muncul tuh program mayanlah kedapetan enak,program,Magang,0.7276,muncul,1.0,"[0.7692, 0.1923, 0.0385]",tuh program mayan,1
41,mahasiswa bela nadiem program kampus merdeka bagus termasuk teman gue kayak asu makan anjinggg lihat kacaunya bangsatttt bangsat,teman,Anggaran,0.7622,termasuk,-3.0,"[0.0161, 0.0161, 0.9677]",termasuk teman gue,1
41,mahasiswa bela nadiem program kampus merdeka bagus termasuk teman gue kayak asu makan anjinggg lihat kacaunya bangsatttt bangsat,mahasiswa,Magang,0.7029,bagus,2.0,"[0.9524, 0.0238, 0.0238]",mahasiswa bela,1
216,mah kampus merdeka gue sih stop gap solution akar masalahnya memang pendidikan diploma dan sarjana indonesia tidak cocok kebutuhan industrinya dan tidak diurus,akar,Anggaran,0.7426,masalah,-4.0,"[0.0122, 0.0122, 0.9756]",solution akar masalah,1
216,mah kampus merdeka gue sih stop gap solution akar masalahnya memang pendidikan diploma dan sarjana indonesia tidak cocok kebutuhan industrinya dan tidak diurus,pendidikan,Magang,0.7324,cocok,-4.0,"[0.0122, 0.0122, 0.9756]",memang pendidikan diploma,1
216,mah kampus merdeka gue sih stop gap solution akar masalahnya memang pendidikan diploma dan sarjana indonesia tidak cocok kebutuhan industrinya dan tidak diurus,kebutuhan,Magang,0.6338,cocok,-4.0,"[0.0122, 0.0122, 0.9756]",cocok kebutuhan industri,1
216,mah kampus merdeka gue sih stop gap solution akar masalahnya memang pendidikan diploma dan sarjana indonesia tidak cocok kebutuhan industrinya dan tidak diurus,industri,Magang,0.7451,kebutuhan,-4.0,"[0.0122, 0.0122, 0.9756]",kebutuhan industri nya,1
16,tidak ah ngejelekin menteri pendidikan dapat benefit kampus mengajar magang merdeka dan ppg prajabatan dibiayain negara,merdeka,Magang,0.6702,magang,-0.8999999999999999,"[0.0408, 0.2245, 0.7347]",magang merdeka dan,0
195,lumayan nyisir anggaran basically stafsusnya nadiem tim tech enabler oke bikin platform kampus merdeka tapi rombak struktur internal dan speechless output platform,struktur,Anggaran,0.7395,rombak,-2.0,"[0.0238, 0.0238, 0.9524]",rombak struktur internal,1
195,lumayan nyisir anggaran basically stafsusnya nadiem tim tech enabler oke bikin platform kampus merdeka tapi rombak struktur internal dan speechless output platform,lumayan,Magang,0.6497,nadiem,0.0,"[0.0, 1.0, 0.0]",lumayan nyisir,0
195,lumayan nyisir anggaran basically stafsusnya nadiem tim tech enabler oke bikin platform kampus merdeka tapi rombak struktur internal dan speechless output platform,nyisir,Program,0.2144,lumayan,1.0,"[0.7692, 0.1923, 0.0385]",lumayan nyisir anggaran,1
195,lumayan nyisir anggaran basically stafsusnya nadiem tim tech enabler oke bikin platform kampus merdeka tapi rombak struktur internal dan speechless output platform,tim,Nadiem,0.7622,nadiem,0.0,"[0.0, 1.0, 0.0]",nadiem tim tech,0
86,ibu gua suka cerita kampus merdeka seringkali ajang pemutihan nilai mahasiswa,kampus,Magang,0.6199,suka,3.0,"[0.9677, 0.0161, 0.0161]",cerita kampus merdeka,1
86,ibu gua suka cerita kampus merdeka seringkali ajang pemutihan nilai mahasiswa,cerita,Magang,0.4682,suka,3.0,"[0.9677, 0.0161, 0.0161]",suka cerita kampus,1
86,ibu gua suka cerita kampus merdeka seringkali ajang pemutihan nilai mahasiswa,pemutihan,Magang,0.4699,ajang,-3.0,"[0.0161, 0.0161, 0.9677]",ajang pemutihan nilai,1
86,ibu gua suka cerita kampus merdeka seringkali ajang pemutihan nilai mahasiswa,ibu,Anggaran,0.6892,ajang,-3.0,"[0.0161, 0.0161, 0.9677]",ibu gua,1
86,ibu gua suka cerita kampus merdeka seringkali ajang pemutihan nilai mahasiswa,mahasiswa,Magang,0.7153,nilai,5.0,"[0.9804, 0.0098, 0.0098]",nilai mahasiswa,1
294,dipertahankan kampus merdeka iisma tapi kuota ditekan sempurnakan progran iisma dalam negeri sangat bermanfaat kawan kawan kampus secondthird tierdaerah nun disana merasakan atmosfer kampus top 10 indonesia dan msib,kawan,Anggaran,0.3086,bermanfaat,5.0,"[0.9804, 0.0098, 0.0098]",bermanfaat kawan kawan,1
294,dipertahankan kampus merdeka iisma tapi kuota ditekan sempurnakan progran iisma dalam negeri sangat bermanfaat kawan kawan kampus secondthird tierdaerah nun disana merasakan atmosfer kampus top 10 indonesia dan msib,progran,Program,0.4179,bermanfaat,5.0,"[0.9804, 0.0098, 0.0098]",sempurnakan progran iisma,1
107,jujur terobosannya kampus merdeka versi l kuliah tapi ajarnya kapitalis dan ketidakselarasan kementrian menyebabkan perusahaan bisa seenak udel pegawai upah murah beban kerja selangit alias anak magang,kerja,Anggaran,0.7612,beban,-5.0,"[0.0098, 0.0098, 0.9804]",beban kerja selangit,1
107,jujur terobosannya kampus merdeka versi l kuliah tapi ajarnya kapitalis dan ketidakselarasan kementrian menyebabkan perusahaan bisa seenak udel pegawai upah murah beban kerja selangit alias anak magang,kampus,Program,0.5217,jujur,4.0,"[0.9756, 0.0122, 0.0122]",nya kampus merdeka,1
107,jujur terobosannya kampus merdeka versi l kuliah tapi ajarnya kapitalis dan ketidakselarasan kementrian menyebabkan perusahaan bisa seenak udel pegawai upah murah beban kerja selangit alias anak magang,jujur,Magang,0.2625,merdeka,1.7999999999999998,"[0.9474, 0.0263, 0.0263]",jujur terobosan,0
107,jujur terobosannya kampus merdeka versi l kuliah tapi ajarnya kapitalis dan ketidakselarasan kementrian menyebabkan perusahaan bisa seenak udel pegawai upah murah beban kerja selangit alias anak magang,kapitalis,Anggaran,0.7391,ajar,1.0,"[0.7692, 0.1923, 0.0385]",nya kapitalis dan,1
