id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
52,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,paslon,Tokoh dan Partai,0.391,menyerang,-3.0,"[0.0161, 0.0161, 0.9677]",menyerang paslon #aniessandi,1
52,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,#agussilvy,Pendukung/Pemilih,0.6233,pendukung,4.0,"[0.9756, 0.0122, 0.0122]",pendukung #agussilvy mulai,1
52,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,pmbenaran..jangan,Pendukung/Pemilih,0.6571,argumen,-4.0,"[0.0122, 0.0122, 0.9756]",argumen pmbenaran..jangan terkecoh,1
52,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,pendukung,Tokoh dan Partai,0.5107,mulai,1.0,"[0.7692, 0.1923, 0.0385]",seolah2 pendukung #agussilvy,1
52,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,akun,Pendukung/Pemilih,0.7056,mulai,1.0,"[0.7692, 0.1923, 0.0385]",banyak akun kloning,1
127,Kasian oh kasian dengan peluru 1milyar untuk tiap RW #agussilvy tidak mempan menangin pilkada #QuickCount #PilkadaSerentak2017,kasian,Pendukung/Pemilih,0.699,kasian,-3.0,"[0.0161, 0.0161, 0.9677]",kasian oh,1
127,Kasian oh kasian dengan peluru 1milyar untuk tiap RW #agussilvy tidak mempan menangin pilkada #QuickCount #PilkadaSerentak2017,peluru,Pendukung/Pemilih,0.6814,kasian,-3.0,"[0.0161, 0.0161, 0.9677]",dengan peluru 1milyar,1
127,Kasian oh kasian dengan peluru 1milyar untuk tiap RW #agussilvy tidak mempan menangin pilkada #QuickCount #PilkadaSerentak2017,rw,Pendukung/Pemilih,0.595,peluru,-3.0,"[0.0161, 0.0161, 0.9677]",tiap rw #agussilvy,1
149,Awas ye kalo minta dukungan suara pendukung #AHY,suara,Pendukung/Pemilih,0.6981,dukungan,4.0,"[0.9756, 0.0122, 0.0122]",dukungan suara pendukung,1
149,Awas ye kalo minta dukungan suara pendukung #AHY,#ahy,Pendukung/Pemilih,0.7406,pendukung,4.0,"[0.9756, 0.0122, 0.0122]",pendukung #ahy,1
149,Awas ye kalo minta dukungan suara pendukung #AHY,dukungan,Pendukung/Pemilih,0.5711,minta,2.0,"[0.9524, 0.0238, 0.0238]",minta dukungan suara,1
149,Awas ye kalo minta dukungan suara pendukung #AHY,pendukung,Pendukung/Pemilih,0.7233,dukungan,4.0,"[0.9756, 0.0122, 0.0122]",suara pendukung #ahy,1
149,Awas ye kalo minta dukungan suara pendukung #AHY,kalo,Pendukung/Pemilih,0.7814,minta,2.0,"[0.9524, 0.0238, 0.0238]",ye kalo minta,1
37,aneh deh lebay masa ini di sangkut pautkan sama kandidat Calgub anda lebay seperti yg anda dukung #agussilvy,#agussilvy,Pendukung/Pemilih,0.5071,dukung,4.0,"[0.9756, 0.0122, 0.0122]",dukung #agussilvy,1
135,Kepada Allah SWT kami ucapkan rasa syukur dan kepada pak @SBYudhoyono @presidenSBY #AHY kami sampaikan terimakasih. Makna 17% suara anda.,suara,Pendukung/Pemilih,0.6674,makna,5.0,"[0.9804, 0.0098, 0.0098]",% suara anda,1
135,Kepada Allah SWT kami ucapkan rasa syukur dan kepada pak @SBYudhoyono @presidenSBY #AHY kami sampaikan terimakasih. Makna 17% suara anda.,swt,Pendukung/Pemilih,0.541,allah,5.0,"[0.9804, 0.0098, 0.0098]",allah swt kami,1
135,Kepada Allah SWT kami ucapkan rasa syukur dan kepada pak @SBYudhoyono @presidenSBY #AHY kami sampaikan terimakasih. Makna 17% suara anda.,syukur,Pendukung/Pemilih,0.7777,rasa,-2.0,"[0.0238, 0.0238, 0.9524]",rasa syukur dan,1
238,Terima Kasih teruntuk pendukung #AHY #SYLVI kalianlah pembeda kali ini,#ahy,Pendukung/Pemilih,0.6651,pendukung,4.0,"[0.9756, 0.0122, 0.0122]",pendukung #ahy #sylvi,1
238,Terima Kasih teruntuk pendukung #AHY #SYLVI kalianlah pembeda kali ini,kasih,Pendukung/Pemilih,0.3506,terima,2.0,"[0.9524, 0.0238, 0.0238]",terima kasih teruntuk,1
250,Trima Kasih atas KeIstiqomahan Relawan #AHY @AgusYudhoyono lah yg tlh mengantarkan #AniesSandiDKI1 #JakartaGubernurBaru dg cukup signifikan,keistiqomahan,SARA,0.0355,trima,1.0,"[0.7692, 0.1923, 0.0385]",atas keistiqomahan relawan,1
250,Trima Kasih atas KeIstiqomahan Relawan #AHY @AgusYudhoyono lah yg tlh mengantarkan #AniesSandiDKI1 #JakartaGubernurBaru dg cukup signifikan,kasih,Strategi Kampanye,0.4427,trima,1.0,"[0.7692, 0.1923, 0.0385]",trima kasih atas,1
233,sudah boleh Ngakak? survey mu jauh panggang dari api ! #Ahy,survey,Pendukung/Pemilih,0.6832,jauh,-4.0,"[0.0122, 0.0122, 0.9756]",? survey mu,1
233,sudah boleh Ngakak? survey mu jauh panggang dari api ! #Ahy,#ahy,Pendukung/Pemilih,0.7466,jauh,-4.0,"[0.0122, 0.0122, 0.9756]",! #ahy,1
233,sudah boleh Ngakak? survey mu jauh panggang dari api ! #Ahy,panggang,Pendukung/Pemilih,0.6649,jauh,-4.0,"[0.0122, 0.0122, 0.9756]",jauh panggang dari,1
