id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
120,kalo udah kuliah mah kampus merdeka kali ya kalo kata adekku mah b aja haha,udah,Magang,0.4454,kalo,1.5,"[0.8955, 0.0746, 0.0299]",kalo udah kuliah,0
120,kalo udah kuliah mah kampus merdeka kali ya kalo kata adekku mah b aja haha,kuliah,Magang,0.3498,udah,1.5,"[0.8955, 0.0746, 0.0299]",udah kuliah mah,0
120,kalo udah kuliah mah kampus merdeka kali ya kalo kata adekku mah b aja haha,kampus,Program,0.5387,kalo,1.5,"[0.8955, 0.0746, 0.0299]",mah kampus merdeka,0
120,kalo udah kuliah mah kampus merdeka kali ya kalo kata adekku mah b aja haha,adekku,Nadiem,0.1433,kata,-1.0,"[0.0385, 0.1923, 0.7692]",kata adekku mah,1
120,kalo udah kuliah mah kampus merdeka kali ya kalo kata adekku mah b aja haha,kalo,Anggaran,0.0691,"kalo,kata",-1.0,"[0.0385, 0.1923, 0.7692]",kalo udah,1
76,halah kampus merdeka apanya,halah,Program,0.3435,merdeka,-2.4,"[0.02, 0.02, 0.96]",halah kampus,0
76,halah kampus merdeka apanya,kampus,Program,0.4803,halah,-5.0,"[0.0098, 0.0098, 0.9804]",halah kampus merdeka,1
176,kayanya dlu tiada hari tanpa bentakan dan blaming dr karyawan lama entah ke gw atau temen gw i assume they just dont know what they did is wrong cos maybe the have normalized it kenapa gw bertahan ya iyee karena dlu magangnya magang kampus merdeka,dlu,Program,0.0138,"bertahan,kaya",6.0,"[0.9836, 0.0082, 0.0082]",nya dlu tiada,2
176,kayanya dlu tiada hari tanpa bentakan dan blaming dr karyawan lama entah ke gw atau temen gw i assume they just dont know what they did is wrong cos maybe the have normalized it kenapa gw bertahan ya iyee karena dlu magangnya magang kampus merdeka,magang,Magang,0.4801,magang,-0.3,"[0.0645, 0.5484, 0.3871]",dlu magang nya,0
176,kayanya dlu tiada hari tanpa bentakan dan blaming dr karyawan lama entah ke gw atau temen gw i assume they just dont know what they did is wrong cos maybe the have normalized it kenapa gw bertahan ya iyee karena dlu magangnya magang kampus merdeka,kampus,Program,0.6471,magang,-0.3,"[0.0645, 0.5484, 0.3871]",magang kampus merdeka,0
176,kayanya dlu tiada hari tanpa bentakan dan blaming dr karyawan lama entah ke gw atau temen gw i assume they just dont know what they did is wrong cos maybe the have normalized it kenapa gw bertahan ya iyee karena dlu magangnya magang kampus merdeka,temen,Magang,0.194,gw,-0.3,"[0.0645, 0.5484, 0.3871]",atau temen gw,0
176,kayanya dlu tiada hari tanpa bentakan dan blaming dr karyawan lama entah ke gw atau temen gw i assume they just dont know what they did is wrong cos maybe the have normalized it kenapa gw bertahan ya iyee karena dlu magangnya magang kampus merdeka,gw,Magang,0.1658,"bertahan,entah",1.0,"[0.7692, 0.1923, 0.0385]",ke gw atau,2
34,bener bangettt malahan aku yang kuliah tuh takut ilang program kampus merdeka yg menguntungkan mahasiswa tapi sayang sekalai untuk sekolah sdsma itu kurang,mahasiswa,Magang,0.4682,menguntungkan,4.0,"[0.9756, 0.0122, 0.0122]",menguntungkan mahasiswa tapi,1
34,bener bangettt malahan aku yang kuliah tuh takut ilang program kampus merdeka yg menguntungkan mahasiswa tapi sayang sekalai untuk sekolah sdsma itu kurang,sdsma,Program,0.4062,sekolah,3.0,"[0.9677, 0.0161, 0.0161]",sekolah sdsma itu,1
34,bener bangettt malahan aku yang kuliah tuh takut ilang program kampus merdeka yg menguntungkan mahasiswa tapi sayang sekalai untuk sekolah sdsma itu kurang,program,Program,0.669,takut,1.0,"[0.7692, 0.1923, 0.0385]",ilang program kampus,1
34,bener bangettt malahan aku yang kuliah tuh takut ilang program kampus merdeka yg menguntungkan mahasiswa tapi sayang sekalai untuk sekolah sdsma itu kurang,sekalai,Magang,0.1133,menguntungkan,4.0,"[0.9756, 0.0122, 0.0122]",sayang sekalai untuk,1
110,kadang jadi mikir kalo skrg di kuliah banyak organisasi yg ga seaktif dulu itu ga cuma ulah nadiem doang karena adanya kampus merdeka tapi emg dipengaruhi sm kebutuhan tenaga kerja juga yg pandangannya daripada organisasi mending magang,organisasi,Magang,0.3961,kalo,6.0,"[0.9836, 0.0082, 0.0082]",banyak organisasi yg,0
110,kadang jadi mikir kalo skrg di kuliah banyak organisasi yg ga seaktif dulu itu ga cuma ulah nadiem doang karena adanya kampus merdeka tapi emg dipengaruhi sm kebutuhan tenaga kerja juga yg pandangannya daripada organisasi mending magang,pandangan,Program,0.0196,kebutuhan,4.0,"[0.9756, 0.0122, 0.0122]",yg pandangan nya,1
110,kadang jadi mikir kalo skrg di kuliah banyak organisasi yg ga seaktif dulu itu ga cuma ulah nadiem doang karena adanya kampus merdeka tapi emg dipengaruhi sm kebutuhan tenaga kerja juga yg pandangannya daripada organisasi mending magang,magang,Magang,0.61,mending,2.0,"[0.9524, 0.0238, 0.0238]",mending magang,1
110,kadang jadi mikir kalo skrg di kuliah banyak organisasi yg ga seaktif dulu itu ga cuma ulah nadiem doang karena adanya kampus merdeka tapi emg dipengaruhi sm kebutuhan tenaga kerja juga yg pandangannya daripada organisasi mending magang,kuliah,Magang,0.4922,kalo,6.0,"[0.9836, 0.0082, 0.0082]",di kuliah banyak,0
110,kadang jadi mikir kalo skrg di kuliah banyak organisasi yg ga seaktif dulu itu ga cuma ulah nadiem doang karena adanya kampus merdeka tapi emg dipengaruhi sm kebutuhan tenaga kerja juga yg pandangannya daripada organisasi mending magang,kerja,Magang,0.397,tenaga,3.0,"[0.9677, 0.0161, 0.0161]",tenaga kerja juga,1
110,kadang jadi mikir kalo skrg di kuliah banyak organisasi yg ga seaktif dulu itu ga cuma ulah nadiem doang karena adanya kampus merdeka tapi emg dipengaruhi sm kebutuhan tenaga kerja juga yg pandangannya daripada organisasi mending magang,kampus,Program,0.5632,ada,4.0,"[0.9756, 0.0122, 0.0122]",nya kampus merdeka,1
