id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
52,akun kloning seolah2 pendukung menyerang paslon opini dan argumen pmbenaranjangan terkecoh,paslon,Pendukung/Pemilih,0.5574,menyerang,-3.0,"[0.0161, 0.0161, 0.9677]",menyerang paslon opini,1
52,akun kloning seolah2 pendukung menyerang paslon opini dan argumen pmbenaranjangan terkecoh,pmbenaranjangan,Politik Uang,0.3236,argumen,-4.0,"[0.0122, 0.0122, 0.9756]",argumen pmbenaranjangan terkecoh,1
52,akun kloning seolah2 pendukung menyerang paslon opini dan argumen pmbenaranjangan terkecoh,akun,Pendukung/Pemilih,0.2952,menyerang,-3.0,"[0.0161, 0.0161, 0.9677]",akun kloning,1
127,kasihan kasihan peluru 1milyar rw tidak mempan menangin pilkada,peluru,Politik Uang,0.1354,kasihan,-4.0,"[0.0122, 0.0122, 0.9756]",kasihan peluru 1milyar,1
127,kasihan kasihan peluru 1milyar rw tidak mempan menangin pilkada,kasihan,SARA,0.219,kasihan,-4.0,"[0.0122, 0.0122, 0.9756]",kasihan kasihan,1
149,awas ye kalo dukungan suara pendukung,pendukung,Pendukung/Pemilih,0.6176,dukungan,4.0,"[0.9756, 0.0122, 0.0122]",suara pendukung,1
149,awas ye kalo dukungan suara pendukung,suara,Pendukung/Pemilih,0.7219,dukungan,4.0,"[0.9756, 0.0122, 0.0122]",dukungan suara pendukung,1
37,aneh deh lebay sangkut pautkan kandidat calgub lebay dukung,pautkan,Pendukung/Pemilih,0.582,lebay,-4.0,"[0.0122, 0.0122, 0.9756]",sangkut pautkan kandidat,1
37,aneh deh lebay sangkut pautkan kandidat calgub lebay dukung,sangkut,SARA,0.3235,lebay,-4.0,"[0.0122, 0.0122, 0.9756]",lebay sangkut pautkan,1
135,allah swt ucapkan syukur dan terimakasih makna 17 suara,suara,Pendukung/Pemilih,0.3875,makna,5.0,"[0.9804, 0.0098, 0.0098]",17 suara,1
238,terima kasih teruntuk pendukung kalianlah pembeda,kasih,Pendukung/Pemilih,0.0641,terima,2.0,"[0.9524, 0.0238, 0.0238]",terima kasih teruntuk,1
250,terima kasih keistiqomahan relawan tlh mengantarkan signifikan,kasih,SARA,0.1451,terima,2.0,"[0.9524, 0.0238, 0.0238]",terima kasih keistiqomahan,1
250,terima kasih keistiqomahan relawan tlh mengantarkan signifikan,keistiqomahan,Pendukung/Pemilih,0.2375,terima,2.0,"[0.9524, 0.0238, 0.0238]",kasih keistiqomahan relawan,1
172,om aa lepas kalah tutup mulut tidak koar bongkar surabaya,om,Tokoh dan Partai,0.1276,kalah,4.0,"[0.9756, 0.0122, 0.0122]",om aa,1
172,om aa lepas kalah tutup mulut tidak koar bongkar surabaya,surabaya,Pendukung/Pemilih,0.0432,bongkar,3.0,"[0.9677, 0.0161, 0.0161]",bongkar surabaya,1
122,pencatutan nama dan mpo melanggar hukum tidak wkwkwkwkkwkk,pencatutan,Tokoh dan Partai,0.4189,melanggar,5.0,"[0.9804, 0.0098, 0.0098]",pencatutan nama,1
122,pencatutan nama dan mpo melanggar hukum tidak wkwkwkwkkwkk,hukum,Politik Uang,0.1611,melanggar,5.0,"[0.9804, 0.0098, 0.0098]",melanggar hukum tidak,1
260,pastilah kan tidak suka ahok pas sudah kalah otomatis dukungannya lari mas aniessandi,ahok,Tokoh dan Partai,0.4287,suka,-3.0,"[0.0161, 0.0161, 0.9677]",suka ahok pas,1
260,pastilah kan tidak suka ahok pas sudah kalah otomatis dukungannya lari mas aniessandi,pas,Tokoh dan Partai,0.4255,kalah,4.0,"[0.9756, 0.0122, 0.0122]",ahok pas sudah,1
260,pastilah kan tidak suka ahok pas sudah kalah otomatis dukungannya lari mas aniessandi,mas,Tokoh dan Partai,0.1961,lari,-2.0,"[0.0238, 0.0238, 0.9524]",lari mas aniessandi,1
260,pastilah kan tidak suka ahok pas sudah kalah otomatis dukungannya lari mas aniessandi,lari,Tokoh dan Partai,0.0,kalah,4.0,"[0.9756, 0.0122, 0.0122]",nya lari mas,1
260,pastilah kan tidak suka ahok pas sudah kalah otomatis dukungannya lari mas aniessandi,pastilah,Pendukung/Pemilih,0.1278,suka,-3.0,"[0.0161, 0.0161, 0.9677]",pastilah kan,1
260,pastilah kan tidak suka ahok pas sudah kalah otomatis dukungannya lari mas aniessandi,dukungan,Pendukung/Pemilih,0.2575,kalah,4.0,"[0.9756, 0.0122, 0.0122]",otomatis dukungan nya,1
80,banteng garuda ksatria gentle cinta,garuda,Politik Uang,0.1267,banteng,-3.0,"[0.0161, 0.0161, 0.9677]",banteng garuda ksatria,1
80,banteng garuda ksatria gentle cinta,ksatria,Pendukung/Pemilih,0.0984,banteng,-3.0,"[0.0161, 0.0161, 0.9677]",garuda ksatria gentle,1
86,gara-gara ektp dikorupsi fotoku mirip pelan tapi pasti mirip stickmoticons,ektp,Politik Uang,0.5029,gara-gara,-5.0,"[0.0098, 0.0098, 0.9804]",gara-gara ektp dikorupsi,1
131,nih antasari kalah melempem benerbener akting,nih,Tokoh dan Partai,0.2309,kalah,-4.0,"[0.0122, 0.0122, 0.9756]",nih antasari,1
104,ingat tidak bisa modal omongan tapi kerja nyata,modal,Tokoh dan Partai,0.2646,ingat,-2.0,"[0.0238, 0.0238, 0.9524]",bisa modal omongan,1
104,ingat tidak bisa modal omongan tapi kerja nyata,kerja,Pendukung/Pemilih,0.0719,omongan,4.0,"[0.9756, 0.0122, 0.0122]",tapi kerja nyata,1
104,ingat tidak bisa modal omongan tapi kerja nyata,omongan,Tokoh dan Partai,0.2198,modal,-2.0,"[0.0238, 0.0238, 0.9524]",modal omongan tapi,1
177,paslon salah langkah sandi bukan tidak mungkin bumerang gagal dapat suara,bumerang,Politik Uang,0.1068,gagal,4.0,"[0.9756, 0.0122, 0.0122]",mungkin bumerang gagal,1
177,paslon salah langkah sandi bukan tidak mungkin bumerang gagal dapat suara,sandi,Pendukung/Pemilih,0.1519,langkah,-4.0,"[0.0122, 0.0122, 0.9756]",langkah sandi bukan,1
177,paslon salah langkah sandi bukan tidak mungkin bumerang gagal dapat suara,suara,Pendukung/Pemilih,0.2543,gagal,4.0,"[0.9756, 0.0122, 0.0122]",dapat suara,1
78,manakah sang ksatria samurai prajurit pembangun semangat harapan pahlawan dinantinantikan rakyat,harapan,Tokoh dan Partai,0.1235,semangat,4.0,"[0.9756, 0.0122, 0.0122]",semangat harapan pahlawan,1
47,awas ye kalo dukungan suara pendukung,pendukung,Pendukung/Pemilih,0.6176,dukungan,4.0,"[0.9756, 0.0122, 0.0122]",suara pendukung,1
47,awas ye kalo dukungan suara pendukung,suara,Pendukung/Pemilih,0.7219,dukungan,4.0,"[0.9756, 0.0122, 0.0122]",dukungan suara pendukung,1
105,pelaku pengirim sms gelap antasari azhar,pelaku,Pendukung/Pemilih,0.2007,gelap,-4.0,"[0.0122, 0.0122, 0.9756]",pelaku pengirim,1
105,pelaku pengirim sms gelap antasari azhar,antasari,Tokoh dan Partai,0.2626,gelap,-4.0,"[0.0122, 0.0122, 0.9756]",gelap antasari azhar,1
251,tuduhan kerap dilontarkan anak ingusan dan mayor tak terdengar dudah berubah sanjungan,ingusan,SARA,0.0492,anak,3.0,"[0.9677, 0.0161, 0.0161]",anak ingusan dan,1
251,tuduhan kerap dilontarkan anak ingusan dan mayor tak terdengar dudah berubah sanjungan,mayor,Tokoh dan Partai,0.1109,anak,3.0,"[0.9677, 0.0161, 0.0161]",dan mayor tak,1
111,jangan curiga saldonya bisa kenti blt berbuat baik belum apa-apa sudah curiga mekanismenya,mekanisme,Kampanye,0.1244,curiga,-1.0,"[0.0385, 0.1923, 0.7692]",curiga mekanisme nya,1
