id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
120,kalo udah kuliah mah kampus merdeka kali ya kalo kata adekku mah b aja haha,udah,Anggaran,0.0,kalo,1.5,"[0.8955, 0.0746, 0.0299]",kalo udah kuliah,0
120,kalo udah kuliah mah kampus merdeka kali ya kalo kata adekku mah b aja haha,adekku,Anggaran,0.0,kata,-1.0,"[0.0385, 0.1923, 0.7692]",kata adekku mah,1
120,kalo udah kuliah mah kampus merdeka kali ya kalo kata adekku mah b aja haha,kampus,Program,0.6103,kalo,1.5,"[0.8955, 0.0746, 0.0299]",mah kampus merdeka,0
120,kalo udah kuliah mah kampus merdeka kali ya kalo kata adekku mah b aja haha,kalo,Anggaran,0.0,"kalo,kata",-1.0,"[0.0385, 0.1923, 0.7692]",kalo udah,1
120,kalo udah kuliah mah kampus merdeka kali ya kalo kata adekku mah b aja haha,kuliah,Anggaran,0.0,udah,1.5,"[0.8955, 0.0746, 0.0299]",udah kuliah mah,0
76,halah kampus merdeka apanya,kampus,Program,0.6103,halah,-5.0,"[0.0098, 0.0098, 0.9804]",halah kampus merdeka,1
76,halah kampus merdeka apanya,halah,Program,0.3452,merdeka,-2.4,"[0.02, 0.02, 0.96]",halah kampus,0
176,kayanya dlu tiada hari tanpa bentakan dan blaming dr karyawan lama entah ke gw atau temen gw i assume they just dont know what they did is wrong cos maybe the have normalized it kenapa gw bertahan ya iyee karena dlu magangnya magang kampus merdeka,magang,Magang,0.4441,magang,-0.3,"[0.0645, 0.5484, 0.3871]",dlu magang nya,0
176,kayanya dlu tiada hari tanpa bentakan dan blaming dr karyawan lama entah ke gw atau temen gw i assume they just dont know what they did is wrong cos maybe the have normalized it kenapa gw bertahan ya iyee karena dlu magangnya magang kampus merdeka,gw,Magang,0.294,"bertahan,entah",1.0,"[0.7692, 0.1923, 0.0385]",ke gw atau,2
176,kayanya dlu tiada hari tanpa bentakan dan blaming dr karyawan lama entah ke gw atau temen gw i assume they just dont know what they did is wrong cos maybe the have normalized it kenapa gw bertahan ya iyee karena dlu magangnya magang kampus merdeka,kampus,Program,0.5993,magang,-0.3,"[0.0645, 0.5484, 0.3871]",magang kampus merdeka,0
176,kayanya dlu tiada hari tanpa bentakan dan blaming dr karyawan lama entah ke gw atau temen gw i assume they just dont know what they did is wrong cos maybe the have normalized it kenapa gw bertahan ya iyee karena dlu magangnya magang kampus merdeka,temen,Magang,0.294,gw,-0.3,"[0.0645, 0.5484, 0.3871]",atau temen gw,0
176,kayanya dlu tiada hari tanpa bentakan dan blaming dr karyawan lama entah ke gw atau temen gw i assume they just dont know what they did is wrong cos maybe the have normalized it kenapa gw bertahan ya iyee karena dlu magangnya magang kampus merdeka,dlu,Anggaran,0.0,"bertahan,kaya",6.0,"[0.9836, 0.0082, 0.0082]",nya dlu tiada,2
34,bener bangettt malahan aku yang kuliah tuh takut ilang program kampus merdeka yg menguntungkan mahasiswa tapi sayang sekalai untuk sekolah sdsma itu kurang,sekalai,Anggaran,0.0,menguntungkan,4.0,"[0.9756, 0.0122, 0.0122]",sayang sekalai untuk,1
34,bener bangettt malahan aku yang kuliah tuh takut ilang program kampus merdeka yg menguntungkan mahasiswa tapi sayang sekalai untuk sekolah sdsma itu kurang,program,Program,0.4396,takut,1.0,"[0.7692, 0.1923, 0.0385]",ilang program kampus,1
34,bener bangettt malahan aku yang kuliah tuh takut ilang program kampus merdeka yg menguntungkan mahasiswa tapi sayang sekalai untuk sekolah sdsma itu kurang,mahasiswa,Magang,0.2817,menguntungkan,4.0,"[0.9756, 0.0122, 0.0122]",menguntungkan mahasiswa tapi,1
