id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
120,@mfs_ub kalo udah kuliah mah kampus merdeka kali ya. kalo kata adekku mah b aja haha,kalo,Anggaran,0.0,kata,-1.0,"[0.0385, 0.1923, 0.7692]",@mfs_ub kalo udah,1
120,@mfs_ub kalo udah kuliah mah kampus merdeka kali ya. kalo kata adekku mah b aja haha,kampus,Program,0.6103,kuliah,1.0,"[0.7692, 0.1923, 0.0385]",mah kampus merdeka,1
120,@mfs_ub kalo udah kuliah mah kampus merdeka kali ya. kalo kata adekku mah b aja haha,adekku,Anggaran,0.0,kata,-1.0,"[0.0385, 0.1923, 0.7692]",kata adekku mah,1
120,@mfs_ub kalo udah kuliah mah kampus merdeka kali ya. kalo kata adekku mah b aja haha,haha,Anggaran,0.0,aja,1.0,"[0.7692, 0.1923, 0.0385]",aja haha,1
120,@mfs_ub kalo udah kuliah mah kampus merdeka kali ya. kalo kata adekku mah b aja haha,mah,Program,0.3452,kuliah,1.0,"[0.7692, 0.1923, 0.0385]",kuliah mah kampus,1
120,@mfs_ub kalo udah kuliah mah kampus merdeka kali ya. kalo kata adekku mah b aja haha,@mfs_ub,Anggaran,0.0,kata,-1.0,"[0.0385, 0.1923, 0.7692]",@mfs_ub kalo,1
181,Kerja sama ini juga mendukung program Merdeka Belajar Kampus Merdeka (MBKM) membuka peluang inovasi bagi masa depan pendidikan yang lebih cerah!,belajar,Program,0.6103,merdeka,3.0,"[0.9677, 0.0161, 0.0161]",merdeka belajar kampus,0
181,Kerja sama ini juga mendukung program Merdeka Belajar Kampus Merdeka (MBKM) membuka peluang inovasi bagi masa depan pendidikan yang lebih cerah!,merdeka,Program,0.5752,merdeka,3.0,"[0.9677, 0.0161, 0.0161]",program merdeka belajar,0
181,Kerja sama ini juga mendukung program Merdeka Belajar Kampus Merdeka (MBKM) membuka peluang inovasi bagi masa depan pendidikan yang lebih cerah!,mbkm,Anggaran,0.0,merdeka,3.0,"[0.9677, 0.0161, 0.0161]",( mbkm ),0
76,@CNNIndonesia Halah kampus merdeka apanya,kampus,Program,0.6103,halah,-5.0,"[0.0098, 0.0098, 0.9804]",halah kampus merdeka,1
76,@CNNIndonesia Halah kampus merdeka apanya,@cnnindonesia,Anggaran,0.0,halah,-5.0,"[0.0098, 0.0098, 0.9804]",@cnnindonesia halah,1
176,@hrdbacot Kayanya dlu tiada hari tanpa bentakan dan blaming dr karyawan lama entah ke gw atau temen gw. I assume they just dont know what they did is wrong cos maybe the have normalized it. Kenapa gw bertahan?? Ya iyee karena dlu magangnya magang kampus merdeka ️,gw,Magang,0.294,entah,-3.0,"[0.0161, 0.0161, 0.9677]",ke gw atau,1
176,@hrdbacot Kayanya dlu tiada hari tanpa bentakan dan blaming dr karyawan lama entah ke gw atau temen gw. I assume they just dont know what they did is wrong cos maybe the have normalized it. Kenapa gw bertahan?? Ya iyee karena dlu magangnya magang kampus merdeka ️,magang,Magang,0.4441,magang,-0.3,"[0.0645, 0.5484, 0.3871]",dlu magang nya,0
176,@hrdbacot Kayanya dlu tiada hari tanpa bentakan dan blaming dr karyawan lama entah ke gw atau temen gw. I assume they just dont know what they did is wrong cos maybe the have normalized it. Kenapa gw bertahan?? Ya iyee karena dlu magangnya magang kampus merdeka ️,kampus,Program,0.5993,magang,-0.3,"[0.0645, 0.5484, 0.3871]",magang kampus merdeka,0
176,@hrdbacot Kayanya dlu tiada hari tanpa bentakan dan blaming dr karyawan lama entah ke gw atau temen gw. I assume they just dont know what they did is wrong cos maybe the have normalized it. Kenapa gw bertahan?? Ya iyee karena dlu magangnya magang kampus merdeka ️,temen,Magang,0.294,gw,-0.3,"[0.0645, 0.5484, 0.3871]",atau temen gw.,0
34,@unsentdrcft @SoundOfYogi Bener bangettt malahan aku yang kuliah tuh takut ilang program kampus merdeka yg menguntungkan mahasiswa tapi sayang sekalai untuk sekolah SD-SMA itu kurang,program,Program,0.4396,takut,1.0,"[0.7692, 0.1923, 0.0385]",ilang program kampus,1
34,@unsentdrcft @SoundOfYogi Bener bangettt malahan aku yang kuliah tuh takut ilang program kampus merdeka yg menguntungkan mahasiswa tapi sayang sekalai untuk sekolah SD-SMA itu kurang,sd,Anggaran,0.0,sekolah,3.0,"[0.9677, 0.0161, 0.0161]",sekolah sd -,1
34,@unsentdrcft @SoundOfYogi Bener bangettt malahan aku yang kuliah tuh takut ilang program kampus merdeka yg menguntungkan mahasiswa tapi sayang sekalai untuk sekolah SD-SMA itu kurang,mahasiswa,Magang,0.2817,menguntungkan,4.0,"[0.9756, 0.0122, 0.0122]",menguntungkan mahasiswa tapi,1
34,@unsentdrcft @SoundOfYogi Bener bangettt malahan aku yang kuliah tuh takut ilang program kampus merdeka yg menguntungkan mahasiswa tapi sayang sekalai untuk sekolah SD-SMA itu kurang,sekolah,Anggaran,0.0,sekalai,0.6,"[0.6, 0.35, 0.05]",untuk sekolah sd,0
34,@unsentdrcft @SoundOfYogi Bener bangettt malahan aku yang kuliah tuh takut ilang program kampus merdeka yg menguntungkan mahasiswa tapi sayang sekalai untuk sekolah SD-SMA itu kurang,kuliah,Program,0.1726,takut,1.0,"[0.7692, 0.1923, 0.0385]",yang kuliah tuh,1
