id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
120,kalo sudah kuliah mah program kalo adekku mah b haha,kalo,Anggaran,0.0,kuliah,1.0,"[0.7692, 0.1923, 0.0385]",kalo sudah,1
120,kalo sudah kuliah mah program kalo adekku mah b haha,program,Program,0.2722,kuliah,1.0,"[0.7692, 0.1923, 0.0385]",mah program kalo,1
181,kerja mendukung program program program mbkm membuka peluang inovasi pendidikan cerah,pendidikan,Nadiem,0.2782,inovasi,4.0,"[0.9756, 0.0122, 0.0122]",inovasi pendidikan cerah,1
286,(tertawa) ptk naro logo program ignya tapi mahasiswanya tidak merdeka,mahasiswanya,Anggaran,0.0,merdeka,0.0,"[0.0, 1.0, 0.0]",tapi mahasiswanya tidak,0
286,(tertawa) ptk naro logo program ignya tapi mahasiswanya tidak merdeka,ptk,Anggaran,0.0,merdeka,0.0,"[0.0, 1.0, 0.0]",) ptk naro,0
286,(tertawa) ptk naro logo program ignya tapi mahasiswanya tidak merdeka,program,Program,0.2722,merdeka,0.0,"[0.0, 1.0, 0.0]",logo program ig,0
76,halah program apanya,program,Program,0.2722,halah,-5.0,"[0.0098, 0.0098, 0.9804]",halah program apanya,1
176,kayanya tiada bentakan dan blaming karyawan gue atau teman gue i assume they just dont know what they did is wrong cos maybe have normalized gue bertahan iyee magangnya magang program,gue,Magang,0.294,karyawan,3.0,"[0.9677, 0.0161, 0.0161]",karyawan gue atau,1
176,kayanya tiada bentakan dan blaming karyawan gue atau teman gue i assume they just dont know what they did is wrong cos maybe have normalized gue bertahan iyee magangnya magang program,bentakan,Anggaran,0.2503,kaya,2.0,"[0.9524, 0.0238, 0.0238]",tiada bentakan dan,1
176,kayanya tiada bentakan dan blaming karyawan gue atau teman gue i assume they just dont know what they did is wrong cos maybe have normalized gue bertahan iyee magangnya magang program,program,Magang,0.4711,magang,1.5,"[0.8955, 0.0746, 0.0299]",magang program,0
176,kayanya tiada bentakan dan blaming karyawan gue atau teman gue i assume they just dont know what they did is wrong cos maybe have normalized gue bertahan iyee magangnya magang program,magang,Magang,0.4441,magang,1.5,"[0.8955, 0.0746, 0.0299]",iyee magang nya,0
176,kayanya tiada bentakan dan blaming karyawan gue atau teman gue i assume they just dont know what they did is wrong cos maybe have normalized gue bertahan iyee magangnya magang program,karyawan,Anggaran,0.0,bentakan,-5.0,"[0.0098, 0.0098, 0.9804]",blaming karyawan gue,1
34,benar banget malahan kuliah tuh takut hilang program program menguntungkan mahasiswa tapi sayang sekalai sekolah sdsma,sdsma,Anggaran,0.0,sekolah,3.0,"[0.9677, 0.0161, 0.0161]",sekolah sdsma,1
