id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
52,banyak akun kloning seolah2 pendukung mulai menyerang paslon dengan opini dan argumen pmbenaranjangan terkecoh,pmbenaranjangan,Politik Uang,0.0,argumen,-4.0,"[0.0122, 0.0122, 0.9756]",argumen pmbenaranjangan terkecoh,1
52,banyak akun kloning seolah2 pendukung mulai menyerang paslon dengan opini dan argumen pmbenaranjangan terkecoh,paslon,Pendukung/Pemilih,0.2023,menyerang,-3.0,"[0.0161, 0.0161, 0.9677]",menyerang paslon dengan,1
52,banyak akun kloning seolah2 pendukung mulai menyerang paslon dengan opini dan argumen pmbenaranjangan terkecoh,opini,Pendukung/Pemilih,0.1681,menyerang,-3.0,"[0.0161, 0.0161, 0.9677]",dengan opini dan,1
52,banyak akun kloning seolah2 pendukung mulai menyerang paslon dengan opini dan argumen pmbenaranjangan terkecoh,akun,Politik Uang,0.0,mulai,1.0,"[0.7692, 0.1923, 0.0385]",banyak akun kloning,1
127,kasian oh kasian dengan peluru 1milyar untuk tiap rw tidak mempan menangin pilkada,peluru,Pendukung/Pemilih,0.2023,kasian,-3.0,"[0.0161, 0.0161, 0.9677]",dengan peluru 1milyar,1
127,kasian oh kasian dengan peluru 1milyar untuk tiap rw tidak mempan menangin pilkada,kasian,Politik Uang,0.0,kasian,-3.0,"[0.0161, 0.0161, 0.9677]",kasian oh,1
149,awas ye kalo minta dukungan suara pendukung,pendukung,Pendukung/Pemilih,0.6068,dukungan,4.0,"[0.9756, 0.0122, 0.0122]",suara pendukung,1
149,awas ye kalo minta dukungan suara pendukung,kalo,Politik Uang,0.0,minta,2.0,"[0.9524, 0.0238, 0.0238]",ye kalo minta,1
149,awas ye kalo minta dukungan suara pendukung,dukungan,Politik Uang,0.0,minta,2.0,"[0.9524, 0.0238, 0.0238]",minta dukungan suara,1
149,awas ye kalo minta dukungan suara pendukung,suara,Pendukung/Pemilih,0.6068,dukungan,4.0,"[0.9756, 0.0122, 0.0122]",dukungan suara pendukung,1
37,aneh deh lebay masa ini di sangkut pautkan sama kandidat calgub anda lebay seperti yg anda dukung,lebay,Politik Uang,0.0,aneh,4.0,"[0.9756, 0.0122, 0.0122]",deh lebay masa,1
135,kepada allah swt kami ucapkan rasa syukur dan kepada pak kami sampaikan terimakasih makna 17 suara anda,swt,Politik Uang,0.0,allah,5.0,"[0.9804, 0.0098, 0.0098]",allah swt kami,1
135,kepada allah swt kami ucapkan rasa syukur dan kepada pak kami sampaikan terimakasih makna 17 suara anda,syukur,SARA,0.2167,rasa,-2.0,"[0.0238, 0.0238, 0.9524]",rasa syukur dan,1
135,kepada allah swt kami ucapkan rasa syukur dan kepada pak kami sampaikan terimakasih makna 17 suara anda,suara,Politik Uang,0.0,makna,5.0,"[0.9804, 0.0098, 0.0098]",17 suara anda,1
238,terima kasih teruntuk pendukung kalianlah pembeda kali ini,kasih,Politik Uang,0.0,terima,2.0,"[0.9524, 0.0238, 0.0238]",terima kasih teruntuk,1
250,trima kasih atas keistiqomahan relawan lah yg tlh mengantarkan dg cukup signifikan,keistiqomahan,Politik Uang,0.0,trima,1.0,"[0.7692, 0.1923, 0.0385]",atas keistiqomahan relawan,1
250,trima kasih atas keistiqomahan relawan lah yg tlh mengantarkan dg cukup signifikan,kasih,Politik Uang,0.0,trima,1.0,"[0.7692, 0.1923, 0.0385]",trima kasih atas,1
233,sudah boleh ngakak survey mu jauh panggang dari api,survey,Politik Uang,0.0,ngakak,-2.0,"[0.0238, 0.0238, 0.9524]",ngakak survey mu,1
233,sudah boleh ngakak survey mu jauh panggang dari api,panggang,Politik Uang,0.0,ngakak,-2.0,"[0.0238, 0.0238, 0.9524]",jauh panggang dari,1
172,om aa kemana lepas kalah kok dia tutup mulut tidak koar mau bongkar sby,om,Politik Uang,0.0,lepas,-2.0,"[0.0238, 0.0238, 0.9524]",om aa,1
172,om aa kemana lepas kalah kok dia tutup mulut tidak koar mau bongkar sby,sby,Tokoh dan Partai,0.1859,bongkar,3.0,"[0.9677, 0.0161, 0.0161]",bongkar sby,1
172,om aa kemana lepas kalah kok dia tutup mulut tidak koar mau bongkar sby,mulut,Politik Uang,0.0,tutup,2.0,"[0.9524, 0.0238, 0.0238]",tutup mulut tidak,1
172,om aa kemana lepas kalah kok dia tutup mulut tidak koar mau bongkar sby,koar,Politik Uang,0.0,mau,-5.0,"[0.0098, 0.0098, 0.9804]",tidak koar mau,1
122,kalau pencatutan nama dan mpo melanggar hukum ga ya wkwkwkwkkwkk,ga,Politik Uang,0.0,hukum,3.0,"[0.9677, 0.0161, 0.0161]",hukum ga ya,1
122,kalau pencatutan nama dan mpo melanggar hukum ga ya wkwkwkwkkwkk,hukum,Politik Uang,0.0,melanggar,-5.0,"[0.0098, 0.0098, 0.9804]",melanggar hukum ga,1
122,kalau pencatutan nama dan mpo melanggar hukum ga ya wkwkwkwkkwkk,pencatutan,Tokoh dan Partai,0.3717,melanggar,-5.0,"[0.0098, 0.0098, 0.9804]",kalau pencatutan nama,1
260,ya pastilah kan ga suka ama ahok jd pas udah kalah otomatis dukungannya lari ke mas aniessandi,udah,Politik Uang,0.0,lari,-2.0,"[0.0238, 0.0238, 0.9524]",pas udah kalah,1
260,ya pastilah kan ga suka ama ahok jd pas udah kalah otomatis dukungannya lari ke mas aniessandi,pastilah,Politik Uang,0.0,suka,3.0,"[0.9677, 0.0161, 0.0161]",ya pastilah kan,1
260,ya pastilah kan ga suka ama ahok jd pas udah kalah otomatis dukungannya lari ke mas aniessandi,ahok,Tokoh dan Partai,0.1859,suka,3.0,"[0.9677, 0.0161, 0.0161]",ama ahok jd,1
