id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
52,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,paslon,Politik Uang,0.0,menyerang,-3.0,"[0.0161, 0.0161, 0.9677]",menyerang paslon #aniessandi,1
52,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,#agussilvy,Pendukung/Pemilih,0.6068,pendukung,4.0,"[0.9756, 0.0122, 0.0122]",pendukung #agussilvy mulai,1
52,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,akun,Politik Uang,0.0,mulai,1.0,"[0.7692, 0.1923, 0.0385]",banyak akun kloning,1
52,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,pmbenaran..jangan,Politik Uang,0.0,argumen,-4.0,"[0.0122, 0.0122, 0.9756]",argumen pmbenaran..jangan terkecoh,1
52,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,pendukung,Pendukung/Pemilih,0.6068,mulai,1.0,"[0.7692, 0.1923, 0.0385]",seolah2 pendukung #agussilvy,1
127,Kasian oh kasian dengan peluru 1milyar untuk tiap RW #agussilvy tidak mempan menangin pilkada #QuickCount #PilkadaSerentak2017,kasian,Politik Uang,0.0,kasian,-3.0,"[0.0161, 0.0161, 0.9677]",kasian oh,1
127,Kasian oh kasian dengan peluru 1milyar untuk tiap RW #agussilvy tidak mempan menangin pilkada #QuickCount #PilkadaSerentak2017,peluru,Pendukung/Pemilih,0.2023,kasian,-3.0,"[0.0161, 0.0161, 0.9677]",dengan peluru 1milyar,1
127,Kasian oh kasian dengan peluru 1milyar untuk tiap RW #agussilvy tidak mempan menangin pilkada #QuickCount #PilkadaSerentak2017,rw,Politik Uang,0.0,peluru,-3.0,"[0.0161, 0.0161, 0.9677]",tiap rw #agussilvy,1
149,Awas ye kalo minta dukungan suara pendukung #AHY	,suara,Pendukung/Pemilih,0.6068,dukungan,4.0,"[0.9756, 0.0122, 0.0122]",dukungan suara pendukung,1
149,Awas ye kalo minta dukungan suara pendukung #AHY	,#ahy,Pendukung/Pemilih,0.4291,pendukung,4.0,"[0.9756, 0.0122, 0.0122]",pendukung #ahy,1
149,Awas ye kalo minta dukungan suara pendukung #AHY	,kalo,Politik Uang,0.0,minta,2.0,"[0.9524, 0.0238, 0.0238]",ye kalo minta,1
149,Awas ye kalo minta dukungan suara pendukung #AHY	,dukungan,Politik Uang,0.0,minta,2.0,"[0.9524, 0.0238, 0.0238]",minta dukungan suara,1
149,Awas ye kalo minta dukungan suara pendukung #AHY	,pendukung,Pendukung/Pemilih,0.4291,dukungan,4.0,"[0.9756, 0.0122, 0.0122]",suara pendukung #ahy,1
37,"aneh deh lebay masa ini di sangkut pautkan sama kandidat Calgub, anda lebay seperti yg anda dukung #agussilvy",#agussilvy,Politik Uang,0.0,dukung,4.0,"[0.9756, 0.0122, 0.0122]",dukung #agussilvy,1
