id,original_text,aspect_term,aspect_category,similarity,matched_opinions,total_weight,sentiment_prob,context_phrase,opinion_count
1,akun kloning seolah2 pendukung menyerang paslon opini dan argumen pmbenaranjangan terkecoh,akun,Agus-Sylvi,0.0,menyerang,-3.0,"[0.0161, 0.0161, 0.9677]",akun kloning,1
1,akun kloning seolah2 pendukung menyerang paslon opini dan argumen pmbenaranjangan terkecoh,pmbenaranjangan,Agus-Sylvi,0.0,argumen,-4.0,"[0.0122, 0.0122, 0.9756]",argumen pmbenaranjangan terkecoh,1
1,akun kloning seolah2 pendukung menyerang paslon opini dan argumen pmbenaranjangan terkecoh,paslon,Agus-Sylvi,0.0,menyerang,-3.0,"[0.0161, 0.0161, 0.9677]",menyerang paslon opini,1
2,bicara kasihan yaalap air matanya wkwkwkwk,mata,Agus-Sylvi,0.0,air,-1.0,"[0.0385, 0.1923, 0.7692]",air mata nya,1
3,sih tidak menunggu hasil qc tapi menunggu motif cuitan kayak pasca nyungsep,hasil,Agus-Sylvi,0.0,menunggu,3.0,"[0.9677, 0.0161, 0.0161]",menunggu hasil qc,1
3,sih tidak menunggu hasil qc tapi menunggu motif cuitan kayak pasca nyungsep,sih,Agus-Sylvi,0.0,menunggu,3.0,"[0.9677, 0.0161, 0.0161]",sih tidak,1
3,sih tidak menunggu hasil qc tapi menunggu motif cuitan kayak pasca nyungsep,motif,Agus-Sylvi,0.0,menunggu,3.0,"[0.9677, 0.0161, 0.0161]",menunggu motif cuitan,1
4,kasihan kasihan peluru 1milyar rw tidak mempan menangin pilkada,kasihan,Agus-Sylvi,0.0,kasihan,-4.0,"[0.0122, 0.0122, 0.9756]",kasihan kasihan,1
4,kasihan kasihan peluru 1milyar rw tidak mempan menangin pilkada,peluru,Agus-Sylvi,0.0,kasihan,-4.0,"[0.0122, 0.0122, 0.9756]",kasihan peluru 1milyar,1
5,maaf pendukung hayo dukung diputaran 2,pendukung,Agus-Sylvi,0.0,maaf,2.0,"[0.9524, 0.0238, 0.0238]",maaf pendukung hayo,1
5,maaf pendukung hayo dukung diputaran 2,maaf,Agus-Sylvi,0.0,dukung,4.0,"[0.9756, 0.0122, 0.0122]",maaf pendukung,1
6,aneh deh lebay sangkut pautkan kandidat calgub lebay dukung,sangkut,Agus-Sylvi,0.0,lebay,-4.0,"[0.0122, 0.0122, 0.9756]",lebay sangkut pautkan,1
6,aneh deh lebay sangkut pautkan kandidat calgub lebay dukung,pautkan,Agus-Sylvi,0.0,lebay,-4.0,"[0.0122, 0.0122, 0.9756]",sangkut pautkan kandidat,1
7,allah swt ucapkan syukur dan terimakasih makna 17 suara,suara,Agus-Sylvi,0.0,makna,5.0,"[0.9804, 0.0098, 0.0098]",17 suara,1
8,terima kasih teruntuk pendukung kalianlah pembeda,kasih,Agus-Sylvi,0.0,terima,2.0,"[0.9524, 0.0238, 0.0238]",terima kasih teruntuk,1
9,terima kasih keistiqomahan relawan tlh mengantarkan signifikan,kasih,Agus-Sylvi,0.0,terima,2.0,"[0.9524, 0.0238, 0.0238]",terima kasih keistiqomahan,1
9,terima kasih keistiqomahan relawan tlh mengantarkan signifikan,keistiqomahan,Agus-Sylvi,0.0,terima,2.0,"[0.9524, 0.0238, 0.0238]",kasih keistiqomahan relawan,1
10,mengenang pidato kekalahan,pidato,Agus-Sylvi,0.0,mengenang,3.0,"[0.9677, 0.0161, 0.0161]",mengenang pidato kekalahan,1
12,batal nyoblos tidak no1 kertas suara,nyoblos,Agus-Sylvi,0.0,batal,5.0,"[0.9804, 0.0098, 0.0098]",batal nyoblos tidak,1
16,om aa lepas kalah tutup mulut tidak koar bongkar surabaya,surabaya,Agus-Sylvi,0.0,bongkar,3.0,"[0.9677, 0.0161, 0.0161]",bongkar surabaya,1
16,om aa lepas kalah tutup mulut tidak koar bongkar surabaya,om,Agus-Sylvi,0.0,kalah,4.0,"[0.9756, 0.0122, 0.0122]",om aa,1
17,pencatutan nama dan mpo melanggar hukum tidak wkwkwkwkkwkk,pencatutan,Agus-Sylvi,0.0,melanggar,5.0,"[0.9804, 0.0098, 0.0098]",pencatutan nama,1
17,pencatutan nama dan mpo melanggar hukum tidak wkwkwkwkkwkk,hukum,Agus-Sylvi,0.0,melanggar,5.0,"[0.9804, 0.0098, 0.0098]",melanggar hukum tidak,1
18,pastilah kan tidak suka ahok pas sudah kalah otomatis dukungannya lari mas aniessandi,lari,Agus-Sylvi,0.0,kalah,4.0,"[0.9756, 0.0122, 0.0122]",nya lari mas,1
18,pastilah kan tidak suka ahok pas sudah kalah otomatis dukungannya lari mas aniessandi,pastilah,Agus-Sylvi,0.0,suka,-3.0,"[0.0161, 0.0161, 0.9677]",pastilah kan,1
18,pastilah kan tidak suka ahok pas sudah kalah otomatis dukungannya lari mas aniessandi,pas,Ahok-Djarot,0.4602,kalah,4.0,"[0.9756, 0.0122, 0.0122]",ahok pas sudah,1
18,pastilah kan tidak suka ahok pas sudah kalah otomatis dukungannya lari mas aniessandi,ahok,Ahok-Djarot,0.4602,suka,-3.0,"[0.0161, 0.0161, 0.9677]",suka ahok pas,1
18,pastilah kan tidak suka ahok pas sudah kalah otomatis dukungannya lari mas aniessandi,dukungan,Agus-Sylvi,0.0,kalah,4.0,"[0.9756, 0.0122, 0.0122]",otomatis dukungan nya,1
18,pastilah kan tidak suka ahok pas sudah kalah otomatis dukungannya lari mas aniessandi,mas,Agus-Sylvi,0.0,lari,-2.0,"[0.0238, 0.0238, 0.9524]",lari mas aniessandi,1
19,banteng garuda ksatria gentle cinta,ksatria,Agus-Sylvi,0.0,banteng,-3.0,"[0.0161, 0.0161, 0.9677]",garuda ksatria gentle,1
19,banteng garuda ksatria gentle cinta,garuda,Agus-Sylvi,0.0,banteng,-3.0,"[0.0161, 0.0161, 0.9677]",banteng garuda ksatria,1
20,gara-gara ektp dikorupsi fotoku mirip pelan tapi pasti mirip stickmoticons,ektp,Agus-Sylvi,0.0,gara-gara,-5.0,"[0.0098, 0.0098, 0.9804]",gara-gara ektp dikorupsi,1
22,nih antasari kalah melempem benerbener akting,nih,Agus-Sylvi,0.0,kalah,-4.0,"[0.0122, 0.0122, 0.9756]",nih antasari,1
22,nih antasari kalah melempem benerbener akting,antasari,Agus-Sylvi,0.0,nih,-1.2,"[0.0345, 0.1379, 0.8276]",nih antasari kalah,0
23,ingat tidak bisa modal omongan tapi kerja nyata,modal,Agus-Sylvi,0.0,ingat,-2.0,"[0.0238, 0.0238, 0.9524]",bisa modal omongan,1
