id,text,aspect_category,sentiment_prob
1421115366063759361,Dengan rencana dan stok yang sudah diamankan Indonesia bisa memastikan pelaksanaan vaksinasi di Agustus aman dan bisa ditingkatkan untuk memenuhi target. #StokVaksinAman,Umum,"[0.7, 0.2, 0.1]"
1421108348846440449,Kalo kena covid biaya sakit ditanggung negara sampe sembuh. Tapi kalo mati karena program vaksinasi covid negara malah lepas tangan ga mau tanggung jawab. Bagus lah suara arus bawah yg banyak pada ga mau divaksin. Emang suka kebangetan pemerintahannya @jokowi tu.,Umum,"[0.1, 0.1, 0.8]"
1421112031877337089,Persyaratan ikut vaksin itu tubuh dalam kondisi sehat untuk itu siapkan diri dengan baik dan tetap bahagia. Jangan lupa bawa KTP/Fotocopy KTP Nanti saat pendaftaran menuliskan nomor HP yang valid di lembaran KTP Nah kalau di tempat kalian prosesnya gimana? #StokVaksinAman,Umum,"[0.5, 0.5, 0.0]"
1431475123706490882,Selesai vaksin c0vid dosis 2 hari ini saya langsung dapat SMS pemberitahuan mendapat sertifikat vaksin yang bisa diunduh langsung dari link yang diSMS kan/ unduh lewat aplikasi pedulilindungi #sudahvaksintetap3M,Aplikasi,"[0.7, 0.3, 0.0]"
1431474189756555265,Vaksin perlu bgt krn bs mengurangi risiko sakit parah saat terpapar Covid. Aplg biaya ke RS dan obat2an jg ga murah. Butuh byk biaya. Jd yuk kita vaksin. #sudahvaksintetap3M,Umum,"[0.7, 0.2, 0.1]"
1432038325540425728,@jokowi Alhamdulillah saya sudah vaksin pak tinggal nyari kerjaan buat biaya kehidupan sehari hari,Umum,"[0.3, 0.4, 0.3]"
1431822775107289089,@jokowi Asalamalaikum..selamat siang pak presiden.kami sebagai masyarakat kecildi mohon kepada bapak agar kebijakan penerbangan di ringankan kami sudah vaksin ke duadan sekarang mau terbang ke jakarta dari labuan bajo harus pcrsementara biaya pcr sangat mahal situasi begini,Umum,"[0.2, 0.4, 0.4]"
1432261141602856963,@RiskaNgilan Aplikasi ini bagus banget ya buat memantu proses vaksinasi di lapangan,Aplikasi,"[0.8, 0.2, 0.0]"
1432196762937167874,Nah karena saat ini pemberian vaksin bangun antibodi gratis jadi kalau ada yang minta biaya vaksin sebagai masyarakat kita bisa bantu laporkan lho #VaksinKokPilahPilih,Biaya,"[0.7, 0.2, 0.1]"
1432197564456062977,Oya untuk pengaduan dari masyarakat jika ada oknum yang minta biaya vaksin untuk bangun antibodi bisa dilaporkan ke email : pengaduan.itjen@kemkes.go.id atau ke nomer 1500567 #VaksinKokPilahPilih,Biaya,"[0.3, 0.4, 0.3]"
1432209923023130626,@nengtanti13 Yes kak bisa kita laporkan ya oknum yang minta biaya vaksin #VaksinKokPilahPilih,Biaya,"[0.3, 0.4, 0.3]"
1432195601416933382,Kalau kalian lihat ada pelanggaran terkait pemungutan biaya saat vaksin Covid-19 untuk bangun antibodi kalian bisa melaporkannya melalui telpon : 1500567 atau via email : pengaduan.itjen@kemenkes.go.id #VaksinKokPilahPilih,Biaya,"[0.1, 0.3, 0.6]"
1432223084254097414,Jangan pernah kalian upload foto : Kartu Kendali Pelayanan Vaksinasi Covid-19 Karena berisikan data kalian rentan disalahgunakan.,Umum,"[0.0, 0.3, 0.7]"
