id,text,aspect_category,sentiment_prob
1421115366063759361,rencana dan stok sudah diamankan indonesia bisa pelaksanaan vaksinasi agustus aman dan bisa ditingkatkan memenuhi target,Implementasi,"[0.7, 0.2, 0.1]"
1421108348846440449,kalo kena covid biaya sakit ditanggung negara sembuh tapi kalo mati program vaksinasi covid negara lepas tangan tidak tanggung jawab bagus suara arus tidak divaksin memang suka kebangetan pemerintahannya,Biaya,"[0.1, 0.2, 0.7]"
1421112031877337089,persyaratan vaksin tubuh dalam sehat siapkan baik dan bahagia jangan lupa bawa ktpfotocopy ktp pendaftaran menuliskan nomor hp valid lembaran ktp prosesnya,Umum,"[0.5, 0.5, 0.0]"
1431475123706490882,selesai vaksin c0vid dosis 2 dapat sms pemberitahuan mendapat sertifikat vaksin bisa diunduh link disms kan unduh aplikasi pedulilindungi,Aplikasi,"[0.6, 0.4, 0.0]"
1431474189756555265,vaksin banget bisa mengurangi risiko sakit parah terpapar covid aplg biaya rs dan obat2an tidak murah butuh biaya yuk vaksin,Biaya,"[0.1, 0.2, 0.7]"
1432038325540425728,alhamdulillah sudah vaksin pekerjaan biaya sehari,Biaya,"[0.3, 0.4, 0.3]"
1431822775107289089,asalamalaikumselamat siang presidenkami masyarakat kecildi mohon kebijakan penerbangan ringankan sudah vaksin duadan terbang jakarta labuan bajo harus pcrsementara biaya pcr sangat mahal situasi,Biaya,"[0.1, 0.2, 0.7]"
1432261141602856963,aplikasi bagus banget memantu proses vaksinasi lapangan,Aplikasi,"[0.8, 0.2, 0.0]"
1432196762937167874,pemberian vaksin bangun antibodi gratis biaya vaksin masyarakat bisa bantu laporkan lho,Biaya,"[0.7, 0.3, 0.0]"
1432197564456062977,oya pengaduan masyarakat oknum biaya vaksin bangun antibodi bisa dilaporkan email pengaduanitjengoid atau nomer 1500567,Biaya,"[0.1, 0.3, 0.6]"
1432209923023130626,yes kak bisa laporkan oknum biaya vaksin,Biaya,"[0.2, 0.3, 0.5]"
1432195601416933382,lihat pelanggaran terkait pemungutan biaya vaksin covid19 bangun antibodi bisa melaporkannya telpon 1500567 atau via email pengaduanitjengoid,Biaya,"[0.1, 0.3, 0.6]"
1432223084254097414,jangan upload foto kartu kendali pelayanan vaksinasi covid19 berisikan data rentan disalahgunakan,Umum,"[0.2, 0.6, 0.2]"
1432237902445137921,masyarakat dan pemerintah bekerjasama memutus mata rantai penularan covid19 masy patuh prokes diam rumah batasi aktivitas pemerintah mempercepat pelaksanaan vaksinasi,Umum,"[0.7, 0.3, 0.0]"
1432202931017637891,pelaporan pemungutan biaya vaksin bisa 1500567 atau email pengaduanitjengoid yuk samasama bantu pemerintah menangani,Biaya,"[0.1, 0.3, 0.6]"
