id,text,aspect_category,sentiment_prob
120,kalo sudah kuliah mah kampus merdeka kalo adekku mah b haha,Umum,"[0.5, 0.3, 0.2]"
181,kerja mendukung program merdeka belajar kampus merdeka mbkm membuka peluang inovasi pendidikan cerah,Umum,"[0.8, 0.1, 0.1]"
286,(tertawa) ptk naro logo kampus merdeka ignya tapi mahasiswanya tidak merdeka,Umum,"[0.3, 0.3, 0.4]"
76,halah kampus merdeka apanya,Umum,"[0.1, 0.2, 0.7]"
176,kayanya tiada bentakan dan blaming karyawan gue atau teman gue i assume they just dont know what they did is wrong cos maybe have normalized gue bertahan iyee magangnya magang kampus merdeka,Umum,"[0.4, 0.4, 0.2]"
34,benar banget malahan kuliah tuh takut hilang program kampus merdeka menguntungkan mahasiswa tapi sayang sekalai sekolah sdsma,Umum,"[0.7, 0.2, 0.1]"
110,kadang mikir kalo kuliah organisasi tidak seaktif tidak ulah nadiem doang kampus merdeka tapi memang dipengaruhi kebutuhan tenaga kerja pandangannya organisasi mending magang,Umum,"[0.4, 0.3, 0.3]"
270,tapi sejujurnya menurutku bagus kurikulumnya kalo perkuliahan bagusnya merdeka kampus belajar,Umum,"[0.7, 0.2, 0.1]"
21,apaan bagus perguruan negeri gara-gara kebijakan kampus ngebebanin mhs s2 harus ikut-ikutan bikin jurnal publikasi menuhin quota kampus mhs manfaatin kurikulum merdeka ngeclaim sks padahal tidak mengerti apa-apa pas tes,Umum,"[0.2, 0.3, 0.5]"
239,program baik kampus merdeka kayak msib iisma pmm program keuntungan dan pengalaman bermanfaat mahasiswa,Umum,"[0.85, 0.1, 0.05]"
14,suka pas kampus merdeka sistemnya agak hancur melihat msib pengunduran schedule miss,Umum,"[0.3, 0.3, 0.4]"
292,bagusnya kampus merdeka mahasiswa,Umum,"[0.8, 0.1, 0.1]"
212,namanya proses anjir lagian proramnya bagus kayak kampus merdeka,Umum,"[0.7, 0.2, 0.1]"
30,program bagus kampus merdeka,Umum,"[0.8, 0.1, 0.1]"
264,tapi pendidikan kurikulum merdeka bagus banget apalagi programprogramnya kesempatan berkembang diluar kampus,Umum,"[0.85, 0.1, 0.05]"
177,kayanya kebijakan bagusnya kuliah deh kayak kampus merdeka susah banget cari magang memasukkan proposal tapi sudah terintegrasi sistem kuliah,Umum,"[0.4, 0.3, 0.3]"
174,sih bagian kampus merdeka termasuk oke belum merasai 2021 covid dan sudah dalam perjalanan sidang (tertawa),Umum,"[0.6, 0.3, 0.1]"
223,penasaran sudah bukan mahasiswa tidak kebagian icip si kampus merdeka,Umum,"[0.5, 0.3, 0.2]"
218,one of gue gasuka program kampus merdeka program wirausaha merdeka kayak,Umum,"[0.1, 0.2, 0.7]"
162,kampus merdeka untung untung mahasiswanya oke2 dan senang pandemi muncul tuh program mayanlah kedapetan enak,Umum,"[0.7, 0.2, 0.1]"
41,mahasiswa bela nadiem program kampus merdeka bagus termasuk teman gue kayak asu makan anjinggg lihat kacaunya bangsatttt bangsat,Umum,"[0.2, 0.2, 0.6]"
216,mah kampus merdeka gue sih stop gap solution akar masalahnya memang pendidikan diploma dan sarjana indonesia tidak cocok kebutuhan industrinya dan tidak diurus,Umum,"[0.2, 0.3, 0.5]"
16,tidak ah ngejelekin menteri pendidikan dapat benefit kampus mengajar magang merdeka dan ppg prajabatan dibiayain negara,Kebijakan Menteri,"[0.3, 0.3, 0.4]"
195,lumayan nyisir anggaran basically stafsusnya nadiem tim tech enabler oke bikin platform kampus merdeka tapi rombak struktur internal dan speechless output platform,Anggaran,"[0.4, 0.3, 0.3]"
86,ibu gua suka cerita kampus merdeka seringkali ajang pemutihan nilai mahasiswa,Umum,"[0.2, 0.3, 0.5]"
75,gue hater kurikulum kampus merdeka,Umum,"[0.05, 0.15, 0.8]"
294,dipertahankan kampus merdeka iisma tapi kuota ditekan sempurnakan progran iisma dalam negeri sangat bermanfaat kawan kawan kampus secondthird tierdaerah nun disana merasakan atmosfer kampus top 10 indonesia dan msib,Umum,"[0.6, 0.3, 0.1]"
107,jujur terobosannya kampus merdeka versi l kuliah tapi ajarnya kapitalis dan ketidakselarasan kementrian menyebabkan perusahaan bisa seenak udel pegawai upah murah beban kerja selangit alias anak magang,Umum,"[0.2, 0.3, 0.5]"
8,program kampus merdeka bagus banget mahasiswa 1 kampus ruko bisa pmm merasai kuliah kampus benaran 2 program magang merdeka ngasah skill tidak diajari dalem kelas,Umum,"[0.85, 0.1, 0.05]"
184,kalo program dikti nya sok far oke oke sih gue sangat mengapresiasi kampus merdeka,Umum,"[0.75, 0.15, 0.1]"
209,wkwkwk kampus merdeka tahi anjing,Umum,"[0.05, 0.05, 0.9]"
220,nadiem tidak melihat udahudah pendidikan indonesia acak adul kuliah bagus memakai sistem merdeka nge bantu magang pertukaran mahasiswa dibantu kampus,Kebijakan Menteri,"[0.1, 0.2, 0.7]"
84,i agree on kampus merdeka cz uni students sudah bisa decide what how where they wanna learn freely,Umum,"[0.8, 0.15, 0.05]"
163,kampus merdeka tidak merdeka2 amat,Umum,"[0.1, 0.2, 0.7]"
131,kampus merdeka tidak adek diphp program magang tidak dan hampir tidak bisa ambil semester sok tidak banget kayanya,Umum,"[0.1, 0.2, 0.7]"
31,program kampus merdeka memang bagus anak msib tapi sayangnya program membuat perusahaan tidak rekrut karyawan dan ngandelin anak magang magang,Umum,"[0.3, 0.3, 0.4]"
51,era nadiem bagus kampus merdeka merdeka belajarr,Kebijakan Menteri,"[0.8, 0.1, 0.1]"
232,ppdb zonasi is not a breakthrough dan kampus merdeka tidak sebagus coyy,Umum,"[0.1, 0.2, 0.7]"
46,cerita dikit kampus tuh tidak bisa kampus merdeka naungan kemenperin tt dengar cerita teman magang disana dan mikir somehow internship pt is way better tahan those companies 3,Umum,"[0.2, 0.3, 0.5]"
215,not gonna lie ive been lucky enough tapi experience good things from kampus merdeka tapi benaran gemas perusahaan buka loker keterangannya urgently needed for internship tau-tau membebankan pekerjaan anak magang jyakhh,Umum,"[0.4, 0.3, 0.3]"
229,pfftt bagus kalo pelaku dan lembaga pendidikan deh kampus merdeka bikin pusing tenaga pendidik bobot konversi tidak ada batasan mhsswa seenaknya ambil matkul tidak porsinya ngaruh standar kompetensi zonasi teknisnya jelek banget,Umum,"[0.1, 0.2, 0.7]"
6,program bagus kampus merdeka,Umum,"[0.8, 0.1, 0.1]"
6,program bagus kampus merdeka,Umum,"[0.8, 0.1, 0.1]"
148,kampus merdeka bagus walaupun bisanya fakultas tapi pengalaman belajar mata kuliah bahasa korea seharihari 1 semester dan seru banget,Umum,"[0.8, 0.15, 0.05]"
245,sedikit kebantu kampus merdeka kuliah kebijakan publik lulus kuliah product manager tech hehe,Umum,"[0.7, 0.2, 0.1]"
6,program bagus kampus merdeka,Umum,"[0.8, 0.1, 0.1]"
44,bukan dibayar murah kalo kampus merdeka perusahaan bahkan tidak harus keluar uang upah anak magang negara benaran dapat tenaga kerja cuma2,Umum,"[0.1, 0.2, 0.7]"
36,benar kalo kulihat memang kampus merdeka works well universitas universitas programnya memang bagus,Umum,"[0.8, 0.1, 0.1]"
19,and kampus merdeka is hurting full time employees more and way college students think bukannya sibuk memikirkan akademis dan ilmunya lomba2 bisa internship cepat dan meninggalkan akademiknya,Umum,"[0.1, 0.2, 0.7]"
69,gonna support this argument percaya tpks zonasi dan kampus merdeka program bagus diteruskan pendidikan sudah berjalan arah equality amp quality education lho pendidikan tidak menang kalah tapi berkeadilan,Umum,"[0.8, 0.1, 0.1]"
17,tidak tau jurusan tapi awal kemunculannya kampus merdeka tuh sedikit polemik apalagi anak gerakan atau advo mahasiswa lari situ kekhawatirannya sih kesannya kayak its all about industry,Umum,"[0.2, 0.3, 0.5]"
136,kampus merdeka is shitty teman magang ketinggalan materi semester tapi tidak mau ngejar apesnya sekelompok smt berikutnya endingnya plonga plongo apply magang merdeka deh tidak usah kuliah magang sonooooo manusia gila maganggggg,Umum,"[0.05, 0.15, 0.8]"
56,eh iya dukung kampus merdeka deh bukannya mahasiswa disuruh kerja rodi dan tidak dibayarbayar minim,Umum,"[0.2, 0.3, 0.5]"
73,gue akui kampus merdeka amat sangat menyelamatkan gue dimasa krisis,Umum,"[0.8, 0.15, 0.05]"
201,menurutku okenya kampus merdeka doang,Umum,"[0.7, 0.2, 0.1]"
260,tapi program kampus merdeka bermanfaat banget bisa paham roadmap skill dibutuhin diindustri dan bisa fokus mempelajari bidang kalo kampus doang asli kureng banget dan belajar nya terlalu general,Umum,"[0.8, 0.15, 0.05]"
101,iya tapi menurutku kemdikbudristekdikti regulasi dan tegas setauku pemerintah bayar uang perusahaan dijadikan magang kampus merdeka perusahaan pasti maumau,Umum,"[0.6, 0.3, 0.1]"
135,kampus merdeka is fine,Umum,"[0.7, 0.2, 0.1]"
233,prespektif alumi kampus merdeka batch 2 amp 3 menurutku bagus bisa bootcamp mehong cari magang gampang tbh gue enjoy mbkm kelas kampus materi nya outdated terkhusus kampus merdeka masih sisi fucked up nya,Umum,"[0.5, 0.3, 0.2]"
161,kampus merdeka tuh benaran program oke banget sih memang despite whole convo behind banyakan bagusnya bobroknya,Umum,"[0.6, 0.3, 0.1]"
152,kampus merdeka oke oke regulasinya lancar timeline mundur mundur mulu temenku tidak on time dapat duitnya lol ppdb zonasi angkatan nih bosss 2018 fcked up hehe belum tapi sudah dijalankan menimbulkan kekecewaan,Umum,"[0.1, 0.2, 0.7]"
132,kampus merdeka is a lifechanger,Umum,"[0.8, 0.15, 0.05]"
