id,text,aspect_category,sentiment_prob
52,"- ""Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh",Pendukung/Pemilih,"[0.05, 0.05, 0.9]"
52,"- ""Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh",Tokoh dan Partai,"[0.05, 0.05, 0.9]"
52,"- ""Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh",Strategi Kampanye,"[0.05, 0.05, 0.9]"
127,"- ""Kasian oh kasian dengan peluru 1milyar untuk tiap RW #agussilvy tidak mempan menangin pilkada #QuickCount #PilkadaSerentak2017",Politik Uang,"[0.05, 0.05, 0.9]"
127,"- ""Kasian oh kasian dengan peluru 1milyar untuk tiap RW #agussilvy tidak mempan menangin pilkada #QuickCount #PilkadaSerentak2017",Tokoh dan Partai,"[0.05, 0.05, 0.9]"
149,"- ""Awas ye kalo minta dukungan suara pendukung #AHY",Pendukung/Pemilih,"[0.05, 0.05, 0.9]"
149,"- ""Awas ye kalo minta dukungan suara pendukung #AHY",Tokoh dan Partai,"[0.05, 0.05, 0.9]"
37,"- ""aneh deh lebay masa ini di sangkut pautkan sama kandidat Calgub anda lebay seperti yg anda dukung #agussilvy",Tokoh dan Partai,"[0.05, 0.05, 0.9]"
37,"- ""aneh deh lebay masa ini di sangkut pautkan sama kandidat Calgub anda lebay seperti yg anda dukung #agussilvy",Pendukung/Pemilih,"[0.05, 0.05, 0.9]"
135,"- ""Kepada Allah SWT kami ucapkan rasa syukur dan kepada pak @SBYudhoyono @presidenSBY #AHY kami sampaikan terimakasih. Makna 17% suara anda.",Tokoh dan Partai,"[0.9, 0.05, 0.05]"
135,"- ""Kepada Allah SWT kami ucapkan rasa syukur dan kepada pak @SBYudhoyono @presidenSBY #AHY kami sampaikan terimakasih. Makna 17% suara anda.",Pendukung/Pemilih,"[0.9, 0.05, 0.05]"
238,"- ""Terima Kasih teruntuk pendukung #AHY #SYLVI kalianlah pembeda kali ini",Pendukung/Pemilih,"[0.9, 0.05, 0.05]"
238,"- ""Terima Kasih teruntuk pendukung #AHY #SYLVI kalianlah pembeda kali ini",Tokoh dan Partai,"[0.9, 0.05, 0.05]"
250,"- ""Trima Kasih atas KeIstiqomahan Relawan #AHY @AgusYudhoyono lah yg tlh mengantarkan #AniesSandiDKI1 #JakartaGubernurBaru dg cukup signifikan",Pendukung/Pemilih,"[0.9, 0.05, 0.05]"
250,"- ""Trima Kasih atas KeIstiqomahan Relawan #AHY @AgusYudhoyono lah yg tlh mengantarkan #AniesSandiDKI1 #JakartaGubernurBaru dg cukup signifikan",Tokoh dan Partai,"[0.9, 0.05, 0.05]"
233,"- ""sudah boleh Ngakak? survey mu jauh panggang dari api ! #Ahy",Tokoh dan Partai,"[0.05, 0.05, 0.9]"
233,"- ""sudah boleh Ngakak? survey mu jauh panggang dari api ! #Ahy",Strategi Kampanye,"[0.05, 0.05, 0.9]"
32,"- ""aku juga kemarin #AHY 19april2017 suaraku utk paslon 3 #DKI",Pendukung/Pemilih,"[0.1, 0.8, 0.1]"
32,"- ""aku juga kemarin #AHY 19april2017 suaraku utk paslon 3 #DKI",Tokoh dan Partai,"[0.1, 0.8, 0.1]"
172,"- ""om AA kemana ? lepas #AHY kalah kok dia tutup mulut tidak koar"" mau bongkar SBY",Tokoh dan Partai,"[0.1, 0.1, 0.8]"
172,"- ""om AA kemana ? lepas #AHY kalah kok dia tutup mulut tidak koar"" mau bongkar SBY",Politik Uang,"[0.05, 0.05, 0.9]"
122,"- ""kalau pencatutan nama #ahy dan mpo #silvi melanggar hukum ga ya.. wkwkwkwkkwkk",Tokoh dan Partai,"[0.1, 0.8, 0.1]"
122,"- ""kalau pencatutan nama #ahy dan mpo #silvi melanggar hukum ga ya.. wkwkwkwkkwkk",Politik Uang,"[0.1, 0.8, 0.1]"
260,"- ""ya pastilah #FPI kan ga suka ama Ahok jd pas #AHY udah kalah otomatis dukungannya lari ke mas #Anisa AniesSandi",Tokoh dan Partai,"[0.1, 0.8, 0.1]"
260,"- ""ya pastilah #FPI kan ga suka ama Ahok jd pas #AHY udah kalah otomatis dukungannya lari ke mas #Anisa AniesSandi",Pendukung/Pemilih,"[0.1, 0.8, 0.1]"
80,"- ""banteng garuda ksatria gentle cinta",Tokoh dan Partai,"[0.9, 0.05, 0.05]"
86,"- ""Gara2 e-KTP dikorupsi fotoku yg semula mirip #AHY pelan tapi pasti skrang malah mirip - Stickmoticons”",Politik Uang,"[0.05, 0.05, 0.9]"
86,"- ""Gara2 e-KTP dikorupsi fotoku yg semula mirip #AHY pelan tapi pasti skrang malah mirip - Stickmoticons”",Tokoh dan Partai,"[0.1, 0.8, 0.1]"
83,"- ""double lol menuduh miskin ide copy",Strategi Kampanye,"[0.05, 0.05, 0.9]"
131,"- ""Kemana nih Antasari. .. #ahy kalah di #pilgubdki2017 melempem dia... bener-bener akting yang",Tokoh dan Partai,"[0.05, 0.05, 0.9]"
104,"- ""Ingat! Tidak bisa modal OMONGAN saja. Tapi kerja nyata! #agusharimurtiyudhoyono #AHYâ€¦",Tokoh dan Partai,"[0.05, 0.05, 0.9]"
104,"- ""Ingat! Tidak bisa modal OMONGAN saja. Tapi kerja nyata! #agusharimurtiyudhoyono #AHYâ€¦",Strategi Kampanye,"[0.05, 0.05, 0.9]"
176,"- ""#ahy pakdhe karwo Pilgub Jatim Pak Dhe Karwo Isyaratkan Agus Tidak Akan Maju di Pilgub Jatim",Tokoh dan Partai,"[0.1, 0.8, 0.1]"
177,"- ""Paslon salah langkah seperti dilakukan Sandi ini bukan tidak mungkin jadi bumerang gagal dapat suara #AHY. @ZaraZettiraZZ @monethamrin",Tokoh dan Partai,"[0.05, 0.05, 0.9]"
177,"- ""Paslon salah langkah seperti dilakukan Sandi ini bukan tidak mungkin jadi bumerang gagal dapat suara #AHY. @ZaraZettiraZZ @monethamrin",Strategi Kampanye,"[0.05, 0.05, 0.9]"
78,"- ""Di manakah #AHY... Sang Ksatria Samurai Prajurit Pembangun semangat & harapan Pahlawan yg dinanti-nantikan rakyat itu...",Tokoh dan Partai,"[0.9, 0.05, 0.05]"
139,"- ""Kini ketika #AHY berada di luar arena tabir kegelapan & tiada harapan kembali menyergap rakyat. Kemana lagi rakyat mencari ketulusan?",Tokoh dan Partai,"[0.05, 0.05, 0.9]"
107,"- ""@AdjieRimbawan isu lama diangkat lagi video lama dishare lagi padahal video sudah disebar buzzer #AHY eh jelang #putaranke2 disebar lagi",Tokoh dan Partai,"[0.05, 0.05, 0.9]"
107,"- ""@AdjieRimbawan isu lama diangkat lagi video lama dishare lagi padahal video sudah disebar buzzer #AHY eh jelang #putaranke2 disebar lagi",Strategi Kampanye,"[0.05, 0.05, 0.9]"
54,"- ""Baru tau Bu Carik @luviku tidak coblos #AHY kemarin. Piss",Tokoh dan Partai,"[0.1, 0.8, 0.1]"
54,"- ""Baru tau Bu Carik @luviku tidak coblos #AHY kemarin. Piss",Pendukung/Pemilih,"[0.1, 0.8, 0.1]"
149,"- ""Awas ye kalo minta dukungan suara pendukung #AHY",Pendukung/Pemilih,"[0.05, 0.05, 0.9]"
149,"- ""Awas ye kalo minta dukungan suara pendukung #AHY",Tokoh dan Partai,"[0.05, 0.05, 0.9]"
105,"- ""Ini Dia Pelaku Pengirim SMS Gelap Antasari Azhar #Indonesia #SBY #AHY #Anies #Ahok #Berita #JumatBerkah #Rizieq",Tokoh dan Partai,"[0.1, 0.8, 0.1]"
105,"- ""Ini Dia Pelaku Pengirim SMS Gelap Antasari Azhar #Indonesia #SBY #AHY #Anies #Ahok #Berita #JumatBerkah #Rizieq",Politik Uang,"[0.05, 0.05, 0.9]"
41,"- ""antasari diancam harry tanoe",Tokoh dan Partai,"[0.05, 0.05, 0.9]"
251,"- ""Tuduhan terhadap #AHY yg kerap dilontarkan: anak ingusan dan cuma mayor sekarang tak terdengar lagi. Dudah berubah menjadi sanjungan!?",Tokoh dan Partai,"[0.9, 0.05, 0.05]"
111,"- ""Jangan curiga dulu saldonya bisa di kenti seperti BLT orang mau berbuat baik belum apa2 sudah curiga mekanismenya seperti apa #AHY",Tokoh dan Partai,"[0.1, 0.8, 0.1]"
111,"- ""Jangan curiga dulu saldonya bisa di kenti seperti BLT orang mau berbuat baik belum apa2 sudah curiga mekanismenya seperti apa #AHY",Politik Uang,"[0.05, 0.05, 0.9]"
11,"- ""ahoker masih bully #AHY",Pendukung/Pemilih,"[0.05, 0.05, 0.9]"
11,"- ""ahoker masih bully #AHY",Tokoh dan Partai,"[0.05, 0.05, 0.9]"
208,"- ""Sayang mayor #AHY termasuk yang dikader untuk pemimpin masa depan Dari SMA taruna beliau selalu yang teratas Lagi2 itu pilihan #pensiundini",Tokoh dan Partai,"[0.05, 0.05, 0.9]"
224,"- ""setuju bangett.. banyak yang tidak bersyukur kemrin tidak banjir sekarang malah sibuk mencari pembelaan #jangan_sombong #AHY #banjirjkt",Tokoh dan Partai,"[0.1, 0.1, 0.8]"
99,"- ""Hellloooo.... Suara rakyat.. Ngerti suara rakyat? Bukan suaranya #AHY or dek @AgusYudhoyono.. Ngopi dulu gih.. #PenikmatKopi",Tokoh dan Partai,"[0.1, 0.1, 0.8]"
65,"- ""Cari teman kok cara gitu ya.. pdhal #AHY sdh jelas. Gubernur Baru...@MasTBP",Tokoh dan Partai,"[0.8, 0.1, 0.1]"
5,"- ""Agus tersingkir Ahok & Anies rebutan suara AHY untuk kepentingan kelompok lewat @YouTube #ahok #anies #ahy #pilgub",Tokoh dan Partai,"[0.2, 0.6, 0.2]"
165,"- ""Meskipun #AHY kehilangan kesempatan untuk menduduki Gubernur DKI 2017-2022",Tokoh dan Partai,"[0.1, 0.2, 0.7]"
53,"- ""Banyak konstituen #AHY risih sama mulutnya Ahok tapi kalau diminta pilih Anies dengan gerombolan khilafah dibelakangnya lebih memilih Ahok",Pendukung/Pemilih,"[0.2, 0.6, 0.2]"
60,"- ""blunder itu ya dulu hina2 #AHY tapi sekarang butuh 17% suara dan harus ngemis minta sama orang yang dulu di hina2. JLEB!",Tokoh dan Partai,"[0.1, 0.1, 0.8]"
157,"- ""Masih mau mencaci maki #AHY dan Pepo Memo nya?! Kalian hrs mengemis minta suara 17% kpd orang2 yang selama ini kalian hina!!!!!!",Tokoh dan Partai,"[0.1, 0.1, 0.8]"
88,"- ""Golput lebih tinggi daripada pemilih #AHY ya nampaknya. #pilkadadki2017",Pendukung/Pemilih,"[0.2, 0.6, 0.2]"
121,"- ""Kalau merhatiin relawan #AHY saat ini minta rehat itu karena ada hal yang ganjal mungkin harus ada Islah dengan relawan #AniesSandi dulu.",Pendukung/Pemilih,"[0.2, 0.6, 0.2]"
175,"- ""#AHY pakar mantan sby Ini Surat Anas Urbaningrum Dari Jeruji Besi Sindiran Buat Mantan?",Tokoh dan Partai,"[0.2, 0.6, 0.2]"
