id,text,aspect_category,sentiment_prob
1421115366063759361,"- ""dengan rencana dan stok yang sudah diamankan indonesia bisa memastikan pelaksanaan vaksinasi di agustus aman dan bisa ditingkatkan untuk memenuhi target",Implementasi,"[0.9, 0.1, 0.0]"
1421108348846440449,"- ""kalo kena covid biaya sakit ditanggung negara sampe sembuh tapi kalo mati karena program vaksinasi covid negara malah lepas tangan ga mau tanggung jawab bagus lah suara arus bawah yg banyak pada ga mau divaksin emang suka kebangetan pemerintahannya tu",Biaya,"[0.0, 1.0, 0.0]"
1421112031877337089,"- ""persyaratan ikut vaksin itu tubuh dalam kondisi sehat untuk itu siapkan diri dengan baik dan tetap bahagia jangan lupa bawa ktpfotocopy ktp nanti saat pendaftaran menuliskan nomor hp yang valid di lembaran ktp nah kalau di tempat kalian prosesnya gimana",Peserta,"[0.0, 1.0, 0.0]"
1431475123706490882,"- ""selesai vaksin c0vid dosis 2 hari ini saya langsung dapat sms pemberitahuan mendapat sertifikat vaksin yang bisa diunduh langsung dari link yang disms kan unduh lewat aplikasi pedulilindungi",Aplikasi,"[0.9, 0.1, 0.0]"
1431474189756555265,"- ""vaksin perlu bgt krn bs mengurangi risiko sakit parah saat terpapar covid aplg biaya ke rs dan obat2an jg ga murah butuh byk biaya jd yuk kita vaksin",Umum,"[0.9, 0.1, 0.0]"
1432038325540425728,"- ""alhamdulillah saya sudah vaksin pak tinggal nyari kerjaan buat biaya kehidupan sehari hari",Peserta,"[0.9, 0.1, 0.0]"
1431822775107289089,"- ""asalamalaikumselamat siang pak presidenkami sebagai masyarakat kecildi mohon kepada bapak agar kebijakan penerbangan di ringankan kami sudah vaksin ke duadan sekarang mau terbang ke jakarta dari labuan bajo harus pcrsementara biaya pcr sangat mahal situasi begini",Peserta,"[0.0, 1.0, 0.0]"
1432261141602856963,"- ""aplikasi ini bagus banget ya buat memantu proses vaksinasi di lapangan",Aplikasi,"[0.9, 0.1, 0.0]"
1432196762937167874,"- ""nah karena saat ini pemberian vaksin bangun antibodi gratis jadi kalau ada yang minta biaya vaksin sebagai masyarakat kita bisa bantu laporkan lho",Biaya,"[0.7, 0.2, 0.1]"
1432197564456062977,"- ""oya untuk pengaduan dari masyarakat jika ada oknum yang minta biaya vaksin untuk bangun antibodi bisa dilaporkan ke email pengaduanitjengoid atau ke nomer 1500567",Biaya,"[0.0, 0.1, 0.9]"
1432209923023130626,"- ""yes kak bisa kita laporkan ya oknum yang minta biaya vaksin",Biaya,"[0.0, 0.1, 0.9]"
1432195601416933382,"- ""kalau kalian lihat ada pelanggaran terkait pemungutan biaya saat vaksin covid19 untuk bangun antibodi kalian bisa melaporkannya melalui telpon 1500567 atau via email pengaduanitjengoid",Biaya,"[0.0, 0.1, 0.9]"
1432223084254097414,"- ""jangan pernah kalian upload foto kartu kendali pelayanan vaksinasi covid19 karena berisikan data kalian rentan disalahgunakan",Layanan,"[0.0, 1.0, 0.0]"
1432237902445137921,"- ""masyarakat dan pemerintah saling bekerjasama demi memutus mata rantai penularan covid19 masy patuh prokes diam di rumah aja batasi aktivitas pemerintah mempercepat pelaksanaan vaksinasi",Umum,"[0.9, 0.1, 0.0]"
1432202931017637891,"- ""untuk pelaporan untuk pemungutan biaya vaksin ini bisa lewat 1500567 ya atau lewat email pengaduanitjengoid yuk samasama bantu pemerintah untuk menangani ini",Biaya,"[0.0, 0.1, 0.9]"
1432207567292301315,"- ""yuk check langsung aplikasi pedulilindungi check sosmed pendaftaran vaksin supaya kita bisa segera mendapatkan vaksin",Aplikasi,"[0.0, 1.0, 0.0]"
1443066362780270593,"- ""masyarakat di sekitar tempat pelaksanaan pon kexx pun juga sudah harus divaksin pelaksanaan vaksinasi di papua masih terus digencarkan agar warga bisa aman dan gak waswas mengikuti pon kexx",Peserta,"[0.9, 0.1, 0.0]"
1450418699567972358,"- ""selamat malam pak mohon izin mengenai peraturan mendagri no 53 tahun 2021 ttg aturan perjalanan udara yang mewajibkan pcr meskipun sudah 2x vaksinini tentu sangat memberatkanbiaya pcr masih mahal dan hasilnya tidak bisa cepatmohon aturan tsb bisa ditinjau ulang",Peserta,"[0.0, 1.0, 0.0]"
1450303520406597639,"- ""bahkan di beberapa daerah hoaks jadi menghambat pelaksanaan vaksinasi lho karena buat masyarakat jadi takut sama vaksinasi",Implementasi,"[0.0, 0.1, 0.9]"
1450368414879342592,"- ""mohon kiranya bapak presiden mempertimbangkan lagi syarat penerbangan yg mewajibkan pcr bagi setiap penumpang pesawat buat apa ada status level 1234 dan vaksin 2kali mengingat biaya pcr yg masih mahal dan berlaku hanya 2x24jam terimakasih atas perhatian bapak",Peserta,"[0.0, 1.0, 0.0]"
1451098880620171264,"- ""simple ini mah supaya penyedia jasa pemeriksaan alias laboratorium dapat penghasilan dari biaya test pcrakhir2 ini kan pemeriksaan pcr menurundlu sblm vaksinasi ga pake pcr cuma swab kebaca arahnya ini ntar tinggal bagi2 yg ketiban repot kita2 juga rakyat",Biaya,"[0.0, 0.1, 0.9]"
1451509412464513030,"- ""ga perlu diturunkandan ga lagi perlu pcr negara sudah biayai banyak trilyun buat vaksinasi lantas apakah tidak ada maslahatnya",Biaya,"[0.0, 1.0, 0.0]"
1353296280705884160,"- ""pemerintah jangan paksa vaksin rakyat kita tidak butuh vaksin kita bayar pajak mau dapat yg pasti2 bisa sembuhkan amp cegah covid19 herbal sari buah merah madu kina fry81 rakyat tolak vaksin krn paham vaksin ga guna kok malah diancam uu karantina mengecewakan",Umum,"[0.0, 0.0, 1.0]"
1353521091294027778,"- ""tolong disampaikan ke ibu megawati spy beliau bicara ke pak jokowi agar pemerintah ri jangan main ancam rakyat yg tolak vaksin sinovac dr ribka tjiptaningtyas kader pdi p jg tolak vaksin sinovac vaksin sinovac yg terbukti tetap tembus covid19",Umum,"[0.0, 0.0, 1.0]"
