id,text,aspect_category,sentiment_prob
1,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,Agus-Sylvi,"[0.0, 0.0, 1.0]"
2,#agussilvy bicara apa kasihan yaa...lap itu air matanya wkwkwkwk,Agus-Sylvi,"[0.0, 0.0, 1.0]"
3,Kalau aku sih gak nunggu hasil akhir QC tp lagi nunggu motif cuitan pak @SBYudhoyono kayak apa.. pasca #AgusSilvy Nyungsep..,Agus-Sylvi,"[0.0, 0.0, 1.0]"
4,Kasian oh kasian dengan peluru 1milyar untuk tiap RW #agussilvy tidak mempan menangin pilkada #QuickCount #PilkadaSerentak2017,Agus-Sylvi,"[0.0, 0.0, 1.0]"
5,Maaf ya pendukung #AgusSilvy..hayo dukung #AniesSandi diputaran 2 @ronavioleta @NetizenTofa,Agus-Sylvi,"[0.0, 0.0, 1.0]"
6,aneh deh lebay masa ini di sangkut pautkan sama kandidat Calgub anda lebay seperti yg anda dukung #agussilvy,Agus-Sylvi,"[0.0, 0.0, 1.0]"
7,Kepada Allah SWT kami ucapkan rasa syukur dan kepada pak @SBYudhoyono @presidenSBY #AHY kami sampaikan terimakasih. Makna 17% suara anda.,Agus-Sylvi,"[1.0, 0.0, 0.0]"
8,Terima Kasih teruntuk pendukung #AHY #SYLVI kalianlah pembeda kali ini,Agus-Sylvi,"[1.0, 0.0, 0.0]"
9,Trima Kasih atas KeIstiqomahan Relawan #AHY @AgusYudhoyono lah yg tlh mengantarkan #AniesSandiDKI1 #JakartaGubernurBaru dg cukup signifikan,Agus-Sylvi,"[1.0, 0.0, 0.0]"
10,Mengenang pidato kekalahan #ahy,Agus-Sylvi,"[0.0, 0.0, 1.0]"
11,dammnn !! politik cantik #SBY ngorbanin #AHY,Agus-Sylvi,"[0.0, 0.0, 1.0]"
12,Batal nyoblos baru tau ternyata ga ada no.1 di kertas suara. #AHY #kangen #mosing,Agus-Sylvi,"[1.0, 0.0, 0.0]"
13,sudah boleh Ngakak? survey mu jauh panggang dari api ! #Ahy,Agus-Sylvi,"[0.0, 0.0, 1.0]"
14,aku juga kemarin #AHY 19april2017 suaraku utk paslon 3 #DKI,Agus-Sylvi,"[0.0, 1.0, 0.0]"
15,Karna yang belebihan itu tidak baik ya bah #AHY,Agus-Sylvi,"[0.0, 0.0, 1.0]"
16,"om AA kemana ? lepas #AHY kalah kok dia tutup mulut tidak koar"" mau bongkar SBY",Agus-Sylvi,"[0.0, 0.0, 1.0]"
17,kalau pencatutan nama #ahy dan mpo #silvi melanggar hukum ga ya.. wkwkwkwkkwkk,Agus-Sylvi,"[0.0, 0.0, 1.0]"
18,ya pastilah #FPI kan ga suka ama Ahok jd pas #AHY udah kalah otomatis dukungannya lari ke mas #Anisa AniesSandi,Ahok-Djarot,"[0.0, 0.0, 1.0]"
19,dia lah Banteng.. dia lah Garuda!! ksatria seperti bpk @prabowo gentle spt #AHY @AgusYudhoyono ..jadi cinta sama #HajiDjarot,Agus-Sylvi,"[1.0, 0.0, 0.0]"
20,Gara2 e-KTP dikorupsi fotoku yg semula mirip #AHY pelan tapi pasti skrang malah mirip - Stickmoticons”,Agus-Sylvi,"[0.0, 1.0, 0.0]"
21,Double LOL. @aniesbaswedan nuduh @AgusYudhoyono miskin ide sekarang dia copy #AHY. @SBYudhoyono http://m.republika.co.id,Anies-Sandi,"[0.05, 0.05, 0.9]"
22,Kemana nih Antasari. .. #ahy kalah di #pilgubdki2017 melempem dia... bener-bener akting yang https://www.instagram.com/p/BRXaBMtBUeb/,Agus-Sylvi,"[0.05, 0.15, 0.8]"
23,Ingat! Tidak bisa modal OMONGAN saja. Tapi kerja nyata! #agusharimurtiyudhoyono #AHYâ€¦ https://www.instagram.com/p/BROjg0gBpYa/,Agus-Sylvi,"[0.1, 0.1, 0.8]"
24,#ahy pakdhe karwo Pilgub Jatim Pak Dhe Karwo Isyaratkan Agus Tidak Akan Maju di Pilgub Jatim,Agus-Sylvi,"[0.1, 0.8, 0.1]"
25,Paslon salah langkah seperti dilakukan Sandi ini bukan tidak mungkin jadi bumerang gagal dapat suara #AHY. @ZaraZettiraZZ @monethamrin,Anies-Sandi,"[0.1, 0.1, 0.8]"
26,Jangan2 relawan inilah yang gembosi #AHY lalu.,Agus-Sylvi,"[0.1, 0.1, 0.8]"
27,Di manakah #AHY... Sang Ksatria Samurai Prajurit Pembangun semangat & harapan Pahlawan yg dinanti-nantikan rakyat itu...,Agus-Sylvi,"[0.9, 0.05, 0.05]"
28,Kini ketika #AHY berada di luar arena tabir kegelapan & tiada harapan kembali menyergap rakyat. Kemana lagi rakyat mencari ketulusan?,Agus-Sylvi,"[0.85, 0.1, 0.05]"
29,@AdjieRimbawan isu lama diangkat lagi video lama dishare lagi padahal video sudah disebar buzzer #AHY eh jelang #putaranke2 disebar lagi,Agus-Sylvi,"[0.1, 0.2, 0.7]"
30,Baru tau Bu Carik @luviku tidak coblos #AHY kemarin. Piss,Agus-Sylvi,"[0.1, 0.8, 0.1]"
31,Awas ye kalo minta dukungan suara pendukung #AHY,Agus-Sylvi,"[0.1, 0.8, 0.1]"
32,Ini Dia Pelaku Pengirim SMS Gelap Antasari Azhar #Indonesia #SBY #AHY #Anies #Ahok #Berita #JumatBerkah #Rizieq,Agus-Sylvi,"[0.1, 0.8, 0.1]"
33,Antasari Diancam Harry Tanoe https://youtu.be/9KbbpAjibTc #Antasari #ahok #Sby #AHY #berita #MetroTV #Indonesia #JumatBerkah #KimJongNam,Ahok-Djarot,"[0.1, 0.8, 0.1]"
34,Tuduhan terhadap #AHY yg kerap dilontarkan: anak ingusan dan cuma mayor sekarang tak terdengar lagi. Dudah berubah menjadi sanjungan!?,Agus-Sylvi,"[0.8, 0.1, 0.1]"
35,JOKE terbaik selama pilkada serentak 2017 #bravo @masril_pku @Chilli_Pari #AHY.,Agus-Sylvi,"[0.85, 0.1, 0.05]"
36,Jangan curiga dulu saldonya bisa di kenti seperti BLT orang mau berbuat baik belum apa2 sudah curiga mekanismenya seperti apa #AHY,Agus-Sylvi,"[0.7, 0.2, 0.1]"
37,ahoker masih bully #AHY,Ahok-Djarot,"[0.05, 0.15, 0.8]"
38,Sayang mayor #AHY termasuk yang dikader untuk pemimpin masa depan Dari SMA taruna beliau selalu yang teratas Lagi2 itu pilihan #pensiundini,Agus-Sylvi,"[0.9, 0.05, 0.05]"
39,setuju bangett.. banyak yang tidak bersyukur kemrin tidak banjir sekarang malah sibuk mencari pembelaan #jangan_sombong #AHY #banjirjkt,Agus-Sylvi,"[0.1, 0.8, 0.1]"
40,pakai sedotan atau sodetan versi #AHY,Agus-Sylvi,"[0.1, 0.8, 0.1]"
41,Hellloooo.... Suara rakyat.. Ngerti suara rakyat? Bukan suaranya #AHY or dek @AgusYudhoyono.. Ngopi dulu gih.. #PenikmatKopi,Agus-Sylvi,"[0.05, 0.15, 0.8]"
42,Cari teman kok cara gitu ya.. pdhal #AHY sdh jelas. Gubernur Baru...@MasTBP,Agus-Sylvi,"[0.1, 0.6, 0.3]"
